branch_index,from_bus,to_bus,paper_prob_times_1e_minus_4,initial_outage_probability,source_note
1,1,2,NaN,NaN,待用户根据论文表4-1填写
2,1,39,NaN,NaN,待用户根据论文表4-1填写
3,2,3,NaN,NaN,待用户根据论文表4-1填写
4,2,25,NaN,NaN,待用户根据论文表4-1填写
5,2,30,NaN,NaN,待用户根据论文表4-1填写
6,3,4,NaN,NaN,待用户根据论文表4-1填写
7,3,18,NaN,NaN,待用户根据论文表4-1填写
8,4,5,NaN,NaN,待用户根据论文表4-1填写
9,4,14,NaN,NaN,待用户根据论文表4-1填写
10,5,6,NaN,NaN,待用户根据论文表4-1填写
11,5,8,NaN,NaN,待用户根据论文表4-1填写
12,6,7,NaN,NaN,待用户根据论文表4-1填写
13,6,11,NaN,NaN,待用户根据论文表4-1填写
14,6,31,NaN,NaN,待用户根据论文表4-1填写
15,7,8,NaN,NaN,待用户根据论文表4-1填写
16,8,9,NaN,NaN,待用户根据论文表4-1填写
17,9,39,NaN,NaN,待用户根据论文表4-1填写
18,10,11,NaN,NaN,待用户根据论文表4-1填写
19,10,13,NaN,NaN,待用户根据论文表4-1填写
20,10,32,NaN,NaN,待用户根据论文表4-1填写
21,12,11,NaN,NaN,待用户根据论文表4-1填写
22,12,13,NaN,NaN,待用户根据论文表4-1填写
23,13,14,NaN,NaN,待用户根据论文表4-1填写
24,14,15,NaN,NaN,待用户根据论文表4-1填写
25,15,16,NaN,NaN,待用户根据论文表4-1填写
26,16,17,NaN,NaN,待用户根据论文表4-1填写
27,16,19,NaN,NaN,待用户根据论文表4-1填写
28,16,21,NaN,NaN,待用户根据论文表4-1填写
29,16,24,NaN,NaN,待用户根据论文表4-1填写
30,17,18,NaN,NaN,待用户根据论文表4-1填写
31,17,27,NaN,NaN,待用户根据论文表4-1填写
32,19,20,NaN,NaN,待用户根据论文表4-1填写
33,19,33,NaN,NaN,待用户根据论文表4-1填写
34,20,34,NaN,NaN,待用户根据论文表4-1填写
35,21,22,NaN,NaN,待用户根据论文表4-1填写
36,22,23,NaN,NaN,待用户根据论文表4-1填写
37,22,35,NaN,NaN,待用户根据论文表4-1填写
38,23,24,NaN,NaN,待用户根据论文表4-1填写
39,23,36,NaN,NaN,待用户根据论文表4-1填写
40,25,26,NaN,NaN,待用户根据论文表4-1填写
41,25,37,NaN,NaN,待用户根据论文表4-1填写
42,26,27,NaN,NaN,待用户根据论文表4-1填写
43,26,28,NaN,NaN,待用户根据论文表4-1填写
44,26,29,NaN,NaN,待用户根据论文表4-1填写
45,28,29,NaN,NaN,待用户根据论文表4-1填写
46,29,38,NaN,NaN,待用户根据论文表4-1填写
