target_group,scenario_id,metric_name,target_paper_value,matched_paper_table_id,matched_scenario_label,matched_confidence_sigma,matched_paper_table_value,value_difference,mapping_status,issue_type,recommended_fix,note
topology_compare,concentrated_bus34,SLLR,8.5328,Table 4-4,centralized_3000mw,0.95,8.5328,0,exact_match,none,keep target row,Target value matches expected paper table/scenario/sigma.
topology_compare,concentrated_bus34,SLFOR,6.2588,Table 4-4,centralized_3000mw,0.95,6.2588,0,exact_match,none,keep target row,Target value matches expected paper table/scenario/sigma.
topology_compare,concentrated_bus34,SNVOR,3.8986,Table 4-4,centralized_3000mw,0.95,3.8986,0,exact_match,none,keep target row,Target value matches expected paper table/scenario/sigma.
topology_compare,concentrated_bus34,CRI,7.1512,Table 4-4,centralized_3000mw,0.95,7.1512,0,exact_match,none,keep target row,Target value matches expected paper table/scenario/sigma.
topology_compare,distributed_30_39,SLLR,6.3899,Table 4-4,distributed_3000mw,0.95,6.3899,0,exact_match,none,keep target row,Target value matches expected paper table/scenario/sigma.
topology_compare,distributed_30_39,SLFOR,4.2521,Table 4-4,distributed_3000mw,0.95,4.2521,0,exact_match,none,keep target row,Target value matches expected paper table/scenario/sigma.
topology_compare,distributed_30_39,SNVOR,2.6697,Table 4-4,distributed_3000mw,0.95,2.6697,0,exact_match,none,keep target row,Target value matches expected paper table/scenario/sigma.
topology_compare,distributed_30_39,CRI,5.2183,Table 4-4,distributed_3000mw,0.95,5.2183,0,exact_match,none,keep target row,Target value matches expected paper table/scenario/sigma.
wind_speed_scan,wind_speed_11_28,SLLR,7.5361,Table 4-6,wind_speed_11_28mps,0.95,7.5361,0,exact_match,none,keep target row,Target value matches expected paper table/scenario/sigma.
wind_speed_scan,wind_speed_11_28,SLFOR,6.0213,Table 4-6,wind_speed_11_28mps,0.95,6.0213,0,exact_match,none,keep target row,Target value matches expected paper table/scenario/sigma.
wind_speed_scan,wind_speed_11_28,SNVOR,6.5482,Table 4-6,wind_speed_11_28mps,0.95,6.5482,0,exact_match,none,keep target row,Target value matches expected paper table/scenario/sigma.
wind_speed_scan,wind_speed_11_28,CRI,7.0356,Table 4-6,wind_speed_11_28mps,0.95,7.0356,0,exact_match,none,keep target row,Target value matches expected paper table/scenario/sigma.
wind_speed_scan,wind_speed_12_00,SLLR,6.6351,Table 4-6,wind_speed_12_00mps,0.95,6.6351,0,exact_match,none,keep target row,Target value matches expected paper table/scenario/sigma.
wind_speed_scan,wind_speed_12_00,SLFOR,4.7631,Table 4-6,wind_speed_12_00mps,0.95,4.7631,0,exact_match,none,keep target row,Target value matches expected paper table/scenario/sigma.
wind_speed_scan,wind_speed_12_00,SNVOR,4.9822,Table 4-6,wind_speed_12_00mps,0.95,4.9822,0,exact_match,none,keep target row,Target value matches expected paper table/scenario/sigma.
wind_speed_scan,wind_speed_12_00,CRI,5.9301,Table 4-6,wind_speed_12_00mps,0.95,5.9301,0,exact_match,none,keep target row,Target value matches expected paper table/scenario/sigma.
penetration_scan,penetration_40pct,SLLR,6.3899,Table 4-5,penetration_40pct,0.95,6.3899,0,exact_match,none,keep target row,Target value matches expected paper table/scenario/sigma.
penetration_scan,penetration_40pct,SLFOR,4.2521,Table 4-5,penetration_40pct,0.95,4.2521,0,exact_match,none,keep target row,Target value matches expected paper table/scenario/sigma.
penetration_scan,penetration_40pct,SNVOR,4.6697,Table 4-5,penetration_40pct,0.95,4.6697,0,exact_match,none,keep target row,Target value matches expected paper table/scenario/sigma.
penetration_scan,penetration_40pct,CRI,5.6183,Table 4-5,penetration_40pct,0.95,5.6183,0,exact_match,none,keep target row,Target value matches expected paper table/scenario/sigma.
penetration_scan,penetration_60pct,SLLR,7.8006,Table 4-5,penetration_60pct,0.95,7.8006,0,exact_match,none,keep target row,Target value matches expected paper table/scenario/sigma.
penetration_scan,penetration_60pct,SLFOR,5.8361,Table 4-5,penetration_60pct,0.95,5.8361,0,exact_match,none,keep target row,Target value matches expected paper table/scenario/sigma.
penetration_scan,penetration_60pct,SNVOR,6.2773,Table 4-5,penetration_60pct,0.95,6.2773,0,exact_match,none,keep target row,Target value matches expected paper table/scenario/sigma.
penetration_scan,penetration_60pct,CRI,7.103,Table 4-5,penetration_60pct,0.95,7.103,0,exact_match,none,keep target row,Target value matches expected paper table/scenario/sigma.
penetration_scan,penetration_80pct,SLLR,14.0526,Table 4-5,penetration_80pct,0.95,14.0526,0,exact_match,none,keep target row,Target value matches expected paper table/scenario/sigma.
penetration_scan,penetration_80pct,SLFOR,12.5517,Table 4-5,penetration_80pct,0.95,12.5517,0,exact_match,none,keep target row,Target value matches expected paper table/scenario/sigma.
penetration_scan,penetration_80pct,SNVOR,11.8034,Table 4-5,penetration_80pct,0.95,11.8034,0,exact_match,none,keep target row,Target value matches expected paper table/scenario/sigma.
penetration_scan,penetration_80pct,CRI,13.3026,Table 4-5,penetration_80pct,0.95,13.3026,0,exact_match,none,keep target row,Target value matches expected paper table/scenario/sigma.
