parameter_set_id,target_group,metric_name,paper_direction,sim_direction,direction_match,paper_delta,sim_delta,paper_relative_delta,sim_relative_delta,trend_status,note
benchmark_calibrated_seed,topology_compare,CRI,decrease,decrease,1,-1.9329,-0.20350727662869,-0.270290300928515,-0.928260205099758,matched_direction,comparison=concentrated_bus34_to_distributed_30_39
benchmark_calibrated_seed,wind_speed_scan,CRI,decrease,increase,0,-1.1055,0.0043208409532571,-0.157129455909944,0.378787065186411,opposite_direction,comparison=wind_speed_11_28_to_wind_speed_12_00
benchmark_calibrated_seed,penetration_scan,CRI,increase,increase,1,7.6843,0.0094030389882891,1.36772689247637,0.80635329062168,matched_direction,comparison=penetration_40pct_to_penetration_60pct_to_penetration_80pct
benchmark_calibrated_seed,topology_compare,SLFOR,decrease,increase,0,-2.0067,0.029269229015685,-0.32062056624273,131816888888461,opposite_direction,comparison=concentrated_bus34_to_distributed_30_39
benchmark_calibrated_seed,wind_speed_scan,SLFOR,decrease,increase,0,-1.2582,0.0042169247210888,-0.208958198395695,0.168324824395431,opposite_direction,comparison=wind_speed_11_28_to_wind_speed_12_00
benchmark_calibrated_seed,penetration_scan,SLFOR,increase,increase,1,8.2996,0.0208617350107362,1.95188259918628,0.805246629121843,matched_direction,comparison=penetration_40pct_to_penetration_60pct_to_penetration_80pct
benchmark_calibrated_seed,topology_compare,SLLR,decrease,decrease,1,-2.1429,-0.286741718781777,-0.251136789799362,-0.955805729272589,matched_direction,comparison=concentrated_bus34_to_distributed_30_39
benchmark_calibrated_seed,wind_speed_scan,SLLR,decrease,increase,0,-0.901,0.00368156472808115,-0.119557861493345,0.384428706004898,opposite_direction,comparison=wind_speed_11_28_to_wind_speed_12_00
benchmark_calibrated_seed,penetration_scan,SLLR,increase,increase,1,7.6627,0.00660914352686168,1.19918934568616,0.68030962767306,matched_direction,comparison=penetration_40pct_to_penetration_60pct_to_penetration_80pct
benchmark_calibrated_seed,topology_compare,SNVOR,decrease,decrease,1,-1.2289,-0.186580455813806,-0.315215718463038,-0.951087980029449,matched_direction,comparison=concentrated_bus34_to_distributed_30_39
benchmark_calibrated_seed,wind_speed_scan,SNVOR,decrease,increase,0,-1.566,0.00634258586095322,-0.239149689991143,1.94990336800813,opposite_direction,comparison=wind_speed_11_28_to_wind_speed_12_00
benchmark_calibrated_seed,penetration_scan,SNVOR,increase,increase,1,7.1337,0.00632602935012427,1.52765702293509,1.94409380962212,matched_direction,comparison=penetration_40pct_to_penetration_60pct_to_penetration_80pct
high_hidden_failure,topology_compare,CRI,decrease,decrease,1,-1.9329,-0.211924936718142,-0.270290300928515,-0.966655779992891,matched_direction,comparison=concentrated_bus34_to_distributed_30_39
high_hidden_failure,wind_speed_scan,CRI,decrease,increase,0,-1.1055,0.00336412381953595,-0.157129455909944,0.852518284514636,opposite_direction,comparison=wind_speed_11_28_to_wind_speed_12_00
high_hidden_failure,penetration_scan,CRI,increase,increase,1,7.6843,0.00484255515397013,1.36772689247637,0.811827678350607,matched_direction,comparison=penetration_40pct_to_penetration_60pct_to_penetration_80pct
high_hidden_failure,topology_compare,SLFOR,decrease,increase,0,-2.0067,0.0111164404112904,-0.32062056624273,50063996893973.8,opposite_direction,comparison=concentrated_bus34_to_distributed_30_39
high_hidden_failure,wind_speed_scan,SLFOR,decrease,increase,0,-1.2582,0.00369491571258532,-0.208958198395695,0.497864773424525,opposite_direction,comparison=wind_speed_11_28_to_wind_speed_12_00
high_hidden_failure,penetration_scan,SLFOR,increase,increase,1,8.2996,0.0056169576272296,1.95188259918628,0.329800910196469,matched_direction,comparison=penetration_40pct_to_penetration_60pct_to_penetration_80pct
high_hidden_failure,topology_compare,SLLR,decrease,decrease,1,-2.1429,-0.292513760613697,-0.251136789799362,-0.975045868712322,matched_direction,comparison=concentrated_bus34_to_distributed_30_39
high_hidden_failure,wind_speed_scan,SLLR,decrease,increase,0,-0.901,0.00380629170023682,-0.119557861493345,1.03433310061682,opposite_direction,comparison=wind_speed_11_28_to_wind_speed_12_00
high_hidden_failure,penetration_scan,SLLR,increase,increase,1,7.6627,0.00557490618206502,1.19918934568616,1.4485239890949,matched_direction,comparison=penetration_40pct_to_penetration_60pct_to_penetration_80pct
high_hidden_failure,topology_compare,SNVOR,decrease,decrease,1,-1.2289,-0.193199842160908,-0.315215718463038,-0.984830092848503,matched_direction,comparison=concentrated_bus34_to_distributed_30_39
