preview_variant,metric_name,preview_value,source_probability,source_severity,scale_convention,aggregation_rule,valid_stage_count,missing_probability_count,missing_severity_count,formula_note,not_formal_reason
stage_probability_sum,SLLR,6.33323466120043e-05,P_total_Ek,unified stage_severity_details.severity_LLR,per-unit,sum(P_total_Ek * stage_severity),23,0,0,Offline candidate preview only; no simulation run and no final_summary update.,"Uses diagnostic P_line/P_wt/P_ge parameter sets and one small unified smoke, not confirmed paper VaR/aggregation rule."
stage_probability_percent,SLLR,0.00633323466120043,P_total_Ek,unified stage_severity_details.severity_LLR,percent,100 * sum(P_total_Ek * stage_severity),23,0,0,Offline candidate preview only; no simulation run and no final_summary update.,"Uses diagnostic P_line/P_wt/P_ge parameter sets and one small unified smoke, not confirmed paper VaR/aggregation rule."
stage_mean_severity,SLLR,0.067004693310524,none,unified stage_severity_details.severity_LLR,per-unit,mean(stage_severity),23,0,0,Offline candidate preview only; no simulation run and no final_summary update.,"Uses diagnostic P_line/P_wt/P_ge parameter sets and one small unified smoke, not confirmed paper VaR/aggregation rule."
stage_mean_severity_percent,SLLR,6.7004693310524,none,unified stage_severity_details.severity_LLR,percent,100 * mean(stage_severity),23,0,0,Offline candidate preview only; no simulation run and no final_summary update.,"Uses diagnostic P_line/P_wt/P_ge parameter sets and one small unified smoke, not confirmed paper VaR/aggregation rule."
chain_probability_proxy,SLLR,NaN,unavailable,unified stage_severity_details.severity_LLR,per-unit,chain probability unavailable in unified smoke,0,0,0,Offline candidate preview only; no simulation run and no final_summary update.,"Uses diagnostic P_line/P_wt/P_ge parameter sets and one small unified smoke, not confirmed paper VaR/aggregation rule."
stage_probability_sum,SLFOR,0.00030037857160916,P_total_Ek,unified stage_severity_details.severity_LFOR,per-unit,sum(P_total_Ek * stage_severity),23,0,0,Offline candidate preview only; no simulation run and no final_summary update.,"Uses diagnostic P_line/P_wt/P_ge parameter sets and one small unified smoke, not confirmed paper VaR/aggregation rule."
stage_probability_percent,SLFOR,0.030037857160916,P_total_Ek,unified stage_severity_details.severity_LFOR,percent,100 * sum(P_total_Ek * stage_severity),23,0,0,Offline candidate preview only; no simulation run and no final_summary update.,"Uses diagnostic P_line/P_wt/P_ge parameter sets and one small unified smoke, not confirmed paper VaR/aggregation rule."
stage_mean_severity,SLFOR,0.164613645357957,none,unified stage_severity_details.severity_LFOR,per-unit,mean(stage_severity),23,0,0,Offline candidate preview only; no simulation run and no final_summary update.,"Uses diagnostic P_line/P_wt/P_ge parameter sets and one small unified smoke, not confirmed paper VaR/aggregation rule."
stage_mean_severity_percent,SLFOR,16.4613645357957,none,unified stage_severity_details.severity_LFOR,percent,100 * mean(stage_severity),23,0,0,Offline candidate preview only; no simulation run and no final_summary update.,"Uses diagnostic P_line/P_wt/P_ge parameter sets and one small unified smoke, not confirmed paper VaR/aggregation rule."
chain_probability_proxy,SLFOR,NaN,unavailable,unified stage_severity_details.severity_LFOR,per-unit,chain probability unavailable in unified smoke,0,0,0,Offline candidate preview only; no simulation run and no final_summary update.,"Uses diagnostic P_line/P_wt/P_ge parameter sets and one small unified smoke, not confirmed paper VaR/aggregation rule."
