scenario_id,source_file,source_function_or_script,config_key,config_value,evidence_type,evidence_status,note
concentrated_bus34,src/main_run_benchmark_calibration_pilot.m,main_run_benchmark_calibration_pilot,pilot_scenario_list,concentrated_bus34,script_scenario_list,found,"Pilot target scenario is listed by the calibration pilot entry script; no pilot was run."
concentrated_bus34,src/scenarios/build_scenario_library.m,build_scenario_library,scenario_group,calibration_pilot,scenario_struct_field,found,"Dry-run scenario struct was read without applying renewable dispatch."
concentrated_bus34,src/scenarios/build_scenario_library.m,build_scenario_library,wind_buses,34,scenario_struct_field,found,"Actual calibration alias wind buses from scenario library."
concentrated_bus34,src/scenarios/build_scenario_library.m,build_scenario_library,total_wind_capacity_mw,3000,scenario_struct_field,found,"Actual total wind capacity from scenario library."
concentrated_bus34,src/scenarios/build_scenario_library.m,build_scenario_library,wind_speed_mps,12,scenario_struct_field,found,"Actual wind speed from scenario library."
concentrated_bus34,src/scenarios/build_scenario_library.m,build_scenario_library,penetration_ratio,0.479675355719,scenario_struct_field,found,"Scenario penetration ratio as currently stored."
concentrated_bus34,config/base_config.m,base_config,scenario_penetration_definition,wind_capacity_divided_by_base_load,config_default,found,"Penetration scenario aliases currently use build_scenario_library capacity logic."
concentrated_bus34,config/base_config.m,base_config,wind_penetration_basis,total_generation_capacity,config_default,found,"Paper-aligned benchmark/calibration scenarios use total_generation_capacity basis."
concentrated_bus34,src/cases/compute_wind_capacity_from_penetration.m,compute_wind_capacity_from_penetration,capacity_basis_function,penetration * selected basis MW,helper_function,found,"Centralized helper prevents duplicated 7500/base-load conversion logic."
concentrated_bus34,config/base_config.m,base_config,scenario_centralized_wind_bus,39,config_default,warning_alias_override,"Default centralized bus is 39, but calibration alias concentrated_bus34 explicitly overrides to bus 34."
concentrated_bus34,config/scenario_config.m,scenario_config,distributed_defaults,wind_buses=30:39;total_wind_capacity_mw=3000;wind_speed_mps=12,config_default,found,"Default scenario config is reference context only; pilot aliases are read from scenario library."
concentrated_bus34,results/calibration/pilot/benchmark_calibrated_seed/concentrated_bus34/scenario_run_log.txt,scenario_run_log,runtime_config_evidence,,existing_result_log,missing_in_log,"No scenario run log found for this scenario; dry-run source trace is used instead."
distributed_30_39,src/main_run_benchmark_calibration_pilot.m,main_run_benchmark_calibration_pilot,pilot_scenario_list,distributed_30_39,script_scenario_list,found,"Pilot target scenario is listed by the calibration pilot entry script; no pilot was run."
distributed_30_39,src/scenarios/build_scenario_library.m,build_scenario_library,scenario_group,calibration_pilot,scenario_struct_field,found,"Dry-run scenario struct was read without applying renewable dispatch."
distributed_30_39,src/scenarios/build_scenario_library.m,build_scenario_library,wind_buses,30:39,scenario_struct_field,found,"Actual calibration alias wind buses from scenario library."
distributed_30_39,src/scenarios/build_scenario_library.m,build_scenario_library,total_wind_capacity_mw,3000,scenario_struct_field,found,"Actual total wind capacity from scenario library."
distributed_30_39,src/scenarios/build_scenario_library.m,build_scenario_library,wind_speed_mps,12,scenario_struct_field,found,"Actual wind speed from scenario library."
distributed_30_39,src/scenarios/build_scenario_library.m,build_scenario_library,penetration_ratio,0.479675355719,scenario_struct_field,found,"Scenario penetration ratio as currently stored."
distributed_30_39,config/base_config.m,base_config,scenario_penetration_definition,wind_capacity_divided_by_base_load,config_default,found,"Penetration scenario aliases currently use build_scenario_library capacity logic."
distributed_30_39,config/base_config.m,base_config,wind_penetration_basis,total_generation_capacity,config_default,found,"Paper-aligned benchmark/calibration scenarios use total_generation_capacity basis."
distributed_30_39,src/cases/compute_wind_capacity_from_penetration.m,compute_wind_capacity_from_penetration,capacity_basis_function,penetration * selected basis MW,helper_function,found,"Centralized helper prevents duplicated 7500/base-load conversion logic."
distributed_30_39,config/base_config.m,base_config,scenario_centralized_wind_bus,39,config_default,warning_alias_override,"Default centralized bus is 39, but calibration alias concentrated_bus34 explicitly overrides to bus 34."
distributed_30_39,config/scenario_config.m,scenario_config,distributed_defaults,wind_buses=30:39;total_wind_capacity_mw=3000;wind_speed_mps=12,config_default,found,"Default scenario config is reference context only; pilot aliases are read from scenario library."
distributed_30_39,results/calibration/pilot/benchmark_calibrated_seed/distributed_30_39/scenario_run_log.txt,scenario_run_log,runtime_config_evidence,,existing_result_log,missing_in_log,"No scenario run log found for this scenario; dry-run source trace is used instead."
wind_speed_11_28,src/main_run_benchmark_calibration_pilot.m,main_run_benchmark_calibration_pilot,pilot_scenario_list,wind_speed_11_28,script_scenario_list,found,"Pilot target scenario is listed by the calibration pilot entry script; no pilot was run."
wind_speed_11_28,src/scenarios/build_scenario_library.m,build_scenario_library,scenario_group,calibration_pilot,scenario_struct_field,found,"Dry-run scenario struct was read without applying renewable dispatch."
wind_speed_11_28,src/scenarios/build_scenario_library.m,build_scenario_library,wind_buses,30:39,scenario_struct_field,found,"Actual calibration alias wind buses from scenario library."
wind_speed_11_28,src/scenarios/build_scenario_library.m,build_scenario_library,total_wind_capacity_mw,3000,scenario_struct_field,found,"Actual total wind capacity from scenario library."
