parameter_set_id,target_group,scenario_id,sigma,metric_name,metric_source,scale_variant,paper_table_value,paper_actual_value_if_table_unit_1e4,sim_var_value,comparison_mode,absolute_gap,relative_gap,ratio_paper_to_sim,match_status,note
low_hidden_failure,topology_compare,concentrated_bus34,0.9,SLLR,markov_chain_summary.basic:SLLR,raw,8.5328,0.00085328,1,compare_to_paper_table_value,-7.5328,-0.882805175323458,8.5328,valid,scenario-aligned comparison; diagnostic only
low_hidden_failure,topology_compare,concentrated_bus34,0.9,SLLR,markov_chain_summary.basic:SLLR,raw,8.5328,0.00085328,1,compare_to_paper_actual_1e_minus_4,0.99914672,1170.94824676542,0.00085328,valid,scenario-aligned comparison; diagnostic only
low_hidden_failure,topology_compare,concentrated_bus34,0.9,SLLR,markov_chain_summary.basic:SLLR,percent,8.5328,0.00085328,100,compare_to_paper_table_value,91.4672,10.7194824676542,0.085328,valid,scenario-aligned comparison; diagnostic only
low_hidden_failure,topology_compare,concentrated_bus34,0.9,SLLR,markov_chain_summary.basic:SLLR,percent,8.5328,0.00085328,100,compare_to_paper_actual_1e_minus_4,99.99914672,117193.824676542,8.5328e-06,valid,scenario-aligned comparison; diagnostic only
low_hidden_failure,topology_compare,concentrated_bus34,0.9,SLLR,markov_chain_summary.basic:SLLR,paper_table_1e4,8.5328,0.00085328,10000,compare_to_paper_table_value,9991.4672,1170.94824676542,0.00085328,valid,scenario-aligned comparison; diagnostic only
low_hidden_failure,topology_compare,concentrated_bus34,0.9,SLLR,markov_chain_summary.basic:SLLR,paper_table_1e4,8.5328,0.00085328,10000,compare_to_paper_actual_1e_minus_4,9999.99914672,11719481.4676542,8.5328e-08,valid,scenario-aligned comparison; diagnostic only
low_hidden_failure,topology_compare,concentrated_bus34,0.9,SLLR,markov_chain_summary.basic:SLLR,paper_actual_from_table,8.5328,0.00085328,1,compare_to_paper_table_value,-7.5328,-0.882805175323458,8.5328,valid,scenario-aligned comparison; diagnostic only
low_hidden_failure,topology_compare,concentrated_bus34,0.9,SLLR,markov_chain_summary.basic:SLLR,paper_actual_from_table,8.5328,0.00085328,1,compare_to_paper_actual_1e_minus_4,0.99914672,1170.94824676542,0.00085328,valid,scenario-aligned comparison; diagnostic only
low_hidden_failure,topology_compare,concentrated_bus34,0.95,SLLR,markov_chain_summary.basic:SLLR,raw,8.5328,0.00085328,1,compare_to_paper_table_value,-7.5328,-0.882805175323458,8.5328,valid,scenario-aligned comparison; diagnostic only
low_hidden_failure,topology_compare,concentrated_bus34,0.95,SLLR,markov_chain_summary.basic:SLLR,raw,8.5328,0.00085328,1,compare_to_paper_actual_1e_minus_4,0.99914672,1170.94824676542,0.00085328,valid,scenario-aligned comparison; diagnostic only
low_hidden_failure,topology_compare,concentrated_bus34,0.95,SLLR,markov_chain_summary.basic:SLLR,percent,8.5328,0.00085328,100,compare_to_paper_table_value,91.4672,10.7194824676542,0.085328,valid,scenario-aligned comparison; diagnostic only
