parameter_set_id,metric_source,valid_target_count,mean_abs_relative_gap,median_abs_relative_gap,topology_direction_match,wind_speed_direction_match,penetration_direction_match,overall_trend_match_rate,score_rank,recommendation
low_hidden_failure,SLLR,7,0.869577958403714,0.86730525506492,0,0,1,0.333333333333333,2,wrong_trend
low_hidden_failure,SLFOR,7,0.460422762290607,0.400650665169569,0,0,0,0,6,wrong_trend
low_hidden_failure,SNVOR,7,0.64259553898874,0.652676840641419,0,0,0,0,11,wrong_trend
low_hidden_failure,CRI_recomputed_from_var,7,0.770236360846694,0.737556281128504,0,0,0,0,14,wrong_trend
low_hidden_failure,CRI_basic,7,0.803042184567495,0.767657204491805,0,0,0,0,17,wrong_trend
medium_hidden_failure,SLLR,7,0.869577958403714,0.86730525506492,0,0,1,0.333333333333333,3,wrong_trend
medium_hidden_failure,SLFOR,7,0.453374149194362,0.400650665169569,0,0,0,0,7,wrong_trend
medium_hidden_failure,SNVOR,7,0.629208250368599,0.650231080810488,0,0,0,0,9,wrong_trend
medium_hidden_failure,CRI_recomputed_from_var,7,0.766550798079861,0.737600222751877,0,0,0,0,15,wrong_trend
medium_hidden_failure,CRI_basic,7,0.797147479300714,0.767657204491805,0,0,0,0,18,wrong_trend
high_hidden_failure,SLLR,7,0.869577958403714,0.86730525506492,0,0,1,0.333333333333333,4,wrong_trend
high_hidden_failure,SLFOR,7,0.43593117341801,0.397319681537133,0,1,0,0.333333333333333,1,wrong_trend
high_hidden_failure,SNVOR,7,0.633271299064586,0.655122600472349,0,0,0,0,12,wrong_trend
high_hidden_failure,CRI_recomputed_from_var,7,0.764088907443318,0.737385063909915,0,0,0,0,13,wrong_trend
high_hidden_failure,CRI_basic,7,0.812570208153644,0.791801957174817,0,0,0,0,20,wrong_trend
benchmark_calibrated_seed,SLLR,7,0.869577958403714,0.86730525506492,0,0,1,0.333333333333333,5,wrong_trend
benchmark_calibrated_seed,SLFOR,7,0.453374149194362,0.400650665169569,0,0,0,0,8,wrong_trend
benchmark_calibrated_seed,SNVOR,7,0.629208250368599,0.650231080810488,0,0,0,0,10,wrong_trend
benchmark_calibrated_seed,CRI_recomputed_from_var,7,0.766550798079861,0.737600222751877,0,0,0,0,16,wrong_trend
benchmark_calibrated_seed,CRI_basic,7,0.797147479300714,0.767657204491805,0,0,0,0,19,wrong_trend
