initial_branch,trial_id,chain_depth,terminated_reason,total_load_shed_mw,total_load_shed_frac,max_line_loading_pu,max_voltage_deviation_pu,num_total_outaged_branches,final_converged,basic_LLR,basic_LFOR,basic_NVOR,basic_CRI
1,1,4,load_loss_threshold,1940.206,0.310223001072874,1.3001732065106,0.0399949597321373,7,1,0.310223001072874,0.557430888658312,0.199974798660686,0.337614938107524
1,2,3,load_loss_threshold,2955.459,0.472553615712886,1.3123367738329,0.0394841681069091,7,0,1,1,1,1
1,3,4,load_loss_threshold,3785.6164,0.605288964428875,1.8913931617397,0.263959612457574,13,1,0.605288964428875,4.91894870103296,3.69543457440603,2.08605003374512
1,4,3,load_loss_threshold,2582.6,0.412936524560178,1.30070251863941,0,6,1,0.412936524560178,0.0527425994526927,0,0.258310434626645
1,5,5,max_depth_reached,4527.967,0.723984727136674,1.35676122303537,0.038463878438842,13,0,1,1,1,1
1,6,4,load_loss_threshold,2479.459,0.396445125938765,1.3001732065106,0.045462377493859,7,1,0.396445125938765,0.239555952333494,0.500086152432448,0.385795496516447
1,7,4,load_loss_threshold,3176.14,0.507838694771379,1.96737921779696,0.192682338253775,7,1,0.507838694771379,6.77165452457875,1.92682338253775,2.04439879828613
1,8,4,load_loss_threshold,2485.43,0.397399839788431,1.3001732065106,0.0405361792741652,8,1,0.397399839788431,0.222542846071459,0.243217075644991,0.331591888216349
1,9,4,load_loss_threshold,3053.63155,0.488250599993924,1.30123032378136,0.0510373016692557,7,0,1,1,1,1
1,10,4,load_loss_threshold,1940.206,0.310223001072874,1.3001732065106,0.0399949597321373,7,1,0.310223001072874,0.557430888658312,0.199974798660686,0.337614938107524
2,1,1,no_new_outage,0,0,0.955033810314675,0,1,1,0,0,0,0
2,2,1,no_new_outage,0,0,0.955033810314675,0,1,1,0,0,0,0
2,3,4,load_loss_threshold,3176.14,0.507838694771379,1.96737921779696,0.192682338253775,7,1,0.507838694771379,6.77165452457875,1.92682338253775,2.04439879828613
2,4,5,max_depth_reached,4527.967,0.723984727136674,1.35676122303537,0.038463878438842,13,0,1,1,1,1
2,5,5,max_depth_reached,4527.967,0.723984727136674,1.48153850232828,0.0486841662341547,14,0,1,1,1,1
2,6,5,max_depth_reached,4527.967,0.723984727136674,1.35676122303537,0.038463878438842,13,0,1,1,1,1
2,7,2,no_new_outage,0,0,0.955033810314675,0,2,1,0,0,0,0
2,8,5,max_depth_reached,5211.04,0.833202488555745,1.35676122303537,0.038463878438842,15,1,0.833202488555745,0,0,0.499921493133447
2,9,1,no_new_outage,0,0,0.955033810314675,0,1,1,0,0,0,0
2,10,3,load_loss_threshold,3961.355,0.633388122918409,1.41155012916049,0.122778869535414,10,1,0.633388122918409,0.523545886158283,0.736673217212483,0.632076694425198
3,1,1,no_new_outage,0,0,0.80295157398254,0,1,1,0,0,0,0
3,2,1,no_new_outage,0,0,0.80295157398254,0,1,1,0,0,0,0
3,3,1,no_new_outage,0,0,0.80295157398254,0,1,1,0,0,0,0
3,4,1,no_new_outage,0,0,0.80295157398254,0,1,1,0,0,0,0
3,5,1,no_new_outage,0,0,0.80295157398254,0,1,1,0,0,0,0
3,6,1,no_new_outage,0,0,0.80295157398254,0,1,1,0,0,0,0
3,7,1,no_new_outage,0,0,0.80295157398254,0,1,1,0,0,0,0
3,8,1,no_new_outage,0,0,0.80295157398254,0,1,1,0,0,0,0
3,9,1,no_new_outage,0,0,0.80295157398254,0,1,1,0,0,0,0
3,10,4,load_loss_threshold,1961.5825,0.313640927820051,1.92041524219984,0.122532424711686,7,1,0.313640927820051,6.4429066953989,1.22532424711686,1.72183074519518
4,1,1,no_new_outage,0,0,0.791869196582766,0,1,1,0,0,0,0
4,2,1,no_new_outage,0,0,0.791869196582766,0,1,1,0,0,0,0
4,3,1,no_new_outage,0,0,0.791869196582766,0,1,1,0,0,0,0
4,4,1,no_new_outage,0,0,0.791869196582766,0,1,1,0,0,0,0
4,5,1,no_new_outage,0,0,0.791869196582766,0,1,1,0,0,0,0
4,6,2,no_new_outage,0,0,0.797301483921638,0,2,1,0,0,0,0
4,7,1,no_new_outage,0,0,0.791869196582766,0,1,1,0,0,0,0
4,8,1,no_new_outage,0,0,0.791869196582766,0,1,1,0,0,0,0
4,9,1,no_new_outage,0,0,0.791869196582766,0,1,1,0,0,0,0
4,10,1,no_new_outage,0,0,0.791869196582766,0,1,1,0,0,0,0
5,1,1,no_new_outage,0,0,0.831927425426279,0,1,1,0,0,0,0
5,2,1,no_new_outage,0,0,0.831927425426279,0,1,1,0,0,0,0
5,3,1,no_new_outage,0,0,0.831927425426279,0,1,1,0,0,0,0
5,4,4,load_loss_threshold,2659.1,0.425168246131019,1.41461203377617,0.0359224143578951,9,1,0.425168246131019,0.639495997333058,0,0.383000147145223
5,5,5,max_depth_reached,4613.305,0.737629572305464,1.55899064392593,0.127456194457808,18,1,0.737629572305464,0,0.50982477783123,0.544542698949524
5,6,5,max_depth_reached,1025.53,0.163973822516921,1.43142341211385,0.0709557181170506,10,1,0.163973822516921,0.529974785727187,0.141911436234101,0.23276153790241
5,7,1,no_new_outage,0,0,0.831927425426279,0,1,1,0,0,0,0
5,8,1,no_new_outage,0,0,0.831927425426279,0,1,1,0,0,0,0
5,9,1,no_new_outage,0,0,0.831927425426279,0,1,1,0,0,0,0
5,10,4,load_loss_threshold,3758.89,0.601015632619843,1.68084827759677,0.165949872745366,16,1,0.601015632619843,0.525866062490974,0.0968193757477733,0.485146467219655
6,1,2,no_new_outage,680,0.10872641396303,0.917323814352811,0,2,1,0.10872641396303,0,0,0.0652358483778179
6,2,5,max_depth_reached,2277.95,0.364225492186888,1.66431189848798,0.0954326847603034,11,0,1,1,1,1
6,3,1,no_new_outage,0,0,0.789596400817363,0,1,1,0,0,0,0
6,4,1,no_new_outage,0,0,0.789596400817363,0,1,1,0,0,0,0
6,5,1,no_new_outage,0,0,0.789596400817363,0,1,1,0,0,0,0
6,6,1,no_new_outage,0,0,0.789596400817363,0,1,1,0,0,0,0
6,7,4,load_loss_threshold,4174.78,0.667513027183202,1.252684813978,0.154793512908789,8,1,0.667513027183202,0,0,0.400507816309921
6,8,1,no_new_outage,0,0,0.789596400817363,0,1,1,0,0,0,0
6,9,1,no_new_outage,0,0,0.789596400817363,0,1,1,0,0,0,0
6,10,1,no_new_outage,0,0,0.789596400817363,0,1,1,0,0,0,0
7,1,1,no_new_outage,0,0,0.790734340571356,0,1,1,0,0,0,0
7,2,1,no_new_outage,0,0,0.790734340571356,0,1,1,0,0,0,0
7,3,1,no_new_outage,0,0,0.790734340571356,0,1,1,0,0,0,0
7,4,1,no_new_outage,0,0,0.790734340571356,0,1,1,0,0,0,0
7,5,1,no_new_outage,0,0,0.790734340571356,0,1,1,0,0,0,0
7,6,1,no_new_outage,0,0,0.790734340571356,0,1,1,0,0,0,0
7,7,1,no_new_outage,0,0,0.790734340571356,0,1,1,0,0,0,0
7,8,1,no_new_outage,0,0,0.790734340571356,0,1,1,0,0,0,0
7,9,2,no_new_outage,0,0,0.849644408950869,0,2,1,0,0,0,0
7,10,1,no_new_outage,0,0,0.790734340571356,0,1,1,0,0,0,0
8,1,4,load_loss_threshold,2547.36705,0.407303065285415,1.08645285191311,0.0471127882530263,6,0,1,1,1,1
8,2,4,load_loss_threshold,4580.4865,0.732382163751573,1.67694487613538,0.175966511253034,12,1,0.732382163751573,0.335467087430141,0.527899533759103,0.612102622488793
8,3,4,load_loss_threshold,2547.36705,0.407303065285415,1.08435416811729,0.05535762994973,7,0,1,1,1,1
8,4,1,no_new_outage,0,0,0.951410317781808,0,1,1,0,0,0,0
8,5,4,load_loss_threshold,4432.0635,0.708650545310933,1.08645285191311,0.0471127882530263,8,0,1,1,1,1
8,6,4,load_loss_threshold,5106.535,0.816492997539265,1.7145058062565,0.0787015826609857,15,1,0.816492997539265,0,0,0.489895798523559
8,7,3,load_loss_threshold,2195.26,0.351004040465413,1.7145493319516,0.0810800772999779,11,1,0.351004040465413,5.71639465561279,0.648640618399823,1.48360947908177
8,8,1,no_new_outage,0,0,0.951410317781808,0,1,1,0,0,0,0
8,9,3,load_loss_threshold,2195.26,0.351004040465413,1.71169164427018,0.0733799702469466,6,1,0.351004040465413,5.69353315416144,0.587039761975573,1.46671700750665
8,10,4,load_loss_threshold,5106.535,0.816492997539265,1.7145058062565,0.0787015826609857,16,1,0.816492997539265,0,0,0.489895798523559
9,1,1,no_new_outage,0,0,0.882543862252867,0,1,1,0,0,0,0
9,2,1,no_new_outage,0,0,0.882543862252867,0,1,1,0,0,0,0
9,3,1,no_new_outage,0,0,0.882543862252867,0,1,1,0,0,0,0
9,4,1,no_new_outage,0,0,0.882543862252867,0,1,1,0,0,0,0
9,5,1,no_new_outage,0,0,0.882543862252867,0,1,1,0,0,0,0
9,6,1,no_new_outage,0,0,0.882543862252867,0,1,1,0,0,0,0
9,7,1,no_new_outage,0,0,0.882543862252867,0,1,1,0,0,0,0
9,8,1,no_new_outage,0,0,0.882543862252867,0,1,1,0,0,0,0
9,9,1,no_new_outage,0,0,0.882543862252867,0,1,1,0,0,0,0
9,10,2,no_new_outage,0,0,0.92524202433192,0,3,1,0,0,0,0
