initial_branch,paper_table4_1_value,P_initial_line_actual,unit_convention,matched_in_formal_pilot,formal_pilot_sample_count,mapping_status,note
1,4.38,0.000438,paper table value times 1e-4,1,280,matched,actual probability = paper_table4_1_value * 1e-4
2,5.82,0.000582,paper table value times 1e-4,1,280,matched,actual probability = paper_table4_1_value * 1e-4
3,3.78,0.000378,paper table value times 1e-4,1,280,matched,actual probability = paper_table4_1_value * 1e-4
4,4.45,0.000445,paper table value times 1e-4,1,280,matched,actual probability = paper_table4_1_value * 1e-4
5,4.77,0.000477,paper table value times 1e-4,1,280,matched,actual probability = paper_table4_1_value * 1e-4
6,5.48,0.000548,paper table value times 1e-4,1,280,matched,actual probability = paper_table4_1_value * 1e-4
7,4.34,0.000434,paper table value times 1e-4,1,280,matched,actual probability = paper_table4_1_value * 1e-4
8,0.34,3.4e-05,paper table value times 1e-4,1,280,matched,actual probability = paper_table4_1_value * 1e-4
9,6.16,0.000616,paper table value times 1e-4,1,280,matched,actual probability = paper_table4_1_value * 1e-4
10,5.82,0.000582,paper table value times 1e-4,1,280,matched,actual probability = paper_table4_1_value * 1e-4
11,5.65,0.000565,paper table value times 1e-4,1,280,matched,actual probability = paper_table4_1_value * 1e-4
12,2.63,0.000263,paper table value times 1e-4,1,280,matched,actual probability = paper_table4_1_value * 1e-4
13,5.02,0.000502,paper table value times 1e-4,1,280,matched,actual probability = paper_table4_1_value * 1e-4
14,3.77,0.000377,paper table value times 1e-4,1,280,matched,actual probability = paper_table4_1_value * 1e-4
15,0.23,2.3e-05,paper table value times 1e-4,1,280,matched,actual probability = paper_table4_1_value * 1e-4
16,0.23,2.3e-05,paper table value times 1e-4,1,280,matched,actual probability = paper_table4_1_value * 1e-4
17,6.85,0.000685,paper table value times 1e-4,1,280,matched,actual probability = paper_table4_1_value * 1e-4
18,2.23,0.000223,paper table value times 1e-4,1,280,matched,actual probability = paper_table4_1_value * 1e-4
19,6.85,0.000685,paper table value times 1e-4,1,280,matched,actual probability = paper_table4_1_value * 1e-4
20,5.53,0.000553,paper table value times 1e-4,1,280,matched,actual probability = paper_table4_1_value * 1e-4
21,4.27,0.000427,paper table value times 1e-4,1,280,matched,actual probability = paper_table4_1_value * 1e-4
22,4.14,0.000414,paper table value times 1e-4,1,280,matched,actual probability = paper_table4_1_value * 1e-4
23,4.34,0.000434,paper table value times 1e-4,1,280,matched,actual probability = paper_table4_1_value * 1e-4
24,3.77,0.000377,paper table value times 1e-4,1,280,matched,actual probability = paper_table4_1_value * 1e-4
25,4.68,0.000468,paper table value times 1e-4,1,280,matched,actual probability = paper_table4_1_value * 1e-4
26,3.06,0.000306,paper table value times 1e-4,1,280,matched,actual probability = paper_table4_1_value * 1e-4
27,0.11,1.1e-05,paper table value times 1e-4,1,280,matched,actual probability = paper_table4_1_value * 1e-4
28,4.73,0.000473,paper table value times 1e-4,1,280,matched,actual probability = paper_table4_1_value * 1e-4
29,6,0.0006,paper table value times 1e-4,1,280,matched,actual probability = paper_table4_1_value * 1e-4
30,6.5,0.00065,paper table value times 1e-4,1,280,matched,actual probability = paper_table4_1_value * 1e-4
31,5.82,0.000582,paper table value times 1e-4,1,280,matched,actual probability = paper_table4_1_value * 1e-4
32,5.15,0.000515,paper table value times 1e-4,1,280,matched,actual probability = paper_table4_1_value * 1e-4
33,0.25,2.5e-05,paper table value times 1e-4,1,280,matched,actual probability = paper_table4_1_value * 1e-4
34,0.25,2.5e-05,paper table value times 1e-4,1,280,matched,actual probability = paper_table4_1_value * 1e-4
35,5.14,0.000514,paper table value times 1e-4,1,280,matched,actual probability = paper_table4_1_value * 1e-4
36,5.82,0.000582,paper table value times 1e-4,1,280,matched,actual probability = paper_table4_1_value * 1e-4
37,5.02,0.000502,paper table value times 1e-4,1,280,matched,actual probability = paper_table4_1_value * 1e-4
38,3.77,0.000377,paper table value times 1e-4,1,280,matched,actual probability = paper_table4_1_value * 1e-4
39,4.45,0.000445,paper table value times 1e-4,1,280,matched,actual probability = paper_table4_1_value * 1e-4
40,4.9,0.00049,paper table value times 1e-4,1,280,matched,actual probability = paper_table4_1_value * 1e-4
41,4.57,0.000457,paper table value times 1e-4,1,280,matched,actual probability = paper_table4_1_value * 1e-4
42,6.03,0.000603,paper table value times 1e-4,1,280,matched,actual probability = paper_table4_1_value * 1e-4
43,4.77,0.000477,paper table value times 1e-4,1,280,matched,actual probability = paper_table4_1_value * 1e-4
44,0.25,2.5e-05,paper table value times 1e-4,1,280,matched,actual probability = paper_table4_1_value * 1e-4
45,4.52,0.000452,paper table value times 1e-4,1,280,matched,actual probability = paper_table4_1_value * 1e-4
46,4.14,0.000414,paper table value times 1e-4,1,280,matched,actual probability = paper_table4_1_value * 1e-4
