initial_branch,trial_id,chain_depth,terminated_reason,total_load_shed_mw,total_load_shed_frac,max_line_loading_pu,max_voltage_deviation_pu,num_total_outaged_branches,final_converged,basic_LLR,basic_LFOR,basic_NVOR,basic_CRI
1,1,4,load_loss_threshold,1940.206,0.310223001072874,1.37512338462173,0.0552198774057483,8,1,0.310223001072874,0.740359721813159,0.386539141840238,0.411513573374404
1,2,4,load_loss_threshold,2479.459,0.396445125938765,1.37512338462173,0.181210683329685,10,1,0.396445125938765,0.25676730972783,2.3557388832859,0.760368314166006
1,3,4,load_loss_threshold,3176.14,0.507838694771379,1.97306270901245,0.19368612163552,11,1,0.507838694771379,6.81143896308714,1.9368612163552,2.0543632527513
1,4,4,load_loss_threshold,3176.14,0.507838694771379,1.97306270901245,0.19368612163552,10,1,0.507838694771379,6.81143896308714,1.9368612163552,2.0543632527513
1,5,4,load_loss_threshold,3176.14,0.507838694771379,1.97306270901245,0.19368612163552,11,1,0.507838694771379,6.81143896308714,1.9368612163552,2.0543632527513
1,6,4,load_loss_threshold,3176.14,0.507838694771379,1.97306270901245,0.19368612163552,11,1,0.507838694771379,6.81143896308714,1.9368612163552,2.0543632527513
1,7,4,load_loss_threshold,3176.14,0.507838694771379,1.97306270901245,0.19368612163552,10,1,0.507838694771379,6.81143896308714,1.9368612163552,2.0543632527513
1,8,4,load_loss_threshold,3518.15,0.562523284241226,2.18336298818094,0.12443810247381,11,1,0.562523284241226,8.28354091726659,1.36881912721191,2.26798597944044
1,9,4,load_loss_threshold,3176.14,0.507838694771379,1.97306270901245,0.19368612163552,10,1,0.507838694771379,6.81143896308714,1.9368612163552,2.0543632527513
1,10,4,load_loss_threshold,2479.459,0.396445125938765,1.37512338462173,0.0786698518060757,9,1,0.396445125938765,0.246219169257285,0.865368369866832,0.460184583388082
2,1,4,load_loss_threshold,3176.14,0.507838694771379,1.97306270901245,0.19368612163552,7,1,0.507838694771379,6.81143896308714,1.9368612163552,2.0543632527513
2,2,4,load_loss_threshold,3176.14,0.507838694771379,1.97306270901245,0.19368612163552,8,1,0.507838694771379,6.81143896308714,1.9368612163552,2.0543632527513
2,3,4,load_loss_threshold,2547.779,0.407368932706344,1.24390041152574,0.0712472939537433,7,1,0.407368932706344,0.243900411525741,0.783720233491176,0.44994548862719
2,4,4,load_loss_threshold,2018.286,0.322707351664394,1.21934353834184,0.0552198774057483,7,1,0.322707351664394,0.740359721813159,0.386539141840238,0.419004183729316
2,5,4,load_loss_threshold,3176.14,0.507838694771379,1.97306270901245,0.19368612163552,8,1,0.507838694771379,6.81143896308714,1.9368612163552,2.0543632527513
2,6,4,load_loss_threshold,3176.14,0.507838694771379,1.97306270901245,0.19368612163552,8,1,0.507838694771379,6.81143896308714,1.9368612163552,2.0543632527513
2,7,4,load_loss_threshold,2018.286,0.322707351664394,1.21934353834184,0.0544516893120173,9,1,0.322707351664394,0.731109097660976,0.381161825184121,0.416078595567656
2,8,4,load_loss_threshold,3176.14,0.507838694771379,1.97306270901245,0.19368612163552,7,1,0.507838694771379,6.81143896308714,1.9368612163552,2.0543632527513
2,9,4,load_loss_threshold,3176.14,0.507838694771379,1.97306270901245,0.19368612163552,7,1,0.507838694771379,6.81143896308714,1.9368612163552,2.0543632527513
2,10,5,max_depth_reached,4527.967,0.723984727136674,1.40002678971776,0.102337269759199,15,0,1,1,1,1
3,1,1,no_new_outage,0,0,0.799249064005286,0,1,1,0,0,0,0
3,2,1,no_new_outage,0,0,0.799249064005286,0,1,1,0,0,0,0
3,3,1,no_new_outage,0,0,0.799249064005286,0,1,1,0,0,0,0
3,4,1,no_new_outage,0,0,0.799249064005286,0,1,1,0,0,0,0
3,5,1,no_new_outage,0,0,0.799249064005286,0,1,1,0,0,0,0
3,6,1,no_new_outage,0,0,0.799249064005286,0,1,1,0,0,0,0
3,7,1,no_new_outage,0,0,0.799249064005286,0,1,1,0,0,0,0
3,8,1,no_new_outage,0,0,0.799249064005286,0,1,1,0,0,0,0
3,9,1,no_new_outage,0,0,0.799249064005286,0,1,1,0,0,0,0
3,10,1,no_new_outage,0,0,0.799249064005286,0,1,1,0,0,0,0
4,1,1,no_new_outage,0,0,0.786854558148106,0,1,1,0,0,0,0
4,2,1,no_new_outage,0,0,0.786854558148106,0,1,1,0,0,0,0
4,3,1,no_new_outage,0,0,0.786854558148106,0,1,1,0,0,0,0
4,4,1,no_new_outage,0,0,0.786854558148106,0,1,1,0,0,0,0
4,5,1,no_new_outage,0,0,0.786854558148106,0,1,1,0,0,0,0
4,6,1,no_new_outage,0,0,0.786854558148106,0,1,1,0,0,0,0
4,7,1,no_new_outage,0,0,0.786854558148106,0,1,1,0,0,0,0
4,8,1,no_new_outage,0,0,0.786854558148106,0,1,1,0,0,0,0
4,9,1,no_new_outage,0,0,0.786854558148106,0,1,1,0,0,0,0
4,10,1,no_new_outage,0,0,0.786854558148106,0,1,1,0,0,0,0
5,1,5,max_depth_reached,4497.086,0.719047108916685,2.09074685677965,0.254445774103179,12,1,0.719047108916685,0.22232655391021,0,0.475893576132053
5,2,4,load_loss_threshold,4173.85415,0.667364991373838,1.11535727882244,0.111120306121668,10,0,1,1,1,1
5,3,5,max_depth_reached,3573.34105,0.571347879754982,2.33015011021239,0.121977988122069,8,1,0.571347879754982,6.65075055106194,2.19560378619724,2.11207959530483
5,4,4,load_loss_threshold,2157.7145,0.345000823442694,1.25894090161149,0,5,1,0.345000823442694,1.81258631128046,0,0.569517756321709
5,5,4,load_loss_threshold,2041.8325,0.326472243585541,1.88521451265772,0.215210087073335,8,1,0.326472243585541,4.42607256328862,1.93689078366002,1.46847601554105
5,6,4,load_loss_threshold,3860.16,0.617207873711072,1.67712890364981,0.144346029485717,8,1,0.617207873711072,2.70851561459922,0.721730147428583,1.0563738766322
5,7,5,max_depth_reached,2139.17485,0.342036485706474,1.29045597140464,0.014070772853266,7,1,0.342036485706474,2.03319179983248,0.0703538642663298,0.625931024243646
5,8,4,load_loss_threshold,2157.7145,0.345000823442694,1.25894090161149,0,5,1,0.345000823442694,1.81258631128046,0,0.569517756321709
5,9,1,no_new_outage,0,0,0.991875758107559,0,1,1,0,0,0,0
5,10,4,load_loss_threshold,2488.243,0.397849615380311,2.15555810552942,0.0854936790655287,7,1,0.397849615380311,6.93334863317654,1.11141782785187,1.84766306143387
6,1,1,no_new_outage,0,0,0.78555276185392,0,1,1,0,0,0,0
6,2,1,no_new_outage,0,0,0.78555276185392,0,1,1,0,0,0,0
6,3,1,no_new_outage,0,0,0.78555276185392,0,1,1,0,0,0,0
6,4,1,no_new_outage,0,0,0.78555276185392,0,1,1,0,0,0,0
6,5,1,no_new_outage,0,0,0.78555276185392,0,1,1,0,0,0,0
6,6,1,no_new_outage,0,0,0.78555276185392,0,1,1,0,0,0,0
6,7,1,no_new_outage,0,0,0.78555276185392,0,1,1,0,0,0,0
6,8,1,no_new_outage,0,0,0.78555276185392,0,1,1,0,0,0,0
6,9,1,no_new_outage,0,0,0.78555276185392,0,1,1,0,0,0,0
6,10,1,no_new_outage,0,0,0.78555276185392,0,1,1,0,0,0,0
7,1,1,no_new_outage,0,0,0.786442237196646,0,1,1,0,0,0,0
7,2,1,no_new_outage,0,0,0.786442237196646,0,1,1,0,0,0,0
7,3,1,no_new_outage,0,0,0.786442237196646,0,1,1,0,0,0,0
7,4,1,no_new_outage,0,0,0.786442237196646,0,1,1,0,0,0,0
7,5,1,no_new_outage,0,0,0.786442237196646,0,1,1,0,0,0,0
7,6,1,no_new_outage,0,0,0.786442237196646,0,1,1,0,0,0,0
7,7,1,no_new_outage,0,0,0.786442237196646,0,1,1,0,0,0,0
7,8,1,no_new_outage,0,0,0.786442237196646,0,1,1,0,0,0,0
7,9,1,no_new_outage,0,0,0.786442237196646,0,1,1,0,0,0,0
7,10,1,no_new_outage,0,0,0.786442237196646,0,1,1,0,0,0,0
8,1,4,load_loss_threshold,5112.71,0.817480329313121,1.85113943957611,0.093236480677734,17,1,0.817480329313121,0,0,0.490488197587872
8,2,4,load_loss_threshold,3334.13,0.533099997921407,1.83713684041764,0.0146551529724319,13,1,0.533099997921407,2.14925736295111,0.00407247372226427,0.750525966087519
8,3,4,load_loss_threshold,5112.71,0.817480329313121,1.85113943957611,0.093236480677734,17,1,0.817480329313121,0,0,0.490488197587872
8,4,4,load_loss_threshold,5112.71,0.817480329313121,1.85113943957611,0.093236480677734,17,1,0.817480329313121,0,0,0.490488197587872
8,5,4,load_loss_threshold,5112.71,0.817480329313121,1.85113943957611,0.093236480677734,18,1,0.817480329313121,0,0,0.490488197587872
8,6,4,load_loss_threshold,5112.71,0.817480329313121,1.85113943957611,0.093236480677734,17,1,0.817480329313121,0,0,0.490488197587872
8,7,4,load_loss_threshold,5112.71,0.817480329313121,1.85113943957611,0.093236480677734,18,1,0.817480329313121,0,0,0.490488197587872
8,8,4,load_loss_threshold,3334.13,0.533099997921407,1.83713684041764,0.0146551529724319,13,1,0.533099997921407,2.14925736295111,0.00407247372226427,0.750525966087519
8,9,4,load_loss_threshold,3334.13,0.533099997921407,1.83713684041764,0.0146551529724319,13,1,0.533099997921407,2.14925736295111,0.00407247372226427,0.750525966087519
8,10,4,load_loss_threshold,3334.13,0.533099997921407,1.83713684041764,0.0146551529724319,14,1,0.533099997921407,2.14925736295111,0.00407247372226427,0.750525966087519
9,1,1,no_new_outage,0,0,0.795405726340501,0,1,1,0,0,0,0
9,2,1,no_new_outage,0,0,0.795405726340501,0,1,1,0,0,0,0
9,3,1,no_new_outage,0,0,0.795405726340501,0,1,1,0,0,0,0
9,4,1,no_new_outage,0,0,0.795405726340501,0,1,1,0,0,0,0
9,5,1,no_new_outage,0,0,0.795405726340501,0,1,1,0,0,0,0
9,6,1,no_new_outage,0,0,0.795405726340501,0,1,1,0,0,0,0
9,7,1,no_new_outage,0,0,0.795405726340501,0,1,1,0,0,0,0
9,8,1,no_new_outage,0,0,0.795405726340501,0,1,1,0,0,0,0
9,9,1,no_new_outage,0,0,0.795405726340501,0,1,1,0,0,0,0
9,10,1,no_new_outage,0,0,0.795405726340501,0,1,1,0,0,0,0
10,1,4,load_loss_threshold,4654.9295,0.744284987920176,1.8885691660265,0.170507147112228,11,0,1,1,1,1
10,2,4,load_loss_threshold,4464.5295,0.713841592010527,1.8885691660265,0.170507147112228,10,0,1,1,1,1
10,3,4,load_loss_threshold,4654.9295,0.744284987920176,1.8885691660265,0.170507147112228,11,0,1,1,1,1
10,4,3,load_loss_threshold,1888.68,0.30198441694661,2.00442057419426,0.157634855959908,7,0,1,1,1,1
10,5,3,load_loss_threshold,1888.68,0.30198441694661,1.8885691660265,0.0877088639112126,7,0,1,1,1,1
10,6,4,load_loss_threshold,4654.9295,0.744284987920176,1.8885691660265,0.170507147112228,11,0,1,1,1,1
10,7,4,load_loss_threshold,5052.63,0.807874030855917,1.67740934640405,0.228665615574869,15,1,0.807874030855917,0,0,0.48472441851355
10,8,4,load_loss_threshold,4654.9295,0.744284987920176,1.8885691660265,0.170507147112228,11,0,1,1,1,1
10,9,4,load_loss_threshold,4464.5295,0.713841592010527,1.8885691660265,0.170507147112228,10,0,1,1,1,1
10,10,3,load_loss_threshold,1888.68,0.30198441694661,1.8885691660265,0.0877088639112126,7,0,1,1,1,1
11,1,3,load_loss_threshold,3546.4825,0.567053418246531,1.47673586005594,0.154793512908783,4,1,0.567053418246531,0.806994206620989,0,0.501630892272116
11,2,3,load_loss_threshold,3546.4825,0.567053418246531,1.47673586005594,0.154793512908783,4,1,0.567053418246531,0.806994206620989,0,0.501630892272116
11,3,3,load_loss_threshold,3546.4825,0.567053418246531,1.47673586005594,0.154793512908783,4,1,0.567053418246531,0.806994206620989,0,0.501630892272116
11,4,3,load_loss_threshold,3546.4825,0.567053418246531,1.47673586005594,0.154793512908783,4,1,0.567053418246531,0.806994206620989,0,0.501630892272116
11,5,3,load_loss_threshold,3546.4825,0.567053418246531,1.47673586005594,0.154793512908783,4,1,0.567053418246531,0.806994206620989,0,0.501630892272116
11,6,3,load_loss_threshold,3546.4825,0.567053418246531,1.47673586005594,0.154793512908783,4,1,0.567053418246531,0.806994206620989,0,0.501630892272116
11,7,3,load_loss_threshold,3546.4825,0.567053418246531,1.47673586005594,0.154793512908783,4,1,0.567053418246531,0.806994206620989,0,0.501630892272116
11,8,3,load_loss_threshold,3546.4825,0.567053418246531,1.47673586005594,0.154793512908783,5,1,0.567053418246531,0.854172314104732,0,0.511066513768865
11,9,3,load_loss_threshold,3546.4825,0.567053418246531,1.47673586005594,0.154793512908783,5,1,0.567053418246531,1.30209808791865,0,0.600651668531648
11,10,3,load_loss_threshold,3546.4825,0.567053418246531,1.47673586005594,0.154793512908783,4,1,0.567053418246531,0.806994206620989,0,0.501630892272116
12,1,3,load_loss_threshold,3546.4825,0.567053418246531,1.47615918931564,0.154793512908791,5,1,0.567053418246531,1.27835342132867,0,0.595902735213653
12,2,3,load_loss_threshold,3546.4825,0.567053418246531,1.47615918931564,0.154793512908791,5,1,0.567053418246531,1.27835342132867,0,0.595902735213653
12,3,3,load_loss_threshold,3546.4825,0.567053418246531,1.47615918931564,0.154793512908791,5,1,0.567053418246531,1.27835342132867,0,0.595902735213653
12,4,3,load_loss_threshold,3546.4825,0.567053418246531,1.47615918931564,0.154793512908791,5,1,0.567053418246531,1.27835342132867,0,0.595902735213653
12,5,3,load_loss_threshold,3546.4825,0.567053418246531,1.47615918931564,0.154793512908791,5,1,0.567053418246531,1.27835342132867,0,0.595902735213653
12,6,3,load_loss_threshold,3546.4825,0.567053418246531,1.61961306079527,0.154793512908791,6,1,0.567053418246531,3.71767836477159,0,1.08376772390224
12,7,3,load_loss_threshold,3546.4825,0.567053418246531,1.47615918931564,0.154793512908791,5,1,0.567053418246531,1.27835342132867,0,0.595902735213653
12,8,3,load_loss_threshold,3546.4825,0.567053418246531,1.47615918931564,0.154793512908791,5,1,0.567053418246531,1.27835342132867,0,0.595902735213653
12,9,3,load_loss_threshold,3546.4825,0.567053418246531,1.47615918931564,0.154793512908791,5,1,0.567053418246531,1.27835342132867,0,0.595902735213653
12,10,3,load_loss_threshold,3546.4825,0.567053418246531,1.47615918931564,0.154793512908791,5,1,0.567053418246531,1.27835342132867,0,0.595902735213653
13,1,5,max_depth_reached,2031.29,0.324786584439651,1.72222795136759,0.199992902465965,7,1,0.324786584439651,2.88891180547038,1.9905595359581,1.17076621894949
13,2,5,max_depth_reached,2253.55,0.360324132627038,1.49811534066247,0.199992902465965,7,1,0.360324132627038,1.46254801926339,1.5761768457591,0.823939452580719
13,3,5,max_depth_reached,2031.29,0.324786584439651,1.72222795136759,0.199992902465965,7,1,0.324786584439651,2.88891180547038,1.9905595359581,1.17076621894949
13,4,5,max_depth_reached,2031.29,0.324786584439651,1.72222795136759,0.199992902465965,7,1,0.324786584439651,2.88891180547038,1.9905595359581,1.17076621894949
13,5,5,max_depth_reached,2031.29,0.324786584439651,1.72222795136759,0.199992902465965,6,1,0.324786584439651,2.88891180547038,1.9905595359581,1.17076621894949
13,6,5,max_depth_reached,2031.29,0.324786584439651,1.72222795136759,0.199992902465965,6,1,0.324786584439651,2.88891180547038,1.9905595359581,1.17076621894949
13,7,1,no_new_outage,0,0,0.971730427619229,0,1,1,0,0,0,0
