initial_branch,trial_id,chain_depth,terminated_reason,total_load_shed_mw,total_load_shed_frac,max_line_loading_pu,max_voltage_deviation_pu,num_total_outaged_branches,final_converged,basic_LLR,basic_LFOR,basic_NVOR,basic_CRI,chain_transition_probability,chain_probability_status,stage_probability_mode,valid_stage_probability_count,missing_stage_probability_count,initial_line_probability,total_chain_probability_actual,total_chain_probability_display
1,1,4,load_loss_threshold,1940.206,0.310223001072874,1.37512338462173,0.0552198774057483,8,1,0.310223001072874,0.740359721813159,0.386539141840238,0.411513573374404,0.00278982858577324,full_event_available,bernoulli_full_event,4,0,0.000438,1.22194492056868e-06,0.0122194492056868
1,2,3,load_loss_threshold,2955.459,0.472553615712886,1.38489425593584,0.081711789010238,8,0,1,1,1,1,0.00322088813688217,full_event_available,bernoulli_full_event,3,0,0.000438,1.41074900395439e-06,0.0141074900395439
1,3,4,load_loss_threshold,3785.6164,0.605288964428875,1.95185714191608,0.27339164781904,14,1,0.605288964428875,5.12891239473512,3.82748306946656,2.15445247149766,1.63900908118553e-05,full_event_available,bernoulli_full_event,4,0,0.000438,7.17885977559264e-09,7.17885977559264e-05
1,4,3,load_loss_threshold,2582.6,0.412936524560178,2.02959655909119,0,8,1,0.412936524560178,4.11838623636475,0,1.07143916200906,0.0035673881387573,full_event_available,bernoulli_full_event,3,0,0.000438,1.5625160047757e-06,0.015625160047757
1,5,4,load_loss_threshold,3176.14,0.507838694771379,1.97306270901245,0.19368612163552,10,1,0.507838694771379,6.81143896308714,1.9368612163552,2.0543632527513,0.0696584805968252,full_event_available,bernoulli_full_event,4,0,0.000438,3.05104145014094e-05,0.305104145014094
1,6,4,load_loss_threshold,2479.459,0.396445125938765,1.37512338462173,0.162638151291874,9,1,0.396445125938765,0.250166348460715,1.95165781550249,0.678231908355899,0.00932967857939867,full_event_available,bernoulli_full_event,4,0,0.000438,4.08639921777662e-06,0.0408639921777662
1,7,4,load_loss_threshold,2018.286,0.322707351664394,1.37471211364691,0.0544516893120173,10,1,0.322707351664394,0.731109097660976,0.381161825184121,0.416078595567656,0.000220248860611504,full_event_available,bernoulli_full_event,4,0,0.000438,9.64690009478387e-08,0.000964690009478387
1,8,4,load_loss_threshold,3285.3361,0.525298254141597,1.51622745473175,0.133012826456735,8,0,1,1,1,1,0.00257694381604083,full_event_available,bernoulli_full_event,4,0,0.000438,1.12870139142588e-06,0.0112870139142588
1,9,4,load_loss_threshold,3461.135,0.553407054105781,1.7355579887945,0.28286045358311,12,1,0.553407054105781,5.14890592156151,2.26288362866488,1.81440214250875,0.000552255496175065,full_event_available,bernoulli_full_event,4,0,0.000438,2.41887907324678e-07,0.00241887907324678
1,10,4,load_loss_threshold,2479.459,0.396445125938765,1.37512338462173,0.181210683329685,10,1,0.396445125938765,0.25676730972783,2.3557388832859,0.760368314166006,0.0469397082713992,full_event_available,bernoulli_full_event,4,0,0.000438,2.05595922228728e-05,0.205595922228728
2,1,4,load_loss_threshold,3176.14,0.507838694771379,1.97306270901245,0.19368612163552,7,1,0.507838694771379,6.81143896308714,1.9368612163552,2.0543632527513,0.0622525023065129,full_event_available,bernoulli_full_event,4,0,0.000582,3.62309563423905e-05,0.362309563423905
2,2,4,load_loss_threshold,3176.14,0.507838694771379,1.97306270901245,0.19368612163552,10,1,0.507838694771379,6.81143896308714,1.9368612163552,2.0543632527513,0.0148266508588449,full_event_available,bernoulli_full_event,4,0,0.000582,8.62911079984772e-06,0.0862911079984772
2,3,4,load_loss_threshold,3176.14,0.507838694771379,1.97306270901245,0.19368612163552,8,1,0.507838694771379,6.81143896308714,1.9368612163552,2.0543632527513,0.0480236412800362,full_event_available,bernoulli_full_event,4,0,0.000582,2.79497592249811e-05,0.279497592249811
2,4,5,max_depth_reached,4527.967,0.723984727136674,1.40009886296519,0.0622784807505913,14,0,1,1,1,1,0.022521331573907,full_event_available,bernoulli_full_event,5,0,0.000582,1.31074149760139e-05,0.131074149760139
