initial_branch,trial_id,chain_depth,terminated_reason,total_load_shed_mw,total_load_shed_frac,max_line_loading_pu,max_voltage_deviation_pu,num_total_outaged_branches,final_converged,basic_LLR,basic_LFOR,basic_NVOR,basic_CRI,chain_transition_probability,chain_probability_status,stage_probability_mode,valid_stage_probability_count,missing_stage_probability_count,initial_line_probability,total_chain_probability_actual,total_chain_probability_display
1,1,4,load_loss_threshold,1940.206,0.310223001072874,1.29520977327417,0.0367874844958692,7,1,0.310223001072874,0.565415455174944,0.183937422479346,0.336004376174582,0.123821563384678,full_event_available,bernoulli_full_event,4,0,0.000438,5.42338447624889e-05,0.542338447624889
1,2,4,load_loss_threshold,1940.206,0.310223001072874,1.29520977327417,0.0367874844958692,7,1,0.310223001072874,0.565415455174944,0.183937422479346,0.336004376174582,0.123821563384678,full_event_available,bernoulli_full_event,4,0,0.000438,5.42338447624889e-05,0.542338447624889
1,3,5,max_depth_reached,3573.34105,0.571347879754982,2.25652907662649,0.110549978999034,8,1,0.571347879754982,6.28264538313244,1.87934964298358,1.97520773307619,0.0434459095986169,full_event_available,bernoulli_full_event,5,0,0.000438,1.90293084041942e-05,0.190293084041942
1,4,5,max_depth_reached,4527.967,0.723984727136674,1.48346747912624,0.043094912577504,13,0,1,1,1,1,0.0050844959389062,full_event_available,bernoulli_full_event,5,0,0.000438,2.22700922124092e-06,0.0222700922124092
1,5,5,max_depth_reached,4527.967,0.723984727136674,1.34204245233136,0.0318832268783352,13,0,1,1,1,1,0.144084920327112,full_event_available,bernoulli_full_event,5,0,0.000438,6.31091951032751e-05,0.631091951032751
1,6,4,load_loss_threshold,3176.14,0.507838694771379,1.96549302292467,0.192356970911339,8,1,0.507838694771379,6.75845116047266,1.92356970911339,2.04110739078004,0.0923335676061292,full_event_available,bernoulli_full_event,4,0,0.000438,4.04421026114846e-05,0.404421026114846
1,7,4,load_loss_threshold,3176.14,0.507838694771379,1.96549302292467,0.192356970911339,7,1,0.507838694771379,6.75845116047266,1.92356970911339,2.04110739078004,0.16151015559098,full_event_available,bernoulli_full_event,4,0,0.000438,7.07414481488494e-05,0.707414481488494
1,8,4,load_loss_threshold,3125.09,0.499676219134889,1.58779483545518,0.0358302698285724,13,0,1,1,1,1,0.000332090254364723,full_event_available,bernoulli_full_event,4,0,0.000438,1.45455531411749e-07,0.00145455531411749
1,9,5,max_depth_reached,4923.04,0.787153654406697,1.34204245233136,0.0318832268783352,14,1,0.787153654406697,0,0,0.472292192644018,0.0696105926516324,full_event_available,bernoulli_full_event,5,0,0.000438,3.0489439581415e-05,0.30489439581415
1,10,4,load_loss_threshold,1940.206,0.310223001072874,1.29520977327417,0.0367874844958692,7,1,0.310223001072874,0.565415455174944,0.183937422479346,0.336004376174582,0.123821563384678,full_event_available,bernoulli_full_event,4,0,0.000438,5.42338447624889e-05,0.542338447624889
