initial_branch,trial_id,chain_depth,terminated_reason,total_load_shed_mw,total_load_shed_frac,max_line_loading_pu,max_voltage_deviation_pu,num_total_outaged_branches,final_converged,basic_LLR,basic_LFOR,basic_NVOR,basic_CRI,chain_transition_probability,chain_probability_status,stage_probability_mode,valid_stage_probability_count,missing_stage_probability_count,initial_line_probability,total_chain_probability_actual,total_chain_probability_display
1,1,1,powerflow_not_converged,1876.269,0.3,NaN,NaN,1,0,1,1,1,1,1,full_event_available,bernoulli_full_event,1,0,0.000438,0.000438,4.38
1,2,1,powerflow_not_converged,1876.269,0.3,NaN,NaN,1,0,1,1,1,1,1,full_event_available,bernoulli_full_event,1,0,0.000438,0.000438,4.38
1,3,1,powerflow_not_converged,1876.269,0.3,NaN,NaN,1,0,1,1,1,1,1,full_event_available,bernoulli_full_event,1,0,0.000438,0.000438,4.38
1,4,1,powerflow_not_converged,1876.269,0.3,NaN,NaN,1,0,1,1,1,1,1,full_event_available,bernoulli_full_event,1,0,0.000438,0.000438,4.38
1,5,1,powerflow_not_converged,1876.269,0.3,NaN,NaN,1,0,1,1,1,1,1,full_event_available,bernoulli_full_event,1,0,0.000438,0.000438,4.38
1,6,1,powerflow_not_converged,1876.269,0.3,NaN,NaN,1,0,1,1,1,1,1,full_event_available,bernoulli_full_event,1,0,0.000438,0.000438,4.38
1,7,1,powerflow_not_converged,1876.269,0.3,NaN,NaN,1,0,1,1,1,1,1,full_event_available,bernoulli_full_event,1,0,0.000438,0.000438,4.38
1,8,1,powerflow_not_converged,1876.269,0.3,NaN,NaN,1,0,1,1,1,1,1,full_event_available,bernoulli_full_event,1,0,0.000438,0.000438,4.38
1,9,1,powerflow_not_converged,1876.269,0.3,NaN,NaN,1,0,1,1,1,1,1,full_event_available,bernoulli_full_event,1,0,0.000438,0.000438,4.38
1,10,1,powerflow_not_converged,1876.269,0.3,NaN,NaN,1,0,1,1,1,1,1,full_event_available,bernoulli_full_event,1,0,0.000438,0.000438,4.38
2,1,1,powerflow_not_converged,1876.269,0.3,NaN,NaN,1,0,1,1,1,1,1,full_event_available,bernoulli_full_event,1,0,0.000582,0.000582,5.82
