initial_branch,trial_id,chain_depth,terminated_reason,total_load_shed_mw,total_load_shed_frac,max_line_loading_pu,max_voltage_deviation_pu,num_total_outaged_branches,final_converged,basic_LLR,basic_LFOR,basic_NVOR,basic_CRI,chain_transition_probability,chain_probability_status,stage_probability_mode,valid_stage_probability_count,missing_stage_probability_count,initial_line_probability,total_chain_probability_actual,total_chain_probability_display
1,1,3,load_loss_threshold,2035.5365,0.325465564905672,1.5942042046134,0.0722926621900399,8,1,0.325465564905672,0.800788429070249,0.650633959710359,0.485563816699525,0.458617389517356,full_event_available,bernoulli_full_event,3,0,0.000438,0.000200874416608602,2.00874416608602
1,2,4,load_loss_threshold,4529.5,0.724229841243446,1.78712877002078,0.07604109714124,15,0,1,1,1,1,0.0270501920632463,full_event_available,bernoulli_full_event,4,0,0.000438,1.18479841237019e-05,0.118479841237019
1,3,3,load_loss_threshold,2035.5365,0.325465564905672,1.5942042046134,0.143919842603161,9,1,0.325465564905672,2.25092820189633,1.43919842603161,0.93330466452899,0.143662592094519,full_event_available,bernoulli_full_event,3,0,0.000438,6.29242153373991e-05,0.629242153373991
1,4,3,load_loss_threshold,2035.5365,0.325465564905672,1.5942042046134,0.0722926621900399,8,1,0.325465564905672,0.800788429070249,0.650633959710359,0.485563816699525,0.458617389517356,full_event_available,bernoulli_full_event,3,0,0.000438,0.000200874416608602,2.00874416608602
1,5,3,load_loss_threshold,2035.5365,0.325465564905672,1.5942042046134,0.143919842603161,9,1,0.325465564905672,2.25092820189633,1.43919842603161,0.93330466452899,0.143662592094519,full_event_available,bernoulli_full_event,3,0,0.000438,6.29242153373991e-05,0.629242153373991
1,6,4,load_loss_threshold,3741.043,0.598162043928669,1.5942042046134,0.166225724725708,11,1,0.598162043928669,1.59538840601427,1.99470869670849,1.07691664690175,0.0356773903677495,full_event_available,bernoulli_full_event,4,0,0.000438,1.56266969810743e-05,0.156266969810743
1,7,3,load_loss_threshold,2035.5365,0.325465564905672,1.5942042046134,0.0722926621900399,8,1,0.325465564905672,0.800788429070249,0.650633959710359,0.485563816699525,0.458617389517356,full_event_available,bernoulli_full_event,3,0,0.000438,0.000200874416608602,2.00874416608602
1,8,3,load_loss_threshold,2035.5365,0.325465564905672,1.5942042046134,0.143919842603161,9,1,0.325465564905672,2.25092820189633,1.43919842603161,0.93330466452899,0.143662592094519,full_event_available,bernoulli_full_event,3,0,0.000438,6.29242153373991e-05,0.629242153373991
1,9,4,load_loss_threshold,4379.785,0.700291642616277,2.12589967593177,0.168654784031689,14,1,0.700291642616277,0.978792076017475,0.23906988458378,0.663747377690017,5.66259677686566e-06,full_event_available,bernoulli_full_event,4,0,0.000438,2.48021738826716e-09,2.48021738826716e-05
1,10,3,load_loss_threshold,2487.4295,0.397719543413018,1.5942042046134,0.105365257374775,9,1,0.397719543413018,0.900486450845801,1.47511360324684,0.71375173686634,0.000677573229767044,full_event_available,bernoulli_full_event,3,0,0.000438,2.96777074637965e-07,0.00296777074637965
2,1,4,load_loss_threshold,4432.0635,0.708650545310934,1.50655041922224,0.146860701857712,13,0,1,1,1,1,0.112639848585224,full_event_available,bernoulli_full_event,4,0,0.000582,6.55563918766001e-05,0.655563918766001
2,2,4,load_loss_threshold,4432.0635,0.708650545310934,1.45725653091946,0.0814731446372992,12,0,1,1,1,1,0.17786002836106,full_event_available,bernoulli_full_event,4,0,0.000582,0.000103514536506137,1.03514536506137
