initial_branch,trial_id,stage_id,terminated_reason,stage_probability_mode,candidate_count,selected_candidate_count,unselected_candidate_count,selected_probability_product,unselected_probability_product,stage_transition_probability,probability_status,terminal_stage_flag,should_multiply_candidate_complements,missing_reason,selected_branch_ids,random_u_selected,candidate_probability_basis,note
1,1,1,continue,bernoulli_full_event,45,1,44,1,0.754028963417034,0.754028963417034,full_event_available,0,1,,"3","0.16777",paper_formula,Full Bernoulli event probability uses selected probabilities and non-selected complement probabilities.
1,1,2,continue,bernoulli_full_event,44,2,42,1,0.763967811169131,0.763967811169131,full_event_available,0,1,,"40,42","0.86507,0.70673",paper_formula,Full Bernoulli event probability uses selected probabilities and non-selected complement probabilities.
1,1,3,continue,bernoulli_full_event,35,3,32,0.331717907720077,0.257928602383088,0.0855595363236815,full_event_available,0,1,,"8,14,19","0.18445,0.55492,0.31452",paper_formula,Full Bernoulli event probability uses selected probabilities and non-selected complement probabilities.
1,1,4,load_loss_threshold,bernoulli_full_event,32,0,32,NaN,NaN,1,terminal_stage_probability_one,1,0,,"","",,Terminal recording stage excluded from Bernoulli complement product.
1,2,1,continue,bernoulli_full_event,45,2,43,0.006532483825,0.75898703393963,0.00495807052259536,full_event_available,0,1,,"3,20","0.63933,0.0061165",paper_formula,Full Bernoulli event probability uses selected probabilities and non-selected complement probabilities.
1,2,2,continue,bernoulli_full_event,43,4,39,0.374632510375651,0.778580233095684,0.291681467253496,full_event_available,0,1,,"14,27,40,42","0.19021,0.18892,0.93665,0.53493",paper_formula,Full Bernoulli event probability uses selected probabilities and non-selected complement probabilities.
1,2,3,load_loss_threshold,bernoulli_full_event,0,0,0,NaN,NaN,1,terminal_stage_probability_one,1,0,,"","",,Terminal recording stage excluded from Bernoulli complement product.
1,3,1,continue,bernoulli_full_event,45,1,44,1,0.754028963417034,0.754028963417034,full_event_available,0,1,,"3","0.88599",paper_formula,Full Bernoulli event probability uses selected probabilities and non-selected complement probabilities.
1,3,2,continue,bernoulli_full_event,44,4,40,4.00439727939482e-05,0.773742401260325,3.09837196655926e-05,full_event_available,0,1,,"19,34,40,42","0.0055588,0.0022363,0.077907,0.2423",paper_formula,Full Bernoulli event probability uses selected probabilities and non-selected complement probabilities.
1,3,3,continue,bernoulli_full_event,33,7,26,0.391741546557284,0.846259213596664,0.331514893122708,full_event_available,0,1,,"6,8,10,13,14,18,20","0.60742,0.15991,0.28637,0.62277,0.016416,0.32493,0.23327",paper_formula,Full Bernoulli event probability uses selected probabilities and non-selected complement probabilities.
1,3,4,load_loss_threshold,bernoulli_full_event,20,0,20,NaN,NaN,1,terminal_stage_probability_one,1,0,,"","",,Terminal recording stage excluded from Bernoulli complement product.
