parameter_set_id,scenario_id,candidate_branch,candidate_count,selected_count,mean_candidate_probability,p95_candidate_probability,max_candidate_probability,mean_P_flow,mean_P_HF_D,mean_P_HF_L,mean_P_mis_r,mean_P1,mean_P2,mean_P3,mean_P_L,mean_line_loading_pu,component_status,note
low_hidden_failure,wind_speed_11_28,1,833,67,0.0805980781356196,1,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.488288454814946,need_probability_component_trace_smoke,"Candidate probability and loading are available, but P_flow/P_HF_L/P1/P2/P_L fields are missing."
low_hidden_failure,wind_speed_11_28,2,876,15,0.0189440768276315,0.00069187360582,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.234663592175942,need_probability_component_trace_smoke,"Candidate probability and loading are available, but P_flow/P_HF_L/P1/P2/P_L fields are missing."
low_hidden_failure,wind_speed_11_28,3,736,149,0.228634904277641,1,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.858654246905196,need_probability_component_trace_smoke,"Candidate probability and loading are available, but P_flow/P_HF_L/P1/P2/P_L fields are missing."
low_hidden_failure,wind_speed_11_28,4,857,30,0.0357525461007754,0.052389919156934,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.449039972473748,need_probability_component_trace_smoke,"Candidate probability and loading are available, but P_flow/P_HF_L/P1/P2/P_L fields are missing."
low_hidden_failure,wind_speed_11_28,5,873,0,0.000611182852850739,0.00058689460477,0.0217905351792541,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.465022645529532,need_probability_component_trace_smoke,"Candidate probability and loading are available, but P_flow/P_HF_L/P1/P2/P_L fields are missing."
low_hidden_failure,wind_speed_11_28,6,895,32,0.0425791557386821,0.296132139624245,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.415694134787852,need_probability_component_trace_smoke,"Candidate probability and loading are available, but P_flow/P_HF_L/P1/P2/P_L fields are missing."
low_hidden_failure,wind_speed_11_28,7,912,12,0.0190818328623064,0.00054390320434,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.299520879215148,need_probability_component_trace_smoke,"Candidate probability and loading are available, but P_flow/P_HF_L/P1/P2/P_L fields are missing."
low_hidden_failure,wind_speed_11_28,8,736,105,0.159057043870019,1,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.607071208415962,need_probability_component_trace_smoke,"Candidate probability and loading are available, but P_flow/P_HF_L/P1/P2/P_L fields are missing."
low_hidden_failure,wind_speed_11_28,9,880,38,0.0634536727024498,1,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.535181992394987,need_probability_component_trace_smoke,"Candidate probability and loading are available, but P_flow/P_HF_L/P1/P2/P_L fields are missing."
low_hidden_failure,wind_speed_11_28,10,807,40,0.0466054302010265,0.507098320024188,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.551583840251355,need_probability_component_trace_smoke,"Candidate probability and loading are available, but P_flow/P_HF_L/P1/P2/P_L fields are missing."
low_hidden_failure,wind_speed_11_28,11,865,11,0.0111878528523872,0.00067487700565,0.845699330035361,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.382863929729627,need_probability_component_trace_smoke,"Candidate probability and loading are available, but P_flow/P_HF_L/P1/P2/P_L fields are missing."
low_hidden_failure,wind_speed_11_28,12,822,48,0.0593687946899083,0.89786072081025,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.564534006288705,need_probability_component_trace_smoke,"Candidate probability and loading are available, but P_flow/P_HF_L/P1/P2/P_L fields are missing."
low_hidden_failure,wind_speed_11_28,13,719,122,0.182985988065008,1,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.652790448065507,need_probability_component_trace_smoke,"Candidate probability and loading are available, but P_flow/P_HF_L/P1/P2/P_L fields are missing."
low_hidden_failure,wind_speed_11_28,14,725,89,0.127097163901883,1,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.667167428820742,need_probability_component_trace_smoke,"Candidate probability and loading are available, but P_flow/P_HF_L/P1/P2/P_L fields are missing."
low_hidden_failure,wind_speed_11_28,15,869,19,0.0216587978555822,0.00013298540023,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.33980120427392,need_probability_component_trace_smoke,"Candidate probability and loading are available, but P_flow/P_HF_L/P1/P2/P_L fields are missing."
low_hidden_failure,wind_speed_11_28,16,874,30,0.0368452101547586,0.014654705437474,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.391057551628146,need_probability_component_trace_smoke,"Candidate probability and loading are available, but P_flow/P_HF_L/P1/P2/P_L fields are missing."
low_hidden_failure,wind_speed_11_28,17,873,33,0.044964062661879,0.412850983240228,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.377625750430656,need_probability_component_trace_smoke,"Candidate probability and loading are available, but P_flow/P_HF_L/P1/P2/P_L fields are missing."
