source_file,table_type,required_field,field_available,needed_for,fallback_possible,blocking_if_missing,recommended_fix,note
C:\Users\24186\Documents\New project 13\results\calibration\full_event_formal_var_pilot_after_curve_fix\low_hidden_failure\wind_speed_11_28\tables\candidate_probability_trace.csv,candidate_probability_trace,candidate_probability,1,line_probability_model_input,1,0,field_available,Availability audit only; missing probability components are not fabricated.
C:\Users\24186\Documents\New project 13\results\calibration\full_event_formal_var_pilot_after_curve_fix\low_hidden_failure\wind_speed_11_28\tables\candidate_probability_trace.csv,candidate_probability_trace,candidate_branch,1,line_probability_model_input,1,0,field_available,Availability audit only; missing probability components are not fabricated.
C:\Users\24186\Documents\New project 13\results\calibration\full_event_formal_var_pilot_after_curve_fix\low_hidden_failure\wind_speed_11_28\tables\candidate_probability_trace.csv,candidate_probability_trace,selected,1,line_probability_model_input,1,0,field_available,Availability audit only; missing probability components are not fabricated.
C:\Users\24186\Documents\New project 13\results\calibration\full_event_formal_var_pilot_after_curve_fix\low_hidden_failure\wind_speed_11_28\tables\candidate_probability_trace.csv,candidate_probability_trace,random_u,1,line_probability_model_input,1,0,field_available,Availability audit only; missing probability components are not fabricated.
C:\Users\24186\Documents\New project 13\results\calibration\full_event_formal_var_pilot_after_curve_fix\low_hidden_failure\wind_speed_11_28\tables\candidate_probability_trace.csv,candidate_probability_trace,P_flow,0,line_probability_model_input,0,1,need_probability_component_trace_smoke,Availability audit only; missing probability components are not fabricated.
C:\Users\24186\Documents\New project 13\results\calibration\full_event_formal_var_pilot_after_curve_fix\low_hidden_failure\wind_speed_11_28\tables\candidate_probability_trace.csv,candidate_probability_trace,P_HF_D,0,line_probability_model_input,0,1,need_probability_component_trace_smoke,Availability audit only; missing probability components are not fabricated.
C:\Users\24186\Documents\New project 13\results\calibration\full_event_formal_var_pilot_after_curve_fix\low_hidden_failure\wind_speed_11_28\tables\candidate_probability_trace.csv,candidate_probability_trace,P_HF_L,0,line_probability_model_input,0,1,need_probability_component_trace_smoke,Availability audit only; missing probability components are not fabricated.
C:\Users\24186\Documents\New project 13\results\calibration\full_event_formal_var_pilot_after_curve_fix\low_hidden_failure\wind_speed_11_28\tables\candidate_probability_trace.csv,candidate_probability_trace,P_mis_r,0,line_probability_model_input,0,1,need_probability_component_trace_smoke,Availability audit only; missing probability components are not fabricated.
C:\Users\24186\Documents\New project 13\results\calibration\full_event_formal_var_pilot_after_curve_fix\low_hidden_failure\wind_speed_11_28\tables\candidate_probability_trace.csv,candidate_probability_trace,P1,0,line_probability_model_input,0,1,need_probability_component_trace_smoke,Availability audit only; missing probability components are not fabricated.
C:\Users\24186\Documents\New project 13\results\calibration\full_event_formal_var_pilot_after_curve_fix\low_hidden_failure\wind_speed_11_28\tables\candidate_probability_trace.csv,candidate_probability_trace,P2,0,line_probability_model_input,0,1,need_probability_component_trace_smoke,Availability audit only; missing probability components are not fabricated.
