parameter_set_id,scenario_id,candidate_branch,below_Lrated_sample_count,recorded_P_flow_min,recorded_P_flow_max,recorded_P_flow_range,recomputed_P_flow_paper_min,recomputed_P_flow_paper_max,recomputed_P_flow_paper_range,recorded_varies_below_Lrated,paper_recompute_constant_below_Lrated,issue_confirmed,recommended_fix,note
benchmark_calibrated_seed,wind_speed_11_28,1,11,0.000438,0.000438,0,0.000438,0.000438,0,0,1,0,no_fix_required,Grouped by candidate branch; branch-specific P_L0 may differ across branches but should be constant within a branch below L_Rated.
benchmark_calibrated_seed,wind_speed_11_28,2,12,0.000582,0.000582,0,0.000582,0.000582,0,0,1,0,no_fix_required,Grouped by candidate branch; branch-specific P_L0 may differ across branches but should be constant within a branch below L_Rated.
benchmark_calibrated_seed,wind_speed_11_28,3,2,0.000378,0.000378,0,0.000378,0.000378,0,0,1,0,no_fix_required,Grouped by candidate branch; branch-specific P_L0 may differ across branches but should be constant within a branch below L_Rated.
benchmark_calibrated_seed,wind_speed_11_28,4,12,0.000445,0.000445,0,0.000445,0.000445,0,0,1,0,no_fix_required,Grouped by candidate branch; branch-specific P_L0 may differ across branches but should be constant within a branch below L_Rated.
benchmark_calibrated_seed,wind_speed_11_28,5,16,0.000477,0.000477,0,0.000477,0.000477,0,0,1,0,no_fix_required,Grouped by candidate branch; branch-specific P_L0 may differ across branches but should be constant within a branch below L_Rated.
benchmark_calibrated_seed,wind_speed_11_28,6,12,0.000548,0.000548,0,0.000548,0.000548,0,0,1,0,no_fix_required,Grouped by candidate branch; branch-specific P_L0 may differ across branches but should be constant within a branch below L_Rated.
benchmark_calibrated_seed,wind_speed_11_28,7,16,0.000434,0.000434,0,0.000434,0.000434,0,0,1,0,no_fix_required,Grouped by candidate branch; branch-specific P_L0 may differ across branches but should be constant within a branch below L_Rated.
benchmark_calibrated_seed,wind_speed_11_28,8,8,3.4e-05,3.4e-05,0,3.4e-05,3.4e-05,0,0,1,0,no_fix_required,Grouped by candidate branch; branch-specific P_L0 may differ across branches but should be constant within a branch below L_Rated.
benchmark_calibrated_seed,wind_speed_11_28,9,11,0.000616,0.000616,0,0.000616,0.000616,0,0,1,0,no_fix_required,Grouped by candidate branch; branch-specific P_L0 may differ across branches but should be constant within a branch below L_Rated.
benchmark_calibrated_seed,wind_speed_11_28,10,13,0.000582,0.000582,0,0.000582,0.000582,0,0,1,0,no_fix_required,Grouped by candidate branch; branch-specific P_L0 may differ across branches but should be constant within a branch below L_Rated.
