initial_branch,trial_id,chain_depth,terminated_reason,total_load_shed_mw,total_load_shed_frac,max_line_loading_pu,max_voltage_deviation_pu,num_total_outaged_branches,final_converged,basic_LLR,basic_LFOR,basic_NVOR,basic_CRI
1,1,4,load_loss_threshold,1940.206,0.310223001072874,1.29538292446344,0.0368940312906857,7,1,0.310223001072874,0.56508348833336,0.184470156453428,0.336044529601082
1,2,3,load_loss_threshold,2955.459,0.472553615712886,1.30669601309035,0.02977679197262,7,0,1,1,1,1
1,3,4,load_loss_threshold,3785.6164,0.605288964428875,1.87222252130138,0.261154199051774,13,1,0.605288964428875,4.85205745294668,3.65615878672484,2.06481662659163
1,4,3,load_loss_threshold,2582.6,0.412936524560178,1.29586654606509,0,6,1,0.412936524560178,0.0420385197141175,0,0.25616961867893
1,5,5,max_depth_reached,4527.967,0.723984727136674,1.34255291805021,0.0321018948237344,13,0,1,1,1,1
2,1,1,no_new_outage,0,0,0.928122015602569,0,1,1,0,0,0,0
2,2,1,no_new_outage,0,0,0.928122015602569,0,1,1,0,0,0,0
2,3,1,no_new_outage,0,0,0.928122015602569,0,1,1,0,0,0,0
2,4,3,load_loss_threshold,3228.2,0.51616266111096,1.49986517079694,0.104429174147063,7,1,0.51616266111096,1.99946068318777,1.04429174147063,0.918448081598255
2,5,4,load_loss_threshold,3115.13,0.498083696953902,2.0570678999138,0.210017406722822,8,1,0.498083696953902,8.4565431993104,2.10017406722822,2.41019367148007
3,1,1,no_new_outage,0,0,0.804449531269013,0,1,1,0,0,0,0
3,2,1,no_new_outage,0,0,0.804449531269013,0,1,1,0,0,0,0
3,3,5,max_depth_reached,3799.89665,0.607572259095044,1.1952443750892,0.131978597437065,9,0,1,1,1,1
3,4,1,no_new_outage,0,0,0.804449531269013,0,1,1,0,0,0,0
3,5,1,no_new_outage,0,0,0.804449531269013,0,1,1,0,0,0,0
4,1,1,no_new_outage,0,0,0.793777483624387,0,1,1,0,0,0,0
4,2,1,no_new_outage,0,0,0.793777483624387,0,1,1,0,0,0,0
4,3,1,no_new_outage,0,0,0.793777483624387,0,1,1,0,0,0,0
4,4,1,no_new_outage,0,0,0.793777483624387,0,1,1,0,0,0,0
4,5,1,no_new_outage,0,0,0.793777483624387,0,1,1,0,0,0,0
5,1,1,no_new_outage,0,0,0.802769941438432,0,1,1,0,0,0,0
5,2,1,no_new_outage,0,0,0.802769941438432,0,1,1,0,0,0,0
5,3,1,no_new_outage,0,0,0.802769941438432,0,1,1,0,0,0,0
5,4,1,no_new_outage,0,0,0.802769941438432,0,1,1,0,0,0,0
5,5,1,no_new_outage,0,0,0.802769941438432,0,1,1,0,0,0,0
6,1,1,no_new_outage,0,0,0.791151680731429,0,1,1,0,0,0,0
6,2,1,no_new_outage,0,0,0.791151680731429,0,1,1,0,0,0,0
6,3,1,no_new_outage,0,0,0.791151680731429,0,1,1,0,0,0,0
6,4,1,no_new_outage,0,0,0.791151680731429,0,1,1,0,0,0,0
6,5,1,no_new_outage,0,0,0.791151680731429,0,1,1,0,0,0,0
7,1,2,no_new_outage,0,0,0.805089577934137,0,2,1,0,0,0,0
7,2,1,no_new_outage,0,0,0.792347819333197,0,1,1,0,0,0,0
7,3,1,no_new_outage,0,0,0.792347819333197,0,1,1,0,0,0,0
7,4,1,no_new_outage,0,0,0.792347819333197,0,1,1,0,0,0,0
7,5,4,load_loss_threshold,3123.63,0.499442777128439,1.54827168056775,0.0186047872117632,9,1,0.499442777128439,1.64481504170325,0,0.628628674617713
8,1,1,no_new_outage,0,0,0.923599809403044,0,1,1,0,0,0,0
8,2,1,no_new_outage,0,0,0.923599809403044,0,1,1,0,0,0,0
8,3,1,no_new_outage,0,0,0.923599809403044,0,1,1,0,0,0,0
8,4,4,load_loss_threshold,4379.785,0.700291642616277,1.69841934367981,0.0750132296829112,13,1,0.700291642616277,0,0,0.420174985569766
8,5,1,no_new_outage,0,0,0.923599809403044,0,1,1,0,0,0,0
9,1,3,load_loss_threshold,2167.63,0.346586230439239,1.21901919824859,0.00375132214008722,6,1,0.346586230439239,0.209570661387745,0.00750264428017444,0.251366399397127
9,2,5,max_depth_reached,3321.979,0.531157152838959,1.54959003786265,0.026173711312933,14,0,1,1,1,1
9,3,1,no_new_outage,0,0,0.913379902431842,0,1,1,0,0,0,0
9,4,1,no_new_outage,0,0,0.913379902431842,0,1,1,0,0,0,0
9,5,1,no_new_outage,0,0,0.913379902431842,0,1,1,0,0,0,0
10,1,4,load_loss_threshold,2992.31,0.478445787890756,2.65592435928679,0.244456059502701,11,1,0.478445787890756,0.383451187531076,0.977824238010806,0.55932255784283
10,2,4,load_loss_threshold,2418.87,0.386757442562873,2.65592435928679,0.244456059502701,10,1,0.386757442562873,0.414852728831452,0,0.315025011304015
10,3,4,load_loss_threshold,4280.972,0.684492255641382,1.78020278689924,0.162748013241923,9,0,1,1,1,1
10,4,4,load_loss_threshold,2418.87,0.386757442562873,2.65592435928679,0.244456059502701,12,1,0.386757442562873,0.414852728831452,0,0.315025011304015
10,5,4,load_loss_threshold,2418.87,0.386757442562873,2.65592435928679,0.244456059502701,11,1,0.386757442562873,2.3865045050245,0.0219321475779114,0.713741796058206
11,1,3,load_loss_threshold,2073.5575,0.331544810472272,1.18081340592035,0.154793512908786,5,1,0.331544810472272,0.180813405920351,0.464380538726359,0.327965675212705
11,2,3,load_loss_threshold,3546.4825,0.567053418246531,1.31284187003037,0.154793512908786,6,1,0.567053418246531,0.312841870030371,0,0.402800424953993
11,3,2,load_loss_threshold,2073.5575,0.331544810472272,1.18132276873943,0.154793512908785,3,1,0.331544810472272,0.181322768739428,0.464380538726356,0.32806754777652
11,4,3,load_loss_threshold,3546.4825,0.567053418246531,1.32770530198912,0.154793512908789,5,1,0.567053418246531,1.6385265099456,0,0.667937352937039
11,5,3,load_loss_threshold,3546.4825,0.567053418246531,1.20137002231121,0.154793512908779,6,1,0.567053418246531,0,0,0.340232050947918
12,1,3,load_loss_threshold,3553.3825,0.568156671564685,1.18105086094577,0.154793512908789,6,1,0.568156671564685,0.0523929244173531,0,0.351372587822282
12,2,3,load_loss_threshold,3559.78,0.569179579260756,1.29146282441077,0.154793512908789,7,1,0.569179579260756,0.874388473232298,0,0.516385442202913
12,3,3,load_loss_threshold,3553.3825,0.568156671564685,1.30402841116108,0.154793512908788,7,1,0.568156671564685,0.13205818023589,0,0.367305638985989
