initial_branch,trial_id,chain_depth,terminated_reason,total_load_shed_mw,total_load_shed_frac,max_line_loading_pu,max_voltage_deviation_pu,num_total_outaged_branches,final_converged,basic_LLR,basic_LFOR,basic_NVOR,basic_CRI
1,1,4,load_loss_threshold,1940.206,0.310223001072874,1.29520977327417,0.0367874844958692,7,1,0.310223001072874,0.565415455174944,0.183937422479346,0.336004376174582
1,2,3,load_loss_threshold,2955.459,0.472553615712886,1.30649485793771,0.029451700370948,7,0,1,1,1,1
1,3,4,load_loss_threshold,3785.6164,0.605288964428875,1.87153458330136,0.261055547700391,13,1,0.605288964428875,4.8496677246183,3.65477766780548,2.06406245714208
1,4,3,load_loss_threshold,2582.6,0.412936524560178,1.29569179950275,0,6,1,0.412936524560178,0.0416529354200081,0,0.256092501820108
1,5,5,max_depth_reached,4527.967,0.723984727136674,1.34204245233136,0.0318832268783352,13,0,1,1,1,1
2,1,1,no_new_outage,0,0,0.92715675498802,0,1,1,0,0,0,0
2,2,1,no_new_outage,0,0,0.92715675498802,0,1,1,0,0,0,0
2,3,1,no_new_outage,0,0,0.92715675498802,0,1,1,0,0,0,0
2,4,3,load_loss_threshold,3228.2,0.51616266111096,1.49967659360045,0.103902140886378,7,1,0.51616266111096,1.99870637440181,1.03902140886378,0.917243153319694
2,5,4,load_loss_threshold,3115.13,0.498083696953902,2.05699885056849,0.210003836416502,8,1,0.498083696953902,8.45599080454794,2.10003836416502,2.41005605191493
3,1,1,no_new_outage,0,0,0.804505271065534,0,1,1,0,0,0,0
3,2,1,no_new_outage,0,0,0.804505271065534,0,1,1,0,0,0,0
3,3,5,max_depth_reached,3799.89665,0.607572259095044,1.19503065254987,0.131907493419291,9,0,1,1,1,1
3,4,1,no_new_outage,0,0,0.804505271065534,0,1,1,0,0,0,0
3,5,1,no_new_outage,0,0,0.804505271065534,0,1,1,0,0,0,0
4,1,1,no_new_outage,0,0,0.793847819466918,0,1,1,0,0,0,0
4,2,1,no_new_outage,0,0,0.793847819466918,0,1,1,0,0,0,0
4,3,1,no_new_outage,0,0,0.793847819466918,0,1,1,0,0,0,0
4,4,1,no_new_outage,0,0,0.793847819466918,0,1,1,0,0,0,0
4,5,1,no_new_outage,0,0,0.793847819466918,0,1,1,0,0,0,0
5,1,1,no_new_outage,0,0,0.802767267036313,0,1,1,0,0,0,0
5,2,1,no_new_outage,0,0,0.802767267036313,0,1,1,0,0,0,0
5,3,1,no_new_outage,0,0,0.802767267036313,0,1,1,0,0,0,0
5,4,1,no_new_outage,0,0,0.802767267036313,0,1,1,0,0,0,0
5,5,1,no_new_outage,0,0,0.802767267036313,0,1,1,0,0,0,0
6,1,1,no_new_outage,0,0,0.791208944123487,0,1,1,0,0,0,0
6,2,1,no_new_outage,0,0,0.791208944123487,0,1,1,0,0,0,0
6,3,1,no_new_outage,0,0,0.791208944123487,0,1,1,0,0,0,0
6,4,1,no_new_outage,0,0,0.791208944123487,0,1,1,0,0,0,0
6,5,1,no_new_outage,0,0,0.791208944123487,0,1,1,0,0,0,0
7,1,2,no_new_outage,0,0,0.805152218601663,0,2,1,0,0,0,0
7,2,1,no_new_outage,0,0,0.792406988666911,0,1,1,0,0,0,0
7,3,1,no_new_outage,0,0,0.792406988666911,0,1,1,0,0,0,0
7,4,1,no_new_outage,0,0,0.792406988666911,0,1,1,0,0,0,0
7,5,4,load_loss_threshold,3123.63,0.499442777128439,1.5487340999365,0.0185909931347632,9,1,0.499442777128439,1.6462022998095,0,0.628906126238964
