initial_branch,trial_id,stage_id,terminated_reason,stage_probability_mode,candidate_count,selected_candidate_count,unselected_candidate_count,selected_probability_product,unselected_probability_product,stage_transition_probability,probability_status,terminal_stage_flag,should_multiply_candidate_complements,candidate_selection_consistency_status,missing_reason,selected_branch_ids,random_u_selected,candidate_probability_basis,note
1,1,1,continue,bernoulli_full_event,45,1,44,1,0.977160054349329,0.977160054349329,full_event_available,0,1,consistent_or_excluded_terminal,,"3","0.16777",paper_formula,Full Bernoulli event probability uses selected probabilities and non-selected complement probabilities.
1,1,2,continue,bernoulli_full_event,44,2,42,1,0.978444099579617,0.978444099579617,full_event_available,0,1,consistent_or_excluded_terminal,,"40,42","0.86507,0.70673",paper_formula,Full Bernoulli event probability uses selected probabilities and non-selected complement probabilities.
1,1,3,continue,bernoulli_full_event,35,3,32,0.331120250719109,0.30959752994233,0.102514011736521,full_event_available,0,1,consistent_or_excluded_terminal,,"8,14,19","0.18445,0.55492,0.31452",paper_formula,Full Bernoulli event probability uses selected probabilities and non-selected complement probabilities.
1,1,4,load_loss_threshold,bernoulli_full_event,32,0,32,NaN,NaN,1,terminal_stage_probability_one,1,0,consistent_or_excluded_terminal,,"","",,Terminal recording stage excluded from Bernoulli complement product.
1,2,1,continue,bernoulli_full_event,45,1,44,1,0.977160054349329,0.977160054349329,full_event_available,0,1,consistent_or_excluded_terminal,,"3","0.63933",paper_formula,Full Bernoulli event probability uses selected probabilities and non-selected complement probabilities.
1,2,2,continue,bernoulli_full_event,44,2,42,1,0.978444099579617,0.978444099579617,full_event_available,0,1,consistent_or_excluded_terminal,,"40,42","0.92201,0.45724",paper_formula,Full Bernoulli event probability uses selected probabilities and non-selected complement probabilities.
1,2,3,continue,bernoulli_full_event,35,3,32,0.331120250719109,0.30959752994233,0.102514011736521,full_event_available,0,1,consistent_or_excluded_terminal,,"8,14,19","0.28448,0.58236,0.33504",paper_formula,Full Bernoulli event probability uses selected probabilities and non-selected complement probabilities.
1,2,4,load_loss_threshold,bernoulli_full_event,32,0,32,NaN,NaN,1,terminal_stage_probability_one,1,0,consistent_or_excluded_terminal,,"","",,Terminal recording stage excluded from Bernoulli complement product.
2,1,1,no_new_outage,bernoulli_full_event,45,0,45,1,0.43928893684019,0.43928893684019,full_event_available,1,1,consistent_or_excluded_terminal,,"","",paper_formula,Full Bernoulli event probability uses selected probabilities and non-selected complement probabilities.
2,2,1,continue,bernoulli_full_event,45,1,44,0.550507969233775,0.977300834658533,0.538011897818343,full_event_available,0,1,consistent_or_excluded_terminal,,"3","0.24314",paper_formula,Full Bernoulli event probability uses selected probabilities and non-selected complement probabilities.
2,2,2,continue,bernoulli_full_event,44,2,42,1,0.978585064882348,0.978585064882348,full_event_available,0,1,consistent_or_excluded_terminal,,"40,42","0.29667,0.80131",paper_formula,Full Bernoulli event probability uses selected probabilities and non-selected complement probabilities.
2,2,3,continue,bernoulli_full_event,34,3,31,0.300655787863728,0.568710727995118,0.170986171991927,full_event_available,0,1,consistent_or_excluded_terminal,,"8,14,19","0.50287,0.60817,0.23479",paper_formula,Full Bernoulli event probability uses selected probabilities and non-selected complement probabilities.
2,2,4,load_loss_threshold,bernoulli_full_event,31,0,31,NaN,NaN,1,terminal_stage_probability_one,1,0,consistent_or_excluded_terminal,,"","",,Terminal recording stage excluded from Bernoulli complement product.
3,1,1,no_new_outage,bernoulli_full_event,45,0,45,1,0.976624666006087,0.976624666006087,full_event_available,1,1,consistent_or_excluded_terminal,,"","",paper_formula,Full Bernoulli event probability uses selected probabilities and non-selected complement probabilities.
3,2,1,no_new_outage,bernoulli_full_event,45,0,45,1,0.976624666006087,0.976624666006087,full_event_available,1,1,consistent_or_excluded_terminal,,"","",paper_formula,Full Bernoulli event probability uses selected probabilities and non-selected complement probabilities.
