initial_branch,trial_id,stage_id,stage_probability_mode,candidate_count,selected_candidate_count,unselected_candidate_count,selected_probability_product,unselected_probability_product,stage_transition_probability,probability_status,missing_reason,selected_branch_ids,random_u_selected,candidate_probability_basis,note
1,1,1,selected_only_product,45,1,44,1,NaN,1,selected_only_approximation,,"3","0.16777",paper_formula,Selected-only approximation uses only sampled outage probabilities and does not multiply non-selected complements.
1,1,2,selected_only_product,44,2,42,1,NaN,1,selected_only_approximation,,"40,42","0.86507,0.70673",paper_formula,Selected-only approximation uses only sampled outage probabilities and does not multiply non-selected complements.
1,1,3,selected_only_product,35,3,32,0.331120250719109,NaN,0.331120250719109,selected_only_approximation,,"8,14,19","0.18445,0.55492,0.31452",paper_formula,Selected-only approximation uses only sampled outage probabilities and does not multiply non-selected complements.
1,1,4,selected_only_product,32,0,32,1,NaN,1,selected_only_approximation,,"","",paper_formula,No additional outage was selected; selected-only transition contribution is recorded as 1.
1,2,1,selected_only_product,45,1,44,1,NaN,1,selected_only_approximation,,"3","0.63933",paper_formula,Selected-only approximation uses only sampled outage probabilities and does not multiply non-selected complements.
1,2,2,selected_only_product,44,2,42,1,NaN,1,selected_only_approximation,,"40,42","0.92201,0.45724",paper_formula,Selected-only approximation uses only sampled outage probabilities and does not multiply non-selected complements.
1,2,3,selected_only_product,35,3,32,0.331120250719109,NaN,0.331120250719109,selected_only_approximation,,"8,14,19","0.28448,0.58236,0.33504",paper_formula,Selected-only approximation uses only sampled outage probabilities and does not multiply non-selected complements.
1,2,4,selected_only_product,32,0,32,1,NaN,1,selected_only_approximation,,"","",paper_formula,No additional outage was selected; selected-only transition contribution is recorded as 1.
2,1,1,selected_only_product,45,0,45,1,NaN,1,selected_only_approximation,,"","",paper_formula,No additional outage was selected; selected-only transition contribution is recorded as 1.
2,2,1,selected_only_product,45,1,44,0.550507969233775,NaN,0.550507969233775,selected_only_approximation,,"3","0.24314",paper_formula,Selected-only approximation uses only sampled outage probabilities and does not multiply non-selected complements.
2,2,2,selected_only_product,44,2,42,1,NaN,1,selected_only_approximation,,"40,42","0.29667,0.80131",paper_formula,Selected-only approximation uses only sampled outage probabilities and does not multiply non-selected complements.
2,2,3,selected_only_product,34,3,31,0.300655787863728,NaN,0.300655787863728,selected_only_approximation,,"8,14,19","0.50287,0.60817,0.23479",paper_formula,Selected-only approximation uses only sampled outage probabilities and does not multiply non-selected complements.
2,2,4,selected_only_product,31,0,31,1,NaN,1,selected_only_approximation,,"","",paper_formula,No additional outage was selected; selected-only transition contribution is recorded as 1.
3,1,1,selected_only_product,45,0,45,1,NaN,1,selected_only_approximation,,"","",paper_formula,No additional outage was selected; selected-only transition contribution is recorded as 1.
3,2,1,selected_only_product,45,0,45,1,NaN,1,selected_only_approximation,,"","",paper_formula,No additional outage was selected; selected-only transition contribution is recorded as 1.
