parameter_set_id,scenario_id,sigma,metric_name,var_value,sample_count,valid_sample_count,stage_probability_mode,wind_power_curve_profile,note
high_hidden_failure,wind_speed_11_28,0.9,SLLR,0.177832699128877,1380,1380,bernoulli_full_event,paper_2_12_20,wind-speed-only component diagnostic rerun; not formal benchmark
high_hidden_failure,wind_speed_11_28,0.9,SLFOR,0.15297837732774,1380,1380,bernoulli_full_event,paper_2_12_20,wind-speed-only component diagnostic rerun; not formal benchmark
high_hidden_failure,wind_speed_11_28,0.9,SNVOR,0.0488509484174089,1380,1380,bernoulli_full_event,paper_2_12_20,wind-speed-only component diagnostic rerun; not formal benchmark
high_hidden_failure,wind_speed_11_28,0.9,CRI,0.194389282969086,1380,1380,bernoulli_full_event,paper_2_12_20,wind-speed-only component diagnostic rerun; not formal benchmark
high_hidden_failure,wind_speed_11_28,0.95,SLLR,0.365484763546393,1380,1380,bernoulli_full_event,paper_2_12_20,wind-speed-only component diagnostic rerun; not formal benchmark
high_hidden_failure,wind_speed_11_28,0.95,SLFOR,0.640383840913884,1380,1380,bernoulli_full_event,paper_2_12_20,wind-speed-only component diagnostic rerun; not formal benchmark
high_hidden_failure,wind_speed_11_28,0.95,SNVOR,0.305166713790335,1380,1380,bernoulli_full_event,paper_2_12_20,wind-speed-only component diagnostic rerun; not formal benchmark
high_hidden_failure,wind_speed_11_28,0.95,CRI,0.391257795596975,1380,1380,bernoulli_full_event,paper_2_12_20,wind-speed-only component diagnostic rerun; not formal benchmark
high_hidden_failure,wind_speed_11_28,0.98,SLLR,0.671632488456392,1380,1380,bernoulli_full_event,paper_2_12_20,wind-speed-only component diagnostic rerun; not formal benchmark
high_hidden_failure,wind_speed_11_28,0.98,SLFOR,2.1791739278071,1380,1380,bernoulli_full_event,paper_2_12_20,wind-speed-only component diagnostic rerun; not formal benchmark
high_hidden_failure,wind_speed_11_28,0.98,SNVOR,0.668507623702137,1380,1380,bernoulli_full_event,paper_2_12_20,wind-speed-only component diagnostic rerun; not formal benchmark
high_hidden_failure,wind_speed_11_28,0.98,CRI,1.28309528393703,1380,1380,bernoulli_full_event,paper_2_12_20,wind-speed-only component diagnostic rerun; not formal benchmark
high_hidden_failure,wind_speed_12_00,0.9,SLLR,0.292925804599632,1380,1380,bernoulli_full_event,paper_2_12_20,wind-speed-only component diagnostic rerun; not formal benchmark
high_hidden_failure,wind_speed_12_00,0.9,SLFOR,0.252065946844116,1380,1380,bernoulli_full_event,paper_2_12_20,wind-speed-only component diagnostic rerun; not formal benchmark
high_hidden_failure,wind_speed_12_00,0.9,SNVOR,0.116470833060585,1380,1380,bernoulli_full_event,paper_2_12_20,wind-speed-only component diagnostic rerun; not formal benchmark
high_hidden_failure,wind_speed_12_00,0.9,CRI,0.290886454455907,1380,1380,bernoulli_full_event,paper_2_12_20,wind-speed-only component diagnostic rerun; not formal benchmark
high_hidden_failure,wind_speed_12_00,0.95,SLLR,0.609938384262594,1380,1380,bernoulli_full_event,paper_2_12_20,wind-speed-only component diagnostic rerun; not formal benchmark
