policy_id,candidate_branch,tail_importance_rank,line_loading_11_28,line_loading_12_00,delta_line_loading,P_L_11_28,P_L_12_00,delta_P_L,whether_policy_reduces_12mps_tail_branch_loading,whether_policy_reduces_12mps_tail_branch_PL,policy_candidate_status,note
wind_plus_redispatch_current,5,1,0.448839183998284,0.479447226564725,0.030608042566441,0.001575046477,0.001575046477,0,0,0,not_candidate_currently,Top tail branch comparison under base-case policy only.
wind_plus_redispatch_current,6,2,0.154626038583249,0.161411054540134,0.00678501595688499,0.001645904548,0.001645904548,0,0,0,not_candidate_currently,Top tail branch comparison under base-case policy only.
wind_plus_redispatch_current,7,3,0.029952978938966,0.0400458421237814,0.0100928631848154,0.001532132434,0.001532132434,0,0,0,not_candidate_currently,Top tail branch comparison under base-case policy only.
wind_plus_redispatch_current,30,4,0.262322776049277,0.248188370455183,-0.014134405594094,0.00174770065,0.00174770065,0,1,0,mixed_diagnostic_only,Top tail branch comparison under base-case policy only.
wind_plus_redispatch_current,31,5,0.139503554222584,0.156721692116342,0.017218137893758,0.001679836582,0.001679836582,0,0,0,not_candidate_currently,Top tail branch comparison under base-case policy only.
wind_plus_redispatch_current,4,6,0.408158162644973,0.385060408097189,-0.023097754547784,0.001543110445,0.001543110445,0,1,0,mixed_diagnostic_only,Top tail branch comparison under base-case policy only.
wind_plus_redispatch_current,40,7,0.22294024205469,0.244785993150659,0.021845751095969,0.00158802049,0.00158802049,0,0,0,not_candidate_currently,Top tail branch comparison under base-case policy only.
wind_plus_redispatch_current,41,8,0.6143477204698,0.616807333943077,0.00245961347327694,0.001555086457,0.001555086457,0,0,0,not_candidate_currently,Top tail branch comparison under base-case policy only.
wind_plus_redispatch_current,43,9,0.161150399037,0.142776396414273,-0.018374002622727,0.001575046477,0.001575046477,0,1,0,mixed_diagnostic_only,Top tail branch comparison under base-case policy only.
wind_plus_redispatch_current,44,10,0.246278468292998,0.227687338483808,-0.01859112980919,0.001123950025,0.001123950025,0,1,0,mixed_diagnostic_only,Top tail branch comparison under base-case policy only.
