initial_branch,trial_id,stage_id,candidate_branch,from_bus,to_bus,line_loading_pu,engineering_or_main_probability,diagnostic_line_probability,probability_source,trip_selected,stage_transition_probability,stage_cumulative_P_line_Ek
1,1,1,2,1,39,0.107141961901022,0.0001,0.000582,paper_formula_probability,0,0.55879681012801,0.000244753002836069
1,1,1,3,2,3,1.11378700057911,0.612041502606017,0.56909794546448,paper_formula_probability,1,0.55879681012801,0.000244753002836069
1,1,1,4,2,25,0.267838831496499,0.0001,0.000445,paper_formula_probability,0,0.55879681012801,0.000244753002836069
1,1,1,5,2,30,0.482914678460808,0.0001,0.000477,paper_formula_probability,0,0.55879681012801,0.000244753002836069
1,1,1,6,3,4,0.39674700688889,0.0001,0.000548,paper_formula_probability,0,0.55879681012801,0.000244753002836069
1,1,1,7,3,18,0.104218014580565,0.0001,0.000434,paper_formula_probability,0,0.55879681012801,0.000244753002836069
1,1,1,8,4,5,0.137527894345013,0.0001,3.4e-05,paper_formula_probability,0,0.55879681012801,0.000244753002836069
1,1,1,9,4,14,0.50463775915523,0.0001,0.000616,paper_formula_probability,0,0.55879681012801,0.000244753002836069
1,1,1,10,5,6,0.537152108248599,0.0001,0.000582,paper_formula_probability,0,0.55879681012801,0.000244753002836069
1,1,1,11,5,8,0.627234853611359,0.0001,0.000565,paper_formula_probability,0,0.55879681012801,0.000244753002836069
1,1,1,12,6,7,0.737152881895511,0.0001,0.000263,paper_formula_probability,0,0.55879681012801,0.000244753002836069
1,1,1,13,6,11,0.734174240617,0.0001,0.000502,paper_formula_probability,0,0.55879681012801,0.000244753002836069
1,1,1,14,6,31,0.575823630467119,0.0001,0.000377,paper_formula_probability,0,0.55879681012801,0.000244753002836069
1,1,1,15,7,8,0.458968339840337,0.0001,2.3e-05,paper_formula_probability,0,0.55879681012801,0.000244753002836069
1,1,1,16,8,9,0.507278949136806,0.0001,2.3e-05,paper_formula_probability,0,0.55879681012801,0.000244753002836069
1,1,1,17,9,39,0.484962406130411,0.0001,0.000685,paper_formula_probability,0,0.55879681012801,0.000244753002836069
1,1,1,18,10,11,0.611890035610778,0.0001,0.000223,paper_formula_probability,0,0.55879681012801,0.000244753002836069
1,1,1,19,10,13,0.47774524987524,0.0001,0.000685,paper_formula_probability,0,0.55879681012801,0.000244753002836069
1,1,1,20,10,32,0.771087909656627,0.0001,0.000553,paper_formula_probability,0,0.55879681012801,0.000244753002836069
1,1,1,21,12,11,0.0860202090901181,0.0001,0.000427,paper_formula_probability,0,0.55879681012801,0.000244753002836069
