initial_branch,trial_id,stage_id,LLR_paper,LFOR_paper,NVOR_paper,branch_loading_pu_vector,bus_voltage_pu_vector,total_load_shed_mw,base_load_mw,overloaded_branch_count,voltage_violation_bus_count,severity_formula_mode,normalization_status
1,1,1,0,0.0668508626384154,0,0;0.097696;1.1087;0.26376;0.47076;0.37027;0.086528;0.12568;0.4811;0.5276;0.61873;0.72103;0.70599;0.52447;0.45824;0.49323;0.48054;0.567;0.44348;0.67365;0.0015736;0.015618;0.42992;0.027936;0.50702;0.24255;0.75082;0.50693;0.047244;0.19143;0.050864;0.16011;0.66377;0.5988;0.64541;0.041863;0.67332;0.56586;0.62615;0.32736;0.61573;0.41905;0.12186;0.20524;0.46695;0.57553,0.99699;1.0101;0.99645;0.97976;0.98397;0.98835;0.97288;0.9701;0.99871;1.0061;0.99884;0.98598;1.0006;0.99157;0.98783;1.0016;1.0019;0.99845;1.0376;0.97853;0.99322;1.0036;0.99632;1.0045;1.0178;1.0187;1.0048;1.0213;1.0222;1;1;1;1;1;1;1;1;1;1,0,6254.23,1,0,paper_confirmed_exponential_sum,diagnostic_stage_vector_reconstruction
1,1,2,0,0.353079005290423,0,0;0.097696;0;0.84736;0.47076;0.070208;0.71727;0.21983;0.6685;0.57036;0.61277;0.72748;0.73767;0.54781;0.46455;0.49351;0.48057;0.59013;0.42034;0.67365;0.0012771;0.018407;0.40442;0.15407;0.69028;0.057794;0.7504;0.5067;0.047197;0.86442;0.81258;0.1602;0.66377;0.5988;0.64539;0.041905;0.67332;0.56586;0.62615;1.2329;0.61573;1.2959;0.12259;0.20423;0.46777;0.57553,0.99699;1.0207;0.95852;0.95736;0.96852;0.97409;0.95866;0.95604;0.9927;0.99328;0.9854;0.97154;0.98587;0.97251;0.96658;0.98043;0.96821;0.96191;1.0298;0.97429;0.97832;0.99557;0.98804;0.98525;0.99111;0.97336;0.95806;0.99796;1.0062;1;1;1;1;1;1;1;1;1;1,0,6254.23,2,0,paper_confirmed_exponential_sum,diagnostic_stage_vector_reconstruction
1,1,3,0.136307746916887,0,0,0;0.097696;0;0;0;0.68021;0.032498;0.9771;0.5158;0.91603;0.56679;0.77561;0.071521;0.97968;0.51191;0.49478;0.48077;0.10385;0.90663;0.67365;0.055254;0.038108;0.93597;0.5007;0.036469;0.70978;0.74995;0.50643;0.047086;0.23674;0.47042;0.1603;0.66377;0.5988;0.64536;0.041951;0.67332;0.56586;0.62615;0;0;0;0;0;0;0,0.99699;1.0485;0.92522;0.91318;0.91876;0.92389;0.90995;0.90871;0.97242;0.95784;0.94515;0.93172;0.94878;0.93427;0.94157;0.96144;0.94411;0.93532;1.0228;0.97048;0.96491;0.98838;0.9806;0.96793;1.0577;1.0526;0.92726;1.0504;1.0501;1.0499;1;1;1;1;1;1;1.0275;1.0265;1,852.5,6254.23,0,0,paper_confirmed_exponential_sum,diagnostic_stage_vector_reconstruction
1,1,4,0.310223001072874,0.00612786953836106,0.0918854279906636,0;0.078141;0;0;0;0.11889;0.39822;0;0.92347;0.024125;0.03216;0.10157;0.25119;0;0.1064;0.5452;0.55381;1.0105;0;0.67365;0.96713;0.94304;0.77777;0.0036814;0.42632;0.92488;0.97637;0.63284;0.19566;0.54422;0.37607;0.0090893;0.66377;0.5988;0.66918;0.0062225;0.67332;0.61259;0.62615;0;0;0;0;0;0;0,0.99955;1.0485;0.88619;0.86001;0.94233;0.94367;0.93584;0.93554;0.98327;0.9728;0.95403;0.86406;0.86375;0.87077;0.90895;0.93869;0.91731;0.90381;1.0151;0.96865;0.95098;0.98103;0.97332;0.94638;1.0577;1.0526;0.90406;1.0504;1.0501;1.0499;0.982;1;1;1;1;1;1.0275;1.0265;1,1940.206,6254.23,1,5,paper_confirmed_exponential_sum,diagnostic_stage_vector_reconstruction
1,2,1,0,0.0668508626384154,0,0;0.097696;1.1087;0.26376;0.47076;0.37027;0.086528;0.12568;0.4811;0.5276;0.61873;0.72103;0.70599;0.52447;0.45824;0.49323;0.48054;0.567;0.44348;0.67365;0.0015736;0.015618;0.42992;0.027936;0.50702;0.24255;0.75082;0.50693;0.047244;0.19143;0.050864;0.16011;0.66377;0.5988;0.64541;0.041863;0.67332;0.56586;0.62615;0.32736;0.61573;0.41905;0.12186;0.20524;0.46695;0.57553,0.99699;1.0101;0.99645;0.97976;0.98397;0.98835;0.97288;0.9701;0.99871;1.0061;0.99884;0.98598;1.0006;0.99157;0.98783;1.0016;1.0019;0.99845;1.0376;0.97853;0.99322;1.0036;0.99632;1.0045;1.0178;1.0187;1.0048;1.0213;1.0222;1;1;1;1;1;1;1;1;1;1,0,6254.23,1,0,paper_confirmed_exponential_sum,diagnostic_stage_vector_reconstruction
1,2,2,0,0.353079005290423,0,0;0.097696;0;0.84736;0.47076;0.070208;0.71727;0.21983;0.6685;0.57036;0.61277;0.72748;0.73767;0.54781;0.46455;0.49351;0.48057;0.59013;0.42034;0.67365;0.0012771;0.018407;0.40442;0.15407;0.69028;0.057794;0.7504;0.5067;0.047197;0.86442;0.81258;0.1602;0.66377;0.5988;0.64539;0.041905;0.67332;0.56586;0.62615;1.2329;0.61573;1.2959;0.12259;0.20423;0.46777;0.57553,0.99699;1.0207;0.95852;0.95736;0.96852;0.97409;0.95866;0.95604;0.9927;0.99328;0.9854;0.97154;0.98587;0.97251;0.96658;0.98043;0.96821;0.96191;1.0298;0.97429;0.97832;0.99557;0.98804;0.98525;0.99111;0.97336;0.95806;0.99796;1.0062;1;1;1;1;1;1;1;1;1;1,0,6254.23,2,0,paper_confirmed_exponential_sum,diagnostic_stage_vector_reconstruction
1,2,3,0.136307746916887,0,0,0;0.097696;0;0;0;0.68021;0.032498;0.9771;0.5158;0.91603;0.56679;0.77561;0.071521;0.97968;0.51191;0.49478;0.48077;0.10385;0.90663;0.67365;0.055254;0.038108;0.93597;0.5007;0.036469;0.70978;0.74995;0.50643;0.047086;0.23674;0.47042;0.1603;0.66377;0.5988;0.64536;0.041951;0.67332;0.56586;0.62615;0;0;0;0;0;0;0,0.99699;1.0485;0.92522;0.91318;0.91876;0.92389;0.90995;0.90871;0.97242;0.95784;0.94515;0.93172;0.94878;0.93427;0.94157;0.96144;0.94411;0.93532;1.0228;0.97048;0.96491;0.98838;0.9806;0.96793;1.0577;1.0526;0.92726;1.0504;1.0501;1.0499;1;1;1;1;1;1;1.0275;1.0265;1,852.5,6254.23,0,0,paper_confirmed_exponential_sum,diagnostic_stage_vector_reconstruction
1,2,4,0.310223001072874,0.00612786953836106,0.0918854279906636,0;0.078141;0;0;0;0.11889;0.39822;0;0.92347;0.024125;0.03216;0.10157;0.25119;0;0.1064;0.5452;0.55381;1.0105;0;0.67365;0.96713;0.94304;0.77777;0.0036814;0.42632;0.92488;0.97637;0.63284;0.19566;0.54422;0.37607;0.0090893;0.66377;0.5988;0.66918;0.0062225;0.67332;0.61259;0.62615;0;0;0;0;0;0;0,0.99955;1.0485;0.88619;0.86001;0.94233;0.94367;0.93584;0.93554;0.98327;0.9728;0.95403;0.86406;0.86375;0.87077;0.90895;0.93869;0.91731;0.90381;1.0151;0.96865;0.95098;0.98103;0.97332;0.94638;1.0577;1.0526;0.90406;1.0504;1.0501;1.0499;0.982;1;1;1;1;1;1.0275;1.0265;1,1940.206,6254.23,1,5,paper_confirmed_exponential_sum,diagnostic_stage_vector_reconstruction
1,3,1,0,0.0668508626384154,0,0;0.097696;1.1087;0.26376;0.47076;0.37027;0.086528;0.12568;0.4811;0.5276;0.61873;0.72103;0.70599;0.52447;0.45824;0.49323;0.48054;0.567;0.44348;0.67365;0.0015736;0.015618;0.42992;0.027936;0.50702;0.24255;0.75082;0.50693;0.047244;0.19143;0.050864;0.16011;0.66377;0.5988;0.64541;0.041863;0.67332;0.56586;0.62615;0.32736;0.61573;0.41905;0.12186;0.20524;0.46695;0.57553,0.99699;1.0101;0.99645;0.97976;0.98397;0.98835;0.97288;0.9701;0.99871;1.0061;0.99884;0.98598;1.0006;0.99157;0.98783;1.0016;1.0019;0.99845;1.0376;0.97853;0.99322;1.0036;0.99632;1.0045;1.0178;1.0187;1.0048;1.0213;1.0222;1;1;1;1;1;1;1;1;1;1,0,6254.23,1,0,paper_confirmed_exponential_sum,diagnostic_stage_vector_reconstruction
1,3,2,0,0.353079005290423,0,0;0.097696;0;0.84736;0.47076;0.070208;0.71727;0.21983;0.6685;0.57036;0.61277;0.72748;0.73767;0.54781;0.46455;0.49351;0.48057;0.59013;0.42034;0.67365;0.0012771;0.018407;0.40442;0.15407;0.69028;0.057794;0.7504;0.5067;0.047197;0.86442;0.81258;0.1602;0.66377;0.5988;0.64539;0.041905;0.67332;0.56586;0.62615;1.2329;0.61573;1.2959;0.12259;0.20423;0.46777;0.57553,0.99699;1.0207;0.95852;0.95736;0.96852;0.97409;0.95866;0.95604;0.9927;0.99328;0.9854;0.97154;0.98587;0.97251;0.96658;0.98043;0.96821;0.96191;1.0298;0.97429;0.97832;0.99557;0.98804;0.98525;0.99111;0.97336;0.95806;0.99796;1.0062;1;1;1;1;1;1;1;1;1;1,0,6254.23,2,0,paper_confirmed_exponential_sum,diagnostic_stage_vector_reconstruction
