initial_branch,trial_id,chain_depth,terminated_reason,total_load_shed_mw,total_load_shed_frac,max_line_loading_pu,max_voltage_deviation_pu,num_total_outaged_branches,final_converged,basic_LLR,basic_LFOR,basic_NVOR,basic_CRI
1,1,5,max_depth_reached,2649.14455,0.423576451457653,1.3001732065106,0.0375849796053709,6,1,0.423576451457653,0.496016630693782,0.300679836842967,0.413485164381942
1,2,5,max_depth_reached,2482.393,0.396914248436658,2.03463053642409,0.0393162888172491,6,1,0.396914248436658,6.20778321854454,0.393162888172491,1.5583377704054
1,3,1,no_new_outage,0,0,1.11378700057911,0,1,1,0,0.113787000579115,0,0.022757400115823
2,1,1,no_new_outage,0,0,0.955033810314675,0,1,1,0,0,0,0
2,2,1,no_new_outage,0,0,0.955033810314675,0,1,1,0,0,0,0
2,3,1,no_new_outage,0,0,0.955033810314675,0,1,1,0,0,0,0
3,1,1,no_new_outage,0,0,0.80295157398254,0,1,1,0,0,0,0
3,2,1,no_new_outage,0,0,0.80295157398254,0,1,1,0,0,0,0
3,3,1,no_new_outage,0,0,0.80295157398254,0,1,1,0,0,0,0
4,1,1,no_new_outage,0,0,0.791869196582766,0,1,1,0,0,0,0
4,2,1,no_new_outage,0,0,0.791869196582766,0,1,1,0,0,0,0
4,3,1,no_new_outage,0,0,0.791869196582766,0,1,1,0,0,0,0
5,1,1,no_new_outage,0,0,0.831927425426279,0,1,1,0,0,0,0
5,2,1,no_new_outage,0,0,0.831927425426279,0,1,1,0,0,0,0
5,3,1,no_new_outage,0,0,0.831927425426279,0,1,1,0,0,0,0
