initial_branch,trial_id,stage_id,load_shedding_trigger,load_shedding_trigger_reason,max_line_loading_pu_before_shed,min_voltage_pu_before_shed,max_voltage_pu_before_shed,trigger_mode,load_shedding_mode,ols_status,objective_load_shed_mw,total_load_shed_mw,corrective_load_shed_mw,island_load_shed_mw,converged_after_shed,opf_success,pf_success_after_apply,num_shed_buses,max_bus_shed_mw,message
1,1,1,0,none,1.11378700057911,0.970104893641862,1.0375611031401,nonconverged_only,none,not_needed,0,0,0,0,1,0,1,0,0,潮流已收敛，无需切负荷。
1,1,2,0,none,1.3001732065106,0.956039406580139,1.02979281153721,nonconverged_only,none,not_needed,0,0,0,0,1,0,1,0,0,潮流已收敛，无需切负荷。
1,1,3,0,none,1.13463463350224,0.908713543098492,1.0576827,nonconverged_only,none,not_needed,0,852.5,0,852.5,1,0,1,0,0,潮流已收敛，无需切负荷。
1,1,4,1,nonconverged_powerflow,NaN,7.3827068768767e-06,6.12073798017669,nonconverged_only,both_diagnostic,success,364.016386120469,1225.71638612047,364.016386120469,861.7,1,1,1,16,195.071000853625,OLS求解成功，应用切负荷后潮流收敛。
1,1,5,1,nonconverged_powerflow,NaN,0.982,1.19314275916005,nonconverged_only,both_diagnostic,success,384.580222386408,2397.53322238641,384.580222386408,2012.953,1,1,1,15,206.761286910305,OLS求解成功，应用切负荷后潮流收敛。
1,2,1,0,none,1.11378700057911,0.970104893641862,1.0375611031401,nonconverged_only,none,not_needed,0,0,0,0,1,0,1,0,0,潮流已收敛，无需切负荷。
1,2,2,0,none,1.3001732065106,0.956039406580139,1.02979281153721,nonconverged_only,none,not_needed,0,0,0,0,1,0,1,0,0,潮流已收敛，无需切负荷。
1,2,3,0,none,1.13463463350224,0.908713543098492,1.0576827,nonconverged_only,none,not_needed,0,852.5,0,852.5,1,0,1,0,0,潮流已收敛，无需切负荷。
1,2,4,1,nonconverged_powerflow,NaN,7.3827068768767e-06,6.12073798017669,nonconverged_only,both_diagnostic,success,364.016386120469,1225.71638612047,364.016386120469,861.7,1,1,1,16,195.071000853625,OLS求解成功，应用切负荷后潮流收敛。
1,2,5,0,none,2.03463053642409,0.860683711182751,1.0576827,nonconverged_only,none,not_needed,0,2482.393,0,2482.393,1,0,1,0,0,潮流已收敛，无需切负荷。
1,3,1,0,none,1.11378700057911,0.970104893641862,1.0375611031401,nonconverged_only,none,not_needed,0,0,0,0,1,0,1,0,0,潮流已收敛，无需切负荷。
2,1,1,0,none,0.955033810314675,0.976796372877981,1.03822404750302,nonconverged_only,none,not_needed,0,0,0,0,1,0,1,0,0,潮流已收敛，无需切负荷。
2,2,1,0,none,0.955033810314675,0.976796372877981,1.03822404750302,nonconverged_only,none,not_needed,0,0,0,0,1,0,1,0,0,潮流已收敛，无需切负荷。
2,3,1,0,none,0.955033810314675,0.976796372877981,1.03822404750302,nonconverged_only,none,not_needed,0,0,0,0,1,0,1,0,0,潮流已收敛，无需切负荷。
3,1,1,0,none,0.80295157398254,0.977302393944421,1.03591924219648,nonconverged_only,none,not_needed,0,0,0,0,1,0,1,0,0,潮流已收敛，无需切负荷。
3,2,1,0,none,0.80295157398254,0.977302393944421,1.03591924219648,nonconverged_only,none,not_needed,0,0,0,0,1,0,1,0,0,潮流已收敛，无需切负荷。
3,3,1,0,none,0.80295157398254,0.977302393944421,1.03591924219648,nonconverged_only,none,not_needed,0,0,0,0,1,0,1,0,0,潮流已收敛，无需切负荷。
4,1,1,0,none,0.791869196582766,0.978848557265166,1.03813779655975,nonconverged_only,none,not_needed,0,0,0,0,1,0,1,0,0,潮流已收敛，无需切负荷。
4,2,1,0,none,0.791869196582766,0.978848557265166,1.03813779655975,nonconverged_only,none,not_needed,0,0,0,0,1,0,1,0,0,潮流已收敛，无需切负荷。
4,3,1,0,none,0.791869196582766,0.978848557265166,1.03813779655975,nonconverged_only,none,not_needed,0,0,0,0,1,0,1,0,0,潮流已收敛，无需切负荷。
5,1,1,0,none,0.831927425426279,0.96314083996954,1.0499,nonconverged_only,none,not_needed,0,0,0,0,1,0,1,0,0,潮流已收敛，无需切负荷。
5,2,1,0,none,0.831927425426279,0.96314083996954,1.0499,nonconverged_only,none,not_needed,0,0,0,0,1,0,1,0,0,潮流已收敛，无需切负荷。
5,3,1,0,none,0.831927425426279,0.96314083996954,1.0499,nonconverged_only,none,not_needed,0,0,0,0,1,0,1,0,0,潮流已收敛，无需切负荷。
