initial_branch,trial_id,stage_id,bus_id,voltage_pu,voltage_deviation_component,voltage_severity_component,severity_valid,replay_source
3,1,1,1,0.953674874629869,0,0,1,replayed_pf_result
3,1,1,2,1.01613497649933,0,0,1,replayed_pf_result
3,1,1,3,0.891697324282535,0.00830267571746457,0.485207861700526,1,replayed_pf_result
3,1,1,4,0.859599737931895,0.0404002620681048,2.39934182901025,1,replayed_pf_result
3,1,1,5,0.852880418432013,0.0471195815679869,2.80788354087711,1,replayed_pf_result
3,1,1,6,0.865439726124128,0.0345602738758721,2.04648732734913,1,replayed_pf_result
3,1,1,7,0.82018674726115,0.07981325273885,4.83534099554172,1,replayed_pf_result
3,1,1,8,0.803479369686649,0.0965206303133508,5.89730392660848,1,replayed_pf_result
3,1,1,9,0.815244839089476,0.0847551609105239,5.14761533106388,1,replayed_pf_result
3,1,1,10,0.912868184083381,0,0,1,replayed_pf_result
3,1,1,11,0.895337793351577,0.00466220664842287,0.271963048546449,1,replayed_pf_result
3,1,1,12,0.88254439995746,0.0174556000425397,1.02479343416703,1,replayed_pf_result
3,1,1,13,0.903510256361926,0,0,1,replayed_pf_result
3,1,1,14,0.890342817960517,0.00965718203948329,0.564748048370803,1,replayed_pf_result
3,1,1,15,0.925576399345498,0,0,1,replayed_pf_result
3,1,1,16,0.961448538166897,0,0,1,replayed_pf_result
3,1,1,17,0.933685780274153,0,0,1,replayed_pf_result
3,1,1,18,0.916023437771331,0,0,1,replayed_pf_result
3,1,1,19,1.02472665579803,0,0,1,replayed_pf_result
3,1,1,20,0.977615988076391,0,0,1,replayed_pf_result
3,1,1,21,0.986342977959213,0,0,1,replayed_pf_result
3,1,1,22,1.02771591607506,0,0,1,replayed_pf_result
3,1,1,23,1.02255589196597,0,0,1,replayed_pf_result
3,1,1,24,0.975058320324853,0,0,1,replayed_pf_result
3,1,1,25,0.952501444125101,0,0,1,replayed_pf_result
3,1,1,26,0.934370773012135,0,0,1,replayed_pf_result
3,1,1,27,0.919105602995463,0,0,1,replayed_pf_result
3,1,1,28,0.994501782914846,0,0,1,replayed_pf_result
3,1,1,29,1.01342407096535,0,0,1,replayed_pf_result
3,1,1,30,1.0499,0,0,1,replayed_pf_result
3,1,1,31,0.982,0,0,1,replayed_pf_result
3,1,1,32,0.9841,0,0,1,replayed_pf_result
3,1,1,33,0.9972,0,0,1,replayed_pf_result
3,1,1,34,1.0123,0,0,1,replayed_pf_result
3,1,1,35,1.0494,0,0,1,replayed_pf_result
3,1,1,36,1.0636,0,0,1,replayed_pf_result
3,1,1,37,1.0275,0,0,1,replayed_pf_result
3,1,1,38,1.0265,0,0,1,replayed_pf_result
3,1,1,39,1,0,0,1,replayed_pf_result
3,2,1,1,0.953674874629869,0,0,1,replayed_pf_result
3,2,1,2,1.01613497649933,0,0,1,replayed_pf_result
3,2,1,3,0.891697324282535,0.00830267571746457,0.485207861700526,1,replayed_pf_result
3,2,1,4,0.859599737931895,0.0404002620681048,2.39934182901025,1,replayed_pf_result
3,2,1,5,0.852880418432013,0.0471195815679869,2.80788354087711,1,replayed_pf_result
3,2,1,6,0.865439726124128,0.0345602738758721,2.04648732734913,1,replayed_pf_result
3,2,1,7,0.82018674726115,0.07981325273885,4.83534099554172,1,replayed_pf_result
3,2,1,8,0.803479369686649,0.0965206303133508,5.89730392660848,1,replayed_pf_result
3,2,1,9,0.815244839089476,0.0847551609105239,5.14761533106388,1,replayed_pf_result
3,2,1,10,0.912868184083381,0,0,1,replayed_pf_result
3,2,1,11,0.895337793351577,0.00466220664842287,0.271963048546449,1,replayed_pf_result
3,2,1,12,0.88254439995746,0.0174556000425397,1.02479343416703,1,replayed_pf_result
3,2,1,13,0.903510256361926,0,0,1,replayed_pf_result
3,2,1,14,0.890342817960517,0.00965718203948329,0.564748048370803,1,replayed_pf_result
3,2,1,15,0.925576399345498,0,0,1,replayed_pf_result
3,2,1,16,0.961448538166897,0,0,1,replayed_pf_result
3,2,1,17,0.933685780274153,0,0,1,replayed_pf_result
