initial_branch,trial_id,stage_id,bus_id,voltage_pu,voltage_deviation_component,voltage_severity_component,severity_valid,replay_source
25,1,2,3,0.694405778360401,0.205594221639599,13.2838920776295,1,replayed_after_load_shedding
25,2,2,3,0.694405778360401,0.205594221639599,13.2838920776295,1,replayed_after_load_shedding
25,3,2,3,0.694405778360401,0.205594221639599,13.2838920776295,1,replayed_after_load_shedding
25,4,2,3,0.694405778360401,0.205594221639599,13.2838920776295,1,replayed_after_load_shedding
25,5,2,3,0.694405778360401,0.205594221639599,13.2838920776295,1,replayed_after_load_shedding
25,1,2,4,0.702644109355889,0.197355890644111,12.6974223861945,1,replayed_after_load_shedding
25,2,2,4,0.702644109355889,0.197355890644111,12.6974223861945,1,replayed_after_load_shedding
25,3,2,4,0.702644109355889,0.197355890644111,12.6974223861945,1,replayed_after_load_shedding
25,4,2,4,0.702644109355889,0.197355890644111,12.6974223861945,1,replayed_after_load_shedding
25,5,2,4,0.702644109355889,0.197355890644111,12.6974223861945,1,replayed_after_load_shedding
25,1,2,15,0.704535741972124,0.195464258027876,12.5634416768978,1,replayed_after_load_shedding
25,2,2,15,0.704535741972124,0.195464258027876,12.5634416768978,1,replayed_after_load_shedding
25,3,2,15,0.704535741972124,0.195464258027876,12.5634416768978,1,replayed_after_load_shedding
25,4,2,15,0.704535741972124,0.195464258027876,12.5634416768978,1,replayed_after_load_shedding
25,5,2,15,0.704535741972124,0.195464258027876,12.5634416768978,1,replayed_after_load_shedding
35,3,2,3,0.737410685194313,0.162589314805687,10.2749964802031,1,replayed_after_load_shedding
35,3,2,4,0.74373491324871,0.15626508675129,9.84332614711192,1,replayed_after_load_shedding
25,1,2,14,0.74983492865028,0.15016507134972,9.42953835752347,1,replayed_after_load_shedding
25,2,2,14,0.74983492865028,0.15016507134972,9.42953835752347,1,replayed_after_load_shedding
25,3,2,14,0.74983492865028,0.15016507134972,9.42953835752347,1,replayed_after_load_shedding
25,4,2,14,0.74983492865028,0.15016507134972,9.42953835752347,1,replayed_after_load_shedding
25,5,2,14,0.74983492865028,0.15016507134972,9.42953835752347,1,replayed_after_load_shedding
27,1,2,3,0.757613129812216,0.142386870187784,8.90556076485123,1,replayed_after_load_shedding
27,1,2,8,0.757648167420728,0.142351832579272,8.90320966928639,1,replayed_after_load_shedding
27,1,2,7,0.762113513781246,0.137886486218754,8.60424897567858,1,replayed_after_load_shedding
27,1,2,4,0.764233356530451,0.135766643469549,8.46278939965061,1,replayed_after_load_shedding
31,3,2,3,0.765697551156868,0.134302448843132,8.36525693287892,1,replayed_after_load_shedding
31,3,2,4,0.772139308117869,0.127860691882131,7.93785282520292,1,replayed_after_load_shedding
27,1,2,5,0.77240897196483,0.12759102803517,7.92002086993678,1,replayed_after_load_shedding
27,1,2,6,0.781131526677222,0.118868473322778,7.34581360562565,1,replayed_after_load_shedding
38,4,2,3,0.781592098932219,0.118407901067781,7.31563304596236,1,replayed_after_load_shedding
35,3,2,14,0.782977198089298,0.117022801910702,7.22495343880559,1,replayed_after_load_shedding
11,2,2,3,0.784193322538002,0.115806677461998,7.14543974518112,1,replayed_after_load_shedding
38,4,2,4,0.787020075140471,0.112979924859529,6.96099175495167,1,replayed_after_load_shedding
11,2,2,4,0.789573033881682,0.110426966118318,6.79485653651765,1,replayed_after_load_shedding
22,1,2,3,0.794964685794882,0.105035314205118,6.44538242076008,1,replayed_after_load_shedding
22,2,2,3,0.794964685794882,0.105035314205118,6.44538242076008,1,replayed_after_load_shedding
44,4,2,3,0.795470932270809,0.104529067729191,6.41266538507186,1,replayed_after_load_shedding
45,2,2,3,0.795744323877224,0.104255676122776,6.39500387586634,1,replayed_after_load_shedding
43,1,2,3,0.796404376820477,0.103595623179523,6.35238335835495,1,replayed_after_load_shedding
43,5,2,3,0.796404376820477,0.103595623179523,6.35238335835495,1,replayed_after_load_shedding
11,2,2,8,0.796578035839167,0.103421964160833,6.34117463258944,1,replayed_after_load_shedding
35,3,2,8,0.798202617362826,0.101797382637174,6.23641113838512,1,replayed_after_load_shedding
36,4,2,3,0.798999532141702,0.101000467858298,6.18508312105943,1,replayed_after_load_shedding
22,1,2,4,0.800149293801964,0.0998507061980356,6.11110083829507,1,replayed_after_load_shedding
22,2,2,4,0.800149293801964,0.0998507061980356,6.11110083829507,1,replayed_after_load_shedding
44,4,2,4,0.800646554138228,0.0993534458617719,6.07913058636961,1,replayed_after_load_shedding
45,2,2,4,0.800915099602732,0.099084900397268,6.06187166042172,1,replayed_after_load_shedding
35,3,2,7,0.801472128505416,0.0985278714945836,6.02608720547408,1,replayed_after_load_shedding
43,1,2,4,0.801563471771157,0.0984365282288433,6.02022106561033,1,replayed_after_load_shedding
43,5,2,4,0.801563471771157,0.0984365282288433,6.02022106561033,1,replayed_after_load_shedding
35,3,2,12,0.801692833679337,0.0983071663206627,6.01191425389798,1,replayed_after_load_shedding
27,1,2,14,0.80265137631772,0.0973486236822799,5.95039611752796,1,replayed_after_load_shedding
3,1,1,8,0.803479369686649,0.0965206303133508,5.89730392660848,1,replayed_pf_result
3,2,1,8,0.803479369686649,0.0965206303133508,5.89730392660848,1,replayed_pf_result
3,3,1,8,0.803479369686649,0.0965206303133508,5.89730392660848,1,replayed_pf_result
3,4,1,8,0.803479369686649,0.0965206303133508,5.89730392660848,1,replayed_pf_result
3,5,1,8,0.803479369686649,0.0965206303133508,5.89730392660848,1,replayed_pf_result
36,4,2,4,0.804112964578782,0.0958870354212181,5.8567065405883,1,replayed_after_load_shedding
11,2,2,7,0.806348585387371,0.0936514146126293,5.7136651946587,1,replayed_after_load_shedding
32,3,2,8,0.806778207792556,0.0932217922074438,5.68621335020459,1,replayed_after_load_shedding
28,5,2,8,0.808279884611168,0.0917201153888324,5.59035239656324,1,replayed_after_load_shedding
27,1,2,12,0.809013816011688,0.0909861839883117,5.54355353912133,1,replayed_after_load_shedding
32,3,2,7,0.810695805807592,0.0893041941924078,5.43643156468344,1,replayed_after_load_shedding
35,3,2,13,0.811102077733851,0.0888979222661492,5.41058406629796,1,replayed_after_load_shedding
28,5,2,3,0.811568758304333,0.0884312416956666,5.38090625524984,1,replayed_after_load_shedding
28,5,2,7,0.812306972371031,0.0876930276289692,5.33398897503931,1,replayed_after_load_shedding
31,3,2,14,0.81231259954512,0.0876874004548801,5.33363147233607,1,replayed_after_load_shedding
35,3,2,5,0.81287900733168,0.0871209926683196,5.29765703716461,1,replayed_after_load_shedding
31,3,2,8,0.813749008791588,0.086250991208412,5.24244003226759,1,replayed_after_load_shedding
3,1,1,9,0.815244839089476,0.0847551609105239,5.14761533106388,1,replayed_pf_result
3,2,1,9,0.815244839089476,0.0847551609105239,5.14761533106388,1,replayed_pf_result
3,3,1,9,0.815244839089476,0.0847551609105239,5.14761533106388,1,replayed_pf_result
3,4,1,9,0.815244839089476,0.0847551609105239,5.14761533106388,1,replayed_pf_result
3,5,1,9,0.815244839089476,0.0847551609105239,5.14761533106388,1,replayed_pf_result
33,1,2,26,0.815881587070358,0.0841184129296423,5.10729318697784,1,replayed_after_load_shedding
35,3,2,6,0.816338216798362,0.083661783201638,5.07839285741977,1,replayed_after_load_shedding
14,1,1,8,0.816793568641561,0.0832064313584385,5.04958654425607,1,replayed_after_load_shedding
14,2,1,8,0.816793568641561,0.0832064313584385,5.04958654425607,1,replayed_after_load_shedding
14,3,1,8,0.816793568641561,0.0832064313584385,5.04958654425607,1,replayed_after_load_shedding
14,4,1,8,0.816793568641561,0.0832064313584385,5.04958654425607,1,replayed_after_load_shedding
14,5,1,8,0.816793568641561,0.0832064313584385,5.04958654425607,1,replayed_after_load_shedding
28,5,2,4,0.817094382386208,0.082905617613792,5.03056376127047,1,replayed_after_load_shedding
31,3,2,7,0.8171752014425,0.0828247985575005,5.02545392152038,1,replayed_after_load_shedding
26,2,2,4,0.818983546651465,0.0810164533485349,4.91122799811715,1,replayed_after_load_shedding
26,2,2,14,0.819714230465769,0.0802857695342308,4.86513219009072,1,replayed_after_load_shedding
3,1,1,7,0.82018674726115,0.07981325273885,4.83534099554172,1,replayed_pf_result
3,2,1,7,0.82018674726115,0.07981325273885,4.83534099554172,1,replayed_pf_result
3,3,1,7,0.82018674726115,0.07981325273885,4.83534099554172,1,replayed_pf_result
3,4,1,7,0.82018674726115,0.07981325273885,4.83534099554172,1,replayed_pf_result
3,5,1,7,0.82018674726115,0.07981325273885,4.83534099554172,1,replayed_pf_result
27,1,2,11,0.820290267148033,0.0797097328519673,4.82881616303326,1,replayed_after_load_shedding
27,2,2,8,0.821098752750792,0.0789012472492079,4.77788074887157,1,replayed_after_load_shedding
28,5,2,5,0.822290538284211,0.0777094617157891,4.70287210369862,1,replayed_after_load_shedding
38,4,2,14,0.822691329093001,0.0773086709069988,4.67766719556537,1,replayed_after_load_shedding
31,3,2,12,0.822807297448787,0.0771927025512126,4.6703760687898,1,replayed_after_load_shedding
35,3,2,11,0.823493332800293,0.0765066671997066,4.62726115710302,1,replayed_after_load_shedding
32,3,2,5,0.824303623429904,0.0756963765700961,4.57637532246556,1,replayed_after_load_shedding
27,2,2,7,0.824912213486416,0.0750877865135843,4.53818328508312,1,replayed_after_load_shedding
11,2,2,14,0.825050714406692,0.0749492855933082,4.52949491326132,1,replayed_after_load_shedding
25,1,2,13,0.825364545926122,0.0746354540738778,4.50981224025459,1,replayed_after_load_shedding
25,2,2,13,0.825364545926122,0.0746354540738778,4.50981224025459,1,replayed_after_load_shedding
25,3,2,13,0.825364545926122,0.0746354540738778,4.50981224025459,1,replayed_after_load_shedding
25,4,2,13,0.825364545926122,0.0746354540738778,4.50981224025459,1,replayed_after_load_shedding
25,5,2,13,0.825364545926122,0.0746354540738778,4.50981224025459,1,replayed_after_load_shedding
20,1,1,8,0.825935354737315,0.0740646452626853,4.47402847028925,1,replayed_pf_result
20,2,1,8,0.825935354737315,0.0740646452626853,4.47402847028925,1,replayed_pf_result
20,3,1,8,0.825935354737315,0.0740646452626853,4.47402847028925,1,replayed_pf_result
20,4,1,8,0.825935354737315,0.0740646452626853,4.47402847028925,1,replayed_pf_result
20,5,1,8,0.825935354737315,0.0740646452626853,4.47402847028925,1,replayed_pf_result
38,4,2,8,0.826504160599196,0.073495839400804,4.43839057691673,1,replayed_after_load_shedding
22,1,2,12,0.826777187944038,0.0732228120559621,4.42129155377517,1,replayed_after_load_shedding
22,2,2,12,0.826777187944038,0.0732228120559621,4.42129155377517,1,replayed_after_load_shedding
32,4,2,8,0.827437545865149,0.0725624541348515,4.37995427624929,1,replayed_after_load_shedding
27,1,2,13,0.827516936580148,0.0724830634198517,4.37498639106507,1,replayed_after_load_shedding
14,1,1,7,0.828268500622755,0.0717314993772452,4.32797669956457,1,replayed_after_load_shedding
14,2,1,7,0.828268500622755,0.0717314993772452,4.32797669956457,1,replayed_after_load_shedding
14,3,1,7,0.828268500622755,0.0717314993772452,4.32797669956457,1,replayed_after_load_shedding
14,4,1,7,0.828268500622755,0.0717314993772452,4.32797669956457,1,replayed_after_load_shedding
14,5,1,7,0.828268500622755,0.0717314993772452,4.32797669956457,1,replayed_after_load_shedding
33,1,2,27,0.828947519513018,0.0710524804869822,4.28553501484674,1,replayed_after_load_shedding
31,3,2,5,0.829141358019775,0.0708586419802255,4.2734245373325,1,replayed_after_load_shedding
32,3,2,6,0.829193504049432,0.0708064959505675,4.27016700268265,1,replayed_after_load_shedding
25,1,2,12,0.829500183888147,0.0704998161118534,4.25101231362379,1,replayed_after_load_shedding
25,2,2,12,0.829500183888147,0.0704998161118534,4.25101231362379,1,replayed_after_load_shedding
25,3,2,12,0.829500183888147,0.0704998161118534,4.25101231362379,1,replayed_after_load_shedding
25,4,2,12,0.829500183888147,0.0704998161118534,4.25101231362379,1,replayed_after_load_shedding
25,5,2,12,0.829500183888147,0.0704998161118534,4.25101231362379,1,replayed_after_load_shedding
28,5,2,6,0.82954492340292,0.0704550765970796,4.24821845234655,1,replayed_after_load_shedding
38,4,2,7,0.829648312485833,0.0703516875141674,4.2417625628768,1,replayed_after_load_shedding
11,2,2,12,0.83050306757776,0.0694969324222395,4.18841494219264,1,replayed_after_load_shedding
22,1,2,8,0.830877793190077,0.0691222068099225,4.16504165761291,1,replayed_after_load_shedding
22,2,2,8,0.830877793190077,0.0691222068099225,4.16504165761291,1,replayed_after_load_shedding
32,4,2,7,0.831656398471912,0.0683436015280876,4.11650461844146,1,replayed_after_load_shedding
6,5,2,27,0.832206747174462,0.0677932528255381,4.08221952815455,1,replayed_after_load_shedding
12,4,2,7,0.832407039011631,0.067592960988369,4.06974662367686,1,replayed_after_load_shedding
31,3,2,6,0.832779951777893,0.0672200482221075,4.04653063787739,1,replayed_after_load_shedding
38,4,2,12,0.8336268655933,0.0663731344067001,3.99383748027754,1,replayed_after_load_shedding
22,1,2,7,0.834003350906863,0.0659966490931373,3.97042769782043,1,replayed_after_load_shedding
22,2,2,7,0.834003350906863,0.0659966490931373,3.97042769782043,1,replayed_after_load_shedding
20,1,1,7,0.834289906901522,0.0657100930984782,3.95261560875406,1,replayed_pf_result
20,2,1,7,0.834289906901522,0.0657100930984782,3.95261560875406,1,replayed_pf_result
20,3,1,7,0.834289906901522,0.0657100930984782,3.95261560875406,1,replayed_pf_result
20,4,1,7,0.834289906901522,0.0657100930984782,3.95261560875406,1,replayed_pf_result
20,5,1,7,0.834289906901522,0.0657100930984782,3.95261560875406,1,replayed_pf_result
45,2,2,8,0.834318187254739,0.0656818127452605,3.95085800155802,1,replayed_after_load_shedding
31,3,2,13,0.83466009175482,0.0653399082451801,3.9296127720528,1,replayed_after_load_shedding
32,4,2,3,0.834712604749616,0.0652873952503841,3.92635036799988,1,replayed_after_load_shedding
44,4,2,8,0.83475564070002,0.0652443592999798,3.92367685923976,1,replayed_after_load_shedding
22,1,2,14,0.834843286536464,0.0651567134635362,3.91823242036775,1,replayed_after_load_shedding
22,2,2,14,0.834843286536464,0.0651567134635362,3.91823242036775,1,replayed_after_load_shedding
31,2,2,8,0.834963521990667,0.0650364780093325,3.91076433551766,1,replayed_after_load_shedding
31,5,2,8,0.834963521990667,0.0650364780093325,3.91076433551766,1,replayed_after_load_shedding
44,4,2,14,0.835304406486675,0.0646955935133245,3.88959614110681,1,replayed_after_load_shedding
43,1,2,8,0.835326162360803,0.0646738376391971,3.88824539303818,1,replayed_after_load_shedding
43,5,2,8,0.835326162360803,0.0646738376391971,3.88824539303818,1,replayed_after_load_shedding
45,2,2,14,0.835553460169978,0.0644465398300216,3.87413500402356,1,replayed_after_load_shedding
11,2,2,6,0.83569288002488,0.0643071199751198,3.86548156512525,1,replayed_after_load_shedding
6,5,2,26,0.835718611890725,0.0642813881092754,3.86388458496435,1,replayed_after_load_shedding
11,2,2,5,0.835740032469641,0.0642599675303592,3.86255520476008,1,replayed_after_load_shedding
35,3,2,10,0.835901561408569,0.0640984385914312,3.8525314919038,1,replayed_after_load_shedding
43,1,2,14,0.836154846203701,0.0638451537962986,3.83681710934811,1,replayed_after_load_shedding
43,5,2,14,0.836154846203701,0.0638451537962986,3.83681710934811,1,replayed_after_load_shedding
36,4,2,8,0.836750871389934,0.0632491286100662,3.79985400877019,1,replayed_after_load_shedding
27,2,2,5,0.836771700142074,0.0632282998579256,3.79856269114329,1,replayed_after_load_shedding
12,4,2,8,0.836930121392873,0.0630698786071268,3.78874194823444,1,replayed_after_load_shedding
45,2,2,7,0.837429258034359,0.0625707419656414,3.75780997869589,1,replayed_after_load_shedding
44,4,2,7,0.837864878152713,0.0621351218472873,3.73082680250955,1,replayed_after_load_shedding
3,2,2,8,0.838157181046406,0.0618428189535943,3.71272756884939,1,replayed_after_load_shedding
3,5,2,8,0.838157181046406,0.0618428189535943,3.71272756884939,1,replayed_after_load_shedding
43,1,2,7,0.838433011748485,0.061566988251515,3.69565313516725,1,replayed_after_load_shedding
43,5,2,7,0.838433011748485,0.061566988251515,3.69565313516725,1,replayed_after_load_shedding
36,4,2,14,0.838520598572319,0.0614794014276813,3.69023233291604,1,replayed_after_load_shedding
32,3,2,4,0.838971624938762,0.0610283750612384,3.6623255507106,1,replayed_after_load_shedding
31,2,2,7,0.838973708132404,0.0610262918675957,3.66219668449394,1,replayed_after_load_shedding
31,5,2,7,0.838973708132404,0.0610262918675957,3.66219668449394,1,replayed_after_load_shedding
45,4,2,28,0.839631803221287,0.0603681967787129,3.62150040205841,1,replayed_after_load_shedding
45,5,2,28,0.839631803221287,0.0603681967787129,3.62150040205841,1,replayed_after_load_shedding
36,4,2,7,0.839851771772016,0.0601482282279845,3.60790362407334,1,replayed_after_load_shedding
31,2,2,3,0.840218059776829,0.0597819402231714,3.58526912919769,1,replayed_after_load_shedding
31,5,2,3,0.840218059776829,0.0597819402231714,3.58526912919769,1,replayed_after_load_shedding
38,4,2,5,0.840586909284626,0.0594130907153742,3.56248472452278,1,replayed_after_load_shedding
32,4,2,4,0.841073972965127,0.0589260270348728,3.53241092044313,1,replayed_after_load_shedding
3,2,2,7,0.84125222944342,0.0587477705565801,3.52140811418097,1,replayed_after_load_shedding
3,5,2,7,0.84125222944342,0.0587477705565801,3.52140811418097,1,replayed_after_load_shedding
26,2,2,8,0.841341244380026,0.0586587556199742,3.51591443880732,1,replayed_after_load_shedding
26,5,2,8,0.84173474919228,0.0582652508077199,3.49163462350425,1,replayed_after_load_shedding
27,2,2,6,0.84223917091245,0.05776082908755,3.4605250448367,1,replayed_after_load_shedding
11,2,2,13,0.842476465152136,0.0575235348478643,3.44589564596483,1,replayed_after_load_shedding
31,3,2,11,0.842789964438412,0.057210035561588,3.42657346081981,1,replayed_after_load_shedding
45,2,2,12,0.843072888380155,0.0569271116198452,3.40914095291183,1,replayed_after_load_shedding
14,1,1,9,0.843181899334202,0.0568181006657977,3.40242550163466,1,replayed_after_load_shedding
14,2,1,9,0.843181899334202,0.0568181006657977,3.40242550163466,1,replayed_after_load_shedding
14,3,1,9,0.843181899334202,0.0568181006657977,3.40242550163466,1,replayed_after_load_shedding
14,4,1,9,0.843181899334202,0.0568181006657977,3.40242550163466,1,replayed_after_load_shedding
14,5,1,9,0.843181899334202,0.0568181006657977,3.40242550163466,1,replayed_after_load_shedding
44,4,2,12,0.843270843089966,0.0567291569100339,3.39694680137595,1,replayed_after_load_shedding
32,4,2,5,0.843470731098475,0.056529268901525,3.38463600638247,1,replayed_after_load_shedding
27,1,2,10,0.843497273919166,0.056502726080834,3.383001459951,1,replayed_after_load_shedding
38,4,2,13,0.843873671867132,0.0561263281328676,3.35982698300692,1,replayed_after_load_shedding
38,4,2,6,0.843879779023598,0.0561202209764017,3.35945104288495,1,replayed_after_load_shedding
43,1,2,12,0.843929891635581,0.0560701083644187,3.35636633202104,1,replayed_after_load_shedding
43,5,2,12,0.843929891635581,0.0560701083644187,3.35636633202104,1,replayed_after_load_shedding
3,2,2,4,0.844240889541835,0.0557591104581651,3.33722613182204,1,replayed_after_load_shedding
3,5,2,4,0.844240889541835,0.0557591104581651,3.33722613182204,1,replayed_after_load_shedding
20,1,1,12,0.844637917294239,0.0553620827057612,3.31279991930668,1,replayed_pf_result
20,2,1,12,0.844637917294239,0.0553620827057612,3.31279991930668,1,replayed_pf_result
20,3,1,12,0.844637917294239,0.0553620827057612,3.31279991930668,1,replayed_pf_result
20,4,1,12,0.844637917294239,0.0553620827057612,3.31279991930668,1,replayed_pf_result
