initial_branch,trial_id,chain_depth,terminated_reason,total_load_shed_mw,total_load_shed_frac,max_line_loading_pu,max_voltage_deviation_pu,num_total_outaged_branches,final_converged,basic_LLR,basic_LFOR,basic_NVOR,basic_CRI
1,1,1,powerflow_not_converged,1876.269,0.3,NaN,NaN,1,0,1,1,1,1
1,2,1,powerflow_not_converged,1876.269,0.3,NaN,NaN,1,0,1,1,1,1
1,3,1,powerflow_not_converged,1876.269,0.3,NaN,NaN,1,0,1,1,1,1
1,4,1,powerflow_not_converged,1876.269,0.3,NaN,NaN,1,0,1,1,1,1
1,5,1,powerflow_not_converged,1876.269,0.3,NaN,NaN,1,0,1,1,1,1
1,6,1,powerflow_not_converged,1876.269,0.3,NaN,NaN,1,0,1,1,1,1
1,7,1,powerflow_not_converged,1876.269,0.3,NaN,NaN,1,0,1,1,1,1
1,8,1,powerflow_not_converged,1876.269,0.3,NaN,NaN,1,0,1,1,1,1
1,9,1,powerflow_not_converged,1876.269,0.3,NaN,NaN,1,0,1,1,1,1
1,10,1,powerflow_not_converged,1876.269,0.3,NaN,NaN,1,0,1,1,1,1
1,11,1,powerflow_not_converged,1876.269,0.3,NaN,NaN,1,0,1,1,1,1
1,12,1,powerflow_not_converged,1876.269,0.3,NaN,NaN,1,0,1,1,1,1
1,13,1,powerflow_not_converged,1876.269,0.3,NaN,NaN,1,0,1,1,1,1
1,14,1,powerflow_not_converged,1876.269,0.3,NaN,NaN,1,0,1,1,1,1
1,15,1,powerflow_not_converged,1876.269,0.3,NaN,NaN,1,0,1,1,1,1
1,16,1,powerflow_not_converged,1876.269,0.3,NaN,NaN,1,0,1,1,1,1
1,17,1,powerflow_not_converged,1876.269,0.3,NaN,NaN,1,0,1,1,1,1
1,18,1,powerflow_not_converged,1876.269,0.3,NaN,NaN,1,0,1,1,1,1
1,19,1,powerflow_not_converged,1876.269,0.3,NaN,NaN,1,0,1,1,1,1
1,20,1,powerflow_not_converged,1876.269,0.3,NaN,NaN,1,0,1,1,1,1
2,1,1,powerflow_not_converged,1876.269,0.3,NaN,NaN,1,0,1,1,1,1
2,2,1,powerflow_not_converged,1876.269,0.3,NaN,NaN,1,0,1,1,1,1
2,3,1,powerflow_not_converged,1876.269,0.3,NaN,NaN,1,0,1,1,1,1
2,4,1,powerflow_not_converged,1876.269,0.3,NaN,NaN,1,0,1,1,1,1
2,5,1,powerflow_not_converged,1876.269,0.3,NaN,NaN,1,0,1,1,1,1
2,6,1,powerflow_not_converged,1876.269,0.3,NaN,NaN,1,0,1,1,1,1
2,7,1,powerflow_not_converged,1876.269,0.3,NaN,NaN,1,0,1,1,1,1
2,8,1,powerflow_not_converged,1876.269,0.3,NaN,NaN,1,0,1,1,1,1
2,9,1,powerflow_not_converged,1876.269,0.3,NaN,NaN,1,0,1,1,1,1
2,10,1,powerflow_not_converged,1876.269,0.3,NaN,NaN,1,0,1,1,1,1
2,11,1,powerflow_not_converged,1876.269,0.3,NaN,NaN,1,0,1,1,1,1
2,12,1,powerflow_not_converged,1876.269,0.3,NaN,NaN,1,0,1,1,1,1
