initial_branch,trial_id,stage_id,branch_index,from_bus,to_bus,PF,PT,active_flow_mw,active_limit_mw,P_li_pu,P_li_max_pu,line_overlimit_component,line_severity_component,severity_valid,replay_source
6,3,2,4,2,25,1360.99085685868,-1241.45075462548,1360.99085685868,500,2.72198171371736,1,1.72198171371736,267.453586357098,1,replayed_after_load_shedding
45,4,2,4,2,25,1354.25176726325,-1230.63160223749,1354.25176726325,500,2.7085035345265,1,1.7085035345265,263.093847034303,1,replayed_after_load_shedding
45,5,2,4,2,25,1354.25176726325,-1230.63160223749,1354.25176726325,500,2.7085035345265,1,1.7085035345265,263.093847034303,1,replayed_after_load_shedding
9,3,2,4,2,25,1350.31033445379,-1232.65218803879,1350.31033445379,500,2.70062066890759,1,1.70062066890759,260.571105455533,1,replayed_after_load_shedding
44,2,2,4,2,25,1349.21313167584,-1226.67490309234,1349.21313167584,500,2.69842626335167,1,1.69842626335167,259.872364423109,1,replayed_after_load_shedding
43,2,2,4,2,25,1346.21286004725,-1224.68804330813,1346.21286004725,500,2.6924257200945,1,1.6924257200945,257.969486279593,1,replayed_after_load_shedding
43,3,2,4,2,25,1346.21286004725,-1224.68804330813,1346.21286004725,500,2.6924257200945,1,1.6924257200945,257.969486279593,1,replayed_after_load_shedding
28,2,2,4,2,25,1325.90734215647,-1211.32789940186,1325.90734215647,500,2.65181468431294,1,1.65181468431294,245.386837050947,1,replayed_after_load_shedding
38,3,2,4,2,25,1324.83111534029,-1210.67325810804,1324.83111534029,500,2.64966223068059,1,1.64966223068059,244.734088232342,1,replayed_after_load_shedding
36,1,2,4,2,25,1319.28845520804,-1206.69563843046,1319.28845520804,500,2.63857691041607,1,1.63857691041607,241.394536862803,1,replayed_after_load_shedding
6,2,2,4,2,25,1318.62073187864,-1206.2029934398,1318.62073187864,500,2.63724146375727,1,1.63724146375727,240.994714480382,1,replayed_after_load_shedding
