initial_branch,trial_id,stage_id,initial_outage_probability,stage_transition_probability,stage_cumulative_probability,probability_source,num_selected_candidates,num_unselected_candidates,stage_load_shed_mw,base_load_mw,stage_load_shed_frac,pf_converged,severity_valid,invalid_reason,replay_source
1,1,1,0.000438,1,0.000438,paper_table_4_1_initial_probability + candidate_transition_probability (no_candidate_table_transition_probability_set_to_1),0,0,1876.269,6254.23,0.3,0,0,nonconverged_power_flow,invalid_nonconverged
1,2,1,0.000438,1,0.000438,paper_table_4_1_initial_probability + candidate_transition_probability (no_candidate_table_transition_probability_set_to_1),0,0,1876.269,6254.23,0.3,0,0,nonconverged_power_flow,invalid_nonconverged
1,3,1,0.000438,1,0.000438,paper_table_4_1_initial_probability + candidate_transition_probability (no_candidate_table_transition_probability_set_to_1),0,0,1876.269,6254.23,0.3,0,0,nonconverged_power_flow,invalid_nonconverged
1,4,1,0.000438,1,0.000438,paper_table_4_1_initial_probability + candidate_transition_probability (no_candidate_table_transition_probability_set_to_1),0,0,1876.269,6254.23,0.3,0,0,nonconverged_power_flow,invalid_nonconverged
1,5,1,0.000438,1,0.000438,paper_table_4_1_initial_probability + candidate_transition_probability (no_candidate_table_transition_probability_set_to_1),0,0,1876.269,6254.23,0.3,0,0,nonconverged_power_flow,invalid_nonconverged
2,1,1,0.000582,1,0.000582,paper_table_4_1_initial_probability + candidate_transition_probability (no_candidate_table_transition_probability_set_to_1),0,0,1876.269,6254.23,0.3,0,0,nonconverged_power_flow,invalid_nonconverged
2,2,1,0.000582,1,0.000582,paper_table_4_1_initial_probability + candidate_transition_probability (no_candidate_table_transition_probability_set_to_1),0,0,1876.269,6254.23,0.3,0,0,nonconverged_power_flow,invalid_nonconverged
2,3,1,0.000582,1,0.000582,paper_table_4_1_initial_probability + candidate_transition_probability (no_candidate_table_transition_probability_set_to_1),0,0,1876.269,6254.23,0.3,0,0,nonconverged_power_flow,invalid_nonconverged
2,4,1,0.000582,1,0.000582,paper_table_4_1_initial_probability + candidate_transition_probability (no_candidate_table_transition_probability_set_to_1),0,0,1876.269,6254.23,0.3,0,0,nonconverged_power_flow,invalid_nonconverged
2,5,1,0.000582,1,0.000582,paper_table_4_1_initial_probability + candidate_transition_probability (no_candidate_table_transition_probability_set_to_1),0,0,1876.269,6254.23,0.3,0,0,nonconverged_power_flow,invalid_nonconverged
3,1,1,0.000378,0.043956710735361,1.66156366579665e-05,paper_table_4_1_initial_probability + candidate_transition_probability,9,36,0,6254.23,0,1,1,none,replayed_pf_result
3,1,2,0.000378,1,1.66156366579665e-05,paper_table_4_1_initial_probability + candidate_transition_probability (no_candidate_table_transition_probability_set_to_1),0,0,3318.689,6254.23,0.53063110886552,0,0,nonconverged_power_flow,invalid_nonconverged
3,2,1,0.000378,0.0771710082119974,2.9170641104135e-05,paper_table_4_1_initial_probability + candidate_transition_probability,7,38,0,6254.23,0,1,1,none,replayed_pf_result
3,2,2,0.000378,0,0,paper_table_4_1_initial_probability + candidate_transition_probability,0,31,3109.0075,6254.23,0.497104759498771,1,1,none,replayed_after_load_shedding
3,3,1,0.000378,0.00111415583258631,4.21150904717627e-07,paper_table_4_1_initial_probability + candidate_transition_probability,9,36,0,6254.23,0,1,1,none,replayed_pf_result
3,3,2,0.000378,0,0,paper_table_4_1_initial_probability + candidate_transition_probability,0,12,4095.13,6254.23,0.654777646488856,1,1,none,replayed_pf_result
3,4,1,0.000378,0.0154784724082856,5.85086257033197e-06,paper_table_4_1_initial_probability + candidate_transition_probability,8,37,0,6254.23,0,1,1,none,replayed_pf_result
3,4,2,0.000378,1,5.85086257033197e-06,paper_table_4_1_initial_probability + candidate_transition_probability (no_candidate_table_transition_probability_set_to_1),0,0,3318.689,6254.23,0.53063110886552,0,0,nonconverged_power_flow,invalid_nonconverged
3,5,1,0.000378,0.219154939560773,8.28405671539723e-05,paper_table_4_1_initial_probability + candidate_transition_probability,8,37,0,6254.23,0,1,1,none,replayed_pf_result
3,5,2,0.000378,0,0,paper_table_4_1_initial_probability + candidate_transition_probability,0,31,3109.0075,6254.23,0.497104759498771,1,1,none,replayed_after_load_shedding
4,1,1,0.000445,0.171201707470602,7.61847598244178e-05,paper_table_4_1_initial_probability + candidate_transition_probability,10,35,0,6254.23,0,1,1,none,replayed_pf_result
4,1,2,0.000445,0,0,paper_table_4_1_initial_probability + candidate_transition_probability,0,21,3290.89,6254.23,0.52618627712764,1,1,none,replayed_after_load_shedding
4,2,1,0.000445,0.0404332145477883,1.79927804737658e-05,paper_table_4_1_initial_probability + candidate_transition_probability,10,35,0,6254.23,0,1,1,none,replayed_pf_result
4,2,2,0.000445,0,0,paper_table_4_1_initial_probability + candidate_transition_probability,0,20,3281.63,6254.23,0.52470567919632,1,1,none,replayed_pf_result
4,3,1,0.000445,0.507937162585227,0.000226032037350426,paper_table_4_1_initial_probability + candidate_transition_probability,9,36,0,6254.23,0,1,1,none,replayed_pf_result
4,3,2,0.000445,0,0,paper_table_4_1_initial_probability + candidate_transition_probability,0,21,3290.89,6254.23,0.52618627712764,1,1,none,replayed_after_load_shedding
4,4,1,0.000445,0.100518861253505,4.47308932578097e-05,paper_table_4_1_initial_probability + candidate_transition_probability,8,37,0,6254.23,0,1,1,none,replayed_pf_result
4,4,2,0.000445,0,0,paper_table_4_1_initial_probability + candidate_transition_probability,0,21,3290.89,6254.23,0.52618627712764,1,1,none,replayed_after_load_shedding
