initial_branch,trial_id,stage_id,pf_converged,severity_valid,invalid_reason,replay_source,stage_load_shed_mw,base_load_mw,stage_cumulative_probability,max_P_li_pu_if_available,min_voltage_pu_if_available,max_voltage_pu_if_available
1,14,5,0,0,nonconverged_power_flow,invalid_nonconverged,3285.3361,6254.23,1.0704564188684e-06,1265.99926972579,0.0511175865119367,8.64655131072249
8,3,4,0,0,nonconverged_power_flow,invalid_nonconverged,4618.9285,6254.23,1.23571302658901e-07,228.507135717317,0.0276802516989559,8.42324716209936
8,12,4,0,0,nonconverged_power_flow,invalid_nonconverged,4099.567,6254.23,6.1986529403278e-09,4.09739387219267,0.496006158925541,1.0576827
9,17,5,0,0,nonconverged_power_flow,invalid_nonconverged,3996.8,6254.23,5.21438027298632e-09,2.47263561713382,0.0158850928033304,1.0636
10,2,5,0,0,nonconverged_power_flow,invalid_nonconverged,4166.7285,6254.23,3.75238425956167e-08,1.48140151284275,0.702537303270956,1.0576827
10,15,3,0,0,nonconverged_power_flow,invalid_nonconverged,1888.68,6254.23,7.47817790400206e-07,27.4644869531099,0.0220460733345909,3.95335166094466
13,11,5,0,0,nonconverged_power_flow,invalid_nonconverged,4166.7285,6254.23,3.61568614086683e-07,1.48140151284275,0.702537303270956,1.0576827
14,9,4,0,0,nonconverged_power_flow,invalid_nonconverged,3623.413,6254.23,5.20468873710576e-08,1175.80407473444,0.183538506383727,10.8771665596537
14,18,3,0,0,nonconverged_power_flow,invalid_nonconverged,3144.2161,6254.23,2.71815690517513e-08,1.37218047718165,0.961664023188896,1.38192930742321
18,7,5,0,0,nonconverged_power_flow,invalid_nonconverged,3618.0391,6254.23,5.40708207765691e-09,10.5606741358295,0.000519846915493514,2.6089737011508
19,2,5,0,0,nonconverged_power_flow,invalid_nonconverged,4275.89665,6254.23,1.53268304381437e-11,2.88971749585568,0.160712824178992,1.12941725094591
20,3,4,0,0,nonconverged_power_flow,invalid_nonconverged,4085.49665,6254.23,2.98624457078821e-06,1.85284691872091,0.0026679395800128,1.0636
20,11,3,0,0,nonconverged_power_flow,invalid_nonconverged,1882.709,6254.23,2.71306243663546e-06,333.687348578497,0.0963460181455033,6.77733315889249
20,16,4,0,0,nonconverged_power_flow,invalid_nonconverged,4151.0191,6254.23,9.90821509515785e-08,12.9706398729173,0.136575390879468,3.31751613450691
23,16,5,0,0,nonconverged_power_flow,invalid_nonconverged,4618.9285,6254.23,2.65332248567462e-06,228.507135717317,0.0276802516989559,8.42324716209936
23,17,5,0,0,nonconverged_power_flow,invalid_nonconverged,3149.59,6254.23,2.14963662854108e-06,1.37218047718165,0.635939110720913,1.0525613
33,5,4,0,0,nonconverged_power_flow,invalid_nonconverged,3517.279,6254.23,5.08896060386012e-08,117.516496366048,0.000599489050107233,5.78908742121684
