branch_index,from_bus,to_bus,island_count,main_island_id,disconnected_load_mw,disconnected_generation_mw,disconnected_wind_mw,new_slack_bus,main_island_load_mw,main_island_load_share,main_island_generation_mw,main_island_gen_share,original_slack_island_id,original_slack_island_load_mw,original_slack_island_load_share,original_slack_island_generation_mw,main_island_selection_reason
1,1,2,1,1,0,0,0,31,6254.23,1,6329.66771458953,1,1,6254.23,1,6329.66771458953,original_slack_island_has_sufficient_load
2,1,39,1,1,0,0,0,31,6254.23,1,6329.66771458953,1,1,6254.23,1,6329.66771458953,original_slack_island_has_sufficient_load
3,2,3,1,1,0,0,0,31,6254.23,1,6329.66771458953,1,1,6254.23,1,6329.66771458953,original_slack_island_has_sufficient_load
4,2,25,1,1,0,0,0,31,6254.23,1,6329.66771458953,1,1,6254.23,1,6329.66771458953,original_slack_island_has_sufficient_load
5,2,30,2,1,0,447.56884699212,343.98265,31,6254.23,1,5882.09886759741,0.929290309195774,1,6254.23,1,5882.09886759741,original_slack_island_has_sufficient_load
6,3,4,1,1,0,0,0,31,6254.23,1,6329.66771458953,1,1,6254.23,1,6329.66771458953,original_slack_island_has_sufficient_load
7,3,18,1,1,0,0,0,31,6254.23,1,6329.66771458953,1,1,6254.23,1,6329.66771458953,original_slack_island_has_sufficient_load
8,4,5,1,1,0,0,0,31,6254.23,1,6329.66771458953,1,1,6254.23,1,6329.66771458953,original_slack_island_has_sufficient_load
9,4,14,1,1,0,0,0,31,6254.23,1,6329.66771458953,1,1,6254.23,1,6329.66771458953,original_slack_island_has_sufficient_load
10,5,6,1,1,0,0,0,31,6254.23,1,6329.66771458953,1,1,6254.23,1,6329.66771458953,original_slack_island_has_sufficient_load
11,5,8,1,1,0,0,0,31,6254.23,1,6329.66771458953,1,1,6254.23,1,6329.66771458953,original_slack_island_has_sufficient_load
12,6,7,1,1,0,0,0,31,6254.23,1,6329.66771458953,1,1,6254.23,1,6329.66771458953,original_slack_island_has_sufficient_load
13,6,11,1,1,0,0,0,31,6254.23,1,6329.66771458953,1,1,6254.23,1,6329.66771458953,original_slack_island_has_sufficient_load
14,6,31,2,1,9.2,1021.85365,343.98265,39,6245.03,0.998528995575794,5307.81406458953,0.838561249013959,2,9.2,0.0014710044242057,1021.85365,largest_load_island_selected
15,7,8,1,1,0,0,0,31,6254.23,1,6329.66771458953,1,1,6254.23,1,6329.66771458953,original_slack_island_has_sufficient_load
16,8,9,1,1,0,0,0,31,6254.23,1,6329.66771458953,1,1,6254.23,1,6329.66771458953,original_slack_island_has_sufficient_load
17,9,39,1,1,0,0,0,31,6254.23,1,6329.66771458953,1,1,6254.23,1,6329.66771458953,original_slack_island_has_sufficient_load
18,10,11,1,1,0,0,0,31,6254.23,1,6329.66771458953,1,1,6254.23,1,6329.66771458953,original_slack_island_has_sufficient_load
19,10,13,1,1,0,0,0,31,6254.23,1,6329.66771458953,1,1,6254.23,1,6329.66771458953,original_slack_island_has_sufficient_load
20,10,32,2,1,0,599.448999022809,343.98265,31,6254.23,1,5730.21871556672,0.905295344708047,1,6254.23,1,5730.21871556672,original_slack_island_has_sufficient_load
21,12,11,1,1,0,0,0,31,6254.23,1,6329.66771458953,1,1,6254.23,1,6329.66771458953,original_slack_island_has_sufficient_load
22,12,13,1,1,0,0,0,31,6254.23,1,6329.66771458953,1,1,6254.23,1,6329.66771458953,original_slack_island_has_sufficient_load
23,13,14,1,1,0,0,0,31,6254.23,1,6329.66771458953,1,1,6254.23,1,6329.66771458953,original_slack_island_has_sufficient_load
24,14,15,1,1,0,0,0,31,6254.23,1,6329.66771458953,1,1,6254.23,1,6329.66771458953,original_slack_island_has_sufficient_load
25,15,16,1,1,0,0,0,31,6254.23,1,6329.66771458953,1,1,6254.23,1,6329.66771458953,original_slack_island_has_sufficient_load
26,16,17,1,1,0,0,0,31,6254.23,1,6329.66771458953,1,1,6254.23,1,6329.66771458953,original_slack_island_has_sufficient_load
27,16,19,2,1,680,1135.23293598363,687.9653,31,5574.23,0.89127358603697,5194.4347786059,0.820648889140424,1,5574.23,0.89127358603697,5194.4347786059,original_slack_island_has_sufficient_load
28,16,21,1,1,0,0,0,31,6254.23,1,6329.66771458953,1,1,6254.23,1,6329.66771458953,original_slack_island_has_sufficient_load
29,16,24,1,1,0,0,0,31,6254.23,1,6329.66771458953,1,1,6254.23,1,6329.66771458953,original_slack_island_has_sufficient_load
30,17,18,1,1,0,0,0,31,6254.23,1,6329.66771458953,1,1,6254.23,1,6329.66771458953,original_slack_island_has_sufficient_load
31,17,27,1,1,0,0,0,31,6254.23,1,6329.66771458953,1,1,6254.23,1,6329.66771458953,original_slack_island_has_sufficient_load
32,19,20,2,1,680,543.228978619371,343.98265,31,5574.23,0.89127358603697,5786.43873597016,0.914177330767734,1,5574.23,0.89127358603697,5786.43873597016,original_slack_island_has_sufficient_load
33,19,33,2,1,0,592.003957364255,343.98265,31,6254.23,1,5737.66375722527,0.90647155837269,1,6254.23,1,5737.66375722527,original_slack_island_has_sufficient_load
34,20,34,2,1,0,543.228978619371,343.98265,31,6254.23,1,5786.43873597016,0.914177330767734,1,6254.23,1,5786.43873597016,original_slack_island_has_sufficient_load
35,21,22,1,1,0,0,0,31,6254.23,1,6329.66771458953,1,1,6254.23,1,6329.66771458953,original_slack_island_has_sufficient_load
36,22,23,1,1,0,0,0,31,6254.23,1,6329.66771458953,1,1,6254.23,1,6329.66771458953,original_slack_island_has_sufficient_load
37,22,35,2,1,0,599.182907562498,343.98265,31,6254.23,1,5730.48480702703,0.905337383480429,1,6254.23,1,5730.48480702703,original_slack_island_has_sufficient_load
38,23,24,1,1,0,0,0,31,6254.23,1,6329.66771458953,1,1,6254.23,1,6329.66771458953,original_slack_island_has_sufficient_load
39,23,36,2,1,0,563.7643202371,343.98265,31,6254.23,1,5765.90339435243,0.91093303066484,1,6254.23,1,5765.90339435243,original_slack_island_has_sufficient_load
40,25,26,1,1,0,0,0,31,6254.23,1,6329.66771458953,1,1,6254.23,1,6329.66771458953,original_slack_island_has_sufficient_load
41,25,37,2,1,0,555.947986218069,343.98265,31,6254.23,1,5773.71972837146,0.912167903389835,1,6254.23,1,5773.71972837146,original_slack_island_has_sufficient_load
42,26,27,1,1,0,0,0,31,6254.23,1,6329.66771458953,1,1,6254.23,1,6329.66771458953,original_slack_island_has_sufficient_load
43,26,28,1,1,0,0,0,31,6254.23,1,6329.66771458953,1,1,6254.23,1,6329.66771458953,original_slack_island_has_sufficient_load
