initial_branch,sigma,sample_count,initial_branch_weight,SLLR,SLFOR,SNVOR,CRI
10,0.95,20,NaN,0.00153076936134952,0.1817331814785,0.00711912198867672,0.038688922310245
35,0.95,20,NaN,0.00219098999714778,0.0319172629758385,0.00110805706847004,0.00791965800715037
1,0.95,20,NaN,0.00397234928346444,0.0192114181529728,0.000487117963249126,0.00632311679332305
20,0.95,20,NaN,0.00204123031984781,0.00955598947423495,0.00638671653943591,0.00441327939464285
14,0.95,20,NaN,0.00141228284738663,0.0153110266407566,0.000180177867251292,0.00394561061003356
11,0.95,20,NaN,0.00329605284290692,0.00443494666020282,0.00254734294811781,0.00337408962740828
32,0.95,20,NaN,0.00497777265958604,0,0,0.00298666359575163
23,0.95,20,NaN,0.000796351115995849,0.00655530315787863,0.000615641469539898,0.00191199959508122
46,0.95,20,NaN,0.000787866379743947,0.00486620489421328,0.000481793283384114,0.00154231946336585
37,0.95,20,NaN,0.000591935159540019,0.00529638620262597,0.00035793247066254,0.00148602483038171
12,0.95,20,NaN,0.00103483632849065,0.00146312275712844,0.000799769648569082,0.0010734802782339
28,0.95,20,NaN,0.000660730761174608,0.00275814762899067,0.000193486834257983,0.000986765349354496
39,0.95,20,NaN,4.92135891317598e-05,0.00311728439792453,0.000115852405048309,0.000676155514073623
38,0.95,20,NaN,0.000446551740989995,0.00183594042869473,8.74137158971618e-05,0.000652601873512376
19,0.95,20,NaN,8.03681394512371e-05,0.00100906945676073,0.000546237153811215,0.000359282205785131
17,0.95,20,NaN,0.000481224462349804,0.00029903688571588,0,0.000348542054553059
40,0.95,20,NaN,0.000189851338024142,0.000644756387628469,4.60586292242117e-06,0.000243783252924663
42,0.95,20,NaN,2.02042217447402e-05,0.000793950127571289,2.54051628743684e-06,0.000171420661818589
34,0.95,20,NaN,2.35014057300406e-05,0.000255776619447726,1.56380157256566e-05,6.83837704727009e-05
13,0.95,20,NaN,2.0735099922769e-06,0.000296390419036754,1.06206511028066e-05,6.26463200232783e-05
27,0.95,20,NaN,9.75752568595298e-05,1.07292570677744e-05,2.60561020470993e-09,6.06915266513137e-05
33,0.95,20,NaN,6.2187534679197e-06,0.000230814532460781,1.65800750788574e-05,5.32101735886796e-05
2,0.95,20,NaN,0,0.000208979231086207,0,4.17958462172413e-05
5,0.95,20,NaN,8.75181969686224e-06,8.61245162980719e-05,1.26080697188003e-05,2.49976090214918e-05
41,0.95,20,NaN,3.06680458590043e-06,0.00011064873463299,5.8018606887548e-10,2.39699457153521e-05
8,0.95,20,NaN,5.3441527835505e-06,8.0381171250767e-05,3.91147056290241e-07,1.93609553315417e-05
18,0.95,20,NaN,7.28532070274011e-09,4.58290380048162e-06,3.11273241548291e-07,9.83206600827627e-07
3,0.95,20,NaN,0,0,0,0
4,0.95,20,NaN,0,0,0,0
6,0.95,20,NaN,0,0,0,0
7,0.95,20,NaN,0,0,0,0
9,0.95,20,NaN,0,0,0,0
15,0.95,20,NaN,0,0,0,0
16,0.95,20,NaN,0,0,0,0
21,0.95,20,NaN,0,0,0,0
22,0.95,20,NaN,0,0,0,0
24,0.95,20,NaN,0,0,0,0
25,0.95,20,NaN,0,0,0,0
26,0.95,20,NaN,0,0,0,0
29,0.95,20,NaN,0,0,0,0
30,0.95,20,NaN,0,0,0,0
31,0.95,20,NaN,0,0,0,0
36,0.95,20,NaN,0,0,0,0
43,0.95,20,NaN,0,0,0,0
44,0.95,20,NaN,0,0,0,0
45,0.95,20,NaN,0,0,0,0
