initial_branch,trial_id,stage_id,new_outaged_branches,all_outaged_branches,island_count,disconnected_load_mw,new_slack_bus,converged,load_shed_mw,num_overloaded_lines,max_line_loading_pu,num_voltage_violations,max_voltage_deviation_pu,num_candidate_lines,num_selected_trips
1,1,1,"3","1",1,0,31,1,0,1,1.20737865633305,0,0,45,1
1,1,2,"40,42","1,3",1,0,31,1,0,3,1.39297454377971,0,0,44,2
1,1,3,"14","1,3,40,42",3,852.5,31,1,852.5,2,1.31473819562907,5,0.0293481191237772,35,1
1,1,4,"16,27","1,3,14,40,42",10,9.2,39,1,1400.953,2,1.17532257464517,5,0.0296502663318875,34,2
1,1,5,"","1,3,14,16,27,40,42",12,1699.29,32,1,3573.34105,5,2.33756978569022,18,0.123181960023223,27,0
1,2,1,"3","1",1,0,31,1,0,1,1.20737865633305,0,0,45,1
1,2,2,"40,42","1,3",1,0,31,1,0,3,1.39297454377971,0,0,44,2
1,2,3,"14","1,3,40,42",3,852.5,31,1,852.5,2,1.31473819562907,5,0.0293481191237772,35,1
1,2,4,"16,17","1,3,14,40,42",10,9.2,39,1,1400.953,2,1.17532257464517,5,0.0296502663318875,34,2
1,2,5,"","1,3,14,16,17,40,42",12,1087.29,32,1,2488.243,6,2.16155700590172,13,0.0861673140960593,31,0
1,3,1,"3","1",1,0,31,1,0,1,1.20737865633305,0,0,45,1
1,3,2,"4,40,42","1,3",1,0,31,1,0,3,1.39297454377971,0,0,44,3
1,3,3,"8,14","1,3,4,40,42",4,852.5,31,1,852.5,2,1.31473819562907,5,0.0293481191237772,35,2
1,3,4,"9,16,17,19,23","1,3,4,8,14,40,42",10,9.2,39,1,1400.953,8,1.40564975859244,10,0.0660049559696454,33,5
1,3,5,"","1,3,4,8,9,14,16,17,19,23,40,42",13,1775.187,35,1,3791.758,5,1.76180608613709,7,0.179654386632445,18,0
1,4,1,"3","1",1,0,31,1,0,1,1.20737865633305,0,0,45,1
1,4,2,"40,42","1,3",1,0,31,1,0,3,1.39297454377971,0,0,44,2
1,4,3,"14","1,3,40,42",3,852.5,31,1,852.5,2,1.31473819562907,5,0.0293481191237772,35,1
