initial_branch,sigma,sample_count,initial_branch_weight,SLLR,SLFOR,SNVOR,CRI
35,0.95,20,0.0269420274661914,0.759037123674697,1.9825767157559,0.247754535069928,0.901488524369984
10,0.95,20,0.0305063423838977,0.648657468625234,2.12684682126202,0.244456059502726,0.86345505732809
12,0.95,20,0.0137855121081874,0.567053418246531,2.12684682126202,0.244456059502726,0.814492627100868
37,0.95,20,0.026313030716008,0.779813662113482,1.40388856193222,0.212404606639498,0.791146830982433
15,0.95,20,0.00120557710451829,0.720358381447436,1.56568102582669,0.120439636418307,0.769439161317461
46,0.95,20,0.0217003878813293,0.734131299936203,1.39666808251018,0.199992902465951,0.759810976956948
39,0.95,20,0.0233252961526365,0.738507402190198,1.28964687932877,0.156768860863922,0.732387589352657
38,0.95,20,0.0197609812349303,0.663041973192543,1.29431705180694,0.220468317519024,0.700782257780719
8,0.95,20,0.00178215745885313,0.817480329313121,0.92613505045107,0.104737219250121,0.696662651528111
33,0.95,20,0.00131040989621554,0.648658587867731,1.32523090509923,0.189335703729262,0.692108474486337
23,0.95,20,0.0227487157983017,0.723218018045387,0.99953354742695,0.201883944699772,0.674214309252577
34,0.95,20,0.00131040989621554,0.598466957563121,1.31772854834646,0.171232428950887,0.656872369997342
20,0.95,20,0.0289862669042877,0.713030085238311,0.93399041190059,0.172466362706294,0.649109406064363
5,0.95,20,0.0250026208197924,0.657048429622831,1.01429063409303,0.227589916849209,0.642605167962146
1,0.95,20,0.0229583813816962,0.606270955817103,1.17144306879281,0.194028559706813,0.636856899190187
2,0.95,20,0.0305063423838977,0.571347879754982,1.25738114637168,0.163007466942144,0.626886450515754
18,0.95,20,0.0116888562742426,0.647798226160535,0.94309299360269,0.167222588493047,0.610742052115468
14,0.95,20,0.0197609812349303,0.578494730766217,1.23034381037341,0.0872879886368282,0.610623198261778
27,0.95,20,0.000576580354334836,0.561026617185489,1.0897030868073,0.188658068521659,0.592288201377085
42,0.95,20,0.0316070866967187,0.531280645259288,0.73766080198489,0.179683444390494,0.50223723643065
11,0.95,20,0.0296152636544711,0.485508607774258,0.56315511434847,0.154793512908785,0.434894890116006
41,0.95,20,0.02395429290282,0.357117634784778,0.69765437788476,0.0342670722303584,0.36065487089389
13,0.95,20,0.026313030716008,0.320344390916228,0.51109157969006,0.158607241200437,0.326146398727836
16,0.95,20,0.00120557710451829,0.329473012665028,0.42123376981099,0,0.281930561561215
17,0.95,20,0.0359052311563057,0.32843371606097,0.42068247668429,0,0.28119672497344
19,0.95,20,0.0359052311563057,0.29977631139245,0.27085599482731,0.199992902465965,0.274035566294125
32,0.95,20,0.0269944438620401,0.10872641396303,0,0,0.065235848377818
28,0.95,20,0.0247929552363979,0,0.0323102512735101,0,0.00646205025470201
3,0.95,20,0.0198133976307789,0,0,0,0
4,0.95,20,0.0233252961526365,0,0,0,0
6,0.95,20,0.0287241849250446,0,0,0,0
7,0.95,20,0.0227487157983017,0,0,0,0
9,0.95,20,0.0322884998427508,0,0,0,0
21,0.95,20,0.0223818010273614,0,0,0,0
22,0.95,20,0.0217003878813293,0,0,0,0
24,0.95,20,0.0197609812349303,0,0,0,0
25,0.95,20,0.0245308732571548,0,0,0,0
26,0.95,20,0.0160394171296782,0,0,0,0
29,0.95,20,0.0314498375091729,0,0,0,0
30,0.95,20,0.0340706573016039,0,0,0,0
31,0.95,20,0.0305063423838977,0,0,0,0
36,0.95,20,0.0305063423838977,0,0,0,0
40,0.95,20,0.0256840339658245,0,0,0,0
43,0.95,20,0.0250026208197924,0,0,0,0
44,0.95,20,0.00131040989621554,0,0,0,0
45,0.95,20,0.0236922109235769,0,0,0,0
