initial_branch,trial_id,stage_id,candidate_branch,from_bus,to_bus,loading_pu,outage_probability,random_u,trip_selected
33,19,1,3,2,3,0.699430066961495,0.0001,0.570784046472217,0
33,19,1,4,2,25,0.272246689425057,0.0001,0.338768124988812,0
33,19,1,5,2,30,0.45700559947091,0.0001,0.160587378841371,0
33,19,1,6,3,4,0.490618056001489,0.0001,0.577917917485087,0
33,19,1,7,3,18,0.433563832171761,0.0001,0.195483571043367,0
33,19,1,8,4,5,0.92213808284862,0.0611079723828858,0.810826333040037,0
33,19,1,9,4,14,0.343726726328083,0.0001,0.978819157247311,0
33,19,1,10,5,6,0.792382301882934,0.0001,0.423370129115419,0
33,19,1,11,5,8,0.43967434688701,0.0001,0.156411993330787,0
33,19,1,12,6,7,0.646718747327216,0.0001,0.979189278204023,0
33,19,1,13,6,11,0.33300046006853,0.0001,0.801131707236492,0
33,19,1,14,6,31,0.916658355556812,0.0583708486006276,0.867680593855807,0
33,19,1,15,7,8,0.375645277620196,0.0001,0.985809750908824,0
33,19,1,16,8,9,0.276662866843141,0.0001,0.121364636950341,0
33,19,1,17,9,39,0.230097411613048,0.0001,0.959325146535268,0
33,19,1,18,10,11,0.329146297349119,0.0001,0.64752770920964,0
33,19,1,19,10,13,0.950949574825899,0.0754993126255367,0.504422861751233,0
33,19,1,20,10,32,0.821631014182724,0.0109046915842707,0.628153706613143,0
33,19,1,21,12,11,0.103433195886106,0.0001,0.549124494430865,0
33,19,1,22,12,13,0.10276409827416,0.0001,0.980081420363312,0
33,19,1,23,13,14,0.967220722740225,0.0836267510087423,0.225308582830589,0
33,19,1,24,14,15,0.697327179396929,0.0001,0.379046463000376,0
33,19,1,25,15,16,0.335564461461288,0.0001,0.354252070100583,0
33,19,1,26,16,17,0.104115873960723,0.0001,0.791596464332551,0
33,19,1,27,16,19,0.319244083396564,0.0001,0.315518079409959,0
33,19,1,28,16,21,0.521425027308116,0.0001,0.100076978658724,0
33,19,1,29,16,24,0.13462353506728,0.0001,0.619422440105611,0
33,19,1,30,17,18,0.112291383957985,0.0001,0.866106669276123,0
33,19,1,31,17,27,0.0896978695681469,0.0001,0.577234212124441,0
33,19,1,32,19,20,0.199947338842503,0.0001,0.137145926183039,0
33,19,1,34,20,34,0.663834889172917,0.0001,0.88169348171706,0
33,19,1,35,21,22,0.658367058676564,0.0001,0.568159871228846,0
33,19,1,36,22,23,0.147799210347653,0.0001,0.915310331253936,0
33,19,1,37,22,35,0.723224570750504,0.0001,0.95012201025965,0
33,19,1,38,23,24,0.570930139223081,0.0001,0.600195997885039,0
33,19,1,39,23,36,0.630761708450415,0.0001,0.819336491975478,0
33,19,1,40,25,26,0.325027638216907,0.0001,0.25917923738874,0
33,19,1,41,25,37,0.617380299712838,0.0001,0.278029671298435,0
33,19,1,42,26,27,0.477235956114243,0.0001,0.807688791409576,0
33,19,1,43,26,28,0.157445145658139,0.0001,0.0668672000674713,0
33,19,1,44,26,29,0.238523869387735,0.0001,0.775973835414562,0
33,19,1,45,28,29,0.487776066676365,0.0001,0.722076836558528,0
33,19,1,46,29,38,0.596053300581799,0.0001,0.364549045780674,0
33,20,1,1,1,2,0.330392940292473,0.0001,0.258387957620075,0
33,20,1,2,1,39,0.107609210958197,0.0001,0.463661388270284,0
33,20,1,3,2,3,0.699430066961495,0.0001,0.431143870197929,0
33,20,1,4,2,25,0.272246689425057,0.0001,0.401896371582197,0
33,20,1,5,2,30,0.45700559947091,0.0001,0.662520906744251,0
33,20,1,6,3,4,0.490618056001489,0.0001,0.219904330657812,0
33,20,1,7,3,18,0.433563832171761,0.0001,0.843790953453069,0
33,20,1,8,4,5,0.92213808284862,0.0611079723828858,0.0942400930445544,0
33,20,1,9,4,14,0.343726726328083,0.0001,0.517990506627463,0
33,20,1,10,5,6,0.792382301882934,0.0001,0.356580638780356,0
33,20,1,11,5,8,0.43967434688701,0.0001,0.659888167036911,0
33,20,1,12,6,7,0.646718747327216,0.0001,0.592585861615274,0
33,20,1,13,6,11,0.33300046006853,0.0001,0.142788545972481,0
33,20,1,14,6,31,0.916658355556812,0.0583708486006276,0.737164614337517,0
33,20,1,15,7,8,0.375645277620196,0.0001,0.407519888776638,0
33,20,1,16,8,9,0.276662866843141,0.0001,0.76643054693627,0
33,20,1,17,9,39,0.230097411613048,0.0001,0.848901331659257,0
33,20,1,18,10,11,0.329146297349119,0.0001,0.730233280511692,0
33,20,1,19,10,13,0.950949574825899,0.0754993126255367,0.0469007938560555,1
33,20,1,20,10,32,0.821631014182724,0.0109046915842707,0.172489452106492,0
33,20,1,21,12,11,0.103433195886106,0.0001,0.602612130034561,0
33,20,1,22,12,13,0.10276409827416,0.0001,0.756239070657047,0
33,20,1,23,13,14,0.967220722740225,0.0836267510087423,0.277630942290779,0
33,20,1,24,14,15,0.697327179396929,0.0001,0.677464193648759,0
33,20,1,25,15,16,0.335564461461288,0.0001,0.884380053401095,0
33,20,1,26,16,17,0.104115873960723,0.0001,0.750040669969895,0
33,20,1,27,16,19,0.319244083396564,0.0001,0.56371316676406,0
33,20,1,28,16,21,0.521425027308116,0.0001,0.583853337022615,0
33,20,1,29,16,24,0.13462353506728,0.0001,0.945653065702296,0
33,20,1,30,17,18,0.112291383957985,0.0001,0.396421566077461,0
33,20,1,31,17,27,0.0896978695681469,0.0001,0.446749138399343,0
33,20,1,32,19,20,0.199947338842503,0.0001,0.221409754519917,0
33,20,1,34,20,34,0.663834889172917,0.0001,0.14751265146927,0
33,20,1,35,21,22,0.658367058676564,0.0001,0.971680280418698,0
33,20,1,36,22,23,0.147799210347653,0.0001,0.705510936396118,0
33,20,1,37,22,35,0.723224570750504,0.0001,0.429993994366973,0
33,20,1,38,23,24,0.570930139223081,0.0001,0.908963723573029,0
33,20,1,39,23,36,0.630761708450415,0.0001,0.457452810874726,0
33,20,1,40,25,26,0.325027638216907,0.0001,0.769202834905788,0
33,20,1,41,25,37,0.617380299712838,0.0001,0.783211022174106,0
33,20,1,42,26,27,0.477235956114243,0.0001,0.764721745883738,0
