initial_branch,trial_id,stage_id,branch_index,from_bus,to_bus,PF,PT,active_flow_mw,active_limit_mw,P_li_pu,P_li_max_pu,line_overlimit_component,line_severity_component,severity_valid,replay_source
37,13,1,45,28,29,-290.772915567171,291.920776232339,291.920776232339,600,0.486534627053898,1,0,0,1,replayed_pf_result
37,13,1,46,29,38,-710.172247666781,714.263118522278,714.263118522278,1200,0.595219265435232,1,0,0,1,replayed_pf_result
37,14,1,1,1,2,-192.642793917947,193.937367633402,193.937367633402,600,0.32322894605567,1,0,0,1,replayed_pf_result
37,14,1,2,1,39,95.042793917965,-94.9510806128217,95.042793917965,1000,0.095042793917965,1,0,0,1,replayed_pf_result
37,14,1,3,2,3,334.273077395164,-332.693876206938,334.273077395164,500,0.668546154790327,1,0,0,1,replayed_pf_result
37,14,1,4,2,25,-131.391651844843,132.606962505632,132.606962505632,500,0.265213925011265,1,0,0,1,replayed_pf_result
37,14,1,5,2,30,-396.818793184119,396.81879318412,396.81879318412,900,0.440909770204578,1,0,0,1,replayed_pf_result
37,14,1,6,3,4,-208.853172816411,209.68904422946,209.68904422946,500,0.41937808845892,1,0,0,1,replayed_pf_result
37,14,1,7,3,18,219.547049028004,-219.00172633041,219.547049028004,500,0.439094098056008,1,0,0,1,replayed_pf_result
37,14,1,8,4,5,-556.013287733258,558.690029921509,558.690029921509,600,0.931150049869182,1,0,0,1,replayed_pf_result
37,14,1,9,4,14,-153.675756475647,153.921695520649,153.921695520649,500,0.307843391041299,1,0,0,1,replayed_pf_result
37,14,1,10,5,6,-951.139965099505,953.084888853811,953.084888853811,1200,0.794237407378175,1,0,0,1,replayed_pf_result
37,14,1,11,5,8,392.449935181289,-391.099860520381,392.449935181289,900,0.436055483534766,1,0,0,1,replayed_pf_result
37,14,1,12,6,7,574.9460111074,-572.769918735138,574.9460111074,900,0.638828901230445,1,0,0,1,replayed_pf_result
37,14,1,13,6,11,-22.5475900942748,22.7272620779826,22.7272620779826,480,0.0473484626624638,1,0,0,1,replayed_pf_result
37,14,1,14,6,31,-1505.48330991452,1505.48330991452,1505.48330991452,1800,0.836379616619176,1,0,0,1,replayed_pf_result
37,14,1,15,7,8,338.969918743452,-338.468905135748,338.969918743452,900,0.37663324304828,1,0,0,1,replayed_pf_result
37,14,1,16,8,9,207.568765680722,-206.118816027357,207.568765680722,900,0.230631961867469,1,0,0,1,replayed_pf_result
37,14,1,17,9,39,199.6188160327,-199.221278792569,199.6188160327,900,0.221798684480778,1,0,0,1,replayed_pf_result
37,14,1,18,10,11,51.9199635053748,-51.7620525291112,51.9199635053748,600,0.086533272508958,1,0,0,1,replayed_pf_result
37,14,1,19,10,13,562.115261868065,-560.773388535973,562.115261868065,600,0.936858769780108,1,0,0,1,replayed_pf_result
37,14,1,20,10,32,-614.035225378257,614.035225378257,614.035225378257,900,0.682261361531397,1,0,0,1,replayed_pf_result
37,14,1,21,12,11,-28.9906089803015,29.0347904537531,29.0347904537531,500,0.0580695809075062,1,0,0,1,replayed_pf_result
37,14,1,22,12,13,20.4606089804823,-20.4161514671196,20.4606089804823,500,0.0409212179609646,1,0,0,1,replayed_pf_result
37,14,1,23,13,14,581.18954000022,-578.01006445417,581.18954000022,600,0.9686492333337,1,0,0,1,replayed_pf_result
37,14,1,24,14,15,424.088368933887,-420.672853819553,424.088368933887,600,0.706813948223144,1,0,0,1,replayed_pf_result
37,14,1,25,15,16,100.672853827456,-100.270117609513,100.672853827456,600,0.167788089712427,1,0,0,1,replayed_pf_result
37,14,1,26,16,17,-50.5388847301081,50.5609491190911,50.5609491190911,600,0.0842682485318186,1,0,0,1,replayed_pf_result
37,14,1,27,16,19,-447.819984530797,451.548944080943,451.548944080943,600,0.752581573468238,1,0,0,1,replayed_pf_result
37,14,1,28,16,21,86.2809580192879,-86.1613147934262,86.2809580192879,600,0.143801596698813,1,0,0,1,replayed_pf_result
37,14,1,29,16,24,183.348028852662,-183.23174676675,183.348028852662,600,0.305580048087769,1,0,0,1,replayed_pf_result
37,14,1,30,17,18,-60.9654268700769,61.0017263313659,61.0017263313659,600,0.10166954388561,1,0,0,1,replayed_pf_result
37,14,1,31,17,27,10.4044777510007,-10.3898006371019,10.4044777510007,600,0.0173407962516678,1,0,0,1,replayed_pf_result
37,14,1,32,19,20,148.995322119907,-148.829714869336,148.995322119907,900,0.165550357911008,1,0,0,1,replayed_pf_result
37,14,1,33,19,33,-600.544266201289,603.493006001703,603.493006001703,900,0.670547784446337,1,0,0,1,replayed_pf_result
37,14,1,34,20,34,-531.170285130592,534.028449732659,534.028449732659,900,0.593364944147399,1,0,0,1,replayed_pf_result
37,14,1,35,21,22,-187.838685205476,188.134701146669,188.134701146669,900,0.209038556829632,1,0,0,1,replayed_pf_result
37,14,1,36,22,23,-188.13470114429,188.356096400028,188.356096400028,600,0.31392682733338,1,0,0,1,replayed_pf_result
37,14,1,37,22,35,0,0,0,900,0,1,0,0,1,replayed_pf_result
37,14,1,38,23,24,125.764529880468,-125.36825323174,125.764529880468,600,0.209607549800779,1,0,0,1,replayed_pf_result
37,14,1,39,23,36,-561.620626281229,563.260986354293,563.260986354293,900,0.625845540393659,1,0,0,1,replayed_pf_result
37,14,1,40,25,26,193.663410557881,-192.49944655087,193.663410557881,600,0.322772350929801,1,0,0,1,replayed_pf_result
37,14,1,41,25,37,-550.270373063426,552.120640939001,552.120640939001,900,0.613467378821113,1,0,0,1,replayed_pf_result
37,14,1,42,26,27,271.729661499303,-270.610199362483,271.729661499303,600,0.452882769165504,1,0,0,1,replayed_pf_result
37,14,1,43,26,28,-84.4742412697146,84.7729155671967,84.7729155671967,600,0.141288192611995,1,0,0,1,replayed_pf_result
37,14,1,44,26,29,-133.755973678872,134.75147143442,134.75147143442,600,0.224585785724034,1,0,0,1,replayed_pf_result
37,14,1,45,28,29,-290.772915567171,291.920776232339,291.920776232339,600,0.486534627053898,1,0,0,1,replayed_pf_result
37,14,1,46,29,38,-710.172247666781,714.263118522278,714.263118522278,1200,0.595219265435232,1,0,0,1,replayed_pf_result
37,15,1,1,1,2,-192.642793917947,193.937367633402,193.937367633402,600,0.32322894605567,1,0,0,1,replayed_pf_result
37,15,1,2,1,39,95.042793917965,-94.9510806128217,95.042793917965,1000,0.095042793917965,1,0,0,1,replayed_pf_result
37,15,1,3,2,3,334.273077395164,-332.693876206938,334.273077395164,500,0.668546154790327,1,0,0,1,replayed_pf_result
37,15,1,4,2,25,-131.391651844843,132.606962505632,132.606962505632,500,0.265213925011265,1,0,0,1,replayed_pf_result
37,15,1,5,2,30,-396.818793184119,396.81879318412,396.81879318412,900,0.440909770204578,1,0,0,1,replayed_pf_result
37,15,1,6,3,4,-208.853172816411,209.68904422946,209.68904422946,500,0.41937808845892,1,0,0,1,replayed_pf_result
37,15,1,7,3,18,219.547049028004,-219.00172633041,219.547049028004,500,0.439094098056008,1,0,0,1,replayed_pf_result
37,15,1,8,4,5,-556.013287733258,558.690029921509,558.690029921509,600,0.931150049869182,1,0,0,1,replayed_pf_result
37,15,1,9,4,14,-153.675756475647,153.921695520649,153.921695520649,500,0.307843391041299,1,0,0,1,replayed_pf_result
37,15,1,10,5,6,-951.139965099505,953.084888853811,953.084888853811,1200,0.794237407378175,1,0,0,1,replayed_pf_result
37,15,1,11,5,8,392.449935181289,-391.099860520381,392.449935181289,900,0.436055483534766,1,0,0,1,replayed_pf_result
37,15,1,12,6,7,574.9460111074,-572.769918735138,574.9460111074,900,0.638828901230445,1,0,0,1,replayed_pf_result
37,15,1,13,6,11,-22.5475900942748,22.7272620779826,22.7272620779826,480,0.0473484626624638,1,0,0,1,replayed_pf_result
37,15,1,14,6,31,-1505.48330991452,1505.48330991452,1505.48330991452,1800,0.836379616619176,1,0,0,1,replayed_pf_result
37,15,1,15,7,8,338.969918743452,-338.468905135748,338.969918743452,900,0.37663324304828,1,0,0,1,replayed_pf_result
37,15,1,16,8,9,207.568765680722,-206.118816027357,207.568765680722,900,0.230631961867469,1,0,0,1,replayed_pf_result
37,15,1,17,9,39,199.6188160327,-199.221278792569,199.6188160327,900,0.221798684480778,1,0,0,1,replayed_pf_result
37,15,1,18,10,11,51.9199635053748,-51.7620525291112,51.9199635053748,600,0.086533272508958,1,0,0,1,replayed_pf_result
37,15,1,19,10,13,562.115261868065,-560.773388535973,562.115261868065,600,0.936858769780108,1,0,0,1,replayed_pf_result
37,15,1,20,10,32,-614.035225378257,614.035225378257,614.035225378257,900,0.682261361531397,1,0,0,1,replayed_pf_result
37,15,1,21,12,11,-28.9906089803015,29.0347904537531,29.0347904537531,500,0.0580695809075062,1,0,0,1,replayed_pf_result
37,15,1,22,12,13,20.4606089804823,-20.4161514671196,20.4606089804823,500,0.0409212179609646,1,0,0,1,replayed_pf_result
37,15,1,23,13,14,581.18954000022,-578.01006445417,581.18954000022,600,0.9686492333337,1,0,0,1,replayed_pf_result
37,15,1,24,14,15,424.088368933887,-420.672853819553,424.088368933887,600,0.706813948223144,1,0,0,1,replayed_pf_result
37,15,1,25,15,16,100.672853827456,-100.270117609513,100.672853827456,600,0.167788089712427,1,0,0,1,replayed_pf_result
37,15,1,26,16,17,-50.5388847301081,50.5609491190911,50.5609491190911,600,0.0842682485318186,1,0,0,1,replayed_pf_result
