initial_branch,sigma,sample_count,initial_branch_weight,SLLR,SLFOR,SNVOR,CRI
10,0.95,20,NaN,0.00309363219875348,0.21998226118947,0.0127615947587611,0.0484049505088983
35,0.95,20,NaN,0.00289241257758592,0.034211607598879,0.00149685311269187,0.00887713968886573
1,0.95,20,NaN,0.0032265126553195,0.0136158885016655,8.58329905512609e-05,0.00467625189163506
32,0.95,20,NaN,0.00467703334574845,5.07979634399392e-06,4.84562918383859e-10,0.00280723606363045
14,0.95,20,NaN,0.000935142706321161,0.0107491487757231,0.000180160926054413,0.0027469475641482
46,0.95,20,NaN,0.000505442151305207,0.00483645253617999,0.00064063691179262,0.00139868318037765
37,0.95,20,NaN,0.000831859686175684,0.00361512445126708,0.00038538936810206,0.00129921857557924
23,0.95,20,NaN,9.49744002676357e-05,0.00540600524037433,0.000101173660400375,0.00115842042031552
28,0.95,20,NaN,0.000987972157812446,0.0010421388427378,0,0.000801211063235027
12,0.95,20,NaN,0.000664871379356595,0.000663012159265293,0.000513843527495063,0.000634293964966028
38,0.95,20,NaN,0.000717731352505457,0.000723051484727719,1.27149456241842e-06,0.000575503407361302
41,0.95,20,NaN,3.54897213354494e-05,0.00231335517277499,6.02388004307311e-05,0.000496012627442415
42,0.95,20,NaN,8.31143141677033e-05,0.000932402302251224,1.10264222840105e-05,0.000238554333407669
13,0.95,20,NaN,4.38048336961385e-06,0.000305298170507642,1.92475808392425e-05,6.75374402911453e-05
27,0.95,20,NaN,0.000102391756266984,0,0,6.14350537601906e-05
11,0.95,20,NaN,0,0.000189473487752971,0,3.78946975505943e-05
34,0.95,20,NaN,4.82231731244352e-06,7.50095319461025e-05,5.16187402143121e-06,1.89276715809729e-05
39,0.95,20,NaN,1.71414706546264e-06,7.24511213958568e-05,5.73084108771258e-07,1.56333293402032e-05
19,0.95,20,NaN,1.1197576214818e-05,2.46689028210042e-05,1.17023039207293e-05,1.39927870772375e-05
5,0.95,20,NaN,1.98428574100359e-06,2.00040470159058e-05,0,5.19138084778332e-06
33,0.95,20,NaN,4.71099057501696e-07,5.95812021628091e-06,3.50928841729909e-06,2.17614116121702e-06
2,0.95,20,NaN,0,0,0,0
3,0.95,20,NaN,0,0,0,0
4,0.95,20,NaN,0,0,0,0
6,0.95,20,NaN,0,0,0,0
7,0.95,20,NaN,0,0,0,0
8,0.95,20,NaN,0,0,0,0
9,0.95,20,NaN,0,0,0,0
15,0.95,20,NaN,0,0,0,0
16,0.95,20,NaN,0,0,0,0
17,0.95,20,NaN,0,0,0,0
18,0.95,20,NaN,0,0,0,0
20,0.95,20,NaN,0,0,0,0
21,0.95,20,NaN,0,0,0,0
22,0.95,20,NaN,0,0,0,0
24,0.95,20,NaN,0,0,0,0
25,0.95,20,NaN,0,0,0,0
26,0.95,20,NaN,0,0,0,0
29,0.95,20,NaN,0,0,0,0
30,0.95,20,NaN,0,0,0,0
31,0.95,20,NaN,0,0,0,0
36,0.95,20,NaN,0,0,0,0
40,0.95,20,NaN,0,0,0,0
43,0.95,20,NaN,0,0,0,0
44,0.95,20,NaN,0,0,0,0
45,0.95,20,NaN,0,0,0,0
