branch_index,from_bus,to_bus,island_count,main_island_id,disconnected_load_mw,disconnected_generation_mw,disconnected_wind_mw,new_slack_bus,main_island_load_mw,main_island_load_share,main_island_generation_mw,main_island_gen_share,original_slack_island_id,original_slack_island_load_mw,original_slack_island_load_share,original_slack_island_generation_mw,main_island_selection_reason
1,1,2,1,1,0,0,0,31,6254.23,1,6330.39920329356,1,1,6254.23,1,6330.39920329356,original_slack_island_has_sufficient_load
2,1,39,1,1,0,0,0,31,6254.23,1,6330.39920329356,1,1,6254.23,1,6330.39920329356,original_slack_island_has_sufficient_load
3,2,3,1,1,0,0,0,31,6254.23,1,6330.39920329356,1,1,6254.23,1,6330.39920329356,original_slack_island_has_sufficient_load
4,2,25,1,1,0,0,0,31,6254.23,1,6330.39920329356,1,1,6254.23,1,6330.39920329356,original_slack_island_has_sufficient_load
5,2,30,2,1,0,498.89333116209,437.7961,31,6254.23,1,5831.50587213147,0.921190857773626,1,6254.23,1,5831.50587213147,original_slack_island_has_sufficient_load
6,3,4,1,1,0,0,0,31,6254.23,1,6330.39920329356,1,1,6254.23,1,6330.39920329356,original_slack_island_has_sufficient_load
7,3,18,1,1,0,0,0,31,6254.23,1,6330.39920329356,1,1,6254.23,1,6330.39920329356,original_slack_island_has_sufficient_load
8,4,5,1,1,0,0,0,31,6254.23,1,6330.39920329356,1,1,6254.23,1,6330.39920329356,original_slack_island_has_sufficient_load
9,4,14,1,1,0,0,0,31,6254.23,1,6330.39920329356,1,1,6254.23,1,6330.39920329356,original_slack_island_has_sufficient_load
10,5,6,1,1,0,0,0,31,6254.23,1,6330.39920329356,1,1,6254.23,1,6330.39920329356,original_slack_island_has_sufficient_load
11,5,8,1,1,0,0,0,31,6254.23,1,6330.39920329356,1,1,6254.23,1,6330.39920329356,original_slack_island_has_sufficient_load
12,6,7,1,1,0,0,0,31,6254.23,1,6330.39920329356,1,1,6254.23,1,6330.39920329356,original_slack_island_has_sufficient_load
13,6,11,1,1,0,0,0,31,6254.23,1,6330.39920329356,1,1,6254.23,1,6330.39920329356,original_slack_island_has_sufficient_load
14,6,31,2,1,9.2,1115.6671,437.7961,39,6245.03,0.998528995575794,5214.73210329356,0.823760387904203,2,9.2,0.0014710044242057,1115.6671,largest_load_island_selected
15,7,8,1,1,0,0,0,31,6254.23,1,6330.39920329356,1,1,6254.23,1,6330.39920329356,original_slack_island_has_sufficient_load
16,8,9,1,1,0,0,0,31,6254.23,1,6330.39920329356,1,1,6254.23,1,6330.39920329356,original_slack_island_has_sufficient_load
17,9,39,1,1,0,0,0,31,6254.23,1,6330.39920329356,1,1,6254.23,1,6330.39920329356,original_slack_island_has_sufficient_load
18,10,11,1,1,0,0,0,31,6254.23,1,6330.39920329356,1,1,6254.23,1,6330.39920329356,original_slack_island_has_sufficient_load
19,10,13,1,1,0,0,0,31,6254.23,1,6330.39920329356,1,1,6254.23,1,6330.39920329356,original_slack_island_has_sufficient_load
20,10,32,2,1,0,584.899718226017,437.7961,31,6254.23,1,5745.49948506754,0.907604607633322,1,6254.23,1,5745.49948506754,original_slack_island_has_sufficient_load
21,12,11,1,1,0,0,0,31,6254.23,1,6330.39920329356,1,1,6254.23,1,6330.39920329356,original_slack_island_has_sufficient_load
22,12,13,1,1,0,0,0,31,6254.23,1,6330.39920329356,1,1,6254.23,1,6330.39920329356,original_slack_island_has_sufficient_load
23,13,14,1,1,0,0,0,31,6254.23,1,6330.39920329356,1,1,6254.23,1,6330.39920329356,original_slack_island_has_sufficient_load
24,14,15,1,1,0,0,0,31,6254.23,1,6330.39920329356,1,1,6254.23,1,6330.39920329356,original_slack_island_has_sufficient_load
25,15,16,1,1,0,0,0,31,6254.23,1,6330.39920329356,1,1,6254.23,1,6330.39920329356,original_slack_island_has_sufficient_load
26,16,17,1,1,0,0,0,31,6254.23,1,6330.39920329356,1,1,6254.23,1,6330.39920329356,original_slack_island_has_sufficient_load
27,16,19,2,1,680,1132.92711909847,875.5922,31,5574.23,0.89127358603697,5197.47208419509,0.82103385857419,1,5574.23,0.89127358603697,5197.47208419509,original_slack_island_has_sufficient_load
28,16,21,1,1,0,0,0,31,6254.23,1,6330.39920329356,1,1,6254.23,1,6330.39920329356,original_slack_island_has_sufficient_load
29,16,24,1,1,0,0,0,31,6254.23,1,6330.39920329356,1,1,6254.23,1,6330.39920329356,original_slack_island_has_sufficient_load
30,17,18,1,1,0,0,0,31,6254.23,1,6330.39920329356,1,1,6254.23,1,6330.39920329356,original_slack_island_has_sufficient_load
31,17,27,1,1,0,0,0,31,6254.23,1,6330.39920329356,1,1,6254.23,1,6330.39920329356,original_slack_island_has_sufficient_load
32,19,20,2,1,680,552.415240089317,437.7961,31,5574.23,0.89127358603697,5777.98396320425,0.912736113102961,1,5574.23,0.89127358603697,5777.98396320425,original_slack_island_has_sufficient_load
33,19,33,2,1,0,580.511879009156,437.7961,31,6254.23,1,5749.88732428441,0.908297745471229,1,6254.23,1,5749.88732428441,original_slack_island_has_sufficient_load
34,20,34,2,1,0,552.415240089317,437.7961,31,6254.23,1,5777.98396320425,0.912736113102961,1,6254.23,1,5777.98396320425,original_slack_island_has_sufficient_load
35,21,22,1,1,0,0,0,31,6254.23,1,6330.39920329356,1,1,6254.23,1,6330.39920329356,original_slack_island_has_sufficient_load
36,22,23,1,1,0,0,0,31,6254.23,1,6330.39920329356,1,1,6254.23,1,6330.39920329356,original_slack_island_has_sufficient_load
37,22,35,2,1,0,584.674114918172,437.7961,31,6254.23,1,5745.72508837539,0.907640245718788,1,6254.23,1,5745.72508837539,original_slack_island_has_sufficient_load
38,23,24,1,1,0,0,0,31,6254.23,1,6330.39920329356,1,1,6254.23,1,6330.39920329356,original_slack_island_has_sufficient_load
39,23,36,2,1,0,564.266646555552,437.7961,31,6254.23,1,5766.13255673801,0.910863971064893,1,6254.23,1,5766.13255673801,original_slack_island_has_sufficient_load
40,25,26,1,1,0,0,0,31,6254.23,1,6330.39920329356,1,1,6254.23,1,6330.39920329356,original_slack_island_has_sufficient_load
