initial_branch,sigma,sample_count,initial_branch_weight,SLLR,SLFOR,SNVOR,CRI
10,0.95,20,0.0217391304347826,0.746551533921842,1.98647034191174,0.244456059502701,0.894116200635994
35,0.95,20,0.0217391304347826,0.759037123674697,1.95195746934629,0.227589916849193,0.891331751443915
12,0.95,20,0.0217391304347826,0.567053418246531,1.98647034191174,0.244456059502701,0.786417331230807
39,0.95,20,0.0217391304347826,0.7770613328899,1.33491882521282,0.212404606639498,0.775701486104404
37,0.95,20,0.0217391304347826,0.688732246015896,1.24721249532453,0.200850294880702,0.702851905650584
23,0.95,20,0.0217391304347826,0.777749415195796,0.87769693648551,0.227589916849164,0.687707019784412
33,0.95,20,0.0217391304347826,0.731256845367056,0.96664714191861,0.220462529836896,0.676176041571335
38,0.95,20,0.0217391304347826,0.644322082814351,1.19023734554882,0.244456059502701,0.673531930698915
34,0.95,20,0.0217391304347826,0.598466957563121,1.34779167212805,0.212404606639498,0.671119430291382
14,0.95,20,0.0217391304347826,0.646992371562926,1.21040126671425,0.160318312315145,0.662339338743635
8,0.95,20,0.0217391304347826,0.746435732296382,0.83352753604356,0.227589916849164,0.660084929956374
18,0.95,20,0.0217391304347826,0.711342026916183,0.90905419095559,0.232261360156074,0.655068326372043
28,0.95,20,0.0217391304347826,0.697588512095014,0.94842821573746,0.136285614589399,0.63549587332238
46,0.95,20,0.0217391304347826,0.622971972568965,1.0372830047296,0.243597763207225,0.629959337128744
1,0.95,20,0.0217391304347826,0.571347879754982,1.15173049724665,0.193603119739675,0.611875451250254
20,0.95,20,0.0217391304347826,0.647798226160535,0.90019382734979,0.140358028182725,0.596789306802824
2,0.95,20,0.0217391304347826,0.571347879754982,1.07401782967121,0.0431338941719323,0.566239072621618
15,0.95,20,0.0217391304347826,0.328152306518948,1.46737824099159,0.0371497764960644,0.4977969874089
19,0.95,20,0.0217391304347826,0.470567463940405,0.90905419095559,0.16095371379977,0.496342059315315
11,0.95,20,0.0217391304347826,0.485508607774258,0.6064997309739,0.154793512908783,0.443563813441091
41,0.95,20,0.0217391304347826,0.453477086707716,0.71906824992224,0.13336581125974,0.442573064261026
5,0.95,20,0.0217391304347826,0.419319404626948,0.61796177862825,0.162554466265679,0.407694891754955
27,0.95,20,0.0217391304347826,0.319301025066235,0.6464840931882,0.247133717164642,0.370304177110309
40,0.95,20,0.0217391304347826,0.316810542624752,0.38935248287029,0.0347926993265606,0.274915362014221
13,0.95,20,0.0217391304347826,0.202267905081841,0.29303938189915,0.133531538229698,0.206674927074874
32,0.95,20,0.0217391304347826,0.10872641396303,0,0,0.065235848377818
3,0.95,20,0.0217391304347826,0,0,0,0
4,0.95,20,0.0217391304347826,0,0,0,0
6,0.95,20,0.0217391304347826,0,0,0,0
7,0.95,20,0.0217391304347826,0,0,0,0
9,0.95,20,0.0217391304347826,0,0,0,0
16,0.95,20,0.0217391304347826,0,0,0,0
17,0.95,20,0.0217391304347826,0,0,0,0
21,0.95,20,0.0217391304347826,0,0,0,0
22,0.95,20,0.0217391304347826,0,0,0,0
24,0.95,20,0.0217391304347826,0,0,0,0
25,0.95,20,0.0217391304347826,0,0,0,0
26,0.95,20,0.0217391304347826,0,0,0,0
29,0.95,20,0.0217391304347826,0,0,0,0
30,0.95,20,0.0217391304347826,0,0,0,0
31,0.95,20,0.0217391304347826,0,0,0,0
36,0.95,20,0.0217391304347826,0,0,0,0
42,0.95,20,0.0217391304347826,0,0,0,0
43,0.95,20,0.0217391304347826,0,0,0,0
44,0.95,20,0.0217391304347826,0,0,0,0
45,0.95,20,0.0217391304347826,0,0,0,0
