initial_branch,trial_id,stage_id,candidate_branch,from_bus,to_bus,loading_pu,outage_probability,random_u,trip_selected
1,1,1,3,2,3,1.20737865633305,1,0.167770970289712,1
1,1,2,40,25,26,1.39297454377971,1,0.865074693263921,1
1,1,2,42,26,27,1.3155535665388,1,0.706729635488238,1
1,1,3,14,6,31,1.31473819562907,1,0.554921050936025,1
1,1,4,16,8,9,1.11569249944254,0.620616247491412,0.361187148522848,1
1,1,4,27,16,19,0.987755862979922,0.0938840535584709,0.0139308013021382,1
1,2,1,3,2,3,1.20737865633305,1,0.676935109635379,1
1,2,2,40,25,26,1.39297454377971,1,0.180863823295928,1
1,2,2,42,26,27,1.3155535665388,1,0.265971005685277,1
1,2,3,14,6,31,1.31473819562907,1,0.0690059390342144,1
1,2,4,16,8,9,1.11569249944254,0.620616247491412,0.319707865394741,1
1,2,4,17,9,39,1.17532257464517,0.888951585903281,0.00223626495582485,1
1,3,1,3,2,3,1.20737865633305,1,0.0561392056528124,1
1,3,2,4,2,25,1.03225305611375,0.245138752511882,0.0403179283266375,1
1,3,2,40,25,26,1.39297454377971,1,0.976094916808143,1
1,3,2,42,26,27,1.3155535665388,1,0.958536488209101,1
1,3,3,8,4,5,1.00484728540243,0.121812784310934,0.116584514006382,1
1,3,3,14,6,31,1.31473819562907,1,0.505412226387395,1
1,3,4,9,4,14,1.26330159020686,1,0.682632748384661,1
1,3,4,16,8,9,1.15198402323754,0.783928104568946,0.757732983713859,1
1,3,4,17,9,39,1.23382229714119,1,0.448490151361982,1
1,3,4,19,10,13,1.35229493858886,1,0.867218784364705,1
1,3,4,23,13,14,1.40564975859244,1,0.599632809115631,1
1,4,1,3,2,3,1.20737865633305,1,0.0345809322351989,1
1,4,2,40,25,26,1.39297454377971,1,0.900533711647924,1
1,4,2,42,26,27,1.3155535665388,1,0.627522601010257,1
1,4,3,14,6,31,1.31473819562907,1,0.457318113621937,1
1,4,4,17,9,39,1.17532257464517,0.888951585903281,0.0725376504538606,1
1,5,1,3,2,3,1.20737865633305,1,0.928898768644617,1
1,5,2,20,10,32,0.808485173935985,0.00433834438102441,0.00220124039046432,1
1,5,2,40,25,26,1.39297454377971,1,0.219091307911601,1
1,5,2,42,26,27,1.3155535665388,1,0.852177159615995,1
1,5,3,14,6,31,1.14740212499389,0.763309562472487,0.675572667109208,1
1,5,3,27,16,19,1.06346090871664,0.385574089224901,0.0439185402781872,1
1,6,1,3,2,3,1.20737865633305,1,0.551982023552876,1
1,6,2,40,25,26,1.39297454377971,1,0.525434383758788,1
1,6,2,42,26,27,1.3155535665388,1,0.779154932759108,1
1,6,3,10,5,6,0.991670916667189,0.0958396228752611,0.0929269546630785,1
1,6,3,14,6,31,1.31473819562907,1,0.701749189461171,1
1,6,4,17,9,39,1.18586309686613,0.936383935897565,0.529896506536654,1
1,7,1,3,2,3,1.20737865633305,1,0.897160275304646,1
1,7,2,4,2,25,1.03225305611375,0.245138752511882,0.10750909844493,1
1,7,2,40,25,26,1.39297454377971,1,0.520632363270571,1
1,7,2,42,26,27,1.3155535665388,1,0.670423586710171,1
1,7,3,14,6,31,1.31473819562907,1,0.000420192842840894,1
1,7,4,16,8,9,1.11569249944254,0.620616247491412,0.500014514177199,1
1,8,1,3,2,3,1.20737865633305,1,0.35027413233204,1
1,8,2,40,25,26,1.39297454377971,1,0.705141063968676,1
1,8,2,42,26,27,1.3155535665388,1,0.886787752647369,1
1,8,3,14,6,31,1.31473819562907,1,0.0514333397182345,1
1,8,4,16,8,9,1.11569249944254,0.620616247491412,0.23940932780626,1
1,8,4,17,9,39,1.17532257464517,0.888951585903281,0.390723270840064,1
1,9,1,3,2,3,1.20737865633305,1,0.35300126094035,1
1,9,2,40,25,26,1.39297454377971,1,0.409616907979017,1
1,9,2,42,26,27,1.3155535665388,1,0.966287770940758,1
1,9,3,14,6,31,1.31473819562907,1,0.0782461103797303,1
1,9,4,17,9,39,1.17532257464517,0.888951585903281,0.256736865437295,1
1,10,1,3,2,3,1.20737865633305,1,0.330097469852247,1
1,10,2,40,25,26,1.39297454377971,1,0.0912794636641396,1
1,10,2,42,26,27,1.3155535665388,1,0.256656753476046,1
1,10,3,14,6,31,1.31473819562907,1,0.874706412826422,1
1,10,4,16,8,9,1.11569249944254,0.620616247491412,0.382028628020713,1
1,10,4,17,9,39,1.17532257464517,0.888951585903281,0.50974730709268,1
1,11,1,3,2,3,1.20737865633305,1,0.672435461898588,1
1,11,2,4,2,25,1.03225305611375,0.245138752511882,0.192792884464141,1
1,11,2,40,25,26,1.39297454377971,1,0.542693560604478,1
1,11,2,42,26,27,1.3155535665388,1,0.905604055384741,1
1,11,3,14,6,31,1.31473819562907,1,0.753455064491922,1
1,11,4,16,8,9,1.11569249944254,0.620616247491412,0.377469774505791,1
1,11,4,17,9,39,1.17532257464517,0.888951585903281,0.143495875851671,1
1,12,1,3,2,3,1.20737865633305,1,0.0250852796586301,1
1,12,2,40,25,26,1.39297454377971,1,0.947356665315279,1
1,12,2,42,26,27,1.3155535665388,1,0.740165702612875,1
1,12,3,10,5,6,0.991670916667189,0.0958396228752611,0.00118910151194551,1
1,12,3,14,6,31,1.31473819562907,1,0.594407540902451,1
1,12,4,17,9,39,1.18586309686613,0.936383935897565,0.608927873581545,1
1,12,4,27,16,19,0.998812737471393,0.0994069623669609,0.0875764091972073,1
1,13,1,3,2,3,1.20737865633305,1,0.582711004552956,1
1,13,2,40,25,26,1.39297454377971,1,0.988461514532007,1
1,13,2,42,26,27,1.3155535665388,1,0.404713898649035,1
1,13,3,14,6,31,1.31473819562907,1,0.334761074999551,1
1,13,4,16,8,9,1.11569249944254,0.620616247491412,0.0540368272852515,1
1,13,4,17,9,39,1.17532257464517,0.888951585903281,0.00155511555557442,1
1,13,4,27,16,19,0.987755862979922,0.0938840535584709,0.033314606406094,1
1,14,1,3,2,3,1.20737865633305,1,0.011905463513186,1
1,14,2,4,2,25,1.03225305611375,0.245138752511882,0.0402343567706663,1
1,14,2,40,25,26,1.39297454377971,1,0.905134650116527,1
1,14,2,42,26,27,1.3155535665388,1,0.629313380812019,1
1,14,3,10,5,6,0.991670916667189,0.0958396228752611,0.0225428639855645,1
1,14,3,14,6,31,1.31473819562907,1,0.827531478771109,1
1,14,4,16,8,9,1.12214266892986,0.649642010184391,0.0959029568708617,1
1,14,4,17,9,39,1.18586309686613,0.936383935897565,0.533002393442594,1
1,15,1,3,2,3,1.20737865633305,1,0.59737571953908,1
1,15,2,27,16,19,0.845675424533999,0.0229148745547325,0.00975948530259074,1
1,15,2,40,25,26,1.39297454377971,1,0.906988514533633,1
1,15,2,42,26,27,1.3155535665388,1,0.30159594909306,1
1,16,1,3,2,3,1.20737865633305,1,0.211347437781328,1
1,16,2,4,2,25,1.03225305611375,0.245138752511882,0.156860923984473,1
1,16,2,40,25,26,1.39297454377971,1,0.426210629115551,1
1,16,2,42,26,27,1.3155535665388,1,0.202724853390223,1
1,16,3,14,6,31,1.31473819562907,1,0.5688036874665,1
1,16,3,20,10,32,0.987843521511927,0.0939278389952078,0.0264496430150047,1
1,17,1,3,2,3,1.20737865633305,1,0.162256083627891,1
1,17,2,40,25,26,1.39297454377971,1,0.420647393636277,1
1,17,2,42,26,27,1.3155535665388,1,0.999980035657328,1
1,17,3,14,6,31,1.31473819562907,1,0.823772483849943,1
1,17,3,27,16,19,0.919301339129793,0.0596910188953317,0.050403563758102,1
1,18,1,3,2,3,1.20737865633305,1,0.686633295096897,1
1,18,2,4,2,25,1.03225305611375,0.245138752511882,0.207535075903848,1
1,18,2,40,25,26,1.39297454377971,1,0.0480668354294854,1
1,18,2,42,26,27,1.3155535665388,1,0.306236600233655,1
1,18,3,10,5,6,0.991670916667189,0.0958396228752611,0.043440024693699,1
1,18,3,14,6,31,1.31473819562907,1,0.0175448675404916,1
1,18,4,17,9,39,1.18586309686613,0.936383935897565,0.880093135626945,1
1,19,1,3,2,3,1.20737865633305,1,0.603950976640748,1
1,19,2,40,25,26,1.39297454377971,1,0.312057254342322,1
1,19,2,42,26,27,1.3155535665388,1,0.366268542172462,1
1,19,3,14,6,31,1.31473819562907,1,0.642858295865497,1
1,19,4,17,9,39,1.17532257464517,0.888951585903281,0.800235525342511,1
1,20,1,3,2,3,1.20737865633305,1,0.493119252247826,1
1,20,2,40,25,26,1.39297454377971,1,0.157834478849342,1
1,20,2,42,26,27,1.3155535665388,1,0.362021494870936,1
1,20,3,14,6,31,1.31473819562907,1,0.357943078800463,1
1,20,3,23,13,14,0.974878349888504,0.0874517357693075,0.0554103840766256,1
1,20,4,8,4,5,1.3973251779217,1,0.608383043786883,1
1,20,4,13,6,11,1.49542504120441,1,0.743642432569738,1
1,20,4,16,8,9,1.15001828407496,0.775082278337334,0.200062361607101,1
1,20,4,17,9,39,1.23151361109507,1,0.570455684167035,1
1,20,4,18,10,11,1.21468824777896,1,0.628311286083877,1
1,20,4,20,10,32,1.00812250524409,0.136551273598394,0.0737707988353584,1
1,20,4,27,16,19,1.04514016309623,0.303130733933043,0.112791772337783,1
2,3,1,3,2,3,1.04843962431702,0.317978309426597,0.29378882854568,1
2,3,2,40,25,26,1.23728293560071,1,0.365283818438159,1
2,3,3,14,6,31,1.21750412905851,1,0.866173438996687,1
2,6,1,3,2,3,1.04843962431702,0.317978309426597,0.00946288094235093,1
2,6,2,4,2,25,0.836495001023167,0.0183292530110719,0.00326078084168657,1
2,6,2,40,25,26,1.23728293560071,1,0.271869054068128,1
2,6,2,42,26,27,1.17238946740309,0.875752603313925,0.623894409161294,1
2,6,3,8,4,5,1.01204461511105,0.154200767999717,0.0595004526302222,1
2,6,3,14,6,31,1.21066474540295,1,0.27979585024251,1
2,6,4,9,4,14,1.26330159020686,1,0.131404747853368,1
2,6,4,13,6,11,1.01315286648361,0.159187899176246,0.146649562721045,1
2,6,4,17,9,39,1.23382229714119,1,0.433959706302985,1
2,6,4,18,10,11,0.816177202790719,0.00818051279396397,0.00041361716251076,1
2,6,4,19,10,13,1.35229493858886,1,0.685750164361074,1
2,6,4,23,13,14,1.40564975859244,1,0.312771685476144,1
2,14,1,3,2,3,1.04843962431702,0.317978309426597,0.296219385353717,1
2,14,2,40,25,26,1.23728293560071,1,0.00581694627404594,1
2,14,2,42,26,27,1.17238946740309,0.875752603313925,0.0924390707175519,1
2,14,3,14,6,31,1.21066474540295,1,0.298112795138593,1
2,14,4,16,8,9,1.11569249944254,0.620616247491412,0.542109728870184,1
2,14,4,17,9,39,1.17532257464517,0.888951585903281,0.355345251441244,1
2,15,1,3,2,3,1.04843962431702,0.317978309426597,0.16032917341215,1
2,15,2,40,25,26,1.23728293560071,1,0.491864361537675,1
2,15,2,42,26,27,1.17238946740309,0.875752603313925,0.0262865193424568,1
2,15,3,14,6,31,1.21066474540295,1,0.659754781511372,1
2,15,4,16,8,9,1.11569249944254,0.620616247491412,0.197600180671576,1
2,15,4,17,9,39,1.17532257464517,0.888951585903281,0.526511629632606,1
5,5,1,14,6,31,1.01332027685371,0.159941245841709,0.138363622338443,1
5,6,1,19,10,13,0.871918100808171,0.0360230913536815,0.0265030567824036,1
5,6,2,8,4,5,1.45580101008443,1,0.867212355858618,1
5,6,2,14,6,31,1.03323338022937,0.249550211032145,0.0581478492676231,1
5,6,2,18,10,11,1.11648329620442,0.624174832919898,0.200817438527344,1
5,6,3,3,2,3,1.27683261803308,1,0.6768710321711,1
5,6,4,42,26,27,1.14231934994103,0.740437074734647,0.232672081598117,1
5,13,1,8,4,5,0.938586138545009,0.0693237762032322,0.0474580773003954,1
5,13,2,9,4,14,1.3478480260634,1,0.680179568280043,1
5,13,2,14,6,31,1.03675061495453,0.265377767295383,0.0801543455212405,1
5,13,2,19,10,13,1.58129136852491,1,0.517211886741469,1
5,13,2,23,13,14,1.65567372336563,1,0.322301298064223,1
5,13,3,1,1,2,1.56952026628161,1,0.575819779912235,1
5,13,3,2,1,39,1.1358540082504,0.711343037126815,0.293654379797599,1
5,13,3,3,2,3,1.83967131472753,1,0.333034361091475,1
5,13,3,6,3,4,1.13868958450707,0.724103130281826,0.329592653125048,1
5,13,3,13,6,11,1.22822260473091,1,0.0576397458111555,1
5,15,1,14,6,31,1.01332027685371,0.159941245841709,0.0699882204826487,1
5,16,1,23,13,14,0.884721506879871,0.0424183926864957,0.0377598954358604,1
5,16,2,8,4,5,1.73214416641313,1,0.193727585535313,1
5,16,2,10,5,6,1.24859701098311,1,0.961182868318399,1
5,16,2,13,6,11,1.30670489567027,1,0.889103932144085,1
5,16,3,3,2,3,0.919093277905165,0.05958709231363,0.0217799365435564,1
5,16,3,12,6,7,1.48197791480401,1,0.220230073463299,1
5,16,3,15,7,8,1.20244345163369,1,0.69066278587277,1
5,16,4,42,26,27,1.13686904926785,0.715910721705318,0.130545787336468,1
8,2,1,12,6,7,0.641986115512928,0.0001,7.07225703404646e-05,1
8,2,1,19,10,13,1.02165190192883,0.197433558679754,0.165625079494511,1
8,2,2,11,5,8,1.41940497619609,1,0.847277238600142,1
8,2,2,18,10,11,1.11873308527387,0.634298883732401,0.500917334824913,1
8,2,2,21,12,11,1.01642977654466,0.173933994450962,0.121956195394269,1
8,2,3,1,1,2,1.18309879470389,0.923944576167499,0.864592534463138,1
8,2,3,27,16,19,1.07572902587697,0.440780616446355,0.184498226116854,1
8,3,1,23,13,14,1.04655845736344,0.309513058135484,0.0247247882868272,1
8,3,2,3,2,3,1.78283053246981,1,0.964942499907478,1
8,3,2,12,6,7,1.059838435712,0.369272960704011,0.0755680626586326,1
8,3,2,13,6,11,1.33803925704817,1,0.202313131672934,1
8,3,2,16,8,9,1.11056349206682,0.597535714300671,0.206762362284565,1
8,3,2,17,9,39,1.13511535804933,0.708019111222006,0.489114787858587,1
8,3,3,4,2,25,1.58789950497236,1,0.708821581197365,1
8,3,3,7,3,18,1.01264149142294,0.156886711403235,0.15109747395152,1
8,3,3,25,15,16,1.12848796209782,0.6781958294402,0.10948337765564,1
8,3,3,27,16,19,1.13022407323019,0.686008329535877,0.507476713346483,1
8,3,3,30,17,18,1.12018903872652,0.640850674269361,0.0142110739510214,1
8,3,3,31,17,27,1.29889870391595,1,0.87646592083629,1
8,3,3,33,19,33,0.813275680704636,0.00673120251196564,0.00303915833291202,1
8,3,3,40,25,26,1.87907009393851,1,0.809390995787943,1
8,3,3,42,26,27,1.77169512537915,1,0.736880361332546,1
8,7,1,23,13,14,1.04655845736344,0.309513058135484,0.214757687191332,1
8,7,2,3,2,3,1.78283053246981,1,0.379718143182712,1
8,7,2,13,6,11,1.33803925704817,1,0.972511566003913,1
8,7,2,16,8,9,1.11056349206682,0.597535714300671,0.0816335092943522,1
8,7,3,4,2,25,1.58789950497236,1,0.249500998173063,1
8,7,3,7,3,18,1.01264149142294,0.156886711403235,0.103458175808075,1
8,7,3,25,15,16,1.12848796209782,0.6781958294402,0.0630169146801856,1
