branch_index,from_bus,to_bus,island_count,main_island_id,disconnected_load_mw,disconnected_generation_mw,disconnected_wind_mw,new_slack_bus,main_island_load_mw,main_island_load_share,main_island_generation_mw,main_island_gen_share,original_slack_island_id,original_slack_island_load_mw,original_slack_island_load_share,original_slack_island_generation_mw,main_island_selection_reason
1,1,2,1,1,0,0,0,31,6254.23,1,6297.871,1,1,6254.23,1,6297.871,original_slack_island_has_sufficient_load
2,1,39,1,1,0,0,0,31,6254.23,1,6297.871,1,1,6254.23,1,6297.871,original_slack_island_has_sufficient_load
3,2,3,1,1,0,0,0,31,6254.23,1,6297.871,1,1,6254.23,1,6297.871,original_slack_island_has_sufficient_load
4,2,25,1,1,0,0,0,31,6254.23,1,6297.871,1,1,6254.23,1,6297.871,original_slack_island_has_sufficient_load
5,2,30,2,1,0,250,0,31,6254.23,1,6047.871,0.960304045605253,1,6254.23,1,6047.871,original_slack_island_has_sufficient_load
6,3,4,1,1,0,0,0,31,6254.23,1,6297.871,1,1,6254.23,1,6297.871,original_slack_island_has_sufficient_load
7,3,18,1,1,0,0,0,31,6254.23,1,6297.871,1,1,6254.23,1,6297.871,original_slack_island_has_sufficient_load
8,4,5,1,1,0,0,0,31,6254.23,1,6297.871,1,1,6254.23,1,6297.871,original_slack_island_has_sufficient_load
9,4,14,1,1,0,0,0,31,6254.23,1,6297.871,1,1,6254.23,1,6297.871,original_slack_island_has_sufficient_load
10,5,6,1,1,0,0,0,31,6254.23,1,6297.871,1,1,6254.23,1,6297.871,original_slack_island_has_sufficient_load
11,5,8,1,1,0,0,0,31,6254.23,1,6297.871,1,1,6254.23,1,6297.871,original_slack_island_has_sufficient_load
12,6,7,1,1,0,0,0,31,6254.23,1,6297.871,1,1,6254.23,1,6297.871,original_slack_island_has_sufficient_load
13,6,11,1,1,0,0,0,31,6254.23,1,6297.871,1,1,6254.23,1,6297.871,original_slack_island_has_sufficient_load
14,6,31,2,1,9.2,677.871,0,39,6245.03,0.998528995575794,5620,0.892365054793914,2,9.2,0.0014710044242057,677.871,largest_load_island_selected
15,7,8,1,1,0,0,0,31,6254.23,1,6297.871,1,1,6254.23,1,6297.871,original_slack_island_has_sufficient_load
16,8,9,1,1,0,0,0,31,6254.23,1,6297.871,1,1,6254.23,1,6297.871,original_slack_island_has_sufficient_load
17,9,39,1,1,0,0,0,31,6254.23,1,6297.871,1,1,6254.23,1,6297.871,original_slack_island_has_sufficient_load
18,10,11,1,1,0,0,0,31,6254.23,1,6297.871,1,1,6254.23,1,6297.871,original_slack_island_has_sufficient_load
19,10,13,1,1,0,0,0,31,6254.23,1,6297.871,1,1,6254.23,1,6297.871,original_slack_island_has_sufficient_load
20,10,32,2,1,0,650,0,31,6254.23,1,5647.871,0.896790518573658,1,6254.23,1,5647.871,original_slack_island_has_sufficient_load
21,12,11,1,1,0,0,0,31,6254.23,1,6297.871,1,1,6254.23,1,6297.871,original_slack_island_has_sufficient_load
22,12,13,1,1,0,0,0,31,6254.23,1,6297.871,1,1,6254.23,1,6297.871,original_slack_island_has_sufficient_load
23,13,14,1,1,0,0,0,31,6254.23,1,6297.871,1,1,6254.23,1,6297.871,original_slack_island_has_sufficient_load
24,14,15,1,1,0,0,0,31,6254.23,1,6297.871,1,1,6254.23,1,6297.871,original_slack_island_has_sufficient_load
25,15,16,1,1,0,0,0,31,6254.23,1,6297.871,1,1,6254.23,1,6297.871,original_slack_island_has_sufficient_load
26,16,17,1,1,0,0,0,31,6254.23,1,6297.871,1,1,6254.23,1,6297.871,original_slack_island_has_sufficient_load
27,16,19,2,1,680,1140,0,31,5574.23,0.89127358603697,5157.871,0.818986447959953,1,5574.23,0.89127358603697,5157.871,original_slack_island_has_sufficient_load
28,16,21,1,1,0,0,0,31,6254.23,1,6297.871,1,1,6254.23,1,6297.871,original_slack_island_has_sufficient_load
29,16,24,1,1,0,0,0,31,6254.23,1,6297.871,1,1,6254.23,1,6297.871,original_slack_island_has_sufficient_load
30,17,18,1,1,0,0,0,31,6254.23,1,6297.871,1,1,6254.23,1,6297.871,original_slack_island_has_sufficient_load
31,17,27,1,1,0,0,0,31,6254.23,1,6297.871,1,1,6254.23,1,6297.871,original_slack_island_has_sufficient_load
32,19,20,2,1,680,508,0,31,5574.23,0.89127358603697,5789.871,0.919337820669874,1,5574.23,0.89127358603697,5789.871,original_slack_island_has_sufficient_load
33,19,33,2,1,0,632,0,31,6254.23,1,5665.871,0.899648627290079,1,6254.23,1,5665.871,original_slack_island_has_sufficient_load
34,20,34,2,1,0,508,0,31,6254.23,1,5789.871,0.919337820669874,1,6254.23,1,5789.871,original_slack_island_has_sufficient_load
35,21,22,1,1,0,0,0,31,6254.23,1,6297.871,1,1,6254.23,1,6297.871,original_slack_island_has_sufficient_load
36,22,23,1,1,0,0,0,31,6254.23,1,6297.871,1,1,6254.23,1,6297.871,original_slack_island_has_sufficient_load
37,22,35,2,1,0,650,0,31,6254.23,1,5647.871,0.896790518573658,1,6254.23,1,5647.871,original_slack_island_has_sufficient_load
38,23,24,1,1,0,0,0,31,6254.23,1,6297.871,1,1,6254.23,1,6297.871,original_slack_island_has_sufficient_load
39,23,36,2,1,0,560,0,31,6254.23,1,5737.871,0.911081062155767,1,6254.23,1,5737.871,original_slack_island_has_sufficient_load
40,25,26,1,1,0,0,0,31,6254.23,1,6297.871,1,1,6254.23,1,6297.871,original_slack_island_has_sufficient_load
41,25,37,2,1,0,540,0,31,6254.23,1,5757.871,0.914256738507346,1,6254.23,1,5757.871,original_slack_island_has_sufficient_load
42,26,27,1,1,0,0,0,31,6254.23,1,6297.871,1,1,6254.23,1,6297.871,original_slack_island_has_sufficient_load
43,26,28,1,1,0,0,0,31,6254.23,1,6297.871,1,1,6254.23,1,6297.871,original_slack_island_has_sufficient_load
44,26,29,1,1,0,0,0,31,6254.23,1,6297.871,1,1,6254.23,1,6297.871,original_slack_island_has_sufficient_load
45,28,29,1,1,0,0,0,31,6254.23,1,6297.871,1,1,6254.23,1,6297.871,original_slack_island_has_sufficient_load
46,29,38,2,1,0,830,0,31,6254.23,1,5467.871,0.86820943140944,1,6254.23,1,5467.871,original_slack_island_has_sufficient_load
