initial_branch,trial_id,stage_id,candidate_branch,from_bus,to_bus,loading_pu,outage_probability,random_u,trip_selected
9,2,1,13,6,11,1.04151594269355,0.28682174212099,0.0243324942273561,1
9,2,2,6,3,4,1.03341189918597,0.250353546336844,0.0111624431607048,1
9,2,2,19,10,13,1.03517084340058,0.258268795302604,0.0336474132840505,1
9,2,2,23,13,14,1.06683169904593,0.400742645706704,0.157598451891143,1
9,2,2,26,16,17,1.33670137115618,1,0.778040824538745,1
9,4,1,13,6,11,1.04151594269355,0.28682174212099,0.183233576086845,1
9,4,2,6,3,4,1.03341189918597,0.250353546336844,0.11157507975803,1
9,4,2,19,10,13,1.03517084340058,0.258268795302604,0.0685240202969161,1
9,4,2,23,13,14,1.06683169904593,0.400742645706704,0.0731685022972225,1
9,4,2,26,16,17,1.33670137115618,1,0.237606570451772,1
9,4,2,30,17,18,1.07180219620547,0.423109882924609,0.0155280173378396,1
10,4,1,12,6,7,0.919475568243766,0.0597780463377611,0.0272491467903255,1
10,4,2,8,4,5,1.11505797016706,0.617760865751781,0.59311017122048,1
10,4,2,9,4,14,2.19604145839486,1,0.100640576170566,1
10,4,2,13,6,11,1.5303920732669,1,0.396712372736469,1
10,4,2,19,10,13,2.17233246074998,1,0.668216139258116,1
10,4,2,23,13,14,2.27486973074274,1,0.694451188265597,1
10,4,3,6,3,4,0.928356818594759,0.0642142308880821,0.000232745796738376,1
10,4,4,1,1,2,1.19504375454457,0.977696895450549,0.528351055167248,1
10,4,4,27,16,19,0.929412441002422,0.06474151428071,0.0169042179276757,1
11,4,1,12,6,7,0.866923282462036,0.0335281795897867,0.0111145327666723,1
11,4,2,13,6,11,1.07052961018887,0.417383245849899,0.0722450554532247,1
11,4,3,9,4,14,1.50815064885243,1,0.0710204862083819,1
11,4,3,19,10,13,1.03491253894859,0.257106425268677,0.202724853390223,1
13,2,1,23,13,14,1.06683822477189,0.400772011473516,0.313178973545488,1
13,3,1,9,4,14,1.06525809993163,0.393661449692354,0.129743737471784,1
13,3,2,19,10,13,1.03517084340058,0.258268795302604,0.071134638829354,1
13,3,2,23,13,14,1.06683169904593,0.400742645706704,0.154330735604405,1
13,3,2,26,16,17,1.33670137115618,1,0.801180223898538,1
13,3,2,30,17,18,1.07180219620547,0.423109882924609,0.366268542172462,1
13,4,1,19,10,13,1.03519920242738,0.258396410923231,0.00565471501173709,1
13,4,1,23,13,14,1.06683822477189,0.400772011473516,0.204319910369458,1
13,5,1,23,13,14,1.06683822477189,0.400772011473516,0.048989236333988,1
14,2,1,3,2,3,1.10852252696377,0.588351371336978,0.443443304551154,1
14,3,1,3,2,3,1.10852252696377,0.588351371336978,0.0378843761498904,1
14,3,2,42,26,27,1.12288686504754,0.652990892713946,0.00508179862695401,1
14,3,3,1,1,2,1.30653964982036,1,0.878864178708498,1
14,3,3,4,2,25,1.11433122323488,0.614490504556977,0.253022663676087,1
14,3,3,16,8,9,1.21908261802791,1,0.609702458189055,1
14,3,3,17,9,39,1.30564522868272,1,0.904702593821422,1
18,1,1,19,10,13,1.09492345914844,0.527155566167989,0.453240545155408,1
18,3,1,19,10,13,1.09492345914844,0.527155566167989,0.462153874399371,1
18,4,1,19,10,13,1.09492345914844,0.527155566167989,0.390976742148074,1
18,5,1,19,10,13,1.09492345914844,0.527155566167989,0.210169742955106,1
19,2,1,13,6,11,1.12814123526422,0.67663555868899,0.0373399027839985,1
19,2,2,9,4,14,1.06059206418742,0.372664288843411,0.143335082494843,1
19,2,2,18,10,11,1.20583277254902,1,0.555581966380815,1
19,2,2,21,12,11,1.42787943723226,1,0.196654652996803,1
19,2,2,22,12,13,1.3564925543634,1,0.684183805532824,1
19,3,1,13,6,11,1.12814123526422,0.67663555868899,0.011015972299429,1
19,3,2,18,10,11,1.20583277254902,1,0.780558602574707,1
19,3,2,21,12,11,1.42787943723226,1,0.421983556595688,1
19,3,2,22,12,13,1.3564925543634,1,0.542019835530814,1
19,3,2,23,13,14,1.15142681655229,0.781420674485305,0.562291349576955,1
19,4,1,18,10,11,1.09892915675031,0.545181205376386,0.0886118758846675,1
23,1,1,13,6,11,1.33495430681671,1,0.155932930212272,1
23,1,1,18,10,11,1.03874688302178,0.274360973598013,0.214094155606391,1
23,2,1,13,6,11,1.33495430681671,1,0.658412162736637,1
23,3,1,13,6,11,1.33495430681671,1,0.860904733832596,1
23,4,1,13,6,11,1.33495430681671,1,0.516542586010031,1
23,4,1,18,10,11,1.03874688302178,0.274360973598013,0.196183937038314,1
23,5,1,13,6,11,1.33495430681671,1,0.731598703608887,1
28,1,1,38,23,24,1.14522930283294,0.753531862748223,0.225867029638823,1
28,2,1,38,23,24,1.14522930283294,0.753531862748223,0.429774604406189,1
28,3,1,38,23,24,1.14522930283294,0.753531862748223,0.680039965788876,1
28,5,1,38,23,24,1.14522930283294,0.753531862748223,0.270141273245833,1
32,4,1,27,16,19,1.05374989502987,0.341874527634434,0.277293772371426,1
35,1,1,36,22,23,1.12115980380137,0.645219117106183,0.0158246840166572,1
35,1,1,38,23,24,1.61814767694114,1,0.135773122626102,1
35,1,2,8,4,5,1.14753295364324,0.763898291394576,0.437475512329933,1
35,1,2,23,13,14,1.14833601386364,0.767512062386359,0.181707539001626,1
35,1,2,24,14,15,0.946429613705032,0.0732415920456633,0.0676353166321402,1
35,1,3,1,1,2,1.62810527327002,1,0.458598161403615,1
35,1,3,3,2,3,2.42806266068633,1,0.21080015591987,1
35,1,3,12,6,7,1.13739482685116,0.718276720830232,0.248145153221605,1
35,1,3,13,6,11,1.57505960829768,1,0.541592780617888,1
35,1,3,16,8,9,1.35976944785391,1,0.449319650287503,1
35,1,3,17,9,39,1.52356648945206,1,0.641956068043713,1
35,1,3,18,10,11,1.27311829148717,1,0.0109484922276067,1
35,2,1,38,23,24,1.61814767694114,1,0.295120738527647,1
35,2,2,8,4,5,1.14753295364324,0.763898291394576,0.331819827854375,1
35,2,2,14,6,31,1.00927979971996,0.141759098739819,0.0550104470764937,1
35,2,2,19,10,13,1.1141948850467,0.613876982710162,0.601139062577656,1
35,2,2,23,13,14,1.14833601386364,0.767512062386359,0.0254315244001065,1
35,2,3,1,1,2,2.1254778155877,1,0.725632081847232,1
35,2,3,2,1,39,1.48130163053895,1,0.176984177959054,1
35,2,3,3,2,3,2.7378621021027,1,0.764335893903047,1
35,2,3,6,3,4,1.15371389411513,0.791712523518075,0.693575410262471,1
35,2,3,13,6,11,1.3475909160293,1,0.840473923154006,1
35,2,3,18,10,11,1.13064118552494,0.68788533486221,0.296917051759703,1
35,2,3,27,16,19,1.07120234112236,0.420410535050621,0.352904615514612,1
35,2,3,42,26,27,1.05750952757521,0.358792874088461,0.100925621173783,1
35,3,1,36,22,23,1.12115980380137,0.645219117106183,0.119896203529086,1
35,3,1,38,23,24,1.61814767694114,1,0.733642520669007,1
35,3,2,8,4,5,1.14753295364324,0.763898291394576,0.549243546374411,1
35,3,2,19,10,13,1.1141948850467,0.613876982710162,0.498917559251212,1
35,3,2,23,13,14,1.14833601386364,0.767512062386359,0.275858206893092,1
35,3,3,1,1,2,1.62560641294307,1,0.482484923528208,1
35,3,3,2,1,39,1.10372365980332,0.566756469114929,0.2085529780367,1
35,3,3,3,2,3,2.43064367381946,1,0.0680100752096345,1
35,3,3,12,6,7,1.13639467927676,0.713776056745406,0.0680674877424842,1
35,3,3,13,6,11,1.5662215531779,1,0.864625459632363,1
35,3,3,16,8,9,1.36002313980147,1,0.036382415464642,1
35,3,3,17,9,39,1.52694867180494,1,0.372054041315416,1
35,3,3,18,10,11,1.37567442398447,1,0.829643698362669,1
35,4,1,38,23,24,1.61814767694114,1,0.898939164710126,1
35,4,2,8,4,5,1.14753295364324,0.763898291394576,0.673928152071543,1
35,4,2,23,13,14,1.14833601386364,0.767512062386359,0.551886535042699,1
35,4,3,1,1,2,1.62560641294309,1,0.478565171058047,1
35,4,3,2,1,39,1.10372365980333,0.56675646911499,0.436957996869594,1
35,4,3,3,2,3,2.43064367381947,1,0.927859953980527,1
35,4,3,6,3,4,1.05738080029529,0.358213601328814,0.142772144292141,1
35,4,3,12,6,7,1.13153204106813,0.691894184806604,0.277681871145494,1
35,4,3,13,6,11,1.56435701738442,1,0.0975704512069535,1
35,4,3,16,8,9,1.35065920125435,1,0.993055224375937,1
35,4,3,17,9,39,1.5046482221911,1,0.415502436132345,1
35,4,3,18,10,11,1.26330255946023,1,0.167706427084219,1
35,5,1,36,22,23,1.12115980380137,0.645219117106183,0.341660079115284,1
35,5,1,38,23,24,1.61814767694114,1,0.602588706293574,1
35,5,2,8,4,5,1.14753295364324,0.763898291394576,0.47165138005258,1
35,5,2,19,10,13,1.1141948850467,0.613876982710162,0.546906799242354,1
35,5,2,23,13,14,1.14833601386364,0.767512062386359,0.107950963058894,1
35,5,3,1,1,2,1.62560641294307,1,0.358327756498147,1
35,5,3,2,1,39,1.10372365980332,0.566756469114929,0.196644735246904,1
35,5,3,3,2,3,2.43064367381946,1,0.952488735878071,1
35,5,3,6,3,4,1.05738080029528,0.358213601328782,0.0580213433586807,1
35,5,3,11,5,8,1.0354797291347,0.259658781106137,0.257502153619957,1
35,5,3,13,6,11,1.5662215531779,1,0.547163081108767,1
35,5,3,16,8,9,1.36002313980147,1,0.341223447102531,1
35,5,3,17,9,39,1.52694867180494,1,0.920702136372797,1
35,5,3,18,10,11,1.37567442398447,1,0.309353389644903,1
35,5,3,20,10,32,1.05814464743099,0.361650913439451,0.130854415454989,1
36,4,1,39,23,36,0.641189326725938,0.0001,7.07225703404646e-05,1
37,2,1,19,10,13,0.920188295602706,0.0601340536535519,0.0407016774886941,1
37,2,2,8,4,5,1.43198750175103,1,0.754309516596898,1
37,2,2,10,5,6,0.998650111265953,0.0993257305773433,0.0755680626586326,1
37,2,2,18,10,11,1.13610793619393,0.712485712872673,0.600577954458363,1
37,2,3,3,2,3,1.28276007300718,1,0.573747308618226,1
37,2,3,21,12,11,0.842503157091179,0.0213303269670437,0.00303915833291202,1
37,2,4,7,3,18,0.916160554528193,0.0581221969868322,0.0435241111031679,1
37,2,4,27,16,19,1.21142740424751,1,0.199618149845968,1
37,2,4,31,17,27,1.49940386431973,1,0.139139763157323,1
37,2,4,40,25,26,1.50108705737744,1,0.525458853776124,1
37,2,4,42,26,27,1.96177132854755,1,0.114594119698442,1
38,1,1,28,16,21,1.1353466130196,0.709059758588188,0.0217442952848339,1
38,2,1,28,16,21,1.1353466130196,0.709059758588188,0.0141436078136375,1
38,2,1,35,21,22,1.08234213277541,0.470539597489356,0.112989957331057,1
38,3,1,28,16,21,1.1353466130196,0.709059758588188,0.606445393133424,1
38,3,2,19,10,13,0.941998651427422,0.0710283263879973,0.00203158261413905,1
38,3,3,8,4,5,1.47611259272417,1,0.902465991655986,1
38,3,3,10,5,6,1.02125671638969,0.195655223753615,0.0247581227479483,1
38,3,3,18,10,11,1.14119572454247,0.735380760441107,0.580523043159224,1
38,3,4,3,2,3,1.38764684483255,1,0.987822530381426,1
38,3,4,12,6,7,1.12845282076067,0.678037693423004,0.636639293192204,1
38,3,4,27,16,19,0.940847941849011,0.070453546953581,0.0497629856874729,1
38,4,1,28,16,21,1.1353466130196,0.709059758588188,0.300869111574496,1
38,5,1,28,16,21,1.1353466130196,0.709059758588188,0.132538893738788,1
38,5,1,35,21,22,1.08234213277541,0.470539597489356,0.394662362103313,1
42,1,1,3,2,3,1.09562567208693,0.530315524391194,0.513424854205636,1
42,1,2,1,1,2,1.23938260559949,1,0.291773516502843,1
42,1,2,4,2,25,1.03204935137877,0.244222081204469,0.0593193168228711,1
42,2,1,4,2,25,1.03335172192568,0.25008274866557,0.178323239652528,1
42,4,1,3,2,3,1.09562567208693,0.530315524391194,0.0901901062674735,1
42,4,2,1,1,2,1.23938260559949,1,0.600792992617027,1
46,2,1,8,4,5,1.04575616191447,0.305902728615129,0.0796447868347081,1
46,2,2,9,4,14,1.40101005128006,1,0.0521289311213515,1
46,2,2,19,10,13,1.74240722802037,1,0.106031801123113,1
46,2,2,23,13,14,1.83597326665836,1,0.552998805501226,1
46,2,3,1,1,2,1.30415891499887,1,0.593644827956852,1
46,2,3,3,2,3,1.6748739982244,1,0.135993128189795,1
46,2,3,13,6,11,1.38978341073096,1,0.085426859489194,1
46,2,3,16,8,9,1.04701195817901,0.311553811805541,0.310108796061632,1
46,2,3,18,10,11,1.18390952087476,0.927592843936404,0.258276764064824,1
46,5,1,8,4,5,1.04575616191447,0.305902728615129,0.199505157209276,1
46,5,2,9,4,14,1.40101005128006,1,0.365623088468504,1
46,5,2,19,10,13,1.74240722802037,1,0.0244828276437674,1
46,5,2,23,13,14,1.83597326665836,1,0.230581579256869,1
46,5,3,1,1,2,1.30415891499887,1,0.291182929080149,1
46,5,3,2,1,39,0.881910091970907,0.0410140909394681,0.0366863281339793,1
46,5,3,3,2,3,1.6748739982244,1,0.575871188223767,1
46,5,3,6,3,4,0.990052901643562,0.0950314243709594,0.0613708804146874,1
46,5,3,13,6,11,1.38978341073096,1,0.827593383684772,1
46,5,3,18,10,11,1.18390952087476,0.927592843936404,0.169736187289988,1
46,5,3,40,25,26,0.871486347487475,0.0358074305699935,0.000997919986106433,1
14,3,4,13,6,11,2.05701397492742,1,0.371087879192979,0
14,3,4,18,10,11,1.69386815879467,1,0.788033476877289,0
14,3,4,19,10,13,1.25327495377243,1,0.731635749117612,0
14,3,4,20,10,32,2.48830100160774,1,0.0939646419089566,0
14,3,4,23,13,14,1.22196817584929,1,0.481327312372033,0
35,1,4,7,3,18,1.22314284915682,1,0.859300562175851,0
35,1,4,27,16,19,1.54434318186122,1,0.681878453490465,0
35,1,4,30,17,18,1.24510800235473,1,0.83768709948499,0
35,1,4,31,17,27,1.4627745123672,1,0.167937342596241,0
35,1,4,40,25,26,1.28181878820932,1,0.58527078817693,0
35,1,4,42,26,27,1.92097778730263,1,0.990067312868521,0
35,3,4,27,16,19,1.35664218743361,1,0.336780883756476,0
35,3,4,31,17,27,1.41984456259393,1,0.14407267681354,0
35,3,4,42,26,27,1.82116831203869,1,0.452715179347859,0
35,4,4,27,16,19,1.46256481830825,1,0.859278361753354,0
35,4,4,31,17,27,1.43833598097064,1,0.493738253751695,0
35,4,4,40,25,26,1.21909028143012,1,0.85603986134072,0
35,4,4,42,26,27,1.85679452471248,1,0.73091549882224,0
35,5,4,27,16,19,1.46256481830825,1,0.640840171827605,0
35,5,4,31,17,27,1.43833598097064,1,0.732283106532518,0
35,5,4,40,25,26,1.21909028143012,1,0.583575387092411,0
35,5,4,42,26,27,1.85679452471248,1,0.875396011332796,0
46,2,4,4,2,25,1.42374142967457,1,0.393440172748271,0
46,2,4,7,3,18,1.46727609719563,1,0.438458814338618,0
46,2,4,26,16,17,1.23907083493894,1,0.302036912864611,0
46,2,4,30,17,18,1.49071786146883,1,0.379525190547918,0
46,2,4,40,25,26,1.77122721069552,1,0.348683978668165,0
46,5,4,26,16,17,1.983362942611,1,0.00891521008101326,0
46,5,4,28,16,21,1.30465938531535,1,0.379447649404834,0
46,5,4,31,17,27,1.2771336090285,1,0.828757643444202,0
46,5,4,37,22,35,1.52048381943769,1,0.715290755469511,0
35,3,4,40,25,26,1.18370011559089,0.926650520159008,0.590384274139299,0
46,5,4,35,21,22,1.1705619025084,0.867528561287818,0.0486922308761305,0
19,2,2,23,13,14,1.15142681655229,0.781420674485305,0.835509800625892,0
28,4,1,38,23,24,1.14522930283294,0.753531862748223,0.832251308613442,0
35,5,3,12,6,7,1.13639467927676,0.713776056745406,0.920553513820174,0
19,1,1,13,6,11,1.12814123526422,0.67663555868899,0.810840457264643,0
19,4,1,13,6,11,1.12814123526422,0.67663555868899,0.989869050793966,0
19,5,1,13,6,11,1.12814123526422,0.67663555868899,0.899317518165945,0
14,2,2,42,26,27,1.12288686504754,0.652990892713946,0.658908995024213,0
35,2,1,36,22,23,1.12115980380137,0.645219117106183,0.955265221777219,0
35,4,1,36,22,23,1.12115980380137,0.645219117106183,0.811077065908525,0
35,1,2,19,10,13,1.1141948850467,0.613876982710162,0.995933740605403,0
35,4,2,19,10,13,1.1141948850467,0.613876982710162,0.729792932656102,0
35,1,3,2,1,39,1.10973752745688,0.59381887355594,0.769108721359606,0
14,1,1,3,2,3,1.10852252696377,0.588351371336978,0.966958337400549,0
14,4,1,3,2,3,1.10852252696377,0.588351371336978,0.653874703722992,0
14,5,1,3,2,3,1.10852252696377,0.588351371336978,0.939213566665568,0
46,5,4,27,16,19,1.10565091884374,0.575429134796829,0.429531472027467,0
19,1,1,18,10,11,1.09892915675031,0.545181205376386,0.631286856876126,0
19,2,1,18,10,11,1.09892915675031,0.545181205376386,0.549947306876364,0
19,3,1,18,10,11,1.09892915675031,0.545181205376386,0.718427223502268,0
19,5,1,18,10,11,1.09892915675031,0.545181205376386,0.623068132973498,0
46,2,4,27,16,19,1.09867842832564,0.544052927465392,0.528932123334756,0
42,2,1,3,2,3,1.09562567208693,0.530315524391194,0.836116518481712,0
42,3,1,3,2,3,1.09562567208693,0.530315524391194,0.619894485043249,0
42,5,1,3,2,3,1.09562567208693,0.530315524391194,0.610091867000402,0
18,2,1,19,10,13,1.09492345914844,0.527155566167989,0.821654575311856,0
37,2,4,4,2,25,1.08892812416923,0.500176558761535,0.886606321884461,0
38,1,1,35,21,22,1.08234213277541,0.470539597489356,0.687863402776312,0
38,3,1,35,21,22,1.08234213277541,0.470539597489356,0.818934246028351,0
38,4,1,35,21,22,1.08234213277541,0.470539597489356,0.54300124865063,0
9,4,3,14,6,31,1.07188293326795,0.423473199705771,0.50906514961959,0
9,2,2,30,17,18,1.07180219620547,0.423109882924609,0.900710129824679,0
9,2,3,14,6,31,1.07039583239657,0.416781245784547,0.0658089233034286,0
11,4,3,23,13,14,1.06979582579274,0.414081216067347,0.984960338465219,0
35,4,4,25,15,16,1.06976366820565,0.41393650692544,0.726714182808845,0
35,5,4,25,15,16,1.06976366820565,0.41393650692544,0.178809829847648,0
13,1,1,23,13,14,1.06683822477189,0.400772011473516,0.442551833380373,0
13,3,1,23,13,14,1.06683822477189,0.400772011473516,0.739813296395049,0
13,1,1,9,4,14,1.06525809993163,0.393661449692354,0.867353143728279,0
13,2,1,9,4,14,1.06525809993163,0.393661449692354,0.573570773422675,0
13,4,1,9,4,14,1.06525809993163,0.393661449692354,0.661384601456244,0
13,5,1,9,4,14,1.06525809993163,0.393661449692354,0.516226902482892,0
37,2,3,12,6,7,1.06116481315074,0.375241659178311,0.507476713346483,0
19,3,2,9,4,14,1.06059206418742,0.372664288843411,0.825181774595,0
9,2,2,24,14,15,1.06052232076774,0.372350443454823,0.915745330076439,0
9,4,2,24,14,15,1.06052232076774,0.372350443454823,0.500158027351905,0
13,3,2,24,14,15,1.06052232076774,0.372350443454823,0.47900539883296,0
35,3,3,20,10,32,1.05814464743099,0.361650913439451,0.538245485617577,0
35,3,3,6,3,4,1.05738080029528,0.358213601328782,0.593237871366868,0
14,3,4,27,16,19,1.0554792995204,0.349656847841803,0.950540063597363,0
32,1,1,27,16,19,1.05374989502987,0.341874527634434,0.53858183012074,0
32,2,1,27,16,19,1.05374989502987,0.341874527634434,0.349458276808097,0
32,3,1,27,16,19,1.05374989502987,0.341874527634434,0.602464578169903,0
32,5,1,27,16,19,1.05374989502987,0.341874527634434,0.923073172651263,0
35,1,3,20,10,32,1.05289772460783,0.338039760735254,0.614751012274133,0
35,1,1,29,16,24,1.05143351090996,0.331450799094808,0.52111697013327,0
35,2,1,29,16,24,1.05143351090996,0.331450799094808,0.76010987715526,0
35,3,1,29,16,24,1.05143351090996,0.331450799094808,0.4906412895689,0
35,4,1,29,16,24,1.05143351090996,0.331450799094808,0.617658086254691,0
35,5,1,29,16,24,1.05143351090996,0.331450799094808,0.84873859750715,0
46,2,3,17,9,39,1.05043320887051,0.32694943991729,0.560673501903682,0
46,5,3,17,9,39,1.05043320887051,0.32694943991729,0.962483399036937,0
46,5,3,16,8,9,1.04701195817901,0.311553811805541,0.744549730272253,0
46,1,1,8,4,5,1.04575616191447,0.305902728615129,0.81237821623215,0
46,3,1,8,4,5,1.04575616191447,0.305902728615129,0.838503340286868,0
46,4,1,8,4,5,1.04575616191447,0.305902728615129,0.740760593766682,0
10,4,2,18,10,11,1.04387353677366,0.297430915481448,0.4233238458282,0
9,1,1,13,6,11,1.04151594269355,0.28682174212099,0.535855620973828,0
9,3,1,13,6,11,1.04151594269355,0.28682174212099,0.845038868765845,0
9,5,1,13,6,11,1.04151594269355,0.28682174212099,0.296142058845989,0
35,4,3,20,10,32,1.041005531218,0.284524890480981,0.744221554406197,0
35,2,3,26,16,17,1.03885634416473,0.27485354874129,0.480511378811883,0
23,2,1,18,10,11,1.03874688302178,0.274360973598013,0.633957852867304,0
23,3,1,18,10,11,1.03874688302178,0.274360973598013,0.669509783814717,0
23,5,1,18,10,11,1.03874688302178,0.274360973598013,0.46484271098029,0
13,3,3,8,4,5,1.03690252921818,0.266061381481816,0.140576514915226,0
35,1,3,11,5,8,1.03666186140175,0.264978376307892,0.559855635890354,0
35,3,3,11,5,8,1.0354797291347,0.259658781106137,0.391784226542115,0
13,1,1,19,10,13,1.03519920242738,0.258396410923231,0.984388504472312,0
13,2,1,19,10,13,1.03519920242738,0.258396410923231,0.744344166772734,0
13,3,1,19,10,13,1.03519920242738,0.258396410923231,0.636385625672152,0
13,5,1,19,10,13,1.03519920242738,0.258396410923231,0.57560968247916,0
13,3,2,6,3,4,1.03341189918597,0.250353546336844,0.535445647857139,0
42,1,1,4,2,25,1.03335172192568,0.25008274866557,0.663204311235032,0
42,3,1,4,2,25,1.03335172192568,0.25008274866557,0.329419633637682,0
42,4,1,4,2,25,1.03335172192568,0.25008274866557,0.275178239464504,0
42,5,1,4,2,25,1.03335172192568,0.25008274866557,0.837307283059833,0
42,4,2,4,2,25,1.03204935137877,0.244222081204469,0.967255913310649,0
35,4,3,11,5,8,1.03150361265574,0.241766256950822,0.886192728097377,0
46,2,2,13,6,11,1.0236573014729,0.206457856628066,0.222891613415831,0
46,5,2,13,6,11,1.0236573014729,0.206457856628066,0.475838943098909,0
10,4,3,17,9,39,1.02181157155935,0.198152072017086,0.427975670625717,0
10,4,4,17,9,39,1.02181157155935,0.198152072017086,0.548949939721257,0
14,3,4,9,4,14,1.0162251922371,0.173013365066936,0.353836677179021,0
11,4,2,1,1,2,1.01457353840939,0.165580922842241,0.472938222931041,0
11,4,3,1,1,2,1.01425258168568,0.164136617585555,0.941394022070391,0
35,1,3,42,26,27,1.01399613989936,0.162982629547108,0.639599671061369,0
46,5,4,38,23,24,1.01104222403948,0.149690008177652,0.866203622137059,0
35,1,2,14,6,31,1.00927979971996,0.141759098739819,0.452512714873687,0
35,3,2,14,6,31,1.00927979971996,0.141759098739819,0.235473007506624,0
35,4,2,14,6,31,1.00927979971996,0.141759098739819,0.684675097562033,0
35,5,2,14,6,31,1.00927979971996,0.141759098739819,0.398069859764497,0
35,1,3,27,16,19,1.00911829955645,0.14103234800402,0.825277102865924,0
14,3,4,26,16,17,1.00911552591267,0.141019866607037,0.563425121061276,0
38,3,4,14,6,31,1.00501050453777,0.122547270419956,0.848574816495185,0
