initial_branch,trial_id,stage_id,new_outaged_branches,all_outaged_branches,island_count,disconnected_load_mw,new_slack_bus,converged,load_shed_mw,num_overloaded_lines,max_line_loading_pu,num_voltage_violations,max_voltage_deviation_pu,num_candidate_lines,num_selected_trips
1,1,1,"","1",1,0,31,1,0,0,0.940761541270665,0,0,45,0
1,2,1,"","1",1,0,31,1,0,0,0.940761541270665,0,0,45,0
1,3,1,"","1",1,0,31,1,0,0,0.940761541270665,0,0,45,0
1,4,1,"","1",1,0,31,1,0,0,0.940761541270665,0,0,45,0
1,5,1,"","1",1,0,31,1,0,0,0.940761541270665,0,0,45,0
2,1,1,"","2",1,0,31,1,0,0,0.785654242516885,0,0,45,0
2,2,1,"","2",1,0,31,1,0,0,0.785654242516885,0,0,45,0
2,3,1,"","2",1,0,31,1,0,0,0.785654242516885,0,0,45,0
2,4,1,"","2",1,0,31,1,0,0,0.785654242516885,0,0,45,0
2,5,1,"","2",1,0,31,1,0,0,0.785654242516885,0,0,45,0
3,1,1,"","3",1,0,31,1,0,0,0.786162063473916,0,0,45,0
3,2,1,"","3",1,0,31,1,0,0,0.786162063473916,0,0,45,0
3,3,1,"","3",1,0,31,1,0,0,0.786162063473916,0,0,45,0
3,4,1,"","3",1,0,31,1,0,0,0.786162063473916,0,0,45,0
3,5,1,"","3",1,0,31,1,0,0,0.786162063473916,0,0,45,0
4,1,1,"","4",1,0,31,1,0,0,0.841815582605276,0,0,45,0
4,2,1,"","4",1,0,31,1,0,0,0.841815582605276,0,0,45,0
4,3,1,"","4",1,0,31,1,0,0,0.841815582605276,0,0,45,0
4,4,1,"","4",1,0,31,1,0,0,0.841815582605276,0,0,45,0
4,5,1,"","4",1,0,31,1,0,0,0.841815582605276,0,0,45,0
5,1,1,"","5",2,0,31,1,0,0,0.770529309958467,0,0,45,0
5,2,1,"","5",2,0,31,1,0,0,0.770529309958467,0,0,45,0
5,3,1,"","5",2,0,31,1,0,0,0.770529309958467,0,0,45,0
5,4,1,"","5",2,0,31,1,0,0,0.770529309958467,0,0,45,0
5,5,1,"","5",2,0,31,1,0,0,0.770529309958467,0,0,45,0
6,1,1,"","6",1,0,31,1,0,0,0.775386838260116,0,0,45,0
6,2,1,"","6",1,0,31,1,0,0,0.775386838260116,0,0,45,0
6,3,1,"","6",1,0,31,1,0,0,0.775386838260116,0,0,45,0
6,4,1,"","6",1,0,31,1,0,0,0.775386838260116,0,0,45,0
6,5,1,"","6",1,0,31,1,0,0,0.775386838260116,0,0,45,0
7,1,1,"","7",1,0,31,1,0,0,0.764008755373332,0,0,45,0
7,2,1,"","7",1,0,31,1,0,0,0.764008755373332,0,0,45,0
7,3,1,"","7",1,0,31,1,0,0,0.764008755373332,0,0,45,0
7,4,1,"","7",1,0,31,1,0,0,0.764008755373332,0,0,45,0
7,5,1,"","7",1,0,31,1,0,0,0.764008755373332,0,0,45,0
8,1,1,"","8",1,0,31,1,0,0,0.832661943655991,0,0,45,0
8,2,1,"","8",1,0,31,1,0,0,0.832661943655991,0,0,45,0
8,3,1,"","8",1,0,31,1,0,0,0.832661943655991,0,0,45,0
8,4,1,"","8",1,0,31,1,0,0,0.832661943655991,0,0,45,0
8,5,1,"","8",1,0,31,1,0,0,0.832661943655991,0,0,45,0
9,1,1,"","9",1,0,31,1,0,1,1.04151594269355,0,0,45,0
9,2,1,"13","9",1,0,31,1,0,1,1.04151594269355,0,0,45,1
9,2,2,"6,19,23,26","9,13",1,0,31,1,0,6,1.33670137115618,0,0,44,4
9,2,3,"","6,9,13,19,23,26",3,2167.63,31,1,2167.63,1,1.07039583239657,5,0.120597358765854,23,0
9,3,1,"","9",1,0,31,1,0,1,1.04151594269355,0,0,45,0
9,4,1,"13","9",1,0,31,1,0,1,1.04151594269355,0,0,45,1
9,4,2,"6,19,23,26,30","9,13",1,0,31,1,0,6,1.33670137115618,0,0,44,5
9,4,3,"","6,9,13,19,23,26,30",3,2167.63,31,1,2167.63,1,1.07188293326795,5,0.121169225991452,22,0
9,5,1,"","9",1,0,31,1,0,1,1.04151594269355,0,0,45,0
10,1,1,"","10",1,0,31,1,0,0,0.919475568243766,0,0,45,0
10,2,1,"","10",1,0,31,1,0,0,0.919475568243766,0,0,45,0
10,3,1,"","10",1,0,31,1,0,0,0.919475568243766,0,0,45,0
10,4,1,"12","10",1,0,31,1,0,0,0.919475568243766,0,0,45,1
10,4,2,"8,9,13,19,23","10,12",1,0,31,1,0,6,2.27486973074274,2,0.00827270559307192,44,5
10,4,3,"6","8,9,10,12,13,19,23",3,17.73,39,1,953.205,1,1.02181157155935,4,0.239082903158542,34,1
10,4,4,"1,27","6,8,9,10,12,13,19,23",9,425,39,1,1378.205,2,1.19504375454457,4,0.239082903158542,33,2
10,4,5,"","1,6,8,9,10,12,13,19,23,27",11,2247.315,30,1,3625.52,0,0.749962410248746,0,0,23,0
10,5,1,"","10",1,0,31,1,0,0,0.919475568243766,0,0,45,0
11,1,1,"","11",1,0,31,1,0,0,0.866923282462036,0,0,45,0
11,2,1,"","11",1,0,31,1,0,0,0.866923282462036,0,0,45,0
11,3,1,"","11",1,0,31,1,0,0,0.866923282462036,0,0,45,0
11,4,1,"12","11",1,0,31,1,0,0,0.866923282462036,0,0,45,1
11,4,2,"13","11,12",1,0,31,1,1250.846,2,1.07052961018887,2,0.137897762573272,44,1
11,4,3,"9,19","11,12,13",1,0,31,1,1250.846,4,1.50815064885243,2,0.137897762573277,43,2
11,4,4,"","9,11,12,13,19",1,0,31,0,2751.8612,NaN,NaN,NaN,NaN,0,0
11,5,1,"","11",1,0,31,1,0,0,0.866923282462036,0,0,45,0
12,1,1,"","12",1,0,31,1,0,0,0.863144472926513,0,0,45,0
12,2,1,"","12",1,0,31,1,0,0,0.863144472926513,0,0,45,0
12,3,1,"","12",1,0,31,1,0,0,0.863144472926513,0,0,45,0
12,4,1,"","12",1,0,31,1,0,0,0.863144472926513,0,0,45,0
12,5,1,"","12",1,0,31,1,0,0,0.863144472926513,0,0,45,0
13,1,1,"","13",1,0,31,1,0,3,1.06683822477189,0,0,45,0
13,2,1,"23","13",1,0,31,1,0,3,1.06683822477189,0,0,45,1
13,2,2,"","13,23",2,8.53,31,1,8.53,0,0.819786039332219,0,0,39,0
13,3,1,"9","13",1,0,31,1,0,3,1.06683822477189,0,0,45,1
13,3,2,"19,23,26,30","9,13",1,0,31,1,0,6,1.33670137115618,0,0,44,4
13,3,3,"","9,13,19,23,26,30",3,2167.63,31,1,2167.63,1,1.03690252921818,0,0,23,0
13,4,1,"19,23","13",1,0,31,1,0,3,1.06683822477189,0,0,45,2
13,4,2,"","13,19,23",2,8.53,31,1,8.53,0,0.819786039332219,0,0,39,0
13,5,1,"23","13",1,0,31,1,0,3,1.06683822477189,0,0,45,1
13,5,2,"","13,23",2,8.53,31,1,8.53,0,0.819786039332219,0,0,39,0
