initial_branch,trial_id,chain_depth,terminated_reason,total_load_shed_mw,total_load_shed_frac,max_line_loading_pu,max_voltage_deviation_pu,num_total_outaged_branches,final_converged,basic_LLR,basic_LFOR,basic_NVOR,basic_CRI
1,1,1,no_new_outage,0,0,0.940761541270665,0,1,1,0,0,0,0
1,2,1,no_new_outage,0,0,0.940761541270665,0,1,1,0,0,0,0
1,3,1,no_new_outage,0,0,0.940761541270665,0,1,1,0,0,0,0
1,4,1,no_new_outage,0,0,0.940761541270665,0,1,1,0,0,0,0
1,5,1,no_new_outage,0,0,0.940761541270665,0,1,1,0,0,0,0
2,1,1,no_new_outage,0,0,0.785654242516885,0,1,1,0,0,0,0
2,2,1,no_new_outage,0,0,0.785654242516885,0,1,1,0,0,0,0
2,3,1,no_new_outage,0,0,0.785654242516885,0,1,1,0,0,0,0
2,4,1,no_new_outage,0,0,0.785654242516885,0,1,1,0,0,0,0
2,5,1,no_new_outage,0,0,0.785654242516885,0,1,1,0,0,0,0
3,1,1,no_new_outage,0,0,0.786162063473916,0,1,1,0,0,0,0
3,2,1,no_new_outage,0,0,0.786162063473916,0,1,1,0,0,0,0
3,3,1,no_new_outage,0,0,0.786162063473916,0,1,1,0,0,0,0
3,4,1,no_new_outage,0,0,0.786162063473916,0,1,1,0,0,0,0
3,5,1,no_new_outage,0,0,0.786162063473916,0,1,1,0,0,0,0
4,1,1,no_new_outage,0,0,0.841815582605276,0,1,1,0,0,0,0
4,2,1,no_new_outage,0,0,0.841815582605276,0,1,1,0,0,0,0
4,3,1,no_new_outage,0,0,0.841815582605276,0,1,1,0,0,0,0
4,4,1,no_new_outage,0,0,0.841815582605276,0,1,1,0,0,0,0
4,5,1,no_new_outage,0,0,0.841815582605276,0,1,1,0,0,0,0
5,1,1,no_new_outage,0,0,0.770529309958467,0,1,1,0,0,0,0
5,2,1,no_new_outage,0,0,0.770529309958467,0,1,1,0,0,0,0
5,3,1,no_new_outage,0,0,0.770529309958467,0,1,1,0,0,0,0
5,4,1,no_new_outage,0,0,0.770529309958467,0,1,1,0,0,0,0
5,5,1,no_new_outage,0,0,0.770529309958467,0,1,1,0,0,0,0
6,1,1,no_new_outage,0,0,0.775386838260116,0,1,1,0,0,0,0
6,2,1,no_new_outage,0,0,0.775386838260116,0,1,1,0,0,0,0
6,3,1,no_new_outage,0,0,0.775386838260116,0,1,1,0,0,0,0
6,4,1,no_new_outage,0,0,0.775386838260116,0,1,1,0,0,0,0
6,5,1,no_new_outage,0,0,0.775386838260116,0,1,1,0,0,0,0
7,1,1,no_new_outage,0,0,0.764008755373332,0,1,1,0,0,0,0
7,2,1,no_new_outage,0,0,0.764008755373332,0,1,1,0,0,0,0
7,3,1,no_new_outage,0,0,0.764008755373332,0,1,1,0,0,0,0
7,4,1,no_new_outage,0,0,0.764008755373332,0,1,1,0,0,0,0
7,5,1,no_new_outage,0,0,0.764008755373332,0,1,1,0,0,0,0
8,1,1,no_new_outage,0,0,0.832661943655991,0,1,1,0,0,0,0
8,2,1,no_new_outage,0,0,0.832661943655991,0,1,1,0,0,0,0
8,3,1,no_new_outage,0,0,0.832661943655991,0,1,1,0,0,0,0
8,4,1,no_new_outage,0,0,0.832661943655991,0,1,1,0,0,0,0
8,5,1,no_new_outage,0,0,0.832661943655991,0,1,1,0,0,0,0
9,1,1,no_new_outage,0,0,1.04151594269355,0,1,1,0,0.0415159426935534,0,0.00830318853871068
9,2,3,load_loss_threshold,2167.63,0.346586230439239,1.33670137115618,0.120597358765854,6,1,0.346586230439239,0.0703958323965659,0.60298679382927,0.34262826350871
9,3,1,no_new_outage,0,0,1.04151594269355,0,1,1,0,0.0415159426935534,0,0.00830318853871068
9,4,3,load_loss_threshold,2167.63,0.346586230439239,1.33670137115618,0.121169225991452,7,1,0.346586230439239,0.0718829332679491,0.60584612995726,0.343497550908585
9,5,1,no_new_outage,0,0,1.04151594269355,0,1,1,0,0.0415159426935534,0,0.00830318853871068
10,1,1,no_new_outage,0,0,0.919475568243766,0,1,1,0,0,0,0
10,2,1,no_new_outage,0,0,0.919475568243766,0,1,1,0,0,0,0
10,3,1,no_new_outage,0,0,0.919475568243766,0,1,1,0,0,0,0
10,4,5,max_depth_reached,3625.52,0.579690865222418,2.27486973074274,0.239082903158542,10,1,0.579690865222418,0,0,0.347814519133451
10,5,1,no_new_outage,0,0,0.919475568243766,0,1,1,0,0,0,0
11,1,1,no_new_outage,0,0,0.866923282462036,0,1,1,0,0,0,0
11,2,1,no_new_outage,0,0,0.866923282462036,0,1,1,0,0,0,0
11,3,1,no_new_outage,0,0,0.866923282462036,0,1,1,0,0,0,0
11,4,4,load_loss_threshold,2751.8612,0.44,1.50815064885243,0.137897762573277,5,0,1,1,1,1
11,5,1,no_new_outage,0,0,0.866923282462036,0,1,1,0,0,0,0
12,1,1,no_new_outage,0,0,0.863144472926513,0,1,1,0,0,0,0
12,2,1,no_new_outage,0,0,0.863144472926513,0,1,1,0,0,0,0
12,3,1,no_new_outage,0,0,0.863144472926513,0,1,1,0,0,0,0
12,4,1,no_new_outage,0,0,0.863144472926513,0,1,1,0,0,0,0
12,5,1,no_new_outage,0,0,0.863144472926513,0,1,1,0,0,0,0
13,1,1,no_new_outage,0,0,1.06683822477189,0,1,1,0,0.200514674315677,0,0.0401029348631354
13,2,2,no_new_outage,8.53,0.00136387692809506,1.06683822477189,0,2,1,0.00136387692809506,0,0,0.000818326156857039
13,3,3,load_loss_threshold,2167.63,0.346586230439239,1.33670137115618,0,6,1,0.346586230439239,0.0369025292181813,0,0.215332244107179
13,4,2,no_new_outage,8.53,0.00136387692809506,1.06683822477189,0,3,1,0.00136387692809506,0,0,0.000818326156857039
13,5,2,no_new_outage,8.53,0.00136387692809506,1.06683822477189,0,2,1,0.00136387692809506,0,0,0.000818326156857039
14,1,1,no_new_outage,9.2,0.0014710044242057,1.10852252696377,0,1,1,0.0014710044242057,0.108522526963773,0,0.022587108047278
14,2,2,no_new_outage,9.2,0.0014710044242057,1.12288686504754,0,2,1,0.0014710044242057,0.122886865047543,0,0.0254599756640321
