initial_branch,sigma,sample_count,initial_branch_weight,SLLR,SLFOR,SNVOR,CRI
35,0.95,5,0.0217391304347826,0.744862836832032,1.7378621021027,0.208859021494972,0.836261926818754
37,0.95,5,0.0217391304347826,0.77628801467167,0.96177132854755,0.0953083878028241,0.677188752073077
10,0.95,5,0.0217391304347826,0.579690865222418,1.27486973074274,0.239082903158542,0.650605045913707
14,0.95,5,0.0217391304347826,0.364396816234772,1.48830100160774,0.153717440252168,0.547041778112845
46,0.95,5,0.0217391304347826,0.540412488827561,0.983362942611,0.125421200666987,0.546004321952134
38,0.95,5,0.0217391304347826,0.491029287378302,0.47611259272417,0.0774949702113196,0.405339085014079
11,0.95,5,0.0217391304347826,0.44,0.50815064885243,0.137897762573277,0.393209682285141
9,0.95,5,0.0217391304347826,0.346586230439239,0.33670137115618,0.121169225991452,0.29952585769307
13,0.95,5,0.0217391304347826,0.346586230439239,0.33670137115618,0,0.275292012494779
42,0.95,5,0.0217391304347826,0.136307746916887,0.23938260559949,0,0.12966116927003
19,0.95,5,0.0217391304347826,0.00136387692809506,0.42787943723226,0.0420884515610677,0.0948119039155226
28,0.95,5,0.0217391304347826,0.0833835660025295,0.14522930283294,0,0.0790760001681057
32,0.95,5,0.0217391304347826,0.10872641396303,0.05374989502987,0,0.075985827383792
23,0.95,5,0.0217391304347826,0.00136387692809506,0.33495430681671,0,0.067809187520199
27,0.95,5,0.0217391304347826,0.10872641396303,0,0,0.065235848377818
18,0.95,5,0.0217391304347826,0,0.09492345914844,0,0.018984691829688
1,0.95,5,0.0217391304347826,0,0,0,0
2,0.95,5,0.0217391304347826,0,0,0,0
3,0.95,5,0.0217391304347826,0,0,0,0
4,0.95,5,0.0217391304347826,0,0,0,0
5,0.95,5,0.0217391304347826,0,0,0,0
6,0.95,5,0.0217391304347826,0,0,0,0
7,0.95,5,0.0217391304347826,0,0,0,0
8,0.95,5,0.0217391304347826,0,0,0,0
12,0.95,5,0.0217391304347826,0,0,0,0
15,0.95,5,0.0217391304347826,0,0,0,0
16,0.95,5,0.0217391304347826,0,0,0,0
17,0.95,5,0.0217391304347826,0,0,0,0
20,0.95,5,0.0217391304347826,0,0,0,0
21,0.95,5,0.0217391304347826,0,0,0,0
22,0.95,5,0.0217391304347826,0,0,0,0
24,0.95,5,0.0217391304347826,0,0,0,0
25,0.95,5,0.0217391304347826,0,0,0,0
26,0.95,5,0.0217391304347826,0,0,0,0
29,0.95,5,0.0217391304347826,0,0,0,0
30,0.95,5,0.0217391304347826,0,0,0,0
31,0.95,5,0.0217391304347826,0,0,0,0
33,0.95,5,0.0217391304347826,0,0,0,0
34,0.95,5,0.0217391304347826,0,0,0,0
36,0.95,5,0.0217391304347826,0,0,0,0
39,0.95,5,0.0217391304347826,0,0,0,0
40,0.95,5,0.0217391304347826,0,0,0,0
41,0.95,5,0.0217391304347826,0,0,0,0
43,0.95,5,0.0217391304347826,0,0,0,0
44,0.95,5,0.0217391304347826,0,0,0,0
45,0.95,5,0.0217391304347826,0,0,0,0
