initial_branch,sigma,sample_count,initial_branch_weight,SLLR,SLFOR,SNVOR,CRI
35,0.95,20,NaN,0.00079303530205746,0.0132761947972962,1.15779867549447e-05,0.00313337573804471
32,0.95,20,NaN,0.00376175916734316,0.000970086645935194,0,0.00245107282959294
46,0.95,20,NaN,0.000180795311022949,0.0113109885138897,1.51163187325134e-05,0.00237369815313821
28,0.95,20,NaN,0.00236141750970418,0.00383575354298156,4.4275866356314e-05,0.00219285638769008
42,0.95,20,NaN,0.00163976757879278,0.0036184215514106,5.49672393563529e-07,0.0017076547920365
23,0.95,20,NaN,4.20979523441509e-05,0.00773501744691361,0,0.00157226226078921
19,0.95,20,NaN,7.92530616675922e-06,0.00717851337010617,0.000246690515334929,0.00148979596078827
14,0.95,20,NaN,0.000373077954114603,0.004887525139703,0.000453460272443206,0.001292043854898
38,0.95,20,NaN,0.000937801932245665,0.00181075866767404,8.53744141985211e-07,0.000925003641710604
13,0.95,20,NaN,0.00091411807928872,0.00144453280712879,5.51581329906761e-05,0.000848409035597125
9,0.95,20,NaN,0.000302712260265298,0.000829617108788368,0,0.000347550777916853
37,0.95,20,NaN,1.03134828543802e-06,0.00103424303129576,1.29469006228723e-06,0.000207726353242872
18,0.95,20,NaN,0,0.000534162881690515,0,0.000106832576338103
25,0.95,20,NaN,0.000164844598139919,0,0,9.89067588839512e-05
27,0.95,20,NaN,0.000117743084356738,0,0,7.06458506140428e-05
39,0.95,20,NaN,3.23926615108164e-06,0.000233778986092594,1.4164009693012e-06,4.89826371030281e-05
33,0.95,20,NaN,2.71866306500069e-06,5.05362232294834e-05,1.87590006797105e-06,1.21136224984913e-05
1,0.95,20,NaN,0,0,0,0
2,0.95,20,NaN,0,0,0,0
3,0.95,20,NaN,0,0,0,0
4,0.95,20,NaN,0,0,0,0
5,0.95,20,NaN,0,0,0,0
6,0.95,20,NaN,0,0,0,0
7,0.95,20,NaN,0,0,0,0
8,0.95,20,NaN,0,0,0,0
10,0.95,20,NaN,0,0,0,0
11,0.95,20,NaN,0,0,0,0
12,0.95,20,NaN,0,0,0,0
15,0.95,20,NaN,0,0,0,0
16,0.95,20,NaN,0,0,0,0
17,0.95,20,NaN,0,0,0,0
20,0.95,20,NaN,0,0,0,0
21,0.95,20,NaN,0,0,0,0
22,0.95,20,NaN,0,0,0,0
24,0.95,20,NaN,0,0,0,0
26,0.95,20,NaN,0,0,0,0
29,0.95,20,NaN,0,0,0,0
30,0.95,20,NaN,0,0,0,0
31,0.95,20,NaN,0,0,0,0
34,0.95,20,NaN,0,0,0,0
36,0.95,20,NaN,0,0,0,0
40,0.95,20,NaN,0,0,0,0
41,0.95,20,NaN,0,0,0,0
43,0.95,20,NaN,0,0,0,0
44,0.95,20,NaN,0,0,0,0
45,0.95,20,NaN,0,0,0,0
