initial_branch,sigma,sample_count,initial_branch_weight,SLLR,SLFOR,SNVOR,CRI
35,0.95,5,0.0269420274661914,0.744862836832032,1.7378621021027,0.208859021494972,0.836261926818754
37,0.95,5,0.026313030716008,0.77628801467167,0.96177132854755,0.0953083878028241,0.677188752073077
10,0.95,5,0.0305063423838977,0.579690865222418,1.27486973074274,0.239082903158542,0.650605045913707
14,0.95,5,0.0197609812349303,0.364396816234772,1.48830100160774,0.153717440252168,0.547041778112845
46,0.95,5,0.0217003878813293,0.540412488827561,0.983362942611,0.125421200666987,0.546004321952134
38,0.95,5,0.0197609812349303,0.491029287378302,0.47611259272417,0.0774949702113196,0.405339085014079
11,0.95,5,0.0296152636544711,0.44,0.50815064885243,0.137897762573277,0.393209682285141
9,0.95,5,0.0322884998427508,0.346586230439239,0.33670137115618,0.121169225991452,0.29952585769307
13,0.95,5,0.026313030716008,0.346586230439239,0.33670137115618,0,0.275292012494779
42,0.95,5,0.0316070866967187,0.136307746916887,0.23938260559949,0,0.12966116927003
19,0.95,5,0.0359052311563057,0.00136387692809506,0.42787943723226,0.0420884515610677,0.0948119039155226
28,0.95,5,0.0247929552363979,0.0833835660025295,0.14522930283294,0,0.0790760001681057
32,0.95,5,0.0269944438620401,0.10872641396303,0.05374989502987,0,0.075985827383792
23,0.95,5,0.0227487157983017,0.00136387692809506,0.33495430681671,0,0.067809187520199
27,0.95,5,0.000576580354334836,0.10872641396303,0,0,0.065235848377818
18,0.95,5,0.0116888562742426,0,0.09492345914844,0,0.018984691829688
1,0.95,5,0.0229583813816962,0,0,0,0
2,0.95,5,0.0305063423838977,0,0,0,0
3,0.95,5,0.0198133976307789,0,0,0,0
4,0.95,5,0.0233252961526365,0,0,0,0
5,0.95,5,0.0250026208197924,0,0,0,0
6,0.95,5,0.0287241849250446,0,0,0,0
7,0.95,5,0.0227487157983017,0,0,0,0
8,0.95,5,0.00178215745885313,0,0,0,0
12,0.95,5,0.0137855121081874,0,0,0,0
15,0.95,5,0.00120557710451829,0,0,0,0
16,0.95,5,0.00120557710451829,0,0,0,0
17,0.95,5,0.0359052311563057,0,0,0,0
20,0.95,5,0.0289862669042877,0,0,0,0
21,0.95,5,0.0223818010273614,0,0,0,0
22,0.95,5,0.0217003878813293,0,0,0,0
24,0.95,5,0.0197609812349303,0,0,0,0
25,0.95,5,0.0245308732571548,0,0,0,0
26,0.95,5,0.0160394171296782,0,0,0,0
29,0.95,5,0.0314498375091729,0,0,0,0
30,0.95,5,0.0340706573016039,0,0,0,0
31,0.95,5,0.0305063423838977,0,0,0,0
33,0.95,5,0.00131040989621554,0,0,0,0
34,0.95,5,0.00131040989621554,0,0,0,0
36,0.95,5,0.0305063423838977,0,0,0,0
39,0.95,5,0.0233252961526365,0,0,0,0
40,0.95,5,0.0256840339658245,0,0,0,0
41,0.95,5,0.02395429290282,0,0,0,0
43,0.95,5,0.0250026208197924,0,0,0,0
44,0.95,5,0.00131040989621554,0,0,0,0
45,0.95,5,0.0236922109235769,0,0,0,0
