initial_branch,trial_id,stage_id,bus_id,voltage_pu,voltage_deviation_component,voltage_severity_component,severity_valid,replay_source
31,17,1,10,1.01683217389685,0,0,1,replayed_pf_result
31,17,1,11,1.01236954965752,0,0,1,replayed_pf_result
31,17,1,12,0.99968146398515,0,0,1,replayed_pf_result
31,17,1,13,1.01372939455678,0,0,1,replayed_pf_result
31,17,1,14,1.01067288778746,0,0,1,replayed_pf_result
31,17,1,15,1.0134574666206,0,0,1,replayed_pf_result
31,17,1,16,1.02939532185813,0,0,1,replayed_pf_result
31,17,1,17,1.02883497891209,0,0,1,replayed_pf_result
31,17,1,18,1.0273845336638,0,0,1,replayed_pf_result
31,17,1,19,1.04895753138656,0,0,1,replayed_pf_result
31,17,1,20,0.990383420102634,0,0,1,replayed_pf_result
31,17,1,21,1.0301195056529,0,0,1,replayed_pf_result
31,17,1,22,1.0489648691075,0,0,1,replayed_pf_result
31,17,1,23,1.04392592329245,0,0,1,replayed_pf_result
31,17,1,24,1.03515271379142,0,0,1,replayed_pf_result
31,17,1,25,1.05666046559559,0,0,1,replayed_pf_result
31,17,1,26,1.05281223211602,0,0,1,replayed_pf_result
31,17,1,27,1.03946222294232,0,0,1,replayed_pf_result
31,17,1,28,1.05050351640039,0,0,1,replayed_pf_result
31,17,1,29,1.05020399026076,0,0,1,replayed_pf_result
31,17,1,30,1.0499,0,0,1,replayed_pf_result
31,17,1,31,0.982,0,0,1,replayed_pf_result
31,17,1,32,0.9841,0,0,1,replayed_pf_result
31,17,1,33,0.9972,0,0,1,replayed_pf_result
31,17,1,34,1.0123,0,0,1,replayed_pf_result
31,17,1,35,1.0494,0,0,1,replayed_pf_result
31,17,1,36,1.0636,0,0,1,replayed_pf_result
31,17,1,37,1.0275,0,0,1,replayed_pf_result
31,17,1,38,1.0265,0,0,1,replayed_pf_result
31,17,1,39,1.03,0,0,1,replayed_pf_result
31,18,1,1,1.03932290726896,0,0,1,replayed_pf_result
31,18,1,2,1.04819891236974,0,0,1,replayed_pf_result
31,18,1,3,1.02858516838121,0,0,1,replayed_pf_result
31,18,1,4,1.00289955757107,0,0,1,replayed_pf_result
31,18,1,5,1.00493296779036,0,0,1,replayed_pf_result
31,18,1,6,1.00723117096273,0,0,1,replayed_pf_result
31,18,1,7,0.99740966518576,0,0,1,replayed_pf_result
31,18,1,8,0.996896105510863,0,0,1,replayed_pf_result
31,18,1,9,1.03791454330526,0,0,1,replayed_pf_result
31,18,1,10,1.01683217389685,0,0,1,replayed_pf_result
31,18,1,11,1.01236954965752,0,0,1,replayed_pf_result
31,18,1,12,0.99968146398515,0,0,1,replayed_pf_result
31,18,1,13,1.01372939455678,0,0,1,replayed_pf_result
31,18,1,14,1.01067288778746,0,0,1,replayed_pf_result
31,18,1,15,1.0134574666206,0,0,1,replayed_pf_result
31,18,1,16,1.02939532185813,0,0,1,replayed_pf_result
31,18,1,17,1.02883497891209,0,0,1,replayed_pf_result
31,18,1,18,1.0273845336638,0,0,1,replayed_pf_result
31,18,1,19,1.04895753138656,0,0,1,replayed_pf_result
31,18,1,20,0.990383420102634,0,0,1,replayed_pf_result
31,18,1,21,1.0301195056529,0,0,1,replayed_pf_result
31,18,1,22,1.0489648691075,0,0,1,replayed_pf_result
31,18,1,23,1.04392592329245,0,0,1,replayed_pf_result
31,18,1,24,1.03515271379142,0,0,1,replayed_pf_result
31,18,1,25,1.05666046559559,0,0,1,replayed_pf_result
31,18,1,26,1.05281223211602,0,0,1,replayed_pf_result
31,18,1,27,1.03946222294232,0,0,1,replayed_pf_result
31,18,1,28,1.05050351640039,0,0,1,replayed_pf_result
31,18,1,29,1.05020399026076,0,0,1,replayed_pf_result
31,18,1,30,1.0499,0,0,1,replayed_pf_result
31,18,1,31,0.982,0,0,1,replayed_pf_result
31,18,1,32,0.9841,0,0,1,replayed_pf_result
31,18,1,33,0.9972,0,0,1,replayed_pf_result
31,18,1,34,1.0123,0,0,1,replayed_pf_result
31,18,1,35,1.0494,0,0,1,replayed_pf_result
31,18,1,36,1.0636,0,0,1,replayed_pf_result
31,18,1,37,1.0275,0,0,1,replayed_pf_result
31,18,1,38,1.0265,0,0,1,replayed_pf_result
31,18,1,39,1.03,0,0,1,replayed_pf_result
31,19,1,1,1.03932290726896,0,0,1,replayed_pf_result
31,19,1,2,1.04819891236974,0,0,1,replayed_pf_result
31,19,1,3,1.02858516838121,0,0,1,replayed_pf_result
31,19,1,4,1.00289955757107,0,0,1,replayed_pf_result
31,19,1,5,1.00493296779036,0,0,1,replayed_pf_result
31,19,1,6,1.00723117096273,0,0,1,replayed_pf_result
31,19,1,7,0.99740966518576,0,0,1,replayed_pf_result
31,19,1,8,0.996896105510863,0,0,1,replayed_pf_result
31,19,1,9,1.03791454330526,0,0,1,replayed_pf_result
31,19,1,10,1.01683217389685,0,0,1,replayed_pf_result
31,19,1,11,1.01236954965752,0,0,1,replayed_pf_result
31,19,1,12,0.99968146398515,0,0,1,replayed_pf_result
31,19,1,13,1.01372939455678,0,0,1,replayed_pf_result
31,19,1,14,1.01067288778746,0,0,1,replayed_pf_result
31,19,1,15,1.0134574666206,0,0,1,replayed_pf_result
31,19,1,16,1.02939532185813,0,0,1,replayed_pf_result
31,19,1,17,1.02883497891209,0,0,1,replayed_pf_result
31,19,1,18,1.0273845336638,0,0,1,replayed_pf_result
31,19,1,19,1.04895753138656,0,0,1,replayed_pf_result
31,19,1,20,0.990383420102634,0,0,1,replayed_pf_result
31,19,1,21,1.0301195056529,0,0,1,replayed_pf_result
31,19,1,22,1.0489648691075,0,0,1,replayed_pf_result
31,19,1,23,1.04392592329245,0,0,1,replayed_pf_result
31,19,1,24,1.03515271379142,0,0,1,replayed_pf_result
31,19,1,25,1.05666046559559,0,0,1,replayed_pf_result
31,19,1,26,1.05281223211602,0,0,1,replayed_pf_result
31,19,1,27,1.03946222294232,0,0,1,replayed_pf_result
31,19,1,28,1.05050351640039,0,0,1,replayed_pf_result
31,19,1,29,1.05020399026076,0,0,1,replayed_pf_result
31,19,1,30,1.0499,0,0,1,replayed_pf_result
31,19,1,31,0.982,0,0,1,replayed_pf_result
31,19,1,32,0.9841,0,0,1,replayed_pf_result
31,19,1,33,0.9972,0,0,1,replayed_pf_result
31,19,1,34,1.0123,0,0,1,replayed_pf_result
31,19,1,35,1.0494,0,0,1,replayed_pf_result
31,19,1,36,1.0636,0,0,1,replayed_pf_result
31,19,1,37,1.0275,0,0,1,replayed_pf_result
31,19,1,38,1.0265,0,0,1,replayed_pf_result
31,19,1,39,1.03,0,0,1,replayed_pf_result
31,20,1,1,1.03932290726896,0,0,1,replayed_pf_result
31,20,1,2,1.04819891236974,0,0,1,replayed_pf_result
31,20,1,3,1.02858516838121,0,0,1,replayed_pf_result
31,20,1,4,1.00289955757107,0,0,1,replayed_pf_result
31,20,1,5,1.00493296779036,0,0,1,replayed_pf_result
31,20,1,6,1.00723117096273,0,0,1,replayed_pf_result
31,20,1,7,0.99740966518576,0,0,1,replayed_pf_result
31,20,1,8,0.996896105510863,0,0,1,replayed_pf_result
31,20,1,9,1.03791454330526,0,0,1,replayed_pf_result
31,20,1,10,1.01683217389685,0,0,1,replayed_pf_result
31,20,1,11,1.01236954965752,0,0,1,replayed_pf_result
31,20,1,12,0.99968146398515,0,0,1,replayed_pf_result
31,20,1,13,1.01372939455678,0,0,1,replayed_pf_result
31,20,1,14,1.01067288778746,0,0,1,replayed_pf_result
31,20,1,15,1.0134574666206,0,0,1,replayed_pf_result
31,20,1,16,1.02939532185813,0,0,1,replayed_pf_result
31,20,1,17,1.02883497891209,0,0,1,replayed_pf_result
31,20,1,18,1.0273845336638,0,0,1,replayed_pf_result
31,20,1,19,1.04895753138656,0,0,1,replayed_pf_result
31,20,1,20,0.990383420102634,0,0,1,replayed_pf_result
31,20,1,21,1.0301195056529,0,0,1,replayed_pf_result
31,20,1,22,1.0489648691075,0,0,1,replayed_pf_result
31,20,1,23,1.04392592329245,0,0,1,replayed_pf_result
31,20,1,24,1.03515271379142,0,0,1,replayed_pf_result
31,20,1,25,1.05666046559559,0,0,1,replayed_pf_result
31,20,1,26,1.05281223211602,0,0,1,replayed_pf_result
31,20,1,27,1.03946222294232,0,0,1,replayed_pf_result
31,20,1,28,1.05050351640039,0,0,1,replayed_pf_result
31,20,1,29,1.05020399026076,0,0,1,replayed_pf_result
31,20,1,30,1.0499,0,0,1,replayed_pf_result
31,20,1,31,0.982,0,0,1,replayed_pf_result
31,20,1,32,0.9841,0,0,1,replayed_pf_result
31,20,1,33,0.9972,0,0,1,replayed_pf_result
31,20,1,34,1.0123,0,0,1,replayed_pf_result
31,20,1,35,1.0494,0,0,1,replayed_pf_result
31,20,1,36,1.0636,0,0,1,replayed_pf_result
31,20,1,37,1.0275,0,0,1,replayed_pf_result
31,20,1,38,1.0265,0,0,1,replayed_pf_result
31,20,1,39,1.03,0,0,1,replayed_pf_result
32,1,1,1,1.0386218042213,0,0,1,replayed_pf_result
32,1,1,2,1.04753914479166,0,0,1,replayed_pf_result
32,1,1,3,1.02949882739236,0,0,1,replayed_pf_result
32,1,1,4,1.00442798752317,0,0,1,replayed_pf_result
32,1,1,5,1.00695815232793,0,0,1,replayed_pf_result
32,1,1,6,1.00925813418554,0,0,1,replayed_pf_result
32,1,1,7,0.999428897076524,0,0,1,replayed_pf_result
32,1,1,8,0.998874120702854,0,0,1,replayed_pf_result
32,1,1,9,1.03884670924982,0,0,1,replayed_pf_result
32,1,1,10,1.0181396264551,0,0,1,replayed_pf_result
32,1,1,11,1.01384599225932,0,0,1,replayed_pf_result
32,1,1,12,1.00114747901962,0,0,1,replayed_pf_result
32,1,1,13,1.01511756428629,0,0,1,replayed_pf_result
32,1,1,14,1.01199515994831,0,0,1,replayed_pf_result
32,1,1,15,1.01408159118328,0,0,1,replayed_pf_result
32,1,1,16,1.03002246319939,0,0,1,replayed_pf_result
32,1,1,17,1.03217399037224,0,0,1,replayed_pf_result
32,1,1,18,1.02974141658589,0,0,1,replayed_pf_result
32,1,1,19,1.04795967946688,0,0,1,replayed_pf_result
32,1,1,20,0.99101054,0,0,1,replayed_pf_result
32,1,1,21,1.03056097452322,0,0,1,replayed_pf_result
32,1,1,22,1.04920126652406,0,0,1,replayed_pf_result
32,1,1,23,1.04417060606388,0,0,1,replayed_pf_result
32,1,1,24,1.03572433713466,0,0,1,replayed_pf_result
32,1,1,25,1.05763576303712,0,0,1,replayed_pf_result
32,1,1,26,1.05190658612318,0,0,1,replayed_pf_result
32,1,1,27,1.03709704952421,0,0,1,replayed_pf_result
32,1,1,28,1.05003484637319,0,0,1,replayed_pf_result
32,1,1,29,1.04988246674702,0,0,1,replayed_pf_result
32,1,1,30,1.0499,0,0,1,replayed_pf_result
32,1,1,31,0.982,0,0,1,replayed_pf_result
32,1,1,32,0.9841,0,0,1,replayed_pf_result
32,1,1,33,0.9972,0,0,1,replayed_pf_result
32,1,1,34,1.0123,0,0,1,replayed_pf_result
32,1,1,35,1.0494,0,0,1,replayed_pf_result
32,1,1,36,1.0636,0,0,1,replayed_pf_result
32,1,1,37,1.0275,0,0,1,replayed_pf_result
32,1,1,38,1.0265,0,0,1,replayed_pf_result
32,1,1,39,1.03,0,0,1,replayed_pf_result
32,2,1,1,1.0386218042213,0,0,1,replayed_pf_result
32,2,1,2,1.04753914479166,0,0,1,replayed_pf_result
32,2,1,3,1.02949882739236,0,0,1,replayed_pf_result
32,2,1,4,1.00442798752317,0,0,1,replayed_pf_result
32,2,1,5,1.00695815232793,0,0,1,replayed_pf_result
32,2,1,6,1.00925813418554,0,0,1,replayed_pf_result
32,2,1,7,0.999428897076524,0,0,1,replayed_pf_result
32,2,1,8,0.998874120702854,0,0,1,replayed_pf_result
32,2,1,9,1.03884670924982,0,0,1,replayed_pf_result
32,2,1,10,1.0181396264551,0,0,1,replayed_pf_result
32,2,1,11,1.01384599225932,0,0,1,replayed_pf_result
32,2,1,12,1.00114747901962,0,0,1,replayed_pf_result
