initial_branch,sigma,sample_count,initial_branch_weight,SLLR,SLFOR,SNVOR,CRI
10,0.95,20,NaN,0.00210139156095802,0.131561848812524,0.00780135652780047,0.0291334760046397
35,0.95,20,NaN,0.00210995763002496,0.0253042016570842,0.000905679706542704,0.00650795085074035
14,0.95,20,NaN,0.00159349826224379,0.00985666999597355,0.000103233329365411,0.00294807962241407
32,0.95,20,NaN,0.00421051395150849,3.22962395397969e-05,0,0.00253276761881305
1,0.95,20,NaN,0.00116687470342151,0.00692905571573134,1.36044957867524e-05,0.00208865686435652
46,0.95,20,NaN,0.000572245683646689,0.0044903424530376,9.19629306415107e-05,0.00125980848692384
23,0.95,20,NaN,8.08165765009984e-05,0.0060136476538089,4.07499875311688e-05,0.00125936947416861
28,0.95,20,NaN,0.00144308422056498,0.00169092305034279,1.1074876604387e-05,0.00120625011772843
37,0.95,20,NaN,0.000724398294914015,0.0028328770656049,0.000216330018308383,0.00104448039373107
38,0.95,20,NaN,0.000939006242455233,0.00195188741111798,8.82488102133542e-05,0.000971430989739407
42,0.95,20,NaN,0.000633670132710688,0.00190204841396501,1.11911154624487e-05,0.000762849985511905
20,0.95,20,NaN,8.91325596959034e-05,0.00177823127208428,0.000936287091559032,0.000596383208546204
39,0.95,20,NaN,8.68272864566332e-05,0.0012608215268368,1.70273310722787e-05,0.000307666143455796
11,0.95,20,NaN,0.000246903065535363,0.000200175183682275,0.000190818173383859,0.000226340510734445
19,0.95,20,NaN,7.10583415027325e-06,0.000800374834421538,0.000121510261785435,0.000188640519731559
13,0.95,20,NaN,9.23165942565333e-06,0.000556997353591537,2.81460455391287e-05,0.000122567675481525
27,0.95,20,NaN,0.000109532204545622,7.09961939156074e-06,0,6.71392466056852e-05
18,0.95,20,NaN,0,0.000177252277535825,0,3.54504555071651e-05
33,0.95,20,NaN,1.21173521009862e-05,0.000115751963814382,1.04493508663646e-05,3.2510674196741e-05
8,0.95,20,NaN,7.66273610612014e-06,8.98075737522044e-05,1.79974959560311e-06,2.29191063332336e-05
34,0.95,20,NaN,7.11160747100849e-06,5.70656398701248e-05,2.96034954165148e-06,1.62721623649604e-05
41,0.95,20,NaN,1.07988925619366e-08,5.33385305755446e-08,1.22913334252868e-09,1.73928683207766e-08
2,0.95,20,NaN,0,0,0,0
3,0.95,20,NaN,0,0,0,0
4,0.95,20,NaN,0,0,0,0
5,0.95,20,NaN,0,0,0,0
6,0.95,20,NaN,0,0,0,0
7,0.95,20,NaN,0,0,0,0
9,0.95,20,NaN,0,0,0,0
12,0.95,20,NaN,0,0,0,0
15,0.95,20,NaN,0,0,0,0
16,0.95,20,NaN,0,0,0,0
17,0.95,20,NaN,0,0,0,0
21,0.95,20,NaN,0,0,0,0
22,0.95,20,NaN,0,0,0,0
24,0.95,20,NaN,0,0,0,0
25,0.95,20,NaN,0,0,0,0
26,0.95,20,NaN,0,0,0,0
29,0.95,20,NaN,0,0,0,0
30,0.95,20,NaN,0,0,0,0
31,0.95,20,NaN,0,0,0,0
36,0.95,20,NaN,0,0,0,0
40,0.95,20,NaN,0,0,0,0
43,0.95,20,NaN,0,0,0,0
44,0.95,20,NaN,0,0,0,0
45,0.95,20,NaN,0,0,0,0
