initial_branch,trial_id,stage_id,branch_index,from_bus,to_bus,PF,PT,active_flow_mw,active_limit_mw,P_li_pu,P_li_max_pu,line_overlimit_component,line_severity_component,severity_valid,replay_source
10,4,1,19,10,13,538.674271704851,-537.461809273729,538.674271704851,600,0.897790452841419,1,0,0,1,replayed_pf_result
10,4,1,20,10,32,-614.315355965998,614.315355965998,614.315355965998,900,0.682572617739998,1,0,0,1,replayed_pf_result
10,4,1,21,12,11,-26.5558313766423,26.6035463317178,26.6035463317178,500,0.0532070926634355,1,0,0,1,replayed_pf_result
10,4,1,22,12,13,18.0258313766425,-17.9921952369649,18.0258313766425,500,0.036051662753285,1,0,0,1,replayed_pf_result
10,4,1,23,13,14,555.454004510691,-552.607433909762,555.454004510691,600,0.925756674184485,1,0,0,1,replayed_pf_result
10,4,1,24,14,15,121.115572596823,-120.845365642417,121.115572596823,600,0.201859287661372,1,0,0,1,replayed_pf_result
10,4,1,25,15,16,-199.154634357583,199.675973588665,199.675973588665,600,0.332793289314443,1,0,0,1,replayed_pf_result
10,4,1,26,16,17,258.848945690473,-258.376382523958,258.848945690473,600,0.431414909484121,1,0,0,1,replayed_pf_result
10,4,1,27,16,19,-448.230660260614,451.719475768074,451.719475768074,600,0.75286579294679,1,0,0,1,replayed_pf_result
10,4,1,28,16,21,-308.308150416698,309.126076668007,309.126076668007,600,0.515210127780012,1,0,0,1,replayed_pf_result
10,4,1,29,16,24,-30.9861086018221,30.9961814979546,30.9961814979546,600,0.0516603024965909,1,0,0,1,replayed_pf_result
10,4,1,30,17,18,179.62931292692,-179.398674955033,179.62931292692,600,0.299382188211534,1,0,0,1,replayed_pf_result
10,4,1,31,17,27,78.7470695970353,-78.6556001593525,78.7470695970353,600,0.131245115995059,1,0,0,1,replayed_pf_result
10,4,1,32,19,20,149.12891795447,-148.96616030871,149.12891795447,900,0.165698797727189,1,0,0,1,replayed_pf_result
