initial_branch,trial_id,stage_id,new_outaged_branches,all_outaged_branches,island_count,disconnected_load_mw,new_slack_bus,converged,load_shed_mw,num_overloaded_lines,max_line_loading_pu,num_voltage_violations,max_voltage_deviation_pu,num_candidate_lines,num_selected_trips
1,1,1,"3","1",1,0,31,1,0,1,1.10405739595223,0,0,45,1
1,1,2,"40,42","1,3",1,0,31,1,0,2,1.29845349033122,0,0,44,2
1,1,3,"14","1,3,40,42",3,852.5,31,1,852.5,1,1.11768294654655,0,0,35,1
1,1,4,"27","1,3,14,40,42",10,9.2,39,1,1400.953,2,1.07214224607951,2,0.0128147058108088,34,1
1,1,5,"","1,3,14,27,40,42",11,612,39,1,2649.14455,3,1.15521723223281,7,0.0356221075677459,30,0
1,2,1,"3","1",1,0,31,1,0,1,1.10405739595223,0,0,45,1
1,2,2,"40,42","1,3",1,0,31,1,0,2,1.29845349033122,0,0,44,2
1,2,3,"14","1,3,40,42",3,852.5,31,1,852.5,1,1.11768294654655,0,0,35,1
1,2,4,"17","1,3,14,40,42",10,9.2,39,1,1400.953,2,1.07214224607951,2,0.0128147058108088,34,1
1,2,5,"","1,3,14,17,40,42",11,1081.44,32,1,2482.393,6,2.02959616282652,10,0.0388423396019187,32,0
1,3,1,"","1",1,0,31,1,0,1,1.10405739595223,0,0,45,0
1,4,1,"","1",1,0,31,1,0,1,1.10405739595223,0,0,45,0
1,5,1,"","1",1,0,31,1,0,1,1.10405739595223,0,0,45,0
1,6,1,"","1",1,0,31,1,0,1,1.10405739595223,0,0,45,0
1,7,1,"3","1",1,0,31,1,0,1,1.10405739595223,0,0,45,1
1,7,2,"40,42","1,3",1,0,31,1,0,2,1.29845349033122,0,0,44,2
1,7,3,"14","1,3,40,42",3,852.5,31,1,852.5,1,1.11768294654655,0,0,35,1
1,7,4,"","1,3,14,40,42",10,9.2,39,1,1400.953,2,1.07214224607951,2,0.0128147058108088,34,0
1,8,1,"3","1",1,0,31,1,0,1,1.10405739595223,0,0,45,1
1,8,2,"40,42","1,3",1,0,31,1,0,2,1.29845349033122,0,0,44,2
1,8,3,"14","1,3,40,42",3,852.5,31,1,852.5,1,1.11768294654655,0,0,35,1
1,8,4,"17","1,3,14,40,42",10,9.2,39,1,1400.953,2,1.07214224607951,2,0.0128147058108088,34,1
1,8,5,"","1,3,14,17,40,42",11,1081.44,32,1,2482.393,6,2.02959616282652,10,0.0388423396019187,32,0
1,9,1,"","1",1,0,31,1,0,1,1.10405739595223,0,0,45,0
1,10,1,"3","1",1,0,31,1,0,1,1.10405739595223,0,0,45,1
1,10,2,"40,42","1,3",1,0,31,1,0,2,1.29845349033122,0,0,44,2
1,10,3,"","1,3,40,42",3,852.5,31,1,852.5,1,1.11768294654655,0,0,35,0
1,11,1,"","1",1,0,31,1,0,1,1.10405739595223,0,0,45,0
1,12,1,"","1",1,0,31,1,0,1,1.10405739595223,0,0,45,0
1,13,1,"3","1",1,0,31,1,0,1,1.10405739595223,0,0,45,1
1,13,2,"40,42","1,3",1,0,31,1,0,2,1.29845349033122,0,0,44,2
1,13,3,"14","1,3,40,42",3,852.5,31,1,852.5,1,1.11768294654655,0,0,35,1
1,13,4,"","1,3,14,40,42",10,9.2,39,1,1400.953,2,1.07214224607951,2,0.0128147058108088,34,0
1,14,1,"","1",1,0,31,1,0,1,1.10405739595223,0,0,45,0
1,15,1,"3","1",1,0,31,1,0,1,1.10405739595223,0,0,45,1
1,15,2,"40,42","1,3",1,0,31,1,0,2,1.29845349033122,0,0,44,2
1,15,3,"14","1,3,40,42",3,852.5,31,1,852.5,1,1.11768294654655,0,0,35,1
1,15,4,"16","1,3,14,40,42",10,9.2,39,1,1400.953,2,1.07214224607951,2,0.0128147058108088,34,1
1,15,5,"","1,3,14,16,40,42",11,1087.29,32,1,2488.243,6,2.10385225581369,13,0.0798871223735486,31,0
1,16,1,"","1",1,0,31,1,0,1,1.10405739595223,0,0,45,0
1,17,1,"3","1",1,0,31,1,0,1,1.10405739595223,0,0,45,1
1,17,2,"40,42","1,3",1,0,31,1,0,2,1.29845349033122,0,0,44,2
1,17,3,"14","1,3,40,42",3,852.5,31,1,852.5,1,1.11768294654655,0,0,35,1
1,17,4,"","1,3,14,40,42",10,9.2,39,1,1400.953,2,1.07214224607951,2,0.0128147058108088,34,0
1,18,1,"","1",1,0,31,1,0,1,1.10405739595223,0,0,45,0
1,19,1,"","1",1,0,31,1,0,1,1.10405739595223,0,0,45,0
1,20,1,"","1",1,0,31,1,0,1,1.10405739595223,0,0,45,0
2,1,1,"","2",1,0,31,1,0,0,0.945312871244496,0,0,45,0
2,2,1,"","2",1,0,31,1,0,0,0.945312871244496,0,0,45,0
2,3,1,"","2",1,0,31,1,0,0,0.945312871244496,0,0,45,0
2,4,1,"","2",1,0,31,1,0,0,0.945312871244496,0,0,45,0
2,5,1,"","2",1,0,31,1,0,0,0.945312871244496,0,0,45,0
2,6,1,"","2",1,0,31,1,0,0,0.945312871244496,0,0,45,0
2,7,1,"","2",1,0,31,1,0,0,0.945312871244496,0,0,45,0
2,8,1,"3","2",1,0,31,1,0,0,0.945312871244496,0,0,45,1
2,8,2,"40,42","2,3",1,0,31,1,0,2,1.15141364201314,0,0,44,2
2,8,3,"10","2,3,40,42",3,950.1,31,1,950.1,1,1.03562149704465,0,0,34,1
2,8,4,"9,12,14,15,19,23","2,3,10,40,42",10,0,31,1,950.1,6,1.55369225284114,4,0.0188792398405216,33,6
2,8,5,"","2,3,9,10,12,14,15,19,23,40,42",13,251.53,39,1,2464.78,2,1.23073937765026,5,0.102677090961369,22,0
2,9,1,"","2",1,0,31,1,0,0,0.945312871244496,0,0,45,0
2,10,1,"","2",1,0,31,1,0,0,0.945312871244496,0,0,45,0
2,11,1,"","2",1,0,31,1,0,0,0.945312871244496,0,0,45,0
2,12,1,"","2",1,0,31,1,0,0,0.945312871244496,0,0,45,0
2,13,1,"","2",1,0,31,1,0,0,0.945312871244496,0,0,45,0
2,14,1,"","2",1,0,31,1,0,0,0.945312871244496,0,0,45,0
2,15,1,"","2",1,0,31,1,0,0,0.945312871244496,0,0,45,0
2,16,1,"","2",1,0,31,1,0,0,0.945312871244496,0,0,45,0
2,17,1,"3","2",1,0,31,1,0,0,0.945312871244496,0,0,45,1
2,17,2,"40","2,3",1,0,31,1,0,2,1.15141364201314,0,0,44,1
2,17,3,"","2,3,40",2,321.6,31,1,321.6,0,0.978103094138587,0,0,39,0
2,18,1,"","2",1,0,31,1,0,0,0.945312871244496,0,0,45,0
2,19,1,"","2",1,0,31,1,0,0,0.945312871244496,0,0,45,0
2,20,1,"","2",1,0,31,1,0,0,0.945312871244496,0,0,45,0
3,1,1,"","3",1,0,31,1,0,0,0.803479227269884,0,0,45,0
3,2,1,"","3",1,0,31,1,0,0,0.803479227269884,0,0,45,0
3,3,1,"","3",1,0,31,1,0,0,0.803479227269884,0,0,45,0
3,4,1,"","3",1,0,31,1,0,0,0.803479227269884,0,0,45,0
3,5,1,"","3",1,0,31,1,0,0,0.803479227269884,0,0,45,0
3,6,1,"","3",1,0,31,1,0,0,0.803479227269884,0,0,45,0
3,7,1,"","3",1,0,31,1,0,0,0.803479227269884,0,0,45,0
3,8,1,"","3",1,0,31,1,0,0,0.803479227269884,0,0,45,0
3,9,1,"","3",1,0,31,1,0,0,0.803479227269884,0,0,45,0
3,10,1,"","3",1,0,31,1,0,0,0.803479227269884,0,0,45,0
3,11,1,"","3",1,0,31,1,0,0,0.803479227269884,0,0,45,0
3,12,1,"","3",1,0,31,1,0,0,0.803479227269884,0,0,45,0
3,13,1,"","3",1,0,31,1,0,0,0.803479227269884,0,0,45,0
3,14,1,"","3",1,0,31,1,0,0,0.803479227269884,0,0,45,0
3,15,1,"","3",1,0,31,1,0,0,0.803479227269884,0,0,45,0
3,16,1,"","3",1,0,31,1,0,0,0.803479227269884,0,0,45,0
3,17,1,"","3",1,0,31,1,0,0,0.803479227269884,0,0,45,0
3,18,1,"","3",1,0,31,1,0,0,0.803479227269884,0,0,45,0
3,19,1,"","3",1,0,31,1,0,0,0.803479227269884,0,0,45,0
3,20,1,"","3",1,0,31,1,0,0,0.803479227269884,0,0,45,0
4,1,1,"","4",1,0,31,1,0,0,0.79254584005613,0,0,45,0
4,2,1,"","4",1,0,31,1,0,0,0.79254584005613,0,0,45,0
4,3,1,"","4",1,0,31,1,0,0,0.79254584005613,0,0,45,0
4,4,1,"","4",1,0,31,1,0,0,0.79254584005613,0,0,45,0
4,5,1,"","4",1,0,31,1,0,0,0.79254584005613,0,0,45,0
4,6,1,"","4",1,0,31,1,0,0,0.79254584005613,0,0,45,0
4,7,1,"","4",1,0,31,1,0,0,0.79254584005613,0,0,45,0
4,8,1,"","4",1,0,31,1,0,0,0.79254584005613,0,0,45,0
4,9,1,"","4",1,0,31,1,0,0,0.79254584005613,0,0,45,0
4,10,1,"","4",1,0,31,1,0,0,0.79254584005613,0,0,45,0
4,11,1,"","4",1,0,31,1,0,0,0.79254584005613,0,0,45,0
4,12,1,"","4",1,0,31,1,0,0,0.79254584005613,0,0,45,0
4,13,1,"","4",1,0,31,1,0,0,0.79254584005613,0,0,45,0
4,14,1,"","4",1,0,31,1,0,0,0.79254584005613,0,0,45,0
4,15,1,"","4",1,0,31,1,0,0,0.79254584005613,0,0,45,0
4,16,1,"","4",1,0,31,1,0,0,0.79254584005613,0,0,45,0
4,17,1,"","4",1,0,31,1,0,0,0.79254584005613,0,0,45,0
4,18,1,"","4",1,0,31,1,0,0,0.79254584005613,0,0,45,0
4,19,1,"","4",1,0,31,1,0,0,0.79254584005613,0,0,45,0
4,20,1,"","4",1,0,31,1,0,0,0.79254584005613,0,0,45,0
5,1,1,"","5",2,0,31,1,0,0,0.81370377547094,0,0,45,0
5,2,1,"","5",2,0,31,1,0,0,0.81370377547094,0,0,45,0
5,3,1,"","5",2,0,31,1,0,0,0.81370377547094,0,0,45,0
5,4,1,"","5",2,0,31,1,0,0,0.81370377547094,0,0,45,0
