initial_branch,trial_id,stage_id,pf_converged,severity_valid,invalid_reason,replay_source,stage_load_shed_mw,base_load_mw,stage_cumulative_probability,max_P_li_pu_if_available,min_voltage_pu_if_available,max_voltage_pu_if_available
8,2,4,0,0,nonconverged_power_flow,invalid_nonconverged,4166.7285,6254.23,1.15013354821761e-07,104.649574027179,0.321561777602722,2.26616811399654
10,4,4,0,0,nonconverged_power_flow,invalid_nonconverged,2543.5125,6254.23,1.29291460112691e-07,2.8135358975665,0.121019168265875,1.07044108846896
13,19,5,0,0,nonconverged_power_flow,invalid_nonconverged,3149.59,6254.23,3.74962493799698e-07,107.181716066465,0.00946398063308718,2.21304422794251
19,16,5,0,0,nonconverged_power_flow,invalid_nonconverged,4085.49665,6254.23,1.57505101968576e-06,4.68196591198034,0.00318542399916633,2.00338607960763
23,1,4,0,0,nonconverged_power_flow,invalid_nonconverged,4618.9285,6254.23,2.8224281724108e-06,171.020090902423,0.0546130740654473,4.39379950392598
23,18,4,0,0,nonconverged_power_flow,invalid_nonconverged,4166.7285,6254.23,2.50606965101191e-06,1.48177859254252,0.700942509303971,1.0576827
28,3,5,0,0,nonconverged_power_flow,invalid_nonconverged,3886.879,6254.23,4.45463748971324e-06,10.3224391324138,0.0125089272089443,1.10448213457156
33,6,4,0,0,nonconverged_power_flow,invalid_nonconverged,3517.279,6254.23,5.49553290534998e-08,1.31508606047966,0.0135945596800041,1.0576827
33,14,4,0,0,nonconverged_power_flow,invalid_nonconverged,3325.129,6254.23,2.51634761276365e-07,37.1206324718447,0.000755050222289701,1.74342379556934
34,1,4,0,0,nonconverged_power_flow,invalid_nonconverged,3325.129,6254.23,8.01241946280794e-08,22.7534195665934,0.00388943028762145,1.0576827
35,1,4,0,0,nonconverged_power_flow,invalid_nonconverged,4029.7385,6254.23,1.28099694539512e-05,159.852509247316,0.00719231025673045,5.67786894755084
35,2,4,0,0,nonconverged_power_flow,invalid_nonconverged,4029.7385,6254.23,2.56114735264814e-05,159.852509247316,0.00719231025673045,5.67786894755084
35,4,4,0,0,nonconverged_power_flow,invalid_nonconverged,4029.7385,6254.23,1.64809992775426e-06,8.43422839989683,0.0196351390287176,1.0636
35,5,4,0,0,nonconverged_power_flow,invalid_nonconverged,4922.725,6254.23,4.00972952241901e-08,1.14286353783673,0.705451679602294,1.0636
35,6,4,0,0,nonconverged_power_flow,invalid_nonconverged,4029.7385,6254.23,4.81435688414075e-06,159.852509247316,0.00719231025673045,5.67786894755084
35,7,4,0,0,nonconverged_power_flow,invalid_nonconverged,4029.7385,6254.23,3.87262839726719e-07,10323.0399815444,0.2882157022375,28.9828986511786
35,9,4,0,0,nonconverged_power_flow,invalid_nonconverged,4029.7385,6254.23,1.30751515849612e-05,159.852509247316,0.00719231025673045,5.67786894755084
35,10,4,0,0,nonconverged_power_flow,invalid_nonconverged,4029.7385,6254.23,9.75953453611221e-08,27.7182209461407,0.0531716356378421,1.31703496186569
35,14,4,0,0,nonconverged_power_flow,invalid_nonconverged,4029.7385,6254.23,1.87746740934885e-08,33.3817766045253,0.0303751817973461,5.95148668845464
35,15,4,0,0,nonconverged_power_flow,invalid_nonconverged,4029.7385,6254.23,2.56114735264814e-05,159.852509247316,0.00719231025673045,5.67786894755084
35,16,4,0,0,nonconverged_power_flow,invalid_nonconverged,4029.7385,6254.23,1.30751515849612e-05,159.852509247316,0.00719231025673045,5.67786894755084
37,7,5,0,0,nonconverged_power_flow,invalid_nonconverged,4937.38195,6254.23,4.36559742392351e-07,1.23376782244918,0.0217404207936974,1.0576827
37,12,3,0,0,nonconverged_power_flow,invalid_nonconverged,2358.709,6254.23,4.01358565273384e-08,29.9291275901764,0.00655217875931052,6.00249723336998
37,16,5,0,0,nonconverged_power_flow,invalid_nonconverged,3927.67675,6254.23,7.26620482349046e-08,9.05369249446121,0.0407913814967269,1.32136495935873
37,18,5,0,0,nonconverged_power_flow,invalid_nonconverged,4859.9203,6254.23,7.3159378210504e-07,16.0845460251991,0.00531490329117741,1.48925763527868
37,20,4,0,0,nonconverged_power_flow,invalid_nonconverged,3142.59,6254.23,1.11259807929438e-07,2.57896416956601,0.0370120911592447,1.0501068
39,2,5,0,0,nonconverged_power_flow,invalid_nonconverged,4786.90645,6254.23,6.35999570037907e-07,1.6664779752603,0.665933832583977,1.0636
46,2,4,0,0,nonconverged_power_flow,invalid_nonconverged,2880.629,6254.23,3.37541278730363e-06,133.616348210573,0.052563960348707,2.44324356444916
46,10,3,0,0,nonconverged_power_flow,invalid_nonconverged,2553.0395,6254.23,1.81409463538505e-07,28.3540960177528,0.00130664957766957,1.42658161734625
46,13,3,0,0,nonconverged_power_flow,invalid_nonconverged,2358.24,6254.23,6.7743489353039e-11,3.71347691572736,0.00284774390966501,1.3404877399412
46,16,4,0,0,nonconverged_power_flow,invalid_nonconverged,2880.629,6254.23,3.37541278730363e-06,133.616348210573,0.052563960348707,2.44324356444916
