initial_branch,trial_id,stage_id,candidate_branch,from_bus,to_bus,loading_pu,outage_probability,random_u,trip_selected
1,1,1,2,1,39,0.107141961901022,0.0001,0.947077509664361,0
1,1,1,3,2,3,1.04537058279469,0.304167622576097,0.167770970289712,1
1,1,1,4,2,25,0.343004385032448,0.0001,0.21974637570249,0
1,1,1,5,2,30,0.407103928410938,0.0001,0.287252781494014,0
1,1,1,6,3,4,0.378828550098985,0.0001,0.104141867102996,0
1,1,1,7,3,18,0.055566807685872,0.0001,0.0711452267337908,0
1,1,1,8,4,5,0.146031961139873,0.0001,0.501642818670789,0
1,1,1,9,4,14,0.518854965730736,0.0001,0.808429241105173,0
1,1,1,10,5,6,0.49223192425701,0.0001,0.0643687105025803,0
1,1,1,11,5,8,0.568384238848129,0.0001,0.269723873384041,0
1,1,1,12,6,7,0.677699300768668,0.0001,0.259281127130561,0
1,1,1,13,6,11,0.770718406750275,0.0001,0.462935764514544,0
1,1,1,14,6,31,0.496620814512764,0.0001,0.879286300246613,0
1,1,1,15,7,8,0.401326012408866,0.0001,0.816301472305733,0
1,1,1,16,8,9,0.393150514822873,0.0001,0.206821647288256,0
1,1,1,17,9,39,0.373160904856273,0.0001,0.207799682383354,0
1,1,1,18,10,11,0.635025208959572,0.0001,0.711922651806709,0
1,1,1,19,10,13,0.47545643468907,0.0001,0.28443379458984,0
1,1,1,20,10,32,0.782448896095054,0.0001,0.696500198808592,0
1,1,1,21,12,11,0.0881262407701421,0.0001,0.503733882592069,0
1,1,1,22,12,13,0.0932000866505238,0.0001,0.655614841147796,0
1,1,1,23,13,14,0.440558022972838,0.0001,0.623374882083086,0
1,1,1,24,14,15,0.072335126906241,0.0001,0.155317707442154,0
1,1,1,25,15,16,0.557876747936758,0.0001,0.52894515397785,0
1,1,1,26,16,17,0.259912453867398,0.0001,0.246451107974866,0
1,1,1,27,16,19,0.797497668563821,0.0001,0.116488994240136,0
1,1,1,28,16,21,0.548008852556107,0.0001,0.651304258664072,0
1,1,1,29,16,24,0.100425192114613,0.0001,0.89726864228207,0
1,1,1,30,17,18,0.242153076157874,0.0001,0.224642804451432,0
1,1,1,31,17,27,0.0559623124942618,0.0001,0.27873012227652,0
1,1,1,32,19,20,0.174120698399513,0.0001,0.344351526922499,0
1,1,1,33,19,33,0.71943557765148,0.0001,0.846418109204633,0
1,1,1,34,20,34,0.612878042511733,0.0001,0.637035251917216,0
