initial_branch,trial_id,stage_id,bus_id,voltage_pu,voltage_deviation_component,voltage_severity_component,severity_valid,replay_source
1,1,1,1,0.99698657118726,0,0,1,replayed_pf_result
1,1,1,2,1.01044192265201,0,0,1,replayed_pf_result
1,1,1,3,0.9983849188133,0,0,1,replayed_pf_result
1,1,1,4,0.984117820076506,0,0,1,replayed_pf_result
1,1,1,5,0.990445369271987,0,0,1,replayed_pf_result
1,1,1,6,0.994762284532536,0,0,1,replayed_pf_result
1,1,1,7,0.980514919901566,0,0,1,replayed_pf_result
1,1,1,8,0.978159734288203,0,0,1,replayed_pf_result
1,1,1,9,1.00619311127518,0,0,1,replayed_pf_result
1,1,1,10,1.01001257162435,0,0,1,replayed_pf_result
1,1,1,11,1.00353155034607,0,0,1,replayed_pf_result
1,1,1,12,0.990346717420081,0,0,1,replayed_pf_result
1,1,1,13,1.00437797281151,0,0,1,replayed_pf_result
1,1,1,14,0.995130822413429,0,0,1,replayed_pf_result
1,1,1,15,0.989509726272626,0,0,1,replayed_pf_result
1,1,1,16,1.00244075921881,0,0,1,replayed_pf_result
1,1,1,17,1.0028916848306,0,0,1,replayed_pf_result
1,1,1,18,0.999803728374198,0,0,1,replayed_pf_result
1,1,1,19,1.03780110926171,0,0,1,replayed_pf_result
1,1,1,20,0.978742389025409,0,0,1,replayed_pf_result
1,1,1,21,0.993630085767283,0,0,1,replayed_pf_result
1,1,1,22,1.00368140732665,0,0,1,replayed_pf_result
1,1,1,23,0.996472822390789,0,0,1,replayed_pf_result
1,1,1,24,1.0052372588175,0,0,1,replayed_pf_result
1,1,1,25,1.01945643416497,0,0,1,replayed_pf_result
1,1,1,26,1.01894187819369,0,0,1,replayed_pf_result
1,1,1,27,1.00535262369335,0,0,1,replayed_pf_result
1,1,1,28,1.02034034742751,0,0,1,replayed_pf_result
1,1,1,29,1.02120166138723,0,0,1,replayed_pf_result
1,1,1,30,1,0,0,1,replayed_pf_result
1,1,1,31,1,0,0,1,replayed_pf_result
1,1,1,32,1,0,0,1,replayed_pf_result
1,1,1,33,1,0,0,1,replayed_pf_result
1,1,1,34,1,0,0,1,replayed_pf_result
1,1,1,35,1,0,0,1,replayed_pf_result
1,1,1,36,1,0,0,1,replayed_pf_result
1,1,1,37,1,0,0,1,replayed_pf_result
1,1,1,38,1,0,0,1,replayed_pf_result
1,1,1,39,1,0,0,1,replayed_pf_result
1,1,2,1,0.99698657118726,0,0,1,replayed_pf_result
1,1,2,2,1.02121030241494,0,0,1,replayed_pf_result
1,1,2,3,0.963599612773073,0,0,1,replayed_pf_result
1,1,2,4,0.963797619596807,0,0,1,replayed_pf_result
1,1,2,5,0.976698483830702,0,0,1,replayed_pf_result
1,1,2,6,0.982118055095152,0,0,1,replayed_pf_result
1,1,2,7,0.967943684776414,0,0,1,replayed_pf_result
1,1,2,8,0.965735759737964,0,0,1,replayed_pf_result
1,1,2,9,1.00097690178526,0,0,1,replayed_pf_result
1,1,2,10,0.998441596713472,0,0,1,replayed_pf_result
1,1,2,11,0.991500343504516,0,0,1,replayed_pf_result
1,1,2,12,0.977362634187196,0,0,1,replayed_pf_result
1,1,2,13,0.991118015532273,0,0,1,replayed_pf_result
1,1,2,14,0.977791087767789,0,0,1,replayed_pf_result
1,1,2,15,0.969983817189631,0,0,1,replayed_pf_result
1,1,2,16,0.983015881452464,0,0,1,replayed_pf_result
1,1,2,17,0.971938641551578,0,0,1,replayed_pf_result
1,1,2,18,0.966150615895547,0,0,1,replayed_pf_result
1,1,2,19,1.03065681344756,0,0,1,replayed_pf_result
1,1,2,20,0.974841701279433,0,0,1,replayed_pf_result
1,1,2,21,0.979921540769201,0,0,1,replayed_pf_result
1,1,2,22,0.996328929789295,0,0,1,replayed_pf_result
1,1,2,23,0.988858400061951,0,0,1,replayed_pf_result
1,1,2,24,0.987526505016221,0,0,1,replayed_pf_result
1,1,2,25,0.995892772080662,0,0,1,replayed_pf_result
1,1,2,26,0.978361170827607,0,0,1,replayed_pf_result
1,1,2,27,0.962757741584422,0,0,1,replayed_pf_result
1,1,2,28,0.99936131068895,0,0,1,replayed_pf_result
1,1,2,29,1.00681599165083,0,0,1,replayed_pf_result
1,1,2,30,1,0,0,1,replayed_pf_result
1,1,2,31,1,0,0,1,replayed_pf_result
1,1,2,32,1,0,0,1,replayed_pf_result
1,1,2,33,1,0,0,1,replayed_pf_result
1,1,2,34,1,0,0,1,replayed_pf_result
1,1,2,35,1,0,0,1,replayed_pf_result
1,1,2,36,1,0,0,1,replayed_pf_result
1,1,2,37,1,0,0,1,replayed_pf_result
1,1,2,38,1,0,0,1,replayed_pf_result
