initial_branch,trial_id,stage_id,branch_index,from_bus,to_bus,PF,PT,active_flow_mw,active_limit_mw,P_li_pu,P_li_max_pu,line_overlimit_component,line_severity_component,severity_valid,replay_source
35,1,3,3,2,3,1361.70611545696,-1327.7900610173,1361.70611545696,500,2.72341223091391,1,1.72341223091391,267.919769442339,1,replayed_after_load_shedding
35,2,3,3,2,3,1361.70611545696,-1327.7900610173,1361.70611545696,500,2.72341223091391,1,1.72341223091391,267.919769442339,1,replayed_after_load_shedding
35,4,3,3,2,3,1361.70611545696,-1327.7900610173,1361.70611545696,500,2.72341223091391,1,1.72341223091391,267.919769442339,1,replayed_after_load_shedding
35,6,3,3,2,3,1361.70611545696,-1327.7900610173,1361.70611545696,500,2.72341223091391,1,1.72341223091391,267.919769442339,1,replayed_after_load_shedding
35,9,3,3,2,3,1361.70611545696,-1327.7900610173,1361.70611545696,500,2.72341223091391,1,1.72341223091391,267.919769442339,1,replayed_after_load_shedding
35,11,3,3,2,3,1361.70611545696,-1327.7900610173,1361.70611545696,500,2.72341223091391,1,1.72341223091391,267.919769442339,1,replayed_after_load_shedding
35,13,3,3,2,3,1361.70611545696,-1327.7900610173,1361.70611545696,500,2.72341223091391,1,1.72341223091391,267.919769442339,1,replayed_after_load_shedding
35,16,3,3,2,3,1361.70611545696,-1327.7900610173,1361.70611545696,500,2.72341223091391,1,1.72341223091391,267.919769442339,1,replayed_after_load_shedding
35,18,3,3,2,3,1361.70611545696,-1327.7900610173,1361.70611545696,500,2.72341223091391,1,1.72341223091391,267.919769442339,1,replayed_after_load_shedding
35,20,3,3,2,3,1361.70611545696,-1327.7900610173,1361.70611545696,500,2.72341223091391,1,1.72341223091391,267.919769442339,1,replayed_after_load_shedding
38,4,3,3,2,3,1361.70611545696,-1327.7900610173,1361.70611545696,500,2.72341223091391,1,1.72341223091391,267.919769442339,1,replayed_after_load_shedding
10,12,2,13,6,11,1207.18351053251,-1192.95175873857,1207.18351053251,480,2.51496564694274,1,1.51496564694274,206.558946513947,1,replayed_after_load_shedding
10,4,2,23,13,14,1484.10557166059,-1460.59515592694,1484.10557166059,600,2.47350928610098,1,1.47350928610098,195.807498381898,1,replayed_pf_result
10,11,2,23,13,14,1484.10557166059,-1460.59515592694,1484.10557166059,600,2.47350928610098,1,1.47350928610098,195.807498381898,1,replayed_pf_result
10,15,2,23,13,14,1484.10557166059,-1460.59515592694,1484.10557166059,600,2.47350928610098,1,1.47350928610098,195.807498381898,1,replayed_pf_result
10,17,2,23,13,14,1484.10557166059,-1460.59515592694,1484.10557166059,600,2.47350928610098,1,1.47350928610098,195.807498381898,1,replayed_pf_result
35,12,3,3,2,3,1177.39495318344,-1150.14750447553,1177.39495318344,500,2.35478990636687,1,1.35478990636687,167.373390776705,1,replayed_after_load_shedding
10,4,2,19,10,13,1394.88118076638,-1385.67538733298,1394.88118076638,600,2.32480196794397,1,1.32480196794397,160.709398756822,1,replayed_pf_result
10,11,2,19,10,13,1394.88118076638,-1385.67538733298,1394.88118076638,600,2.32480196794397,1,1.32480196794397,160.709398756822,1,replayed_pf_result
10,15,2,19,10,13,1394.88118076638,-1385.67538733298,1394.88118076638,600,2.32480196794397,1,1.32480196794397,160.709398756822,1,replayed_pf_result
10,17,2,19,10,13,1394.88118076638,-1385.67538733298,1394.88118076638,600,2.32480196794397,1,1.32480196794397,160.709398756822,1,replayed_pf_result
10,4,2,9,4,14,-1145.16564730214,1158.84137313013,1158.84137313013,500,2.31768274626025,1,1.31768274626025,159.156485128403,1,replayed_pf_result
10,11,2,9,4,14,-1145.16564730214,1158.84137313013,1158.84137313013,500,2.31768274626025,1,1.31768274626025,159.156485128403,1,replayed_pf_result
10,15,2,9,4,14,-1145.16564730214,1158.84137313013,1158.84137313013,500,2.31768274626025,1,1.31768274626025,159.156485128403,1,replayed_pf_result
10,17,2,9,4,14,-1145.16564730214,1158.84137313013,1158.84137313013,500,2.31768274626025,1,1.31768274626025,159.156485128403,1,replayed_pf_result
46,4,3,3,2,3,1138.12846004898,-1114.39845467952,1138.12846004898,500,2.27625692009797,1,1.27625692009797,150.336361424034,1,replayed_pf_result
35,19,3,3,2,3,1134.59602265118,-1114.05129022535,1134.59602265118,500,2.26919204530237,1,1.26919204530237,148.868286585275,1,replayed_pf_result
46,1,2,9,4,14,-1119.53637144698,1132.42884021578,1132.42884021578,500,2.26485768043156,1,1.26485768043156,147.972729411959,1,replayed_pf_result
35,7,3,3,2,3,1101.70565506831,-1079.16009179828,1101.70565506831,500,2.20341131013663,1,1.20341131013663,135.685669997902,1,replayed_after_load_shedding
11,1,3,8,4,5,1315.13347930651,-1298.39136757752,1315.13347930651,600,2.19188913217752,1,1.19188913217752,133.464532387872,1,replayed_pf_result
11,19,3,8,4,5,1315.13347930651,-1298.39136757752,1315.13347930651,600,2.19188913217752,1,1.19188913217752,133.464532387872,1,replayed_pf_result
35,10,3,3,2,3,1079.07185532179,-1062.45951883394,1079.07185532179,500,2.15814371064359,1,1.15814371064359,127.104721315702,1,replayed_after_load_shedding
12,9,4,26,16,17,1292.25120544479,-1279.63003597691,1292.25120544479,600,2.15375200907465,1,1.15375200907465,126.292712864514,1,replayed_pf_result
35,15,3,3,2,3,1070.43442559046,-1053.62586811065,1070.43442559046,500,2.14086885118092,1,1.14086885118092,123.93113905108,1,replayed_after_load_shedding
35,3,3,3,2,3,1063.46607245889,-1041.10072734976,1063.46607245889,500,2.12693214491778,1,1.12693214491778,121.410469045818,1,replayed_after_load_shedding
10,7,3,26,16,17,1252.37935050623,-1239.71423523066,1252.37935050623,600,2.08729891751038,1,1.08729891751038,114.431237096369,1,replayed_after_load_shedding
34,7,3,3,2,3,1034.35291090302,-1018.77970117749,1034.35291090302,500,2.06870582180604,1,1.06870582180604,111.251186398388,1,replayed_after_load_shedding
46,4,3,1,1,2,1240.53618691444,-1154.76638260287,1240.53618691444,600,2.06756031152407,1,1.06756031152407,111.057192122759,1,replayed_pf_result
38,9,4,3,2,3,1027.10333039292,-1012.51778583766,1027.10333039292,500,2.05420666078584,1,1.05420666078584,108.812045613001,1,replayed_after_load_shedding
28,17,4,3,2,3,1025.64788397401,-1010.67545069666,1025.64788397401,500,2.05129576794802,1,1.05129576794802,108.326605101405,1,replayed_after_load_shedding
35,1,3,1,1,2,1224.98010224805,-1144.07359516265,1224.98010224805,600,2.04163350374675,1,1.04163350374675,106.725351876314,1,replayed_after_load_shedding
35,2,3,1,1,2,1224.98010224805,-1144.07359516265,1224.98010224805,600,2.04163350374675,1,1.04163350374675,106.725351876314,1,replayed_after_load_shedding
35,4,3,1,1,2,1224.98010224805,-1144.07359516265,1224.98010224805,600,2.04163350374675,1,1.04163350374675,106.725351876314,1,replayed_after_load_shedding
35,6,3,1,1,2,1224.98010224805,-1144.07359516265,1224.98010224805,600,2.04163350374675,1,1.04163350374675,106.725351876314,1,replayed_after_load_shedding
35,9,3,1,1,2,1224.98010224805,-1144.07359516265,1224.98010224805,600,2.04163350374675,1,1.04163350374675,106.725351876314,1,replayed_after_load_shedding
35,11,3,1,1,2,1224.98010224805,-1144.07359516265,1224.98010224805,600,2.04163350374675,1,1.04163350374675,106.725351876314,1,replayed_after_load_shedding
35,13,3,1,1,2,1224.98010224805,-1144.07359516265,1224.98010224805,600,2.04163350374675,1,1.04163350374675,106.725351876314,1,replayed_after_load_shedding
35,16,3,1,1,2,1224.98010224805,-1144.07359516265,1224.98010224805,600,2.04163350374675,1,1.04163350374675,106.725351876314,1,replayed_after_load_shedding
35,18,3,1,1,2,1224.98010224805,-1144.07359516265,1224.98010224805,600,2.04163350374675,1,1.04163350374675,106.725351876314,1,replayed_after_load_shedding
35,20,3,1,1,2,1224.98010224805,-1144.07359516265,1224.98010224805,600,2.04163350374675,1,1.04163350374675,106.725351876314,1,replayed_after_load_shedding
38,4,3,1,1,2,1224.98010224805,-1144.07359516265,1224.98010224805,600,2.04163350374675,1,1.04163350374675,106.725351876314,1,replayed_after_load_shedding
34,13,4,42,26,27,1193.73257426801,-1164.46114706652,1193.73257426801,600,1.98955429044667,1,0.989554290446675,98.3561138062493,1,replayed_after_load_shedding
30,10,4,1,1,2,-1121.45173653199,1184.98912105876,1184.98912105876,600,1.97498186843127,1,0.974981868431272,96.0912880676054,1,replayed_pf_result
10,12,2,23,13,14,1170.91201604196,-1152.99291947518,1170.91201604196,600,1.95152002673659,1,0.951520026736593,92.5135195771476,1,replayed_after_load_shedding
10,12,2,9,4,14,-963.086651963285,974.037873828409,974.037873828409,500,1.94807574765682,1,0.948075747656818,91.9953210998052,1,replayed_after_load_shedding
11,1,3,9,4,14,-958.072440236947,967.053109990133,967.053109990133,500,1.93410621998027,1,0.934106219980266,89.9117828498718,1,replayed_pf_result
11,19,3,9,4,14,-958.072440236947,967.053109990133,967.053109990133,500,1.93410621998027,1,0.934106219980266,89.9117828498718,1,replayed_pf_result
38,8,5,42,26,27,1154.66855059272,-1124.7240555653,1154.66855059272,600,1.92444758432119,1,0.924447584321192,88.4881339212265,1,replayed_after_load_shedding
42,20,3,8,4,5,-1124.18773119282,1138.45928945628,1138.45928945628,600,1.8974321490938,1,0.897432149093804,84.5784024022997,1,replayed_pf_result
39,13,3,3,2,3,941.366700611242,-929.183327345395,941.366700611242,500,1.88273340122248,1,0.882733401222483,82.4951212224677,1,replayed_after_load_shedding
33,1,4,20,10,32,-1691.60212424494,1691.60212424494,1691.60212424494,900,1.87955791582771,1,0.879557915827712,82.0490619188393,1,replayed_after_load_shedding
33,17,4,13,6,11,-887.242088952552,895.818763035984,895.818763035984,480,1.8662890896583,1,0.8662890896583,80.200444020335,1,replayed_after_load_shedding
33,2,4,42,26,27,1117.37335504986,-1093.63345341171,1117.37335504986,600,1.8622889250831,1,0.862288925083099,79.647934585682,1,replayed_after_load_shedding
33,1,4,13,6,11,-884.068026199751,892.844993475898,892.844993475898,480,1.86009373640812,1,0.86009373640812,79.345669360073,1,replayed_after_load_shedding
10,4,2,13,6,11,884.501652621474,-878.6290392897,884.501652621474,480,1.84271177629474,1,0.842711776294738,76.975554801634,1,replayed_pf_result
10,11,2,13,6,11,884.501652621474,-878.6290392897,884.501652621474,480,1.84271177629474,1,0.842711776294738,76.975554801634,1,replayed_pf_result
10,15,2,13,6,11,884.501652621474,-878.6290392897,884.501652621474,480,1.84271177629474,1,0.842711776294738,76.975554801634,1,replayed_pf_result
10,17,2,13,6,11,884.501652621474,-878.6290392897,884.501652621474,480,1.84271177629474,1,0.842711776294738,76.975554801634,1,replayed_pf_result
33,17,4,20,10,32,-1655.88714490316,1655.88714490316,1655.88714490316,900,1.83987460544795,1,0.839874605447952,76.5925887938996,1,replayed_after_load_shedding
39,20,3,3,2,3,917.326698493483,-905.813650099359,917.326698493483,500,1.83465339698697,1,0.834653396986967,75.8906548170682,1,replayed_after_load_shedding
28,3,3,8,4,5,-1085.14683124051,1095.93974799398,1095.93974799398,600,1.82656624665663,1,0.82656624665663,74.8106353971579,1,replayed_pf_result
38,6,3,8,4,5,-1085.14683124051,1095.93974799398,1095.93974799398,600,1.82656624665663,1,0.82656624665663,74.8106353971579,1,replayed_pf_result
46,4,2,23,13,14,1090.01993885365,-1078.2171401983,1090.01993885365,600,1.81669989808941,1,0.816699898089414,73.5047816841116,1,replayed_pf_result
46,6,2,23,13,14,1090.01993885365,-1078.2171401983,1090.01993885365,600,1.81669989808941,1,0.816699898089414,73.5047816841116,1,replayed_pf_result
46,13,2,23,13,14,1090.01993885365,-1078.2171401983,1090.01993885365,600,1.81669989808941,1,0.816699898089414,73.5047816841116,1,replayed_pf_result
46,14,2,23,13,14,1090.01993885365,-1078.2171401983,1090.01993885365,600,1.81669989808941,1,0.816699898089414,73.5047816841116,1,replayed_pf_result
38,5,4,3,2,3,908.294743666761,-897.012392267856,908.294743666761,500,1.81658948733352,1,0.816589487333522,73.4902411195247,1,replayed_after_load_shedding
33,19,5,1,1,2,-1039.10159983505,1087.54268271245,1087.54268271245,600,1.81257113785408,1,0.812571137854078,72.9621348360893,1,replayed_after_load_shedding
33,14,4,42,26,27,1086.35146023414,-1064.74397897492,1086.35146023414,600,1.81058576705691,1,0.810585767056905,72.7019923135749,1,replayed_pf_result
10,12,2,18,10,11,-1078.28196987294,1084.94335234762,1084.94335234762,600,1.80823892057936,1,0.808238920579359,72.3951510959977,1,replayed_after_load_shedding
28,3,4,3,2,3,901.650281758073,-890.78253479755,901.650281758073,500,1.80330056351615,1,0.803300563516146,71.751826901845,1,replayed_after_load_shedding
38,6,4,3,2,3,901.650281758073,-890.78253479755,901.650281758073,500,1.80330056351615,1,0.803300563516146,71.751826901845,1,replayed_after_load_shedding
10,7,3,6,3,4,901.261178466497,-884.373295125061,901.261178466497,500,1.80252235693299,1,0.802522356932994,71.6507386862032,1,replayed_after_load_shedding
10,12,2,19,10,13,1078.28196987222,-1071.61687912837,1078.28196987222,600,1.7971366164537,1,0.7971366164537,70.9532886798997,1,replayed_after_load_shedding
39,20,4,42,26,27,1076.73010889421,-1056.31488009246,1076.73010889421,600,1.79455018149035,1,0.794550181490345,70.6196797379354,1,replayed_after_load_shedding
46,4,4,26,16,17,1069.18164134185,-1059.81017660032,1069.18164134185,600,1.78196940223641,1,0.781969402236409,69.0092088192441,1,replayed_after_load_shedding
39,9,4,42,26,27,1066.74925976873,-1046.89528336504,1066.74925976873,600,1.77791543294788,1,0.777915432947877,68.4945599266787,1,replayed_after_load_shedding
30,10,4,4,2,25,-829.836824994693,886.410931932089,886.410931932089,500,1.77282186386418,1,0.772821863864179,67.8508849907058,1,replayed_pf_result
28,6,3,23,13,14,1052.72705876968,-1042.05033354535,1052.72705876968,600,1.75454509794947,1,0.754545097949473,65.5680500111657,1,replayed_pf_result
28,17,3,23,13,14,1052.72705876968,-1042.05033354535,1052.72705876968,600,1.75454509794947,1,0.754545097949473,65.5680500111657,1,replayed_pf_result
38,9,3,23,13,14,1052.72705876968,-1042.05033354535,1052.72705876968,600,1.75454509794947,1,0.754545097949473,65.5680500111657,1,replayed_pf_result
33,10,2,8,4,5,-1040.33923862803,1050.27911890465,1050.27911890465,600,1.75046519817442,1,0.750465198174421,65.0641269519259,1,replayed_pf_result
33,2,2,8,4,5,-1040.36716751764,1050.27535375959,1050.27535375959,600,1.75045892293265,1,0.750458922932646,65.063353456771,1,replayed_pf_result
33,14,2,8,4,5,-1040.36716751764,1050.27535375959,1050.27535375959,600,1.75045892293265,1,0.750458922932646,65.063353456771,1,replayed_pf_result
34,13,5,37,22,35,-1572.81882872898,1572.81882872898,1572.81882872898,900,1.74757647636553,1,0.747576476365529,64.7085717062302,1,replayed_pf_result
34,13,4,40,25,26,1034.68352441529,-990.513399820111,1034.68352441529,600,1.72447254069214,1,0.724472540692143,61.9015057879544,1,replayed_after_load_shedding
46,4,2,19,10,13,1030.18475055464,-1025.50164311317,1030.18475055464,600,1.71697458425774,1,0.716974584257737,61.0043749220176,1,replayed_pf_result
46,6,2,19,10,13,1030.18475055464,-1025.50164311317,1030.18475055464,600,1.71697458425774,1,0.716974584257737,61.0043749220176,1,replayed_pf_result
46,13,2,19,10,13,1030.18475055464,-1025.50164311317,1030.18475055464,600,1.71697458425774,1,0.716974584257737,61.0043749220176,1,replayed_pf_result
46,14,2,19,10,13,1030.18475055464,-1025.50164311317,1030.18475055464,600,1.71697458425774,1,0.716974584257737,61.0043749220176,1,replayed_pf_result
12,9,4,7,3,18,-843.132557878196,852.297561623202,852.297561623202,500,1.7045951232464,1,0.704595123246404,59.53781419091,1,replayed_pf_result
34,7,4,42,26,27,1021.0036978511,-1003.85959739396,1021.0036978511,600,1.70167282975184,1,0.70167282975184,59.1942587787363,1,replayed_pf_result
33,2,5,37,22,35,-1530.2265911358,1530.2265911358,1530.2265911358,900,1.70025176792866,1,0.700251767928662,59.0275560649081,1,replayed_pf_result
46,17,3,40,25,26,1013.97577480663,-973.758666860827,1013.97577480663,600,1.68995962467771,1,0.689959624677713,57.8272447222463,1,replayed_pf_result
34,20,5,37,22,35,-1518.15707702495,1518.15707702495,1518.15707702495,900,1.68684119669439,1,0.686841196694391,57.4659929408561,1,replayed_pf_result
14,11,3,1,1,2,-971.74908375562,1012.06595909792,1012.06595909792,600,1.68677659849653,1,0.686776598496535,57.4585215179511,1,replayed_after_load_shedding
46,16,3,3,2,3,841.864421684631,-829.950221574541,841.864421684631,500,1.68372884336926,1,0.683728843369262,57.1065663741419,1,replayed_pf_result
28,3,5,42,26,27,1009.85991073815,-992.493764713932,1009.85991073815,600,1.68309985123025,1,0.683099851230252,57.0340637196262,1,replayed_after_load_shedding
38,6,5,42,26,27,1009.85991073815,-992.493764713932,1009.85991073815,600,1.68309985123025,1,0.683099851230252,57.0340637196262,1,replayed_after_load_shedding
39,3,2,8,4,5,-997.403397468464,1006.27954061265,1006.27954061265,600,1.67713256768775,1,0.677132567687753,56.3484908256012,1,replayed_pf_result
39,8,2,8,4,5,-997.403397468464,1006.27954061265,1006.27954061265,600,1.67713256768775,1,0.677132567687753,56.3484908256012,1,replayed_pf_result
39,13,2,8,4,5,-997.403397468464,1006.27954061265,1006.27954061265,600,1.67713256768775,1,0.677132567687753,56.3484908256012,1,replayed_pf_result
18,5,3,3,2,3,836.517618033044,-825.843399962237,836.517618033044,500,1.67303523606609,1,0.673035236066088,55.8801174117544,1,replayed_pf_result
46,6,3,3,2,3,836.298922208943,-826.225223255026,836.298922208943,500,1.67259784441789,1,0.672597844417886,55.8302316505976,1,replayed_after_load_shedding
38,9,5,42,26,27,1001.75614388905,-984.747058365026,1001.75614388905,600,1.66959357314841,1,0.669593573148409,55.488174972485,1,replayed_after_load_shedding
46,1,2,23,13,14,996.690499427977,-986.030112216189,996.690499427977,600,1.66115083237996,1,0.661150832379962,54.5323952261705,1,replayed_pf_result
30,10,3,8,4,5,-984.635156979482,995.777412700971,995.777412700971,600,1.65962902116828,1,0.659629021168285,54.3609718180865,1,replayed_pf_result
28,6,3,19,10,13,995.629739565288,-991.389810633574,995.629739565288,600,1.65938289927548,1,0.659382899275481,54.3332720808374,1,replayed_pf_result
28,17,3,19,10,13,995.629739565288,-991.389810633574,995.629739565288,600,1.65938289927548,1,0.659382899275481,54.3332720808374,1,replayed_pf_result
38,9,3,19,10,13,995.629739565288,-991.389810633574,995.629739565288,600,1.65938289927548,1,0.659382899275481,54.3332720808374,1,replayed_pf_result
13,13,3,3,2,3,829.66599479848,-819.462271098871,829.66599479848,500,1.65933198959696,1,0.659331989596961,54.3275433125437,1,replayed_pf_result
23,11,3,3,2,3,829.66599479848,-819.462271098871,829.66599479848,500,1.65933198959696,1,0.659331989596961,54.3275433125437,1,replayed_pf_result
30,10,3,13,6,11,-786.159345136666,791.458358352062,791.458358352062,480,1.64887157990013,1,0.648871579900128,53.1566183273019,1,replayed_pf_result
10,7,3,7,3,18,-814.807668689599,824.317221975364,824.317221975364,500,1.64863444395073,1,0.648634443950728,53.1302153529276,1,replayed_after_load_shedding
8,13,3,42,26,27,987.603300338668,-970.622467079541,987.603300338668,600,1.64600550056445,1,0.646005500564447,52.8379250189279,1,replayed_after_load_shedding
8,20,3,42,26,27,987.603300338668,-970.622467079541,987.603300338668,600,1.64600550056445,1,0.646005500564447,52.8379250189279,1,replayed_after_load_shedding
13,12,4,42,26,27,987.603300338668,-970.622467079541,987.603300338668,600,1.64600550056445,1,0.646005500564447,52.8379250189279,1,replayed_after_load_shedding
23,3,3,42,26,27,987.603300338668,-970.622467079541,987.603300338668,600,1.64600550056445,1,0.646005500564447,52.8379250189279,1,replayed_after_load_shedding
23,8,3,42,26,27,987.603300338668,-970.622467079541,987.603300338668,600,1.64600550056445,1,0.646005500564447,52.8379250189279,1,replayed_after_load_shedding
42,20,4,37,22,35,-1472.1184681929,1472.1184681929,1472.1184681929,900,1.635687186881,1,0.635687186881003,51.6981154812951,1,replayed_after_load_shedding
12,9,4,30,17,18,978.363131708182,-970.797561623203,978.363131708182,600,1.63060521951364,1,0.630605219513637,51.1410453871225,1,replayed_pf_result
34,20,2,8,4,5,-969.82567453606,978.241056234059,978.241056234059,600,1.6304017603901,1,0.630401760390098,51.1188016906994,1,replayed_pf_result
10,7,3,30,17,18,974.809068218469,-966.517221975365,974.809068218469,600,1.62468178036412,1,0.624681780364115,50.4952985648906,1,replayed_after_load_shedding
46,20,4,3,2,3,808.623334294145,-798.919366546463,808.623334294145,500,1.61724666858829,1,0.61724666858829,49.6901510791354,1,replayed_pf_result
5,16,3,23,13,14,968.060800453539,-958.296142758501,968.060800453539,600,1.61343466742256,1,0.613434667422565,49.2796654597013,1,replayed_pf_result
33,1,2,3,2,3,806.074626655351,-797.284105479591,806.074626655351,500,1.6121492533107,1,0.612149253310702,49.1416013289142,1,replayed_pf_result
33,5,2,3,2,3,806.074626655351,-797.284105479591,806.074626655351,500,1.6121492533107,1,0.612149253310702,49.1416013289142,1,replayed_pf_result
33,12,2,3,2,3,806.074626655351,-797.284105479591,806.074626655351,500,1.6121492533107,1,0.612149253310702,49.1416013289142,1,replayed_pf_result
33,17,2,3,2,3,806.074626655351,-797.284105479591,806.074626655351,500,1.6121492533107,1,0.612149253310702,49.1416013289142,1,replayed_pf_result
33,2,3,3,2,3,804.96238793495,-796.237939777719,804.96238793495,500,1.6099247758699,1,0.609924775869899,48.9030929164452,1,replayed_after_load_shedding
33,10,3,3,2,3,804.96238793495,-796.237939777719,804.96238793495,500,1.6099247758699,1,0.609924775869899,48.9030929164452,1,replayed_after_load_shedding
34,13,5,28,16,21,-954.763810986316,965.201263776461,965.201263776461,600,1.60866877296077,1,0.608668772960768,48.7686584884785,1,replayed_pf_result
46,17,4,13,6,11,-766.614440997319,771.986710508844,771.986710508844,480,1.60830564689342,1,0.608305646893425,48.7298232774923,1,replayed_after_load_shedding
34,20,5,28,16,21,-953.852729528971,964.146517979887,964.146517979887,600,1.60691086329981,1,0.606910863299811,48.5807865243751,1,replayed_pf_result
10,2,4,3,2,3,802.549750773422,-792.621486814942,802.549750773422,500,1.60509950154684,1,0.605099501546844,48.3875471769587,1,replayed_pf_result
12,9,3,9,4,14,-796.136395363021,801.341850502226,801.341850502226,500,1.60268370100445,1,0.602683701004452,48.1303693201113,1,replayed_pf_result
27,11,4,42,26,27,960.008864363655,-942.860979612152,960.008864363655,600,1.60001477393942,1,0.600014773939425,47.8469658961271,1,replayed_after_load_shedding
46,11,2,8,4,5,-951.41867466668,959.79340220528,959.79340220528,600,1.59965567034213,1,0.599655670342133,47.8088917223522,1,replayed_pf_result
46,19,2,8,4,5,-951.41867466668,959.79340220528,959.79340220528,600,1.59965567034213,1,0.599655670342133,47.8088917223522,1,replayed_pf_result
46,20,2,8,4,5,-951.41867466668,959.79340220528,959.79340220528,600,1.59965567034213,1,0.599655670342133,47.8088917223522,1,replayed_pf_result
26,5,2,13,6,11,-759.859037754407,764.057026576744,764.057026576744,480,1.59178547203488,1,0.591785472034883,46.977873482928,1,replayed_pf_result
33,2,5,28,16,21,-938.580300794138,950.271269189716,950.271269189716,600,1.58378544864953,1,0.583785448649526,46.1398233499545,1,replayed_pf_result
33,10,4,42,26,27,950.270815872134,-935.46348040832,950.270815872134,600,1.58378469312022,1,0.583784693120223,46.1397445199501,1,replayed_after_load_shedding
28,6,4,42,26,27,950.045439213962,-934.041914376688,950.045439213962,600,1.5834090653566,1,0.583409065356603,46.1005598498998,1,replayed_after_load_shedding
33,1,3,42,26,27,948.62578149046,-933.398209133805,948.62578149046,600,1.58104296915077,1,0.581042969150767,45.8540719244189,1,replayed_pf_result
33,12,3,42,26,27,948.62578149046,-933.398209133805,948.62578149046,600,1.58104296915077,1,0.581042969150767,45.8540719244189,1,replayed_pf_result
33,17,3,42,26,27,948.62578149046,-933.398209133805,948.62578149046,600,1.58104296915077,1,0.581042969150767,45.8540719244189,1,replayed_pf_result
46,1,2,19,10,13,944.9960808842,-940.700526993521,944.9960808842,600,1.57499346814033,1,0.574993468140334,45.2265109316589,1,replayed_pf_result
23,1,5,42,26,27,944.240662069216,-927.919871138752,944.240662069216,600,1.57373443678203,1,0.573734436782027,45.0963785813389,1,replayed_after_load_shedding
13,12,3,3,2,3,785.920444960995,-777.532299724543,785.920444960995,500,1.57184088992199,1,0.571840889921991,44.9009715232834,1,replayed_pf_result
23,3,2,3,2,3,785.920444960995,-777.532299724543,785.920444960995,500,1.57184088992199,1,0.571840889921991,44.9009715232834,1,replayed_pf_result
23,8,2,3,2,3,785.920444960995,-777.532299724543,785.920444960995,500,1.57184088992199,1,0.571840889921991,44.9009715232834,1,replayed_pf_result
23,9,3,3,2,3,785.920444960995,-777.532299724543,785.920444960995,500,1.57184088992199,1,0.571840889921991,44.9009715232834,1,replayed_pf_result
8,13,2,3,2,3,785.920444960994,-777.532299724541,785.920444960994,500,1.57184088992199,1,0.571840889921988,44.9009715232831,1,replayed_pf_result
8,20,2,3,2,3,785.920444960994,-777.532299724541,785.920444960994,500,1.57184088992199,1,0.571840889921988,44.9009715232831,1,replayed_pf_result
34,7,2,23,13,14,942.454495798831,-933.989975524331,942.454495798831,600,1.57075749299805,1,0.570757492998052,44.7893352555645,1,replayed_pf_result
34,16,3,12,6,7,1406.99683918839,-1389.96296016834,1406.99683918839,900,1.56332982132043,1,0.563329821320428,44.0272154799602,1,replayed_pf_result
35,1,1,38,23,24,936.879965272828,-916.313870219127,936.879965272828,600,1.56146660878805,1,0.561466608788047,43.8369261207423,1,replayed_pf_result
35,2,1,38,23,24,936.879965272828,-916.313870219127,936.879965272828,600,1.56146660878805,1,0.561466608788047,43.8369261207423,1,replayed_pf_result
35,3,1,38,23,24,936.879965272828,-916.313870219127,936.879965272828,600,1.56146660878805,1,0.561466608788047,43.8369261207423,1,replayed_pf_result
35,4,1,38,23,24,936.879965272828,-916.313870219127,936.879965272828,600,1.56146660878805,1,0.561466608788047,43.8369261207423,1,replayed_pf_result
35,5,1,38,23,24,936.879965272828,-916.313870219127,936.879965272828,600,1.56146660878805,1,0.561466608788047,43.8369261207423,1,replayed_pf_result
35,6,1,38,23,24,936.879965272828,-916.313870219127,936.879965272828,600,1.56146660878805,1,0.561466608788047,43.8369261207423,1,replayed_pf_result
35,7,1,38,23,24,936.879965272828,-916.313870219127,936.879965272828,600,1.56146660878805,1,0.561466608788047,43.8369261207423,1,replayed_pf_result
35,8,1,38,23,24,936.879965272828,-916.313870219127,936.879965272828,600,1.56146660878805,1,0.561466608788047,43.8369261207423,1,replayed_pf_result
35,9,1,38,23,24,936.879965272828,-916.313870219127,936.879965272828,600,1.56146660878805,1,0.561466608788047,43.8369261207423,1,replayed_pf_result
35,10,1,38,23,24,936.879965272828,-916.313870219127,936.879965272828,600,1.56146660878805,1,0.561466608788047,43.8369261207423,1,replayed_pf_result
35,11,1,38,23,24,936.879965272828,-916.313870219127,936.879965272828,600,1.56146660878805,1,0.561466608788047,43.8369261207423,1,replayed_pf_result
35,12,1,38,23,24,936.879965272828,-916.313870219127,936.879965272828,600,1.56146660878805,1,0.561466608788047,43.8369261207423,1,replayed_pf_result
