initial_branch,sigma,sample_count,initial_branch_weight,SLLR,SLFOR,SNVOR,CRI
35,0.95,20,0.0217391304347826,0.759037123674697,1.82919431822542,0.227589916849193,0.866779121219741
10,0.95,20,0.0217391304347826,0.605191686266735,1.52884063056891,0.244456059502701,0.717774349774363
33,0.95,20,0.0217391304347826,0.616034028169735,1.36340424498812,0.212404606639498,0.684782187227365
39,0.95,20,0.0217391304347826,0.789446814396017,0.86187529479244,0.158607241200439,0.677764595836186
46,0.95,20,0.0217391304347826,0.55986253303764,1.30373704501826,0.20903283588123,0.638471496002482
34,0.95,20,0.0217391304347826,0.581662890555672,1.05494926921574,0.158607241200439,0.591709036416639
38,0.95,20,0.0217391304347826,0.568165545558766,1.08004857192638,0.172110847604374,0.59133121124141
23,0.95,20,0.0217391304347826,0.666266670717258,0.67381670959145,0.199992902465965,0.574521924841838
42,0.95,20,0.0217391304347826,0.693316363485193,0.585055296879,0.144117174435186,0.561824312353953
11,0.95,20,0.0217391304347826,0.485508607774258,1.19410681447631,0.154793512908783,0.561085230141573
8,0.95,20,0.0217391304347826,0.666225658474345,0.67381670959145,0.0700382890724317,0.548506394817383
14,0.95,20,0.0217391304347826,0.647851614027626,0.58719581928534,0.118123394256263,0.529774811124896
1,0.95,20,0.0217391304347826,0.55507777136434,0.53176625837768,0.134665819248968,0.466333078343934
28,0.95,20,0.0217391304347826,0.366801828522456,0.82942128562233,0.0977568274693235,0.405516719731804
13,0.95,20,0.0217391304347826,0.378092906720731,0.67381670959145,0.0700382890724317,0.375626743765215
27,0.95,20,0.0217391304347826,0.320344390916228,0.56961899339437,0.158607241200439,0.337851881468699
12,0.95,20,0.0217391304347826,0.331544810472272,0.18747437782035,0.154793512908784,0.26738046442919
19,0.95,20,0.0217391304347826,0.00136387692809506,0.39476063780001,0.0323152919352244,0.0862335121039039
32,0.95,20,0.0217391304347826,0.10872641396303,0.0472392105966599,0,0.07468369049715
18,0.95,20,0.0217391304347826,0,0.08448463843856,0,0.016896927687712
2,0.95,20,0.0217391304347826,0,0,0,0
3,0.95,20,0.0217391304347826,0,0,0,0
4,0.95,20,0.0217391304347826,0,0,0,0
5,0.95,20,0.0217391304347826,0,0,0,0
6,0.95,20,0.0217391304347826,0,0,0,0
7,0.95,20,0.0217391304347826,0,0,0,0
9,0.95,20,0.0217391304347826,0,0,0,0
15,0.95,20,0.0217391304347826,0,0,0,0
16,0.95,20,0.0217391304347826,0,0,0,0
17,0.95,20,0.0217391304347826,0,0,0,0
20,0.95,20,0.0217391304347826,0,0,0,0
21,0.95,20,0.0217391304347826,0,0,0,0
22,0.95,20,0.0217391304347826,0,0,0,0
24,0.95,20,0.0217391304347826,0,0,0,0
25,0.95,20,0.0217391304347826,0,0,0,0
26,0.95,20,0.0217391304347826,0,0,0,0
29,0.95,20,0.0217391304347826,0,0,0,0
30,0.95,20,0.0217391304347826,0,0,0,0
31,0.95,20,0.0217391304347826,0,0,0,0
36,0.95,20,0.0217391304347826,0,0,0,0
37,0.95,20,0.0217391304347826,0,0,0,0
40,0.95,20,0.0217391304347826,0,0,0,0
41,0.95,20,0.0217391304347826,0,0,0,0
43,0.95,20,0.0217391304347826,0,0,0,0
44,0.95,20,0.0217391304347826,0,0,0,0
45,0.95,20,0.0217391304347826,0,0,0,0
