initial_branch,trial_id,stage_id,branch_index,from_bus,to_bus,PF,PT,active_flow_mw,active_limit_mw,P_li_pu,P_li_max_pu,line_overlimit_component,line_severity_component,severity_valid,replay_source
33,3,1,27,16,19,157.714071587241,-157.130491561411,157.714071587241,600,0.262856785978734,1,0,0,1,replayed_pf_result
33,3,1,28,16,21,-315.520141718624,316.364085026901,316.364085026901,600,0.527273475044835,1,0,0,1,replayed_pf_result
33,3,1,29,16,24,-34.8743255627717,34.892752851129,34.892752851129,600,0.058154588085215,1,0,0,1,replayed_pf_result
33,3,1,30,17,18,-47.1958784723252,47.216484943202,47.216484943202,600,0.0786941415720033,1,0,0,1,replayed_pf_result
33,3,1,31,17,27,-5.9289733263296,5.94351185815653,5.94351185815653,600,0.00990585309692755,1,0,0,1,replayed_pf_result
33,3,1,32,19,20,157.130491562284,-156.868098242018,157.130491562284,900,0.174589435069204,1,0,0,1,replayed_pf_result
33,3,1,33,19,33,0,0,0,900,0,1,0,0,1,replayed_pf_result
33,3,1,34,20,34,-523.131901757822,526.258458444964,526.258458444964,900,0.584731620494405,1,0,0,1,replayed_pf_result
33,3,1,35,21,22,-590.364085026989,593.274998747446,593.274998747446,900,0.659194443052717,1,0,0,1,replayed_pf_result
33,3,1,36,22,23,32.5410271498197,-32.5005517382104,32.5410271498197,600,0.0542350452496995,1,0,0,1,replayed_pf_result
33,3,1,37,22,35,-625.816025897442,625.816025897442,625.816025897442,900,0.695351139886047,1,0,0,1,replayed_pf_result
33,3,1,38,23,24,346.182374363326,-343.492752850924,346.182374363326,600,0.576970623938877,1,0,0,1,replayed_pf_result
33,3,1,39,23,36,-561.181822625268,562.789755574051,562.789755574051,900,0.625321950637834,1,0,0,1,replayed_pf_result
33,3,1,40,25,26,173.738312433828,-172.802976621569,173.738312433828,600,0.289563854056381,1,0,0,1,replayed_pf_result
33,3,1,41,25,37,-547.044947378645,548.872654737533,548.872654737533,900,0.609858505263926,1,0,0,1,replayed_pf_result
33,3,1,42,26,27,288.198110002905,-286.943511858055,288.198110002905,600,0.480330183338176,1,0,0,1,replayed_pf_result
33,3,1,43,26,28,-102.589842615675,103.031659495052,103.031659495052,600,0.171719432491753,1,0,0,1,replayed_pf_result
33,3,1,44,26,29,-151.80529076573,153.093115921024,153.093115921024,600,0.255155193201707,1,0,0,1,replayed_pf_result
33,3,1,45,28,29,-309.031659495046,310.331551426145,310.331551426145,600,0.517219252376909,1,0,0,1,replayed_pf_result
33,3,1,46,29,38,-746.924667347181,751.457840940676,751.457840940676,1200,0.626214867450563,1,0,0,1,replayed_pf_result
33,4,1,1,1,2,-166.104468536631,167.065625499519,167.065625499519,600,0.278442709165865,1,0,0,1,replayed_pf_result
33,4,1,2,1,39,68.5044685366201,-68.4550460011202,68.5044685366201,1000,0.0685044685366201,1,0,0,1,replayed_pf_result
33,4,1,3,2,3,335.839910235001,-334.250235769518,335.839910235001,500,0.671679820470003,1,0,0,1,replayed_pf_result
33,4,1,4,2,25,-147.753239589754,149.306634944835,149.306634944835,500,0.298613269889669,1,0,0,1,replayed_pf_result
33,4,1,5,2,30,-355.152296144904,355.152296144904,355.152296144904,900,0.394613662383226,1,0,0,1,replayed_pf_result
33,4,1,6,3,4,-193.442565032221,194.153300458789,194.153300458789,500,0.388306600917578,1,0,0,1,replayed_pf_result
33,4,1,7,3,18,205.692800802938,-205.216484942947,205.692800802938,500,0.411385601605875,1,0,0,1,replayed_pf_result
33,4,1,8,4,5,-535.181389938805,537.643732023565,537.643732023565,600,0.896072886705941,1,0,0,1,replayed_pf_result
33,4,1,9,4,14,-158.971910514921,159.224028516809,159.224028516809,500,0.318448057033618,1,0,0,1,replayed_pf_result
33,4,1,10,5,6,-914.32047581039,916.106564965516,916.106564965516,1200,0.763422137471264,1,0,0,1,replayed_pf_result
