initial_branch,sigma,sample_count,initial_branch_weight,SLLR,SLFOR,SNVOR,CRI
35,0.95,20,0.0269420274661914,0.759037123674697,1.88684075998282,0.227589916849193,0.878308409571221
38,0.95,20,0.0197609812349303,0.644322082814351,1.88684075998282,0.112323192119604,0.786426040109095
39,0.95,20,0.0233252961526365,0.7770613328899,0.91626202341591,0.196538628816259,0.688796930180374
10,0.95,20,0.0305063423838977,0.453477086707716,1.73881024562463,0.244456059502701,0.668739513050096
46,0.95,20,0.0217003878813293,0.730213479517063,0.94448426444397,0.134027435755817,0.653830427750195
8,0.95,20,0.00178215745885313,0.738528723759759,0.71450580625649,0.197317608212235,0.6254819171496
33,0.95,20,0.00131040989621554,0.598466957563121,1.11081888246062,0.212404606639503,0.623724872357897
37,0.95,20,0.026313030716008,0.583062566455023,1.18986698143002,0.125801597441921,0.612971255647402
23,0.95,20,0.0227487157983017,0.738528723759759,0.71450580625649,0.121654148987702,0.610349225304694
14,0.95,20,0.0197609812349303,0.571347879754982,1.10925640621352,0.130766986497826,0.590813406395258
20,0.95,20,0.0289862669042877,0.653237352959517,0.82650074752137,0.165533939963003,0.590349349272585
42,0.95,20,0.0316070866967187,0.606270955817103,0.97316317773745,0.144287618498472,0.587252732737446
12,0.95,20,0.0137855121081874,0.486611861092413,1.15427112595459,0.154793512908788,0.553780044428123
34,0.95,20,0.00131040989621554,0.563111526119123,0.73603628371084,0.0744304213569794,0.499960256685038
1,0.95,20,0.0229583813816962,0.423576451457653,1.03463053642409,0.110013415063244,0.483074661172059
28,0.95,20,0.0247929552363979,0.465470169789087,0.80155356309006,0.116882765010119,0.462969367493488
11,0.95,20,0.0296152636544711,0.485508607774258,0.62709914073473,0.154793512908784,0.447683695393258
41,0.95,20,0.02395429290282,0.35934214123881,0.41047948900252,0.108818004454913,0.319464783434773
13,0.95,20,0.026313030716008,0.346586230439239,0.34414722933376,0.0207482282139202,0.280930829773079
9,0.95,20,0.0322884998427508,0.346586230439239,0.19253872478016,0.0106717846449301,0.248593840148561
18,0.95,20,0.0116888562742426,0.102551393217071,0.80323405180973,0.121654148987702,0.246508476089729
19,0.95,20,0.0359052311563057,0.102551393217071,0.79917185387897,0.117233796953986,0.244811966096834
32,0.95,20,0.0269944438620401,0.10872641396303,0.02210314365898,0,0.069656477109614
27,0.95,20,0.000576580354334836,0.10872641396303,0,0,0.065235848377818
40,0.95,20,0.0256840339658245,0,0.0915499130822499,0,0.01830998261645
2,0.95,20,0.0305063423838977,0,0,0,0
3,0.95,20,0.0198133976307789,0,0,0,0
4,0.95,20,0.0233252961526365,0,0,0,0
5,0.95,20,0.0250026208197924,0,0,0,0
6,0.95,20,0.0287241849250446,0,0,0,0
7,0.95,20,0.0227487157983017,0,0,0,0
15,0.95,20,0.00120557710451829,0,0,0,0
16,0.95,20,0.00120557710451829,0,0,0,0
17,0.95,20,0.0359052311563057,0,0,0,0
21,0.95,20,0.0223818010273614,0,0,0,0
22,0.95,20,0.0217003878813293,0,0,0,0
24,0.95,20,0.0197609812349303,0,0,0,0
25,0.95,20,0.0245308732571548,0,0,0,0
26,0.95,20,0.0160394171296782,0,0,0,0
29,0.95,20,0.0314498375091729,0,0,0,0
30,0.95,20,0.0340706573016039,0,0,0,0
31,0.95,20,0.0305063423838977,0,0,0,0
36,0.95,20,0.0305063423838977,0,0,0,0
43,0.95,20,0.0250026208197924,0,0,0,0
44,0.95,20,0.00131040989621554,0,0,0,0
45,0.95,20,0.0236922109235769,0,0,0,0
