initial_branch,trial_id,stage_id,initial_outage_probability,stage_transition_probability,stage_cumulative_probability,probability_source,num_selected_candidates,num_unselected_candidates,stage_load_shed_mw,base_load_mw,stage_load_shed_frac,pf_converged,severity_valid,invalid_reason,replay_source
1,1,1,0.000438,0.88464932205521,0.000387476403060182,paper_table_4_1_initial_probability + candidate_transition_probability,0,45,0,6254.23,0,1,1,none,replayed_pf_result
1,2,1,0.000438,0.88464932205521,0.000387476403060182,paper_table_4_1_initial_probability + candidate_transition_probability,0,45,0,6254.23,0,1,1,none,replayed_pf_result
1,3,1,0.000438,0.88464932205521,0.000387476403060182,paper_table_4_1_initial_probability + candidate_transition_probability,0,45,0,6254.23,0,1,1,none,replayed_pf_result
1,4,1,0.000438,0.88464932205521,0.000387476403060182,paper_table_4_1_initial_probability + candidate_transition_probability,0,45,0,6254.23,0,1,1,none,replayed_pf_result
1,5,1,0.000438,0.88464932205521,0.000387476403060182,paper_table_4_1_initial_probability + candidate_transition_probability,0,45,0,6254.23,0,1,1,none,replayed_pf_result
1,6,1,0.000438,0.88464932205521,0.000387476403060182,paper_table_4_1_initial_probability + candidate_transition_probability,0,45,0,6254.23,0,1,1,none,replayed_pf_result
1,7,1,0.000438,0.88464932205521,0.000387476403060182,paper_table_4_1_initial_probability + candidate_transition_probability,0,45,0,6254.23,0,1,1,none,replayed_pf_result
1,8,1,0.000438,0.88464932205521,0.000387476403060182,paper_table_4_1_initial_probability + candidate_transition_probability,0,45,0,6254.23,0,1,1,none,replayed_pf_result
1,9,1,0.000438,0.88464932205521,0.000387476403060182,paper_table_4_1_initial_probability + candidate_transition_probability,0,45,0,6254.23,0,1,1,none,replayed_pf_result
1,10,1,0.000438,0.88464932205521,0.000387476403060182,paper_table_4_1_initial_probability + candidate_transition_probability,0,45,0,6254.23,0,1,1,none,replayed_pf_result
1,11,1,0.000438,0.88464932205521,0.000387476403060182,paper_table_4_1_initial_probability + candidate_transition_probability,0,45,0,6254.23,0,1,1,none,replayed_pf_result
1,12,1,0.000438,0.88464932205521,0.000387476403060182,paper_table_4_1_initial_probability + candidate_transition_probability,0,45,0,6254.23,0,1,1,none,replayed_pf_result
1,13,1,0.000438,0.88464932205521,0.000387476403060182,paper_table_4_1_initial_probability + candidate_transition_probability,0,45,0,6254.23,0,1,1,none,replayed_pf_result
1,14,1,0.000438,0.110960124714355,4.86005346248876e-05,paper_table_4_1_initial_probability + candidate_transition_probability,1,44,0,6254.23,0,1,1,none,replayed_pf_result
1,14,2,0.000438,0.261606202272493,1.27142012916296e-05,paper_table_4_1_initial_probability + candidate_transition_probability,2,42,0,6254.23,0,1,1,none,replayed_pf_result
1,14,3,0.000438,0.683273983480868,8.68728296330938e-06,paper_table_4_1_initial_probability + candidate_transition_probability,0,35,852.5,6254.23,0.136307746916887,1,1,none,replayed_pf_result
1,15,1,0.000438,0.110960124714355,4.86005346248876e-05,paper_table_4_1_initial_probability + candidate_transition_probability,1,44,0,6254.23,0,1,1,none,replayed_pf_result
1,15,2,0.000438,0.261606202272493,1.27142012916296e-05,paper_table_4_1_initial_probability + candidate_transition_probability,2,42,0,6254.23,0,1,1,none,replayed_pf_result
1,15,3,0.000438,0.0539854198646938,6.86381494972859e-07,paper_table_4_1_initial_probability + candidate_transition_probability,1,34,852.5,6254.23,0.136307746916887,1,1,none,replayed_pf_result
1,15,4,0.000438,0.277658007153535,1.90579318041228e-07,paper_table_4_1_initial_probability + candidate_transition_probability,4,30,852.5,6254.23,0.136307746916887,1,1,none,replayed_pf_result
1,15,5,0.000438,0,0,paper_table_4_1_initial_probability + candidate_transition_probability,0,18,3860.16,6254.23,0.617207873711072,1,1,none,replayed_after_load_shedding
1,16,1,0.000438,0.110960124714355,4.86005346248876e-05,paper_table_4_1_initial_probability + candidate_transition_probability,1,44,0,6254.23,0,1,1,none,replayed_pf_result
1,16,2,0.000438,0.261606202272493,1.27142012916296e-05,paper_table_4_1_initial_probability + candidate_transition_probability,2,42,0,6254.23,0,1,1,none,replayed_pf_result
1,16,3,0.000438,0.683273983480868,8.68728296330938e-06,paper_table_4_1_initial_probability + candidate_transition_probability,0,35,852.5,6254.23,0.136307746916887,1,1,none,replayed_pf_result
1,17,1,0.000438,0.88464932205521,0.000387476403060182,paper_table_4_1_initial_probability + candidate_transition_probability,0,45,0,6254.23,0,1,1,none,replayed_pf_result
1,18,1,0.000438,0.88464932205521,0.000387476403060182,paper_table_4_1_initial_probability + candidate_transition_probability,0,45,0,6254.23,0,1,1,none,replayed_pf_result
1,19,1,0.000438,0.88464932205521,0.000387476403060182,paper_table_4_1_initial_probability + candidate_transition_probability,0,45,0,6254.23,0,1,1,none,replayed_pf_result
1,20,1,0.000438,0.110960124714355,4.86005346248876e-05,paper_table_4_1_initial_probability + candidate_transition_probability,1,44,0,6254.23,0,1,1,none,replayed_pf_result
1,20,2,0.000438,0.649545535782289,3.15682603022283e-05,paper_table_4_1_initial_probability + candidate_transition_probability,1,43,0,6254.23,0,1,1,none,replayed_pf_result
1,20,3,0.000438,0.683273983480868,2.15697709682645e-05,paper_table_4_1_initial_probability + candidate_transition_probability,0,35,852.5,6254.23,0.136307746916887,1,1,none,replayed_pf_result
2,1,1,0.000582,0.973721653154905,0.000566706002136155,paper_table_4_1_initial_probability + candidate_transition_probability,0,45,0,6254.23,0,1,1,none,replayed_pf_result
2,2,1,0.000582,0.973721653154905,0.000566706002136155,paper_table_4_1_initial_probability + candidate_transition_probability,0,45,0,6254.23,0,1,1,none,replayed_pf_result
2,3,1,0.000582,0.973721653154905,0.000566706002136155,paper_table_4_1_initial_probability + candidate_transition_probability,0,45,0,6254.23,0,1,1,none,replayed_pf_result
2,4,1,0.000582,0.973721653154905,0.000566706002136155,paper_table_4_1_initial_probability + candidate_transition_probability,0,45,0,6254.23,0,1,1,none,replayed_pf_result
