branch_index,from_bus,to_bus,paper_prob_times_1e_minus_4,initial_outage_probability,normalized_weight,source_note
1,1,2,4.38,0.000438,0.0229583813816962,论文表4-1，单位×10^-4
2,1,39,5.82,0.000582,0.0305063423838977,论文表4-1，单位×10^-4
3,2,3,3.78,0.000378,0.0198133976307789,论文表4-1，单位×10^-4
4,2,25,4.45,0.000445,0.0233252961526365,论文表4-1，单位×10^-4
5,2,30,4.77,0.000477,0.0250026208197924,论文表4-1，单位×10^-4
6,3,4,5.48,0.000548,0.0287241849250446,论文表4-1，单位×10^-4
7,3,18,4.34,0.000434,0.0227487157983017,论文表4-1，单位×10^-4
8,4,5,0.34,3.4e-05,0.00178215745885313,论文表4-1，单位×10^-4
9,4,14,6.16,0.000616,0.0322884998427508,论文表4-1，单位×10^-4
10,5,6,5.82,0.000582,0.0305063423838977,论文表4-1，单位×10^-4
11,5,8,5.65,0.000565,0.0296152636544711,论文表4-1，单位×10^-4
12,6,7,2.63,0.000263,0.0137855121081874,论文表4-1，单位×10^-4
13,6,11,5.02,0.000502,0.026313030716008,论文表4-1，单位×10^-4
14,6,31,3.77,0.000377,0.0197609812349303,论文表4-1，单位×10^-4
15,7,8,0.23,2.3e-05,0.00120557710451829,论文表4-1，单位×10^-4
16,8,9,0.23,2.3e-05,0.00120557710451829,论文表4-1，单位×10^-4
17,9,39,6.85,0.000685,0.0359052311563057,论文表4-1，单位×10^-4
18,10,11,2.23,0.000223,0.0116888562742426,论文表4-1，单位×10^-4
19,10,13,6.85,0.000685,0.0359052311563057,论文表4-1，单位×10^-4
20,10,32,5.53,0.000553,0.0289862669042877,论文表4-1，单位×10^-4
21,12,11,4.27,0.000427,0.0223818010273614,论文表4-1，单位×10^-4
22,12,13,4.14,0.000414,0.0217003878813293,论文表4-1，单位×10^-4
23,13,14,4.34,0.000434,0.0227487157983017,论文表4-1，单位×10^-4
24,14,15,3.77,0.000377,0.0197609812349303,论文表4-1，单位×10^-4
25,15,16,4.68,0.000468,0.0245308732571548,论文表4-1，单位×10^-4
26,16,17,3.06,0.000306,0.0160394171296782,论文表4-1，单位×10^-4
27,16,19,0.11,1.1e-05,0.000576580354334836,论文表4-1，单位×10^-4
28,16,21,4.73,0.000473,0.024792955236398,论文表4-1，单位×10^-4
29,16,24,6,0.0006,0.0314498375091729,论文表4-1，单位×10^-4
30,17,18,6.5,0.00065,0.0340706573016039,论文表4-1，单位×10^-4
31,17,27,5.82,0.000582,0.0305063423838977,论文表4-1，单位×10^-4
32,19,20,5.15,0.000515,0.0269944438620401,论文表4-1，单位×10^-4
33,19,33,0.25,2.5e-05,0.00131040989621554,论文表4-1，单位×10^-4
34,20,34,0.25,2.5e-05,0.00131040989621554,论文表4-1，单位×10^-4
35,21,22,5.14,0.000514,0.0269420274661914,论文表4-1，单位×10^-4
36,22,23,5.82,0.000582,0.0305063423838977,论文表4-1，单位×10^-4
37,22,35,5.02,0.000502,0.026313030716008,论文表4-1，单位×10^-4
38,23,24,3.77,0.000377,0.0197609812349303,论文表4-1，单位×10^-4
39,23,36,4.45,0.000445,0.0233252961526365,论文表4-1，单位×10^-4
40,25,26,4.9,0.00049,0.0256840339658245,论文表4-1，单位×10^-4
41,25,37,4.57,0.000457,0.02395429290282,论文表4-1，单位×10^-4
42,26,27,6.03,0.000603,0.0316070866967187,论文表4-1，单位×10^-4
43,26,28,4.77,0.000477,0.0250026208197924,论文表4-1，单位×10^-4
44,26,29,0.25,2.5e-05,0.00131040989621554,论文表4-1，单位×10^-4
45,28,29,4.52,0.000452,0.0236922109235769,论文表4-1，单位×10^-4
46,29,38,4.14,0.000414,0.0217003878813293,论文表4-1，单位×10^-4
